Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,14.08,14.11,13.80,13.96,6852600,13.96
2013-07-11,14.42,14.53,14.00,14.12,6963600,14.12
2013-07-10,14.23,14.52,14.23,14.29,4540000,14.29
2013-07-09,14.37,14.45,14.17,14.25,4024900,14.25
2013-07-08,14.40,14.45,14.27,14.33,3638400,14.33
2013-07-05,14.31,14.41,14.06,14.38,2218900,14.38
2013-07-03,14.00,14.24,13.86,14.20,1900400,14.20
2013-07-02,14.87,14.94,13.85,14.08,6464000,14.08
2013-07-01,14.71,15.04,14.55,14.96,2206600,14.96
2013-06-28,15.09,15.17,14.68,14.68,4351800,14.68
2013-06-27,14.81,15.19,14.74,15.19,2746600,15.19
2013-06-26,14.52,14.86,14.51,14.75,2489400,14.75
2013-06-25,14.05,14.42,14.00,14.41,2595200,14.41
2013-06-24,14.06,14.10,13.82,13.95,3583300,13.95
2013-06-21,13.89,14.21,13.78,14.10,3839600,14.10
2013-06-20,14.08,14.16,13.63,13.78,2970300,13.78
2013-06-19,14.70,14.77,14.24,14.25,2366800,14.25
2013-06-18,14.49,14.79,14.43,14.69,1919400,14.69
2013-06-17,14.63,14.76,14.48,14.51,2297100,14.51
2013-06-14,14.56,14.72,14.42,14.59,1688400,14.59
2013-06-13,14.27,14.65,14.09,14.59,1813800,14.59
2013-06-12,14.92,14.92,14.25,14.31,2574300,14.31
2013-06-11,14.67,14.97,14.48,14.77,3424100,14.77
2013-06-10,14.64,14.84,14.53,14.79,2111500,14.79
2013-06-07,14.02,14.65,13.98,14.64,3661900,14.64
2013-06-06,14.43,14.48,13.92,14.07,9704400,14.07
2013-06-05,14.93,15.13,14.41,14.49,4041900,14.49
2013-06-04,14.49,15.02,14.43,14.99,3462200,14.99
2013-06-03,14.68,14.74,14.32,14.45,3855800,14.45
2013-05-31,14.93,15.04,14.65,14.68,9722600,14.68
2013-05-30,15.06,15.26,14.90,15.01,2606400,15.01
2013-05-29,15.00,15.13,14.95,15.01,2575300,15.01
2013-05-28,15.26,15.26,15.00,15.08,3053800,15.08
2013-05-24,15.00,15.15,14.92,15.12,2712700,15.12
2013-05-23,14.86,15.23,14.79,15.06,2688900,15.06
2013-05-22,15.06,15.26,15.00,15.05,4176800,15.05
2013-05-21,15.19,15.30,15.04,15.19,2871100,15.19
2013-05-20,14.81,15.24,14.64,15.20,3919900,15.20
2013-05-17,14.70,14.86,14.58,14.79,2653000,14.79
2013-05-16,14.83,15.00,14.67,14.71,2612200,14.71
2013-05-15,14.98,15.04,14.68,14.78,3048800,14.78
2013-05-14,15.04,15.09,14.82,15.05,2208200,15.05
2013-05-13,15.34,15.40,14.93,15.01,3410800,15.01
2013-05-10,15.71,15.72,15.35,15.44,2356800,15.44
2013-05-09,15.57,15.71,15.30,15.67,3387700,15.67
2013-05-08,15.36,15.47,15.17,15.45,3450400,15.45
2013-05-07,15.16,15.45,15.15,15.41,3476600,15.22
2013-05-06,15.39,15.60,15.14,15.15,4488000,14.97
2013-05-03,15.02,15.96,14.92,15.39,9843200,15.20
2013-05-02,14.25,14.61,14.16,14.55,8080600,14.37
2013-05-01,13.37,14.48,13.37,14.28,10440100,14.11
2013-04-30,14.46,14.56,13.12,13.67,28312200,13.50
2013-04-29,15.94,16.43,15.75,16.20,6990900,16.00
2013-04-26,15.07,16.06,15.07,15.90,8907400,15.71
2013-04-25,14.85,15.08,14.80,15.07,3883800,14.89
2013-04-24,14.72,14.88,14.66,14.76,2727800,14.58
2013-04-23,14.50,14.79,14.48,14.71,2786100,14.53
2013-04-22,14.33,14.46,14.13,14.41,2679100,14.23
2013-04-19,14.35,14.54,14.02,14.31,8093800,14.14
2013-04-18,14.48,14.57,14.16,14.24,2746600,14.07
2013-04-17,14.62,14.69,14.23,14.44,3130300,14.26
2013-04-16,14.57,14.81,14.51,14.67,3639500,14.49
2013-04-15,15.03,15.06,14.40,14.42,3222000,14.24
2013-04-12,15.15,15.18,14.96,15.09,2080000,14.91
2013-04-11,15.02,15.25,15.02,15.18,3237700,14.99
2013-04-10,14.99,15.17,14.97,15.01,4575400,14.83
2013-04-09,14.72,15.10,14.72,14.95,3893700,14.77
2013-04-08,14.65,14.89,14.56,14.72,2799900,14.54
2013-04-05,14.37,14.60,14.32,14.60,2841100,14.42
2013-04-04,14.44,14.59,14.38,14.48,3041900,14.30
2013-04-03,14.46,14.74,14.32,14.37,5455100,14.19
2013-04-02,14.57,14.61,14.37,14.42,5031200,14.24
2013-04-01,14.90,14.93,14.44,14.47,3208700,14.29
2013-03-28,14.93,14.95,14.80,14.86,2550400,14.68
2013-03-27,15.04,15.09,14.67,14.93,2947300,14.75
2013-03-26,15.10,15.22,15.05,15.12,2832800,14.94
2013-03-25,15.20,15.24,14.98,15.00,2980900,14.82
2013-03-22,15.25,15.33,14.99,15.03,2874200,14.85
2013-03-21,15.17,15.40,15.13,15.17,2037100,14.98
2013-03-20,15.35,15.39,15.04,15.20,2688400,15.01
2013-03-19,15.30,15.40,15.19,15.29,2040900,15.10
2013-03-18,15.16,15.44,15.02,15.29,2627800,15.10
2013-03-15,15.50,15.50,14.97,15.24,6528000,15.05
2013-03-14,14.99,15.56,14.98,15.51,4324400,15.32
2013-03-13,14.60,14.92,14.50,14.88,3582800,14.70
2013-03-12,14.26,14.71,14.24,14.66,3976500,14.48
2013-03-11,14.09,14.33,14.08,14.23,2627700,14.06
2013-03-08,14.10,14.11,13.72,13.96,3339600,13.79
2013-03-07,13.81,14.03,13.73,14.03,3650200,13.86
2013-03-06,13.74,13.81,13.65,13.79,3340600,13.62
2013-03-05,13.64,13.70,13.51,13.66,2698700,13.49
2013-03-04,12.98,13.62,12.98,13.56,4173000,13.39
2013-03-01,13.06,13.16,12.89,13.03,3145700,12.87
2013-02-28,13.17,13.29,13.05,13.10,2414300,12.94
2013-02-27,12.96,13.19,12.92,13.17,2409700,13.01
2013-02-26,12.92,13.08,12.90,12.97,2599300,12.81
2013-02-25,13.34,13.34,12.86,12.87,2150000,12.71
2013-02-22,13.01,13.27,13.00,13.27,1618000,13.11
2013-02-21,13.27,13.27,12.85,12.94,2827000,12.78
2013-02-20,13.60,13.60,13.24,13.28,2150200,13.12
2013-02-19,13.48,13.69,13.40,13.58,2831400,13.41
2013-02-15,13.48,13.59,13.39,13.45,2658900,13.29
2013-02-14,13.63,13.70,13.41,13.49,3978100,13.33
2013-02-13,13.51,13.87,13.45,13.71,4373600,13.54
2013-02-12,13.97,13.99,13.80,13.89,3797800,13.35
2013-02-11,13.89,14.00,13.84,13.85,2558800,13.31
2013-02-08,13.86,13.93,13.73,13.84,2614700,13.30
2013-02-07,13.84,13.93,13.63,13.88,3448600,13.34
2013-02-06,13.37,13.95,13.30,13.84,4209600,13.30
2013-02-05,13.41,13.54,13.05,13.46,4507400,12.94
2013-02-04,13.81,13.85,13.23,13.34,5227300,12.82
2013-02-01,14.39,14.59,13.69,13.82,9427800,13.28
2013-01-31,12.76,14.49,12.76,14.41,18397200,13.85
2013-01-30,12.15,12.26,11.89,11.98,5091700,11.51
2013-01-29,12.30,12.32,12.15,12.15,2326500,11.68
2013-01-28,12.19,12.30,12.10,12.30,2599900,11.82
2013-01-25,12.17,12.29,12.07,12.15,2434200,11.68
2013-01-24,12.03,12.20,12.00,12.15,3248700,11.68
2013-01-23,12.06,12.24,11.92,11.99,3724200,11.52
2013-01-22,11.70,12.05,11.70,12.05,4756600,11.58
2013-01-18,11.77,11.79,11.56,11.62,12441400,11.17
2013-01-17,11.78,11.88,11.71,11.73,2809000,11.27
2013-01-16,11.69,11.90,11.60,11.71,3736300,11.25
2013-01-15,11.78,11.86,11.65,11.70,3268800,11.25
2013-01-14,11.93,12.00,11.45,11.74,4680900,11.28
2013-01-11,12.00,12.00,11.75,11.91,3654600,11.45
2013-01-10,11.98,12.01,11.80,11.90,3557200,11.44
2013-01-09,11.90,12.00,11.71,11.88,4052800,11.42
2013-01-08,11.73,11.83,11.56,11.78,5971300,11.32
2013-01-07,11.38,11.69,11.31,11.65,4740300,11.20
2013-01-04,11.13,11.45,11.10,11.37,4001200,10.93
2013-01-03,10.81,11.14,10.71,11.09,4030100,10.66
2013-01-02,10.98,11.08,10.73,10.79,4179600,10.37
2012-12-31,10.36,10.70,10.34,10.64,3771800,10.23
2012-12-28,10.43,10.54,10.36,10.41,3038100,10.01
2012-12-27,10.55,10.59,10.38,10.52,4016100,10.11
2012-12-26,10.70,10.79,10.53,10.57,3443900,10.16
2012-12-24,10.81,10.89,10.65,10.69,1739300,10.27
2012-12-21,10.96,10.96,10.71,10.78,14386400,10.36
2012-12-20,10.97,11.12,10.90,11.09,3757100,10.66
2012-12-19,11.18,11.29,10.87,10.95,4504800,10.52
2012-12-18,10.86,11.18,10.83,11.16,6588600,10.73
2012-12-17,10.73,10.98,10.70,10.86,5830400,10.44
2012-12-14,10.78,10.97,10.65,10.68,3720900,10.26
2012-12-13,10.80,10.89,10.73,10.79,3021200,10.37
2012-12-12,11.08,11.13,10.76,10.82,4624200,10.40
2012-12-11,10.97,11.05,10.94,11.01,2932900,10.58
2012-12-10,10.88,11.04,10.86,10.94,3373900,10.51
2012-12-07,10.93,11.03,10.89,10.93,3488600,10.51
2012-12-06,10.88,11.07,10.75,10.89,4966200,10.47
2012-12-05,11.04,11.19,10.65,10.88,7116200,10.46
2012-12-04,11.63,11.64,11.01,11.03,7431800,10.60
2012-12-03,11.25,11.69,11.25,11.64,9308400,11.19
2012-11-30,11.11,11.24,11.02,11.19,5250500,10.76
2012-11-29,11.25,11.39,11.06,11.09,4590300,10.66
2012-11-28,10.96,11.22,10.92,11.22,2567400,10.78
2012-11-27,11.08,11.21,10.93,11.00,4362300,10.57
2012-11-26,11.12,11.24,11.05,11.11,3978400,10.68
2012-11-23,11.01,11.17,10.96,11.17,1641600,10.74
2012-11-21,10.96,11.00,10.87,10.91,3455300,10.49
2012-11-20,11.07,11.10,10.80,11.00,4521100,10.57
2012-11-19,11.11,11.15,10.96,11.10,4780800,10.67
2012-11-16,10.96,11.03,10.88,11.02,6118000,10.59
2012-11-15,11.00,11.33,10.79,10.99,6088600,10.56
2012-11-14,11.42,11.44,10.81,10.85,5477100,10.43
2012-11-13,11.83,11.90,11.63,11.67,4381500,10.86
2012-11-12,11.97,12.06,11.78,11.92,3255400,11.09
