Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,45.55,45.56,45.20,45.54,2247900,45.54
2013-07-11,45.47,45.73,45.27,45.50,2000900,45.50
2013-07-10,45.14,45.36,44.91,45.14,1995000,45.14
2013-07-09,45.19,45.50,44.98,45.37,2243100,45.37
2013-07-08,44.74,45.45,44.55,45.19,1925200,45.19
2013-07-05,44.96,45.02,44.11,44.66,1395100,44.66
2013-07-03,44.74,45.05,44.58,44.97,1374500,44.97
2013-07-02,45.08,45.49,44.79,44.99,2366600,44.99
2013-07-01,46.08,46.31,45.05,45.16,4099200,45.16
2013-06-28,45.59,46.33,44.69,45.73,8896600,45.73
2013-06-27,44.99,45.25,44.54,44.63,1798900,44.63
2013-06-26,44.95,45.56,44.89,45.33,2545800,44.88
2013-06-25,44.41,44.88,44.00,44.73,7638500,44.28
2013-06-24,43.97,44.58,43.53,44.21,7881800,43.77
2013-06-21,44.01,44.67,43.20,44.33,9347600,43.89
2013-06-20,44.36,44.40,43.49,43.59,2299300,43.15
2013-06-19,45.74,45.92,44.65,44.65,2087900,44.20
2013-06-18,45.24,45.83,45.21,45.73,2101900,45.27
2013-06-17,45.35,45.79,45.20,45.32,2570200,44.87
2013-06-14,44.90,45.38,44.77,45.17,2663100,44.72
2013-06-13,44.28,44.94,44.23,44.87,1838400,44.42
2013-06-12,44.93,45.11,44.29,44.33,1814800,43.89
2013-06-11,44.63,45.08,44.42,44.58,2048700,44.13
2013-06-10,45.36,45.36,44.83,45.00,1958500,44.55
2013-06-07,45.10,45.43,44.60,45.30,2173000,44.85
2013-06-06,44.03,45.02,43.91,45.02,2827300,44.57
2013-06-05,44.50,44.55,43.89,44.02,2972300,43.58
2013-06-04,44.83,44.95,44.31,44.65,1990700,44.20
2013-06-03,44.90,45.16,44.35,44.94,2869100,44.49
2013-05-31,44.94,45.75,44.85,44.91,2642600,44.46
2013-05-30,45.08,45.85,44.97,45.04,2709200,44.59
2013-05-29,45.81,45.89,44.75,44.82,4250800,44.37
2013-05-28,46.34,46.62,45.97,46.06,2306100,45.60
2013-05-24,46.29,46.43,45.79,46.14,2498800,45.68
2013-05-23,46.57,46.58,45.72,46.49,1856600,46.02
2013-05-22,47.30,48.02,46.56,46.77,1973200,46.30
2013-05-21,47.24,47.40,46.84,47.36,1718000,46.88
2013-05-20,47.23,47.28,46.99,47.18,1587300,46.71
2013-05-17,47.00,47.28,46.74,47.23,2064300,46.76
2013-05-16,47.25,47.29,46.82,46.88,2812000,46.41
2013-05-15,46.81,47.74,46.72,47.23,3168200,46.76
2013-05-14,46.64,47.01,46.38,46.90,2073100,46.43
2013-05-13,46.42,46.65,46.35,46.52,1694600,46.05
2013-05-10,46.17,46.62,45.90,46.60,2576200,46.13
2013-05-09,46.92,47.02,45.92,46.06,2862400,45.60
2013-05-08,47.37,47.75,46.70,46.90,2720400,46.43
2013-05-07,46.47,47.67,46.35,47.59,3065100,47.11
2013-05-06,47.26,47.28,46.39,46.50,2784000,46.03
2013-05-03,47.39,47.57,47.08,47.25,2171800,46.78
2013-05-02,47.65,47.86,46.71,47.23,3132500,46.76
2013-05-01,48.37,48.45,47.56,47.66,2578900,47.18
2013-04-30,48.34,48.50,48.21,48.44,2034200,47.95
2013-04-29,48.03,48.46,47.83,48.35,1642800,47.86
2013-04-26,47.96,48.18,47.62,47.95,2282400,47.47
2013-04-25,47.90,48.17,47.72,47.88,2127800,47.40
2013-04-24,47.57,47.90,47.31,47.75,1751300,47.27
2013-04-23,47.32,47.56,46.91,47.56,1670100,47.08
2013-04-22,47.74,47.75,47.22,47.31,1853400,46.84
2013-04-19,46.89,47.77,46.81,47.77,2712800,47.29
2013-04-18,47.00,47.22,46.64,46.72,2690400,46.25
2013-04-17,46.88,47.08,46.62,47.01,2497500,46.54
2013-04-16,46.93,47.20,46.26,46.98,2376700,46.51
2013-04-15,47.15,47.42,46.77,46.77,2424500,46.30
2013-04-12,46.85,47.32,46.85,47.23,1727300,46.76
2013-04-11,47.24,47.24,46.85,47.01,1503800,46.54
2013-04-10,46.81,47.21,46.66,47.10,2175500,46.63
2013-04-09,46.77,47.06,46.48,46.63,2948000,46.16
2013-04-08,46.46,46.84,46.36,46.68,3823200,46.21
2013-04-05,45.91,46.65,45.82,46.49,3651800,46.02
2013-04-04,45.58,46.16,45.46,46.14,3258500,45.68
2013-04-03,45.11,45.56,45.03,45.52,4587400,45.06
2013-04-02,44.81,44.99,44.76,44.97,3301400,44.52
2013-04-01,44.51,44.81,44.38,44.73,2464800,44.28
2013-03-28,44.04,44.57,43.96,44.53,2786100,44.08
2013-03-27,43.88,44.19,43.70,44.08,3007100,43.64
2013-03-26,43.15,43.81,43.10,43.73,2641800,43.29
2013-03-25,43.85,43.99,43.29,43.59,9698600,42.70
2013-03-22,43.67,43.95,43.58,43.80,7463300,42.91
2013-03-21,43.75,43.87,43.60,43.67,1470600,42.78
2013-03-20,43.74,44.02,43.64,43.88,1750200,42.99
2013-03-19,43.51,43.73,43.23,43.59,2645200,42.70
2013-03-18,43.38,43.65,43.30,43.36,1793700,42.48
2013-03-15,43.39,43.83,43.22,43.56,4739200,42.67
2013-03-14,43.31,43.59,43.21,43.56,2285400,42.67
2013-03-13,43.05,43.33,42.84,43.30,1782500,42.42
2013-03-12,42.96,43.06,42.72,43.04,2279400,42.16
2013-03-11,42.64,43.05,42.51,42.96,3929700,42.08
2013-03-08,42.91,42.99,42.48,42.78,2463300,41.91
2013-03-07,43.14,43.39,42.78,42.87,1965900,42.00
2013-03-06,43.29,43.47,42.88,43.05,2378800,42.17
2013-03-05,43.55,43.72,43.31,43.34,2920000,42.46
2013-03-04,42.83,43.64,42.77,43.47,2908500,42.58
