Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,48.53,48.57,48.20,48.48,398400,48.48
2013-07-11,47.91,48.60,47.78,48.53,765300,48.53
2013-07-10,47.35,47.60,46.99,47.41,600700,47.41
2013-07-09,47.08,47.81,47.00,47.48,669600,47.48
2013-07-08,46.58,47.22,46.47,46.98,1060000,46.98
2013-07-05,46.64,46.79,45.50,46.48,626400,46.48
2013-07-03,46.43,46.69,46.12,46.39,512400,46.39
2013-07-02,46.01,47.13,46.00,46.65,704600,46.65
2013-07-01,46.94,47.01,46.03,46.12,701000,46.12
2013-06-28,46.58,47.06,46.09,46.67,1028700,46.67
2013-06-27,46.30,46.92,46.25,46.64,728100,46.64
2013-06-26,46.02,46.59,45.81,46.07,1315600,46.07
2013-06-25,45.41,46.09,44.97,45.84,652700,45.84
2013-06-24,44.62,45.94,44.01,45.01,908200,45.01
2013-06-21,44.89,45.66,44.34,45.29,1484900,45.29
2013-06-20,44.74,45.78,44.14,44.51,2264000,44.51
2013-06-19,47.41,47.52,45.22,45.23,1798700,45.23
2013-06-18,47.50,47.91,47.26,47.44,635800,47.44
2013-06-17,47.59,47.90,47.24,47.55,806200,47.55
2013-06-14,47.68,48.51,47.22,47.28,697200,47.28
2013-06-13,46.68,47.89,46.26,47.79,843200,47.79
2013-06-12,47.84,47.87,46.66,46.70,1211100,46.70
2013-06-11,47.39,47.81,47.02,47.52,863100,47.52
2013-06-10,48.35,48.36,47.40,47.71,952800,47.71
2013-06-07,47.81,48.36,47.07,48.32,1135200,48.32
2013-06-06,46.97,47.58,46.59,47.56,1861800,47.56
2013-06-05,47.36,47.78,46.79,46.97,1196400,46.97
2013-06-04,48.56,48.66,47.49,47.51,1132200,47.51
2013-06-03,48.36,48.88,47.92,48.35,1180300,48.35
2013-05-31,47.69,48.47,47.37,47.70,1619000,47.70
2013-05-30,48.96,49.04,47.19,47.77,2371600,47.77
2013-05-29,50.35,50.36,48.61,49.01,1723300,49.01
2013-05-28,52.34,52.41,50.75,50.76,1124600,50.76
2013-05-24,52.05,52.13,51.53,51.83,711400,51.83
2013-05-23,52.76,53.03,52.20,52.29,1088100,52.29
2013-05-22,54.30,54.62,53.10,53.25,917100,53.25
2013-05-21,54.39,54.50,54.29,54.32,745900,54.32
2013-05-20,54.06,54.45,53.91,54.40,708200,54.40
2013-05-17,53.27,54.07,53.11,54.04,1084600,54.04
2013-05-16,53.01,53.44,53.01,53.17,572900,53.17
2013-05-15,52.75,53.25,52.15,53.25,735600,53.25
2013-05-14,52.56,53.15,52.50,53.00,628000,52.56
2013-05-13,52.20,52.65,52.20,52.48,604600,52.04
2013-05-10,52.20,52.49,51.97,52.21,428400,51.78
2013-05-09,52.20,52.37,51.92,52.07,549200,51.64
2013-05-08,51.55,52.13,51.45,52.12,673600,51.69
2013-05-07,51.36,51.61,51.36,51.50,584600,51.07
2013-05-06,51.13,51.35,51.00,51.35,639700,50.92
2013-05-03,51.26,51.47,51.08,51.13,1016500,50.71
2013-05-02,51.00,51.57,50.88,50.93,666600,50.51
2013-05-01,51.22,51.52,50.68,50.82,1207200,50.40
2013-04-30,51.91,51.91,49.40,51.54,1913200,51.11
2013-04-29,53.36,53.68,53.12,53.30,777300,52.86
2013-04-26,53.44,53.67,53.02,53.14,540800,52.70
2013-04-25,53.50,53.66,53.10,53.40,858900,52.96
2013-04-24,53.10,53.61,52.90,53.38,840700,52.94
2013-04-23,52.52,53.10,52.50,52.95,829100,52.51
2013-04-22,52.28,52.68,52.10,52.51,683300,52.07
2013-04-19,51.43,52.34,51.31,52.29,856500,51.86
2013-04-18,50.75,51.43,50.39,51.28,963300,50.85
2013-04-17,51.27,51.31,50.06,50.67,989900,50.25
2013-04-16,50.55,51.49,49.76,51.41,964500,50.98
2013-04-15,51.84,51.97,50.31,50.31,1165100,49.89
2013-04-12,51.80,52.02,51.67,51.99,552900,51.56
2013-04-11,51.83,52.28,51.76,51.88,654000,51.45
2013-04-10,51.53,52.00,51.46,51.80,701200,51.37
2013-04-09,52.05,52.16,51.20,51.48,694400,51.05
2013-04-08,51.23,51.90,51.01,51.88,471600,51.45
2013-04-05,51.14,51.29,50.72,51.23,717900,50.80
2013-04-04,51.09,51.62,50.97,51.60,573400,51.17
2013-04-03,52.00,52.13,50.79,51.05,1307000,50.63
2013-04-02,52.03,52.25,51.75,51.99,773700,51.56
2013-04-01,52.07,52.64,51.53,51.78,956600,51.35
2013-03-28,51.75,52.28,51.44,52.20,1004200,51.77
2013-03-27,50.74,51.63,50.71,51.60,803700,51.17
2013-03-26,50.42,51.15,50.42,51.10,730200,50.68
2013-03-25,50.56,50.92,50.22,50.33,749600,49.91
2013-03-22,50.35,50.48,50.23,50.48,472800,50.06
2013-03-21,49.95,50.55,49.85,50.19,943700,49.77
2013-03-20,49.94,50.13,49.72,50.12,636700,49.70
2013-03-19,49.66,49.99,49.39,49.66,770500,49.25
2013-03-18,49.31,49.76,49.11,49.63,685600,49.22
2013-03-15,49.69,49.80,49.23,49.77,1073100,49.36
2013-03-14,49.62,49.98,49.49,49.88,732200,49.47
2013-03-13,49.66,49.90,49.53,49.60,588700,49.19
2013-03-12,49.84,49.88,49.43,49.70,634400,49.29
2013-03-11,49.18,49.95,49.10,49.94,964000,49.53
2013-03-08,49.10,49.30,48.76,49.18,446800,48.77
2013-03-07,48.70,49.05,48.69,49.02,726500,48.61
2013-03-06,49.64,49.64,48.71,48.80,653300,48.39
2013-03-05,49.43,49.79,49.22,49.46,587800,49.05
2013-03-04,48.74,49.20,48.55,49.11,651000,48.70
2013-03-01,48.48,48.76,48.05,48.69,812600,48.29
2013-02-28,48.73,48.89,48.49,48.50,656100,48.10
2013-02-27,47.81,48.90,47.73,48.69,801400,48.29
2013-02-26,47.40,47.90,47.26,47.86,834900,47.46
2013-02-25,48.29,48.48,47.27,47.27,961700,46.88
2013-02-22,47.78,48.18,47.78,48.18,717500,47.78
2013-02-21,47.58,47.72,47.10,47.59,825300,47.19
2013-02-20,48.15,48.32,47.68,47.71,584200,47.31
2013-02-19,47.93,48.27,47.93,48.24,798500,47.84
2013-02-15,47.78,48.08,47.70,47.88,662800,47.48
2013-02-14,47.80,47.97,47.67,47.80,555400,47.40
2013-02-13,47.96,48.19,47.10,47.86,465200,47.46
2013-02-12,48.25,48.60,48.16,48.36,575400,47.54
2013-02-11,48.40,48.41,48.08,48.30,461000,47.48
2013-02-08,48.21,48.48,48.07,48.44,525800,47.62
2013-02-07,48.56,48.59,48.03,48.20,623000,47.38
2013-02-06,48.00,48.58,48.00,48.54,699500,47.72
2013-02-05,48.25,48.43,48.10,48.30,703300,47.48
2013-02-04,48.06,48.27,47.97,48.14,657100,47.33
2013-02-01,48.34,49.09,48.10,48.19,783400,47.37
2013-01-31,48.22,48.48,47.69,48.18,666900,47.37
2013-01-30,48.93,49.00,48.13,48.35,858400,47.53
2013-01-29,48.88,49.69,48.30,49.09,1772100,48.26
2013-01-28,47.40,48.00,47.16,47.31,996400,46.51
