Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,908.71,920.92,907.48,920.39,663400,920.39
2013-07-11,900.85,912.86,895.60,910.35,816700,910.35
2013-07-10,894.43,897.00,886.49,892.32,522100,892.32
2013-07-09,891.50,900.40,880.10,897.06,908400,897.06
2013-07-08,874.66,889.40,872.20,888.63,1161700,888.63
2013-07-05,850.49,856.12,840.00,855.16,462300,855.16
2013-07-03,836.48,847.33,836.10,845.40,193800,845.40
2013-07-02,843.11,854.60,838.20,841.06,453200,841.06
2013-07-01,832.00,844.99,831.11,840.73,529200,840.73
2013-06-28,819.73,830.00,819.73,826.67,509400,826.67
2013-06-27,825.50,828.06,819.90,822.39,533400,822.39
2013-06-26,815.80,823.86,814.45,819.56,583600,819.56
2013-06-25,813.68,817.55,805.03,809.57,476300,809.57
2013-06-24,805.25,812.00,791.15,805.01,869100,805.01
2013-06-21,820.74,823.86,805.22,813.05,1026100,813.05
2013-06-20,822.50,830.38,812.45,815.69,873300,815.69
2013-06-19,834.00,839.67,827.52,828.55,591300,828.55
2013-06-18,829.08,839.45,826.52,834.82,634300,834.82
2013-06-17,822.00,831.09,818.60,825.54,822500,825.54
2013-06-14,812.60,817.49,810.47,815.75,572400,815.75
2013-06-13,805.43,815.89,803.49,814.82,460500,814.82
2013-06-12,821.48,821.58,802.67,807.90,580700,807.90
2013-06-11,815.32,821.67,809.33,813.42,551200,813.42
2013-06-10,819.21,825.00,815.06,823.45,524700,823.45
2013-06-07,810.18,819.24,805.11,816.45,693100,816.45
2013-06-06,794.85,806.03,787.00,805.90,582700,805.90
2013-06-05,797.95,809.00,795.00,795.50,539000,795.50
2013-06-04,800.76,811.00,794.05,798.69,533300,798.69
2013-06-03,805.15,805.86,788.26,802.62,626800,802.62
2013-05-31,805.77,819.98,802.87,803.93,826200,803.93
2013-05-30,795.00,816.40,792.27,807.54,1258800,807.54
2013-05-29,796.12,801.68,789.45,792.27,548600,792.27
2013-05-28,811.80,819.99,801.31,804.33,653300,804.33
2013-05-24,797.65,804.18,795.55,801.12,437900,801.12
2013-05-23,789.00,805.65,784.32,803.60,906700,803.60
2013-05-22,803.45,820.72,795.31,798.03,1857200,798.03
2013-05-21,842.90,847.33,825.06,825.96,1115800,825.96
2013-05-20,825.70,842.75,824.19,842.50,1331200,842.50
2013-05-17,805.03,814.58,802.18,813.66,784100,813.66
2013-05-16,806.00,811.48,797.50,800.08,898400,800.08
2013-05-15,790.05,808.51,789.95,805.75,927600,805.75
2013-05-14,776.04,794.00,776.04,791.14,1015500,791.14
2013-05-13,761.00,779.25,758.37,777.44,786200,777.44
2013-05-10,742.00,769.67,742.00,765.41,2110500,765.41
2013-05-09,735.00,744.98,728.72,737.50,1053800,737.50
2013-05-08,726.22,736.00,726.11,735.27,461800,735.27
2013-05-07,730.96,730.99,717.90,725.05,314700,725.05
2013-05-06,723.50,730.95,722.70,726.71,405900,726.71
2013-05-03,717.43,728.54,716.85,724.77,662900,724.77
2013-05-02,693.75,712.60,693.75,707.95,617900,707.95
2013-05-01,696.56,700.00,691.10,694.06,454300,694.06
2013-04-30,698.55,702.73,693.49,695.99,484200,695.99
2013-04-29,704.49,709.05,697.06,699.43,572900,699.43
