Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,33.02,33.22,32.83,33.16,1577200,33.16
2013-07-11,32.78,33.09,32.59,33.03,2770500,33.03
2013-07-10,32.28,32.48,32.06,32.41,1884200,32.41
2013-07-09,32.42,32.60,32.23,32.27,2313500,32.27
2013-07-08,31.82,32.39,31.81,32.27,2566400,32.27
2013-07-05,31.88,31.93,31.32,31.66,2129200,31.66
2013-07-03,31.72,31.96,31.62,31.80,1103700,31.80
2013-07-02,31.80,32.11,31.66,31.84,2916100,31.84
2013-07-01,32.77,32.86,31.80,31.85,3551700,31.85
2013-06-28,32.77,33.05,32.43,32.66,8910300,32.66
2013-06-27,33.01,33.18,32.58,32.65,2485300,32.65
2013-06-26,32.51,33.00,32.41,32.90,2960300,32.90
2013-06-25,32.08,32.43,31.78,32.28,2291700,32.28
2013-06-24,31.47,32.13,31.10,31.85,3003800,31.85
2013-06-21,31.47,31.76,31.03,31.67,4250200,31.67
2013-06-20,32.17,32.25,31.12,31.21,4105800,31.21
2013-06-19,33.10,33.21,32.35,32.35,2273000,32.35
2013-06-18,32.97,33.22,32.87,33.19,1993200,33.19
2013-06-17,32.80,33.15,32.71,32.98,3132400,32.98
2013-06-14,32.58,32.88,32.56,32.63,1598000,32.63
2013-06-13,32.06,32.62,32.06,32.58,2901000,32.58
2013-06-12,32.56,32.66,31.97,32.07,3124600,32.07
2013-06-11,32.26,32.62,32.22,32.40,1810300,32.40
2013-06-10,32.76,32.77,32.39,32.50,2171600,32.50
2013-06-07,32.71,32.93,32.36,32.68,2192900,32.68
2013-06-06,32.14,32.70,32.10,32.70,2884300,32.70
2013-06-05,32.51,32.51,32.00,32.12,4297500,32.12
2013-06-04,33.03,33.05,32.66,32.84,3991800,32.48
2013-06-03,33.02,33.34,32.60,33.09,3887500,32.73
2013-05-31,33.22,33.64,33.04,33.04,3589900,32.68
2013-05-30,33.45,34.01,33.33,33.35,2885700,32.98
2013-05-29,33.79,33.84,32.86,33.30,3318100,32.93
2013-05-28,34.25,34.76,33.87,34.02,4362700,33.65
2013-05-24,33.91,34.03,33.68,33.89,1896000,33.52
2013-05-23,34.04,34.19,33.51,34.05,2169300,33.68
2013-05-22,34.75,35.12,34.13,34.30,2921500,33.92
2013-05-21,34.83,34.97,34.39,34.77,2927400,34.39
2013-05-20,35.05,35.15,34.72,34.84,1650700,34.46
2013-05-17,34.75,35.09,34.64,35.07,2692200,34.69
2013-05-16,34.84,34.93,34.57,34.65,1884500,34.27
2013-05-15,34.75,35.17,34.49,34.89,2453200,34.51
2013-05-14,34.53,34.85,34.50,34.75,2011000,34.37
2013-05-13,34.64,34.90,34.34,34.57,2059900,34.19
2013-05-10,34.82,34.85,34.52,34.81,1563600,34.43
2013-05-09,35.32,35.41,34.72,34.82,2727300,34.44
2013-05-08,35.73,35.94,35.09,35.31,3212500,34.92
2013-05-07,35.53,35.88,35.38,35.81,3280600,35.42
2013-05-06,36.23,36.29,35.43,35.43,2642200,35.04
2013-05-03,36.59,36.79,36.19,36.29,3369100,35.89
2013-05-02,36.67,36.70,36.30,36.47,2640800,36.07
2013-05-01,36.67,37.00,36.57,36.59,2045200,36.19
2013-04-30,36.46,36.89,36.04,36.61,3151100,36.21
2013-04-29,36.28,36.60,36.18,36.43,1591300,36.03
2013-04-26,36.08,36.36,36.01,36.12,1953400,35.72
2013-04-25,36.05,36.34,35.88,36.10,2019800,35.70
2013-04-24,35.87,36.17,35.70,35.89,2139200,35.50
2013-04-23,35.89,35.89,35.40,35.81,3336600,35.42
2013-04-22,35.90,35.93,35.63,35.80,1611800,35.41
2013-04-19,35.50,35.93,35.40,35.90,2491300,35.51
2013-04-18,35.17,35.42,34.92,35.38,2362100,34.99
2013-04-17,35.02,35.21,34.76,35.11,2734700,34.73
2013-04-16,34.84,35.11,34.50,35.04,2583600,34.66
2013-04-15,34.99,35.22,34.71,34.71,2681000,34.33
2013-04-12,34.90,35.14,34.89,35.06,2683900,34.68
2013-04-11,34.98,35.08,34.84,34.96,2573400,34.58
2013-04-10,34.68,35.00,34.55,34.95,1801100,34.57
2013-04-09,34.60,34.74,34.47,34.56,1746500,34.18
2013-04-08,34.17,34.55,34.12,34.54,2773500,34.16
2013-04-05,34.35,34.58,34.31,34.51,2041300,34.13
2013-04-04,34.34,34.60,34.33,34.55,2122600,34.17
2013-04-03,34.25,34.41,34.17,34.26,2062000,33.88
2013-04-02,34.30,34.39,34.11,34.23,1436600,33.85
2013-04-01,34.29,34.33,34.01,34.18,1994400,33.81
2013-03-28,33.82,34.37,33.69,34.34,3455700,33.96
2013-03-27,33.44,33.73,33.33,33.69,1255500,33.32
