Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,71.91,72.07,71.35,72.00,709900,72.00
2013-07-11,71.41,71.91,71.04,71.74,1199000,71.74
2013-07-10,69.52,70.80,69.46,70.63,1224800,70.63
2013-07-09,69.54,69.81,68.90,69.53,651300,69.53
2013-07-08,68.51,69.43,68.38,69.41,751100,69.41
2013-07-05,68.75,68.75,67.81,68.43,613900,68.43
2013-07-03,67.96,68.54,67.75,68.29,414600,68.29
2013-07-02,67.43,68.37,67.34,68.32,1074100,68.32
2013-07-01,67.52,68.01,67.31,67.55,747900,67.55
2013-06-28,66.67,67.54,66.20,66.99,1955400,66.99
2013-06-27,67.36,67.72,66.83,66.88,1328800,66.88
2013-06-26,67.92,68.19,66.80,67.00,1085900,67.00
2013-06-25,67.76,68.25,67.19,67.33,1067900,67.33
2013-06-24,66.80,68.18,66.09,67.23,1278700,67.23
2013-06-21,66.91,67.71,65.70,67.60,2673600,67.60
2013-06-20,67.90,67.92,66.30,66.54,1308200,66.54
2013-06-19,69.50,69.61,68.05,68.12,894200,68.12
2013-06-18,68.97,69.44,68.50,69.40,819800,69.40
2013-06-17,69.44,69.45,68.51,68.89,1114800,68.89
2013-06-14,69.68,70.26,69.01,69.23,1683100,69.23
2013-06-13,67.64,69.00,67.23,68.93,785100,68.93
2013-06-12,68.97,69.00,67.53,67.55,1189500,67.55
2013-06-11,68.01,68.26,67.58,68.19,672900,68.19
2013-06-10,69.16,69.16,67.95,68.49,804700,68.49
2013-06-07,67.91,69.00,67.91,68.93,1069300,68.93
2013-06-06,66.84,67.70,66.83,67.56,627300,67.56
2013-06-05,66.86,67.46,66.78,66.85,822700,66.85
2013-06-04,66.78,67.74,66.50,67.19,1525100,67.19
2013-06-03,67.59,67.65,66.77,67.56,1212100,67.56
2013-05-31,67.85,68.52,67.50,67.50,1314200,67.50
2013-05-30,67.82,68.31,67.77,67.90,1558200,67.90
2013-05-29,68.25,68.63,67.54,67.83,1045900,67.83
2013-05-28,70.08,70.14,68.51,68.75,1239800,68.75
2013-05-24,70.04,70.04,69.10,69.48,1131100,69.48
2013-05-23,70.95,71.05,69.43,70.32,2779800,70.32
2013-05-22,69.89,70.09,68.62,69.06,2165300,69.06
2013-05-21,69.47,69.92,69.03,69.80,2038000,69.80
2013-05-20,69.42,69.64,68.81,69.33,1208900,69.33
2013-05-17,69.06,69.60,68.70,69.60,1316800,69.60
2013-05-16,69.49,69.71,68.70,69.18,1431000,69.18
2013-05-15,69.28,69.80,68.95,69.69,873000,69.69
2013-05-14,68.57,69.17,68.31,69.03,1592800,69.03
2013-05-13,70.36,70.71,68.47,68.60,2842900,68.60
2013-05-10,69.95,70.61,69.22,70.51,1058700,70.51
2013-05-09,69.79,70.33,69.62,69.78,1204700,69.78
2013-05-08,69.00,69.86,68.66,69.68,738300,69.68
2013-05-07,67.95,68.91,67.82,68.89,1263100,68.89
2013-05-06,67.84,68.18,67.54,67.95,1169000,67.95
2013-05-03,67.95,68.60,67.44,67.57,1810700,67.57
2013-05-02,67.89,68.64,67.31,68.40,978900,68.40
2013-05-01,68.07,68.66,67.46,67.56,793500,67.56
2013-04-30,67.10,68.28,66.93,68.18,2225000,68.02
2013-04-29,66.75,67.18,66.00,66.81,1210100,66.65
2013-04-26,67.03,67.26,66.51,66.99,593600,66.83
2013-04-25,67.43,67.50,66.62,66.97,1383200,66.81
2013-04-24,67.23,67.40,66.51,67.25,826300,67.09
2013-04-23,67.22,67.68,66.36,67.14,753400,66.98
2013-04-22,66.90,67.51,66.29,66.83,1112800,66.67
2013-04-19,66.28,67.34,65.82,66.94,1425500,66.78
2013-04-18,66.40,66.73,65.21,65.75,1119400,65.59
2013-04-17,65.66,66.13,65.29,65.79,1477900,65.63
2013-04-16,65.60,66.46,65.60,66.04,1497400,65.88
2013-04-15,66.00,66.50,65.17,65.27,1390400,65.11
2013-04-12,65.88,66.65,65.62,66.16,1149300,66.00
2013-04-11,65.87,67.08,65.49,65.99,2176100,65.83
2013-04-10,64.54,65.43,64.40,65.38,1325600,65.22
2013-04-09,63.69,64.99,63.42,64.66,1491500,64.50
2013-04-08,63.15,63.70,63.03,63.43,1488200,63.28
2013-04-05,62.08,63.35,62.01,63.24,1638200,63.09
2013-04-04,61.73,62.82,61.60,62.80,1176200,62.65
2013-04-03,62.61,62.75,61.63,61.83,1371700,61.68
2013-04-02,62.05,63.01,61.69,62.80,1351200,62.65
2013-04-01,62.19,62.51,61.57,61.74,931800,61.59
2013-03-28,62.13,62.33,61.38,62.10,1255600,61.95
2013-03-27,61.91,62.53,61.91,62.34,805500,62.19
2013-03-26,62.07,62.63,61.84,62.42,1138500,62.27
2013-03-25,62.16,62.49,61.69,61.98,1010200,61.83
2013-03-22,61.84,62.53,61.62,62.24,930500,62.09
2013-03-21,62.00,62.14,61.37,61.61,1141300,61.46
2013-03-20,62.00,62.44,61.80,62.28,1604400,62.13
2013-03-19,62.25,62.50,61.62,61.75,1332100,61.60
2013-03-18,62.00,62.71,61.98,62.19,1463600,62.04
2013-03-15,62.54,62.90,61.99,62.59,1728600,62.44
2013-03-14,62.31,62.97,62.29,62.43,1557300,62.28
2013-03-13,62.06,62.50,61.75,62.20,1788900,62.05
2013-03-12,63.30,63.35,61.77,61.91,3050200,61.76
2013-03-11,63.43,63.73,62.69,62.85,2581700,62.70
2013-03-08,62.30,63.45,61.74,63.42,3020200,63.27
2013-03-07,61.57,62.64,61.30,62.18,9467100,62.03
2013-03-06,66.25,66.72,65.47,66.55,3793400,66.39
2013-03-05,65.72,66.44,65.26,65.94,1760200,65.78
2013-03-04,64.83,66.38,64.70,65.60,1708500,65.44
2013-03-01,64.84,65.28,64.25,64.68,1640900,64.52
2013-02-28,63.77,65.40,63.68,65.11,2162700,64.95
2013-02-27,62.91,63.99,62.58,63.75,1059300,63.60
2013-02-26,62.81,63.31,62.36,62.63,1222400,62.48
2013-02-25,63.30,63.93,61.58,62.61,1538600,62.46
2013-02-22,64.46,64.50,63.66,64.01,896300,63.86
2013-02-21,63.34,64.24,62.92,64.12,1724600,63.96
2013-02-20,63.98,64.50,63.37,63.45,1883100,63.30
2013-02-19,64.80,64.96,62.19,63.98,2785100,63.83
2013-02-15,65.83,66.19,64.71,64.78,1545800,64.62
2013-02-14,65.93,66.27,65.65,65.94,1437400,65.78
2013-02-13,66.29,66.66,65.90,66.05,1173500,65.89
2013-02-12,67.45,67.47,66.29,66.36,1260100,66.20
2013-02-11,67.14,67.63,67.10,67.18,990200,67.02
2013-02-08,66.00,67.20,65.80,67.14,1014800,66.98
2013-02-07,65.91,66.19,65.54,65.96,1360200,65.80
2013-02-06,65.36,66.09,65.20,66.01,1658500,65.85
2013-02-05,64.30,65.45,63.81,65.44,2238100,65.28
2013-02-04,64.60,64.78,63.46,63.58,2018900,63.43
2013-02-01,65.50,65.64,63.67,63.98,1672100,63.83
2013-01-31,65.23,65.95,64.57,65.41,1552200,65.25
2013-01-30,64.71,66.18,64.61,65.10,2038800,64.94
