Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,28.50,28.81,28.46,28.81,29251200,28.81
2013-07-11,28.84,28.90,28.61,28.77,35930000,28.77
2013-07-10,28.47,28.51,28.31,28.44,27100700,28.44
2013-07-09,28.31,28.47,28.27,28.35,29117000,28.35
2013-07-08,28.24,28.30,28.08,28.13,32210900,28.13
2013-07-05,28.05,28.10,27.78,27.97,36589500,27.97
2013-07-03,27.47,27.70,27.33,27.65,22039600,27.65
2013-07-02,27.72,27.92,27.42,27.70,61299600,27.70
2013-07-01,27.97,28.30,27.71,27.78,67767100,27.78
2013-06-28,28.54,28.72,28.01,28.01,123030300,28.01
2013-06-27,28.39,28.66,28.11,28.18,154427500,28.18
2013-06-26,28.08,28.36,27.85,28.10,85885500,28.10
2013-06-25,28.08,28.15,27.58,27.99,118323400,27.99
2013-06-24,28.16,28.38,27.52,27.71,221668100,27.71
2013-06-21,28.86,29.11,28.46,28.46,222098200,28.46
2013-06-20,29.02,29.23,28.45,28.64,95693800,28.64
2013-06-19,29.37,29.81,28.90,29.10,121041600,29.10
2013-06-18,29.13,29.45,29.03,29.40,160345900,29.40
2013-06-17,29.40,29.40,28.90,29.16,152088100,29.16
2013-06-14,29.02,29.36,28.94,29.09,81829200,29.09
2013-06-13,28.37,29.15,28.35,29.08,72314600,29.08
2013-06-12,28.65,28.96,28.40,28.43,87978600,28.43
2013-06-11,28.04,28.64,27.95,28.42,83130100,28.42
2013-06-10,28.38,28.59,28.27,28.37,66492700,28.37
2013-06-07,28.24,28.62,28.03,28.26,83974500,28.26
2013-06-06,27.48,28.15,27.39,28.11,82471000,28.11
2013-06-05,27.73,27.97,27.38,27.48,71199400,27.48
2013-06-04,27.83,28.05,27.33,27.66,69971200,27.66
2013-06-03,27.30,27.77,27.12,27.75,57600800,27.75
2013-05-31,28.27,28.27,27.23,27.23,89705700,27.23
2013-05-30,28.37,28.45,28.11,28.25,43118100,28.25
2013-05-29,28.86,28.90,28.10,28.28,48861800,28.28
2013-05-28,29.30,29.50,28.94,29.01,37848900,29.01
2013-05-24,28.86,29.11,28.68,29.04,35080900,29.04
2013-05-23,29.08,29.33,28.85,29.11,51706400,29.11
2013-05-22,29.55,30.04,29.21,29.30,83673800,29.30
2013-05-21,28.71,28.83,28.31,28.78,44100000,28.78
2013-05-20,28.97,29.02,28.65,28.70,32142200,28.70
2013-05-17,29.21,29.37,28.83,28.96,37638900,28.96
2013-05-16,29.47,29.58,29.22,29.25,27609500,29.25
2013-05-15,29.40,29.69,29.18,29.56,29537300,29.56
2013-05-14,29.39,29.50,29.28,29.40,32726100,29.40
2013-05-13,28.75,29.37,28.67,29.37,33548700,29.37
2013-05-10,28.59,28.80,28.57,28.72,33063700,28.72
2013-05-09,28.75,28.77,28.42,28.60,27828900,28.60
2013-05-08,28.89,29.02,28.58,28.73,30749100,28.73
2013-05-07,28.89,29.18,28.83,29.03,30954500,28.79
2013-05-06,28.93,28.93,28.70,28.72,33109600,28.48
2013-05-03,29.53,29.63,28.70,28.96,43823300,28.72
2013-05-02,29.03,29.33,28.99,29.27,31860200,29.03
2013-05-01,28.83,29.73,28.80,28.90,45088800,28.66
2013-04-30,29.42,29.89,29.03,29.07,69991900,28.83
2013-04-29,30.12,30.58,29.93,30.43,27728600,30.18
2013-04-26,29.23,30.17,28.79,30.09,54021400,29.84
2013-04-25,30.65,30.66,29.92,30.26,35582400,30.01
2013-04-24,31.08,31.13,30.56,30.60,31516900,30.35
2013-04-23,30.98,31.15,30.63,31.08,33268200,30.82
2013-04-22,31.08,31.10,30.76,30.93,26092900,30.67
2013-04-19,30.73,31.06,30.61,31.06,29233000,30.80
2013-04-18,30.85,30.94,30.48,30.59,31787700,30.34
2013-04-17,30.80,30.94,30.53,30.87,32243500,30.61
2013-04-16,30.54,30.99,30.48,30.94,31459600,30.68
2013-04-15,30.61,30.99,30.45,30.45,46916500,30.20
2013-04-12,30.45,30.88,30.45,30.67,39061100,30.42
2013-04-11,29.93,30.82,29.92,30.64,54658400,30.39
2013-04-10,29.49,30.00,29.45,29.92,40979400,29.67
2013-04-09,29.03,29.35,28.95,29.11,27543400,28.87
2013-04-08,28.98,29.17,28.64,29.16,25957300,28.92
2013-04-05,28.96,29.20,28.92,29.10,30439900,28.86
2013-04-04,29.18,29.44,29.04,29.16,30534100,28.92
2013-04-03,29.23,29.34,28.88,29.03,34534800,28.79
2013-04-02,28.97,29.32,28.94,29.23,24424900,28.99
2013-04-01,28.75,28.84,28.68,28.84,19279600,28.60
2013-03-28,28.66,28.90,28.62,28.86,27941100,28.62
2013-03-27,28.52,28.66,28.45,28.64,23575900,28.40
2013-03-26,28.26,28.66,28.23,28.60,31847700,28.36
2013-03-25,28.45,28.51,27.98,28.16,30717600,27.93
2013-03-22,28.12,28.39,28.11,28.38,23099000,28.15
2013-03-21,28.17,28.32,28.03,28.11,23583200,27.88
2013-03-20,28.17,28.40,28.11,28.29,30696400,28.06
2013-03-19,28.10,28.23,27.90,27.99,27108700,27.76
2013-03-18,27.74,28.24,27.74,28.04,29323100,27.81
2013-03-15,27.84,28.06,27.76,28.02,63138400,27.79
2013-03-14,28.04,28.11,27.88,28.11,27784200,27.88
2013-03-13,27.93,28.08,27.80,28.02,24736200,27.79
2013-03-12,28.23,28.23,27.88,27.94,29711400,27.71
2013-03-11,28.16,28.31,28.10,28.25,25491300,28.02
2013-03-08,28.33,28.36,28.04,28.19,27029600,27.96
