Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,38.78,38.94,38.62,38.90,911500,38.90
2013-07-11,38.93,39.00,38.43,38.85,1395100,38.85
2013-07-10,38.56,38.70,38.19,38.41,1760500,38.41
2013-07-09,38.65,38.80,38.16,38.66,1467900,38.66
2013-07-08,38.11,38.62,38.05,38.32,2066500,38.32
2013-07-05,37.16,37.93,37.16,37.91,1453700,37.91
2013-07-03,36.98,37.07,36.75,36.97,1027200,36.97
2013-07-02,37.70,37.89,37.03,37.29,2360100,37.29
2013-07-01,37.74,37.97,37.58,37.82,1535100,37.82
2013-06-28,37.86,37.86,37.40,37.45,2034800,37.45
2013-06-27,37.71,38.04,37.62,37.97,834100,37.97
2013-06-26,36.95,37.62,36.90,37.46,1673900,37.46
2013-06-25,36.57,37.16,36.34,36.99,1315500,36.99
2013-06-24,36.27,36.39,35.65,36.12,2002800,36.12
2013-06-21,37.56,37.70,36.44,36.80,2945100,36.80
2013-06-20,37.82,38.01,37.06,37.23,2651700,37.23
2013-06-19,38.77,39.04,38.19,38.20,1832600,38.20
2013-06-18,38.83,39.05,38.70,38.88,1005700,38.88
2013-06-17,38.31,38.90,38.31,38.75,1001400,38.75
2013-06-14,38.66,38.68,37.77,38.04,1212700,38.04
2013-06-13,38.02,38.77,37.89,38.67,1167900,38.67
2013-06-12,38.31,38.46,37.97,38.03,1381800,38.03
2013-06-11,38.39,38.66,37.77,38.01,1646200,38.01
2013-06-10,38.72,38.95,38.59,38.72,946300,38.72
2013-06-07,38.12,38.68,38.01,38.58,1317800,38.58
2013-06-06,37.27,37.81,36.96,37.80,1301000,37.80
2013-06-05,37.62,37.68,36.86,37.25,2165300,37.25
2013-06-04,37.72,38.14,37.35,37.64,1635000,37.64
2013-06-03,37.99,38.14,37.15,37.70,1838100,37.70
2013-05-31,38.31,38.56,37.82,37.85,1757400,37.85
2013-05-30,37.97,38.75,37.96,38.51,1204000,38.51
2013-05-29,37.75,38.44,37.61,38.15,1405100,37.92
2013-05-28,37.71,38.40,37.68,38.01,1279000,37.78
2013-05-24,36.92,37.23,36.51,37.22,1014300,37.00
2013-05-23,37.11,37.35,36.77,37.26,1286600,37.04
2013-05-22,38.12,38.60,37.39,37.58,1363900,37.35
2013-05-21,38.04,38.30,37.88,38.14,1236300,37.91
2013-05-20,37.99,38.34,37.91,38.04,1467700,37.81
2013-05-17,37.76,38.17,37.70,38.14,1531500,37.91
2013-05-16,37.92,38.14,37.56,37.64,934900,37.41
2013-05-15,37.77,38.21,37.70,38.10,1026200,37.87
2013-05-14,37.15,37.88,37.12,37.87,1173000,37.64
2013-05-13,36.92,37.17,36.69,37.15,1041300,36.93
2013-05-10,36.92,37.12,36.85,37.05,806200,36.83
2013-05-09,37.22,37.34,36.75,36.89,1167300,36.67
2013-05-08,37.20,37.41,36.98,37.29,1354800,37.07
2013-05-07,37.03,37.26,36.95,37.26,1249300,37.04
2013-05-06,36.47,37.09,36.38,36.99,886400,36.77
2013-05-03,36.47,37.13,36.41,36.72,1459100,36.50
2013-05-02,35.72,36.19,35.51,35.99,1076300,35.77
2013-05-01,36.11,36.25,35.58,35.62,1196800,35.41
2013-04-30,35.85,36.16,35.52,36.10,1271300,35.88
2013-04-29,35.84,35.95,35.62,35.82,751100,35.60
2013-04-26,35.81,35.98,35.39,35.74,1257100,35.52
2013-04-25,35.69,36.37,35.46,35.78,2286900,35.56
2013-04-24,35.37,35.74,35.23,35.60,1358200,35.39
2013-04-23,34.76,35.39,34.64,35.26,1492300,35.05
2013-04-22,34.48,34.56,33.90,34.51,844000,34.30
2013-04-19,33.78,34.42,33.71,34.34,1384800,34.13
2013-04-18,34.25,34.25,33.43,33.58,2084300,33.38
2013-04-17,34.66,34.67,33.88,34.15,1583400,33.94
2013-04-16,34.74,34.95,34.57,34.92,1195300,34.71
2013-04-15,35.38,35.38,34.29,34.36,1481500,34.15
2013-04-12,35.21,35.47,35.10,35.45,1304800,35.24
2013-04-11,34.89,35.47,34.82,35.45,2408500,35.24
2013-04-10,34.05,34.88,34.04,34.81,1768200,34.60
2013-04-09,33.82,34.27,33.73,34.09,1333700,33.88
2013-04-08,33.44,33.65,33.18,33.65,1632800,33.45
2013-04-05,33.00,33.52,32.59,33.47,1678300,33.27
2013-04-04,33.35,33.71,33.31,33.66,1075100,33.46
2013-04-03,33.95,34.03,33.26,33.34,2072400,33.14
2013-04-02,33.95,34.17,33.84,33.93,2051600,33.73
2013-04-01,33.98,34.04,33.56,33.64,1259200,33.44
2013-03-28,33.64,34.05,33.56,34.03,1361600,33.82
2013-03-27,33.52,33.65,33.30,33.59,860800,33.39
2013-03-26,33.58,33.90,33.48,33.77,1192100,33.57
2013-03-25,33.74,33.81,33.13,33.34,1027900,33.14
2013-03-22,33.53,33.64,33.25,33.53,1353300,33.33
2013-03-21,33.42,33.66,33.21,33.35,1350300,33.15
2013-03-20,33.76,33.97,33.58,33.65,1893500,33.45
2013-03-19,33.73,33.87,33.21,33.49,1647800,33.29
2013-03-18,33.55,34.01,33.47,33.65,1573400,33.45
2013-03-15,34.23,34.38,33.86,34.09,2006300,33.88
2013-03-14,34.27,34.58,34.24,34.38,1383600,34.17
2013-03-13,33.91,34.18,33.74,34.15,1360100,33.94
2013-03-12,33.89,33.92,33.67,33.82,1365900,33.62
2013-03-11,33.39,34.00,33.36,33.88,1597000,33.68
2013-03-08,32.90,33.49,32.88,33.42,1801600,33.22
2013-03-07,32.33,32.79,32.24,32.65,1332200,32.45
2013-03-06,32.63,32.76,32.50,32.58,990400,32.15
2013-03-05,32.09,32.66,32.09,32.42,1373800,32.00
2013-03-04,31.40,32.00,31.37,31.89,1853800,31.47
2013-03-01,31.40,31.71,31.05,31.55,1649700,31.14
2013-02-28,31.70,31.95,31.54,31.61,1932000,31.20
2013-02-27,30.81,31.70,30.77,31.64,1843500,31.23
2013-02-26,30.84,30.92,30.49,30.84,3023900,30.44
2013-02-25,31.70,31.84,30.68,30.70,4141700,30.30
2013-02-22,31.08,31.62,31.08,31.61,1726900,31.20
2013-02-21,31.41,31.48,30.77,30.91,2551700,30.51
2013-02-20,32.24,32.25,31.54,31.60,2994200,31.19
