Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,80.67,81.64,80.67,81.55,12586300,81.55
2013-07-11,80.55,80.99,80.29,80.77,9185400,80.77
2013-07-10,79.65,80.10,79.30,79.80,6862800,79.80
2013-07-09,79.07,79.90,79.07,79.57,11456200,79.57
2013-07-08,78.54,79.08,78.50,78.76,11141400,78.76
2013-07-05,78.89,79.02,77.78,78.34,7264700,78.34
2013-07-03,78.28,78.75,77.43,78.57,5339900,78.57
2013-07-02,77.95,78.61,77.71,78.44,10228500,78.44
2013-07-01,77.02,78.45,77.00,78.02,6699200,78.02
2013-06-28,77.62,77.94,76.90,76.99,9865300,76.99
2013-06-27,77.96,78.38,77.57,77.67,14731500,77.67
2013-06-26,77.23,77.59,77.02,77.40,7326500,77.40
2013-06-25,77.10,77.24,76.29,76.69,7909400,76.69
2013-06-24,76.95,77.43,75.63,76.58,12563300,76.58
2013-06-21,76.25,77.53,75.69,77.43,20055700,77.43
2013-06-20,77.21,77.33,75.10,75.25,15555700,75.25
2013-06-19,79.05,79.47,77.59,77.61,7424500,77.61
2013-06-18,78.95,79.23,78.70,79.04,6051400,79.04
2013-06-17,78.26,79.47,78.25,78.96,7359900,78.96
2013-06-14,78.49,78.79,77.67,78.03,6825900,78.03
2013-06-13,77.54,78.69,77.14,78.43,6927700,78.43
2013-06-12,78.64,78.89,77.48,77.60,7834200,77.60
2013-06-11,77.68,78.75,77.45,78.12,6781200,78.12
2013-06-10,77.69,78.22,77.26,78.07,8966400,78.07
2013-06-07,77.44,78.28,77.27,77.75,7839500,77.75
2013-06-06,76.56,76.97,75.83,76.82,11099900,76.82
2013-06-05,77.08,77.21,76.63,76.66,8826900,76.66
2013-06-04,77.71,78.47,76.75,77.37,11379300,77.37
2013-06-03,76.87,77.70,76.12,77.66,11720600,77.66
2013-05-31,78.79,78.81,76.75,76.76,16461900,76.76
2013-05-30,78.90,79.88,78.90,79.09,14761500,79.09
2013-05-29,80.16,80.25,78.87,78.90,9992500,78.90
2013-05-28,82.05,82.13,80.77,80.86,14372700,80.86
2013-05-24,81.88,82.35,81.44,81.88,25580900,81.88
2013-05-23,78.27,79.11,78.23,78.70,7141200,78.70
2013-05-22,78.84,79.68,78.62,78.82,8873300,78.82
2013-05-21,79.17,79.22,78.22,78.80,7377700,78.80
2013-05-20,79.98,79.98,78.78,79.09,7307300,79.09
2013-05-17,79.91,80.18,79.31,80.02,8549900,80.02
2013-05-16,80.49,80.74,79.89,80.20,8065600,80.20
2013-05-15,79.47,81.00,79.47,80.68,11154400,80.68
2013-05-14,78.93,79.47,78.74,79.47,6867400,79.47
2013-05-13,78.51,78.97,78.42,78.59,5420200,78.59
2013-05-10,78.41,78.79,78.23,78.76,6162500,78.76
2013-05-09,78.57,78.89,78.02,78.21,7189400,78.21
2013-05-08,77.90,78.51,77.23,78.44,12067300,78.44
2013-05-07,77.98,78.20,77.27,77.94,9574200,77.94
2013-05-06,78.03,78.40,77.52,77.75,7204200,77.75
2013-05-03,78.10,78.46,77.66,78.19,7884000,78.19
2013-05-02,77.39,78.28,77.14,77.76,7288200,77.76
2013-05-01,76.83,77.77,76.72,76.99,8388800,76.99
2013-04-30,77.86,77.89,76.60,76.77,9653800,76.77
2013-04-29,77.56,77.98,77.23,77.68,6638100,77.68
2013-04-26,76.72,77.22,76.58,77.10,8769100,77.10
2013-04-25,77.67,77.67,76.35,76.58,14702300,76.58
2013-04-24,79.49,79.61,76.93,77.12,25708200,77.12
2013-04-23,81.46,82.54,80.51,82.54,12684800,81.94
2013-04-22,81.31,81.59,81.12,81.40,7530300,80.81
2013-04-19,80.37,81.70,80.20,81.43,13147600,80.84
2013-04-18,79.09,80.18,79.06,79.87,10896200,79.29
2013-04-17,79.98,80.14,78.85,79.06,10964600,78.48
2013-04-16,79.83,80.21,79.37,80.10,9365600,79.52
2013-04-15,79.79,80.84,79.60,79.65,10877200,79.07
2013-04-12,79.51,80.66,79.47,80.08,9383400,79.50
2013-04-11,79.37,80.13,79.33,79.67,11831600,79.09
2013-04-10,78.49,79.49,78.43,79.24,7947600,78.66
2013-04-09,78.82,78.89,78.07,78.26,6760600,77.69
2013-04-08,78.12,78.88,77.88,78.79,6284500,78.22
2013-04-05,77.88,78.39,77.83,78.23,6562600,77.66
2013-04-04,78.32,78.98,78.25,78.54,8770600,77.97
2013-04-03,78.88,79.08,77.84,78.12,8426700,77.55
2013-04-02,77.84,79.15,77.65,78.96,13373600,78.38
2013-04-01,76.85,77.85,76.73,77.70,7266000,77.13
2013-03-28,76.95,77.16,76.66,77.06,8016700,76.50
2013-03-27,76.98,77.11,76.57,77.06,5274600,76.50
2013-03-26,77.02,77.50,76.89,77.40,5386000,76.84
2013-03-25,77.27,77.62,76.44,76.68,6843600,76.12
2013-03-22,77.18,77.45,77.00,77.27,5868400,76.71
2013-03-21,77.42,77.67,77.14,77.21,6319500,76.65
2013-03-20,77.29,77.82,77.27,77.58,8615800,77.01
2013-03-19,76.14,77.18,76.11,77.11,9326400,76.55
2013-03-18,75.90,76.55,75.80,76.16,7081800,75.60
2013-03-15,77.08,77.38,76.34,76.34,15237000,75.78
2013-03-14,76.87,77.47,76.83,77.39,8079100,76.83
2013-03-13,77.07,77.10,76.52,76.80,6340300,76.24
2013-03-12,77.19,77.45,77.00,77.17,7016700,76.61
2013-03-11,77.02,77.39,76.90,77.35,6621000,76.79
2013-03-08,77.01,77.20,76.46,77.18,7252800,76.62
2013-03-07,77.22,77.49,76.78,76.90,7111400,76.34
2013-03-06,77.01,77.45,76.81,77.20,7194700,76.64
2013-03-05,76.78,77.39,76.72,77.05,9716200,76.49
2013-03-04,76.25,76.68,75.97,76.68,7631000,76.12
2013-03-01,75.70,76.72,75.56,76.49,9599700,75.93
2013-02-28,76.66,76.91,76.17,76.18,10466900,75.62
2013-02-27,75.95,76.95,75.70,76.75,7567800,76.19
2013-02-26,75.99,76.38,75.77,76.08,8378900,75.53
2013-02-25,77.07,77.67,75.92,75.92,9970400,75.37
2013-02-22,77.05,77.19,76.75,76.99,8433200,76.43
2013-02-21,76.28,77.20,75.90,77.04,10305200,76.48
2013-02-20,77.27,77.52,76.92,77.08,9275400,76.52
2013-02-19,76.56,77.77,76.49,77.38,11783500,76.82
2013-02-15,76.72,76.96,76.21,76.54,11165600,75.98
2013-02-14,76.30,76.97,76.25,76.78,10049400,76.22
2013-02-13,76.01,76.58,75.98,76.56,7113300,76.00
2013-02-12,75.96,76.31,75.81,75.98,6281000,75.43
2013-02-11,75.41,75.92,75.12,75.81,6928200,75.26
2013-02-08,76.15,76.48,75.56,75.75,9130700,75.20
2013-02-07,75.98,76.42,75.79,76.15,9897000,75.59
2013-02-06,75.32,76.19,75.04,76.15,17015800,75.59
2013-02-05,75.44,76.69,75.32,75.70,14851700,75.15
2013-02-04,75.69,75.80,74.95,75.25,11086000,74.70
2013-02-01,75.30,75.97,75.17,75.92,12204000,75.37
2013-01-31,74.83,75.26,74.67,75.16,11661500,74.61
2013-01-30,74.75,75.48,74.67,75.08,12677800,74.53
2013-01-29,73.55,75.31,73.52,75.00,17576700,74.45
2013-01-28,73.73,74.23,73.19,73.77,14010000,73.23
2013-01-25,71.75,73.25,71.75,73.25,28760300,72.72
