Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,25.81,25.99,25.70,25.97,2807700,25.97
2013-07-11,25.98,25.98,25.31,25.74,5185800,25.74
2013-07-10,26.11,26.21,25.93,26.02,3087100,26.02
2013-07-09,26.35,26.54,25.90,26.11,5271600,26.11
2013-07-08,26.07,26.26,25.98,26.16,1810000,26.16
2013-07-05,25.65,25.96,25.55,25.94,1239200,25.94
2013-07-03,25.33,25.52,25.26,25.45,939200,25.45
2013-07-02,25.58,25.74,25.34,25.46,1764700,25.46
2013-07-01,25.48,25.70,25.46,25.59,2513800,25.59
2013-06-28,25.23,25.46,25.03,25.42,8520800,25.42
2013-06-27,25.06,25.36,25.03,25.25,2289900,25.25
2013-06-26,24.52,24.98,24.49,24.92,2728500,24.92
2013-06-25,24.28,24.48,24.20,24.34,3052500,24.34
2013-06-24,24.32,24.35,23.99,24.10,4335300,24.10
2013-06-21,24.67,24.75,24.31,24.55,4166400,24.55
2013-06-20,24.87,24.99,24.52,24.61,3221900,24.61
2013-06-19,25.24,25.50,25.01,25.01,2659000,25.01
2013-06-18,25.02,25.34,24.98,25.30,1811900,25.30
2013-06-17,24.89,25.08,24.82,25.02,3098100,25.02
2013-06-14,24.75,24.84,24.65,24.70,2137900,24.70
2013-06-13,24.60,24.87,24.50,24.83,3665700,24.83
2013-06-12,24.83,25.31,24.61,24.65,3343200,24.65
2013-06-11,24.57,24.92,24.49,24.65,3478200,24.65
2013-06-10,24.83,24.88,24.65,24.78,2938100,24.78
2013-06-07,24.56,24.83,24.49,24.79,4041200,24.79
2013-06-06,25.72,25.72,24.19,24.48,3413500,24.48
2013-06-05,24.90,24.90,24.42,24.53,4884100,24.53
2013-06-04,25.13,25.25,24.97,25.02,2401500,25.02
2013-06-03,25.52,25.55,24.99,25.14,4973900,25.14
2013-05-31,25.78,25.86,25.49,25.49,4082300,25.49
2013-05-30,25.86,25.93,25.71,25.78,4930700,25.78
2013-05-29,25.85,26.00,25.66,25.87,2638400,25.87
2013-05-28,26.01,26.16,25.79,25.96,3123500,25.96
2013-05-24,25.70,25.84,25.61,25.81,1950600,25.81
2013-05-23,25.71,25.98,25.68,25.83,2877900,25.83
2013-05-22,26.10,26.26,25.65,25.88,3436900,25.88
2013-05-21,26.16,26.23,25.95,26.13,2870800,26.13
2013-05-20,26.18,26.38,26.17,26.20,2245700,26.20
2013-05-17,26.21,26.35,26.12,26.19,2938700,26.19
2013-05-16,26.24,26.39,26.11,26.16,2005000,26.16
2013-05-15,26.04,26.33,26.04,26.32,2730300,26.32
2013-05-14,25.70,26.15,25.68,26.09,3808100,26.09
2013-05-13,25.67,25.77,25.53,25.70,1965000,25.70
2013-05-10,25.61,25.78,25.56,25.72,2484400,25.72
2013-05-09,25.64,25.71,25.51,25.58,1911700,25.58
2013-05-08,25.37,25.63,25.30,25.60,1881600,25.60
2013-05-07,25.35,25.50,25.35,25.42,1933200,25.42
2013-05-06,25.05,25.32,24.98,25.28,2079600,25.28
2013-05-03,25.31,25.38,25.02,25.05,3005100,25.05
