Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,99.67,99.89,98.65,99.16,1042500,99.16
2013-07-11,99.73,100.26,99.40,99.93,809000,99.93
2013-07-10,97.33,98.42,97.23,98.13,742900,98.13
2013-07-09,97.05,98.46,96.90,98.01,959900,98.01
2013-07-08,98.03,98.10,96.27,96.40,1218400,96.40
2013-07-05,96.16,97.62,96.16,97.62,799100,97.62
2013-07-03,95.01,95.69,94.81,95.32,566000,95.32
2013-07-02,96.81,97.25,95.35,95.54,1106100,95.54
2013-07-01,96.36,97.55,95.94,96.98,752200,96.98
2013-06-28,96.00,96.48,95.40,95.40,2440300,95.40
2013-06-27,96.15,96.66,95.34,96.37,742800,96.37
2013-06-26,95.12,96.14,94.77,95.53,1235100,95.53
2013-06-25,93.85,94.59,93.32,94.31,1084800,94.31
2013-06-24,93.80,93.80,92.08,92.89,1520900,92.89
2013-06-21,96.44,96.64,94.59,94.85,2063000,94.85
2013-06-20,96.88,96.88,95.31,95.71,1651600,95.71
2013-06-19,98.79,99.27,97.75,97.83,1150900,97.83
2013-06-18,97.80,98.99,97.62,98.70,1042500,98.70
2013-06-17,98.09,98.28,97.18,97.77,762600,97.77
2013-06-14,96.48,98.01,96.48,97.41,477700,97.41
2013-06-13,96.92,98.41,96.29,98.02,837400,98.02
2013-06-12,98.88,98.88,96.80,96.88,913800,96.88
2013-06-11,97.34,98.63,97.11,98.18,1146500,98.18
2013-06-10,98.60,98.88,97.98,98.61,763500,98.61
2013-06-07,97.87,98.81,97.14,98.34,750300,98.34
2013-06-06,96.59,97.28,96.00,97.05,1527500,97.05
2013-06-05,97.96,98.35,96.26,96.55,1173300,96.55
2013-06-04,98.91,100.27,98.29,98.44,1562800,98.44
2013-06-03,99.96,100.27,97.76,98.78,1414300,98.78
2013-05-31,99.51,101.76,99.01,99.76,1319200,99.76
2013-05-30,98.20,100.43,97.74,99.86,966500,99.86
2013-05-29,97.48,98.88,97.34,97.93,864700,97.93
2013-05-28,99.72,99.93,98.21,98.30,799800,98.30
2013-05-24,98.45,98.78,97.52,98.29,749800,98.29
2013-05-23,98.64,99.58,97.91,99.32,812900,99.32
2013-05-22,101.02,101.88,99.24,99.62,763000,99.62
2013-05-21,100.47,101.20,99.75,100.96,1240600,100.96
2013-05-20,99.65,101.21,99.27,100.58,723500,100.58
2013-05-17,98.26,100.01,98.03,100.01,1857700,100.01
2013-05-16,97.42,98.15,96.93,97.59,1480400,97.59
2013-05-15,95.89,97.95,95.41,97.83,1447700,97.83
2013-05-14,93.88,96.81,93.88,96.68,1293200,96.68
2013-05-13,93.75,94.90,93.28,93.99,917300,93.99
2013-05-10,93.15,94.45,93.12,94.05,920900,94.05
2013-05-09,93.15,93.88,92.79,92.95,825400,92.95
2013-05-08,92.50,93.23,92.18,93.23,1054600,93.23
2013-05-07,92.26,93.49,92.07,93.14,854000,92.69
2013-05-06,91.22,92.18,91.02,91.88,1076600,91.44
2013-05-03,89.96,92.73,89.96,91.38,1327900,90.94
2013-05-02,87.60,88.57,87.36,88.49,1068900,88.06
2013-05-01,88.04,88.28,87.06,87.20,1288300,86.78
2013-04-30,88.68,88.73,87.31,88.57,1540100,88.14
2013-04-29,89.39,89.99,88.57,88.83,762800,88.40
2013-04-26,90.66,91.12,88.07,88.74,894900,88.31
2013-04-25,89.60,91.25,89.30,90.55,1336600,90.11
2013-04-24,88.09,89.52,88.05,89.37,1316300,88.94
2013-04-23,87.06,87.87,86.78,87.68,959700,87.26
2013-04-22,85.82,87.37,84.50,86.63,1438700,86.21
2013-04-19,86.41,86.52,85.13,85.55,1529000,85.14
2013-04-18,87.80,88.04,85.59,85.93,901400,85.51
2013-04-17,87.08,88.06,85.96,87.75,1593900,87.33
2013-04-16,86.93,88.12,86.42,88.02,1159200,87.59
2013-04-15,88.37,88.48,85.96,85.96,1795400,85.54
2013-04-12,89.51,89.74,88.47,89.04,1037200,88.61
2013-04-11,90.51,90.61,89.71,89.96,1429400,89.53
2013-04-10,90.69,91.09,89.99,90.41,1387800,89.97
2013-04-09,90.33,91.09,89.71,90.55,777400,90.11
