Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,20.40,20.57,20.03,20.22,5211000,20.22
2013-07-11,20.12,20.50,19.96,20.39,12566900,20.39
2013-07-10,19.08,19.31,18.78,19.02,6825300,19.02
2013-07-09,18.21,19.28,18.21,19.05,13027100,19.05
2013-07-08,18.67,18.80,18.01,18.06,8449800,18.06
2013-07-05,19.31,19.31,18.27,18.59,7848700,18.59
2013-07-03,18.87,19.20,18.86,19.15,3051700,19.15
2013-07-02,19.03,19.32,18.87,19.00,7758100,19.00
2013-07-01,19.13,19.49,19.06,19.11,5602400,19.11
2013-06-28,19.35,19.38,18.82,18.97,13972100,18.97
2013-06-27,19.30,19.43,18.89,19.38,11912500,19.38
2013-06-26,19.22,19.38,18.84,19.03,11838200,19.03
2013-06-25,19.04,19.47,18.81,19.02,15671600,19.02
2013-06-24,17.93,18.66,17.75,18.31,12191800,18.31
2013-06-21,19.21,19.25,18.11,18.81,14098700,18.81
2013-06-20,20.13,20.19,18.33,18.87,28389200,18.87
2013-06-19,21.55,21.60,20.73,20.76,7609400,20.76
2013-06-18,21.39,21.62,20.87,21.49,7105400,21.49
2013-06-17,21.08,21.75,20.95,21.42,7899400,21.42
2013-06-14,20.89,21.25,20.83,20.86,5685600,20.86
2013-06-13,20.00,21.02,19.98,20.94,6870900,20.94
2013-06-12,20.37,20.41,19.92,20.01,6984200,20.01
2013-06-11,20.30,20.70,20.00,20.11,5795200,20.11
2013-06-10,21.09,21.16,20.15,20.64,8391100,20.64
2013-06-07,21.32,21.73,20.68,21.06,8728900,21.06
2013-06-06,20.07,21.18,19.95,21.10,10481500,21.10
2013-06-05,20.47,20.50,19.95,20.16,12963900,20.16
2013-06-04,21.34,21.56,20.47,20.56,13349000,20.56
2013-06-03,21.82,21.82,20.74,21.32,9465900,21.32
2013-05-31,21.96,22.38,21.57,21.59,6163100,21.59
2013-05-30,22.18,22.44,21.81,22.11,4845400,22.11
2013-05-29,22.57,22.58,21.82,22.05,7061400,22.05
2013-05-28,23.16,23.45,22.48,22.79,6424900,22.79
2013-05-24,22.42,22.75,22.09,22.73,7688100,22.73
2013-05-23,21.99,22.86,21.70,22.53,14472900,22.53
2013-05-22,22.90,23.62,22.19,22.43,13818800,22.43
2013-05-21,23.67,23.89,22.63,23.05,10709100,23.05
2013-05-20,23.82,24.17,23.49,23.61,6048700,23.61
2013-05-17,23.48,24.06,23.48,23.95,7006400,23.95
2013-05-16,23.86,24.15,23.03,23.35,12015100,23.35
2013-05-15,24.20,24.47,23.79,23.98,8502700,23.98
2013-05-14,23.54,24.26,23.44,24.25,7750900,24.25
2013-05-13,23.15,23.55,23.06,23.39,5730000,23.39
2013-05-10,22.85,23.24,22.64,23.22,6292000,23.22
2013-05-09,22.84,23.59,22.76,22.85,11834100,22.85
2013-05-08,22.86,22.90,22.41,22.86,7800300,22.86
2013-05-07,22.67,22.91,22.39,22.87,8332000,22.87
2013-05-06,22.28,22.75,22.10,22.64,7451400,22.64
2013-05-03,22.35,22.78,21.89,22.32,13533600,22.32
2013-05-02,21.08,21.95,21.04,21.93,10879700,21.93
2013-05-01,20.89,21.00,20.44,20.90,9490100,20.90
2013-04-30,20.99,21.23,20.60,20.99,9012500,20.99
2013-04-29,21.56,21.74,21.02,21.21,10236300,21.21
2013-04-26,21.20,21.52,20.74,21.35,14438300,21.35
2013-04-25,19.75,21.12,19.63,20.79,16659600,20.79
2013-04-24,19.43,19.88,19.09,19.69,12446100,19.69
2013-04-23,18.82,19.67,18.82,19.40,13685400,19.40
2013-04-22,18.03,18.37,17.60,18.31,6561200,18.31
2013-04-19,17.66,18.15,17.56,17.99,9983300,17.99
2013-04-18,18.27,18.32,17.46,17.54,9833600,17.54
2013-04-17,18.33,18.35,17.79,18.26,9467300,18.26
2013-04-16,18.41,18.65,17.97,18.60,13140500,18.60
2013-04-15,19.02,19.03,17.85,17.85,11352800,17.85
2013-04-12,19.17,19.69,19.13,19.22,5654000,19.22
2013-04-11,19.24,19.69,19.16,19.32,6969300,19.32
2013-04-10,19.56,19.58,19.01,19.25,8684200,19.25
2013-04-09,19.61,19.86,19.26,19.45,6115100,19.45
2013-04-08,19.10,19.80,18.90,19.73,9318300,19.73
2013-04-05,18.51,19.17,18.38,19.13,10253100,19.13
2013-04-04,19.12,19.28,18.86,18.98,9000900,18.98
2013-04-03,19.83,19.99,18.58,19.01,16203000,19.01
2013-04-02,20.19,20.47,19.76,19.86,8096300,19.86
2013-04-01,20.19,20.42,19.78,20.12,7354700,20.12
2013-03-28,20.35,20.54,20.09,20.24,5710800,20.24
2013-03-27,20.03,20.37,19.83,20.32,5675900,20.32
2013-03-26,20.53,20.54,20.07,20.17,6348100,20.17
2013-03-25,20.75,21.09,20.21,20.35,10064200,20.35
2013-03-22,21.09,21.13,20.53,20.65,6886000,20.65
2013-03-21,21.30,21.39,20.86,20.97,14631400,20.97
2013-03-20,21.08,21.60,20.99,21.38,9101200,21.38
2013-03-19,21.14,21.30,20.64,20.82,9589400,20.82
2013-03-18,20.44,20.98,20.33,20.75,8020700,20.75
2013-03-15,20.50,20.86,20.41,20.75,10771700,20.75
2013-03-14,20.05,20.72,19.95,20.56,12362600,20.56
2013-03-13,19.74,20.15,19.57,19.87,11354600,19.87
2013-03-12,20.13,20.15,19.59,19.75,6934600,19.75
2013-03-11,20.25,20.44,20.05,20.15,5732000,20.15
2013-03-08,20.40,20.46,19.82,20.26,7176000,20.26
2013-03-07,20.17,20.26,19.90,20.19,5286000,20.19
2013-03-06,20.36,20.50,19.90,20.08,7674800,20.08
2013-03-05,19.84,20.36,19.82,20.22,8700000,20.22
2013-03-04,19.15,19.79,19.12,19.72,8334600,19.72
2013-03-01,19.01,19.36,18.60,19.25,7504900,19.25
2013-02-28,19.36,19.69,19.08,19.18,8342800,19.18
2013-02-27,19.01,19.60,18.85,19.30,11264200,19.30
2013-02-26,18.23,19.09,18.02,19.05,14170400,19.05
2013-02-25,19.02,19.10,18.01,18.02,11077500,18.02
2013-02-22,18.93,19.00,18.63,18.90,6158400,18.90
2013-02-21,18.52,19.09,17.98,18.75,13351200,18.75
2013-02-20,19.69,19.72,18.45,18.60,12943100,18.60
2013-02-19,20.32,20.60,19.53,19.95,9445900,19.95
2013-02-15,20.22,20.62,20.22,20.31,6649700,20.31
2013-02-14,20.18,20.40,20.12,20.27,6464300,20.27
2013-02-13,20.22,20.55,20.03,20.23,6664200,20.23
2013-02-12,19.32,20.65,19.32,20.32,16711000,20.32
2013-02-11,19.40,19.71,19.17,19.30,7828200,19.30
2013-02-08,19.42,19.54,19.12,19.47,7336000,19.47
2013-02-07,19.72,19.81,19.03,19.40,10530200,19.40
2013-02-06,19.67,19.95,19.50,19.69,10486200,19.69
2013-02-05,19.80,20.03,19.01,19.74,14856000,19.74
2013-02-04,20.14,20.46,19.67,19.68,12384700,19.68
2013-02-01,20.84,21.24,20.30,20.35,11047600,20.35
2013-01-31,20.23,20.77,19.11,20.74,17688600,20.74
2013-01-30,21.22,21.43,20.82,21.05,10237200,21.05
2013-01-29,21.17,21.49,20.82,21.11,11243300,21.11
2013-01-28,21.72,21.97,20.76,20.96,10126900,20.96
2013-01-25,21.11,21.67,20.87,21.67,9664700,21.67
2013-01-24,20.99,21.48,20.71,20.98,11280200,20.98
2013-01-23,20.55,21.15,20.47,20.84,11261100,20.84
2013-01-22,20.56,20.65,20.22,20.55,7227400,20.55
2013-01-18,20.43,20.54,20.15,20.49,7975100,20.49
2013-01-17,19.60,20.54,19.58,20.37,14491700,20.37
2013-01-16,19.39,19.57,19.18,19.34,5527400,19.34
2013-01-15,18.94,19.47,18.93,19.47,7983500,19.47
2013-01-14,19.48,19.59,19.01,19.10,8673600,19.10
2013-01-11,19.54,19.70,19.20,19.34,7516600,19.34
2013-01-10,19.63,19.65,18.97,19.41,6878500,19.41
2013-01-09,19.62,19.80,19.32,19.49,9398300,19.49
2013-01-08,19.39,19.51,19.09,19.50,7994900,19.50
2013-01-07,18.99,19.47,18.91,19.31,8318600,19.31
2013-01-04,18.60,19.14,18.44,19.06,8670500,19.06
2013-01-03,18.64,18.90,18.32,18.57,7803000,18.57
2013-01-02,18.88,19.01,18.40,18.60,9998200,18.60
2012-12-31,17.54,18.23,17.38,18.16,9665200,18.16
2012-12-28,17.64,17.85,17.50,17.60,5733700,17.60
2012-12-27,17.76,17.93,17.30,17.76,9672300,17.76
2012-12-26,18.20,18.35,17.79,17.79,6168500,17.79
2012-12-24,18.15,18.40,18.10,18.15,1991000,18.15
2012-12-21,18.19,18.24,17.89,18.19,9440100,18.19
2012-12-20,18.33,18.66,18.11,18.49,8679100,18.49
2012-12-19,18.72,18.86,18.13,18.46,9756100,18.46
2012-12-18,18.12,18.71,18.11,18.61,12338600,18.61
2012-12-17,17.17,18.10,17.17,18.04,13359700,18.04
2012-12-14,17.14,17.27,16.97,17.14,5002400,17.14
2012-12-13,17.06,17.50,16.97,17.16,7897400,17.16
2012-12-12,16.55,17.34,16.46,17.11,11700400,17.11
2012-12-11,16.50,16.66,16.34,16.48,5940000,16.48
2012-12-10,16.47,16.70,16.28,16.40,5085400,16.40
2012-12-07,16.36,16.64,16.12,16.45,7492000,16.45
2012-12-06,16.15,16.42,15.81,16.28,9315500,16.28
2012-12-05,17.11,17.20,16.15,16.20,13681800,16.20
2012-12-04,17.24,17.37,16.76,17.09,11215800,17.09
2012-12-03,16.96,17.18,16.73,16.95,8180400,16.95
2012-11-30,17.06,17.13,16.41,16.81,24124200,16.81
2012-11-29,17.08,17.46,16.96,17.13,12662600,17.13
2012-11-28,17.05,17.15,16.33,17.00,11198000,17.00
2012-11-27,17.07,17.49,16.89,17.11,11255600,17.11
2012-11-26,16.95,17.14,16.71,17.08,11399700,17.08
2012-11-23,16.94,17.15,16.66,17.03,4183600,17.03
2012-11-21,16.85,17.16,16.48,16.83,12197000,16.83
2012-11-20,16.20,16.95,16.20,16.75,16168000,16.75
2012-11-19,15.99,16.48,15.72,15.90,14490800,15.90
2012-11-16,15.23,15.98,15.14,15.68,15878800,15.68
2012-11-15,15.23,15.93,14.55,15.24,21099400,15.24
2012-11-14,16.28,16.38,15.15,15.24,16869800,15.24
2012-11-13,16.05,16.67,15.82,16.17,13126900,16.17
2012-11-12,16.86,17.24,16.22,16.25,12837900,16.25
2012-11-09,17.25,17.40,16.30,16.80,18865000,16.80
2012-11-08,17.80,17.84,17.05,17.37,8535500,17.37
2012-11-07,17.66,18.18,17.38,17.76,12204700,17.76
2012-11-06,17.92,18.27,17.74,17.89,10677000,17.89
2012-11-05,17.25,17.99,17.18,17.84,7279200,17.84
2012-11-02,17.97,18.10,17.35,17.37,8888700,17.37
2012-11-01,17.43,18.04,17.43,17.78,13100900,17.78
2012-10-31,17.53,17.65,17.05,17.34,9296600,17.34
2012-10-26,17.10,17.43,16.55,17.28,14193100,17.28
2012-10-25,17.64,17.96,16.50,17.01,20863200,17.01
2012-10-24,17.38,17.60,17.21,17.45,9821200,17.45
2012-10-23,17.43,17.52,16.97,17.31,12505100,17.31
2012-10-22,17.81,18.30,17.60,17.79,10827100,17.79
2012-10-19,17.59,18.00,17.26,17.89,15714500,17.89
2012-10-18,17.40,18.10,17.34,17.65,16165700,17.65
2012-10-17,16.99,17.84,16.99,17.44,18713300,17.44
2012-10-16,16.47,16.72,16.10,16.56,9270400,16.56
2012-10-15,15.69,16.50,15.50,16.40,10898000,16.40
