Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,39.24,40.02,38.60,38.96,2119100,38.96
2013-07-11,38.76,39.33,38.72,39.24,2790300,39.24
2013-07-10,38.18,38.52,37.77,38.26,2637300,38.26
2013-07-09,37.85,38.47,37.77,38.32,2190600,38.32
2013-07-08,37.60,38.03,37.38,37.59,3539900,37.59
2013-07-05,37.70,37.96,36.78,37.50,3089100,37.50
2013-07-03,37.72,37.72,37.15,37.46,2079000,37.46
2013-07-02,37.45,38.29,37.38,37.99,3385000,37.99
2013-07-01,38.29,38.29,37.51,37.57,2513200,37.57
2013-06-28,37.87,38.13,37.38,37.72,4192600,37.72
2013-06-27,37.34,38.05,37.28,38.02,3332800,38.02
2013-06-26,37.32,37.55,36.76,37.13,3895100,37.13
2013-06-25,36.17,37.09,35.81,36.92,5026400,36.92
2013-06-24,35.83,36.64,35.11,35.84,4925600,35.84
2013-06-21,35.83,36.37,35.09,36.36,11804700,36.36
2013-06-20,36.74,36.75,35.45,35.60,5613700,35.60
2013-06-19,38.34,38.52,36.55,36.96,4536000,36.96
2013-06-18,38.60,38.75,38.25,38.34,3873500,38.34
2013-06-17,38.92,39.24,38.22,38.46,3176700,38.46
2013-06-14,38.10,38.96,38.09,38.48,3172300,38.48
2013-06-13,37.34,38.38,37.00,38.27,3632400,38.27
2013-06-12,38.00,38.00,36.99,37.12,3808300,37.12
2013-06-11,37.90,38.02,37.43,37.46,5208800,37.46
2013-06-10,39.15,39.20,38.14,38.15,4682500,38.15
2013-06-07,39.11,39.32,38.60,39.03,3363400,39.03
2013-06-06,38.80,39.26,38.20,39.26,2825700,38.98
2013-06-05,39.29,39.53,38.64,38.86,3226400,38.58
2013-06-04,40.47,41.00,39.39,39.42,2481100,39.14
2013-06-03,40.26,40.82,39.80,40.42,3380600,40.13
2013-05-31,41.00,41.44,40.26,40.30,6555500,40.01
2013-05-30,41.91,42.28,41.07,41.10,2727600,40.81
2013-05-29,42.06,42.15,41.28,41.86,3656200,41.56
2013-05-28,42.89,43.16,41.95,42.44,2504000,42.14
2013-05-24,42.17,42.56,41.65,42.45,1895500,42.15
2013-05-23,43.04,43.04,42.00,42.38,3606200,42.08
2013-05-22,44.75,45.52,43.20,43.50,4073700,43.19
2013-05-21,44.32,44.79,44.17,44.77,2662400,44.45
2013-05-20,43.75,44.18,43.67,44.18,2046800,43.86
2013-05-17,43.92,44.05,43.59,43.87,3489200,43.56
2013-05-16,43.67,44.00,43.62,43.87,2656000,43.56
2013-05-15,43.34,43.87,43.12,43.84,3237300,43.53
2013-05-14,43.33,43.50,43.14,43.37,2308000,43.06
2013-05-13,43.33,43.52,43.14,43.24,2520400,42.93
2013-05-10,43.05,43.33,42.90,43.32,1955300,43.01
2013-05-09,43.08,43.15,42.83,42.91,2174500,42.60
2013-05-08,42.92,43.13,42.89,43.11,2099400,42.80
2013-05-07,43.09,43.27,42.73,42.98,2437800,42.67
2013-05-06,42.68,42.86,42.50,42.86,2613700,42.55
2013-05-03,42.75,42.88,42.41,42.74,5086700,42.44
2013-05-02,42.06,42.41,41.89,42.38,2790200,42.08
2013-05-01,41.98,42.10,41.65,41.91,3915700,41.61
2013-04-30,41.65,41.97,41.51,41.95,3493100,41.65
2013-04-29,41.70,41.73,41.60,41.72,3905500,41.42
2013-04-26,41.61,41.68,41.50,41.60,6023600,41.30
2013-04-25,41.60,41.70,41.45,41.45,28065700,41.15
2013-04-24,41.87,43.21,41.87,42.68,3882300,42.38
2013-04-23,41.60,42.12,41.42,41.94,2582600,41.64
2013-04-22,41.55,41.70,41.17,41.51,2115300,41.21
2013-04-19,40.71,41.68,40.64,41.59,3270600,41.29
2013-04-18,41.00,41.09,40.26,40.62,2164700,40.33
2013-04-17,40.97,41.11,40.42,41.01,3988800,40.72
2013-04-16,41.05,41.45,40.42,41.41,2750800,41.11
2013-04-15,40.84,41.30,40.53,40.58,3524900,40.29
2013-04-12,41.09,41.25,41.00,41.11,2871300,40.82
2013-04-11,40.35,41.19,40.18,41.14,3226500,40.85
2013-04-10,39.91,40.59,39.87,40.26,1868200,39.97
2013-04-09,40.00,40.06,39.58,39.85,2267400,39.57
2013-04-08,39.32,40.07,39.21,40.05,2294800,39.76
2013-04-05,39.06,39.44,38.85,39.35,3516500,39.07
2013-04-04,39.68,40.03,39.51,39.66,4144300,39.38
2013-04-03,40.30,40.30,39.60,39.64,1959000,39.36
2013-04-02,40.08,40.35,39.95,40.14,1672100,39.85
2013-04-01,39.88,40.01,39.58,39.92,1518400,39.64
2013-03-28,39.80,40.04,39.61,39.98,1840400,39.69
2013-03-27,39.84,39.91,39.52,39.86,1862200,39.58
2013-03-26,39.21,40.16,39.15,40.14,3487000,39.85
2013-03-25,38.98,39.29,38.82,39.00,2670400,38.72
2013-03-22,38.57,39.02,38.40,38.89,2507700,38.61
2013-03-21,38.43,38.79,38.43,38.52,2293900,38.25
2013-03-20,38.62,38.78,38.42,38.73,2287100,38.45
2013-03-19,38.56,38.77,37.99,38.32,2886900,38.05
2013-03-18,38.39,38.65,38.31,38.55,4162500,38.28
2013-03-15,38.77,39.11,38.67,38.79,6413600,38.51
2013-03-14,39.01,39.24,38.91,38.92,3445300,38.64
2013-03-13,39.20,39.55,38.88,39.02,3898600,38.74
2013-03-12,39.12,39.15,38.63,38.81,2347400,38.53
2013-03-11,39.41,39.44,38.95,39.12,2393800,38.84
2013-03-08,39.35,39.53,38.97,39.21,2842800,38.93
2013-03-07,39.82,39.99,39.36,39.45,2196100,38.89
2013-03-06,40.13,40.18,39.66,39.85,1284300,39.28
2013-03-05,39.89,40.08,39.68,40.03,2119500,39.46
2013-03-04,39.18,39.81,39.12,39.81,2263900,39.25
2013-03-01,38.76,39.38,38.57,39.29,2601700,38.73
2013-02-28,38.71,39.20,38.61,38.94,4405400,38.39
2013-02-27,38.25,39.04,38.25,38.65,2543300,38.10
2013-02-26,38.44,38.75,38.13,38.37,2345500,37.83
2013-02-25,39.60,39.66,38.32,38.32,2727000,37.78
2013-02-22,38.93,39.43,38.84,39.42,1844000,38.86
2013-02-21,39.47,39.47,38.62,38.78,2232600,38.23
2013-02-20,39.61,39.80,39.15,39.18,1845100,38.62
2013-02-19,39.02,39.70,38.99,39.66,2848500,39.10
2013-02-15,39.30,39.32,38.62,38.84,3790300,38.29
2013-02-14,39.32,39.38,39.06,39.21,2736500,38.65
2013-02-13,39.68,39.89,39.42,39.47,1554400,38.91
2013-02-12,39.40,39.73,39.40,39.60,1655000,39.04
2013-02-11,39.51,39.59,39.10,39.33,2433100,38.77
2013-02-08,39.41,39.54,39.12,39.47,2590800,38.91
2013-02-07,39.92,39.94,39.40,39.42,2338100,38.86
2013-02-06,39.90,40.10,39.44,39.91,3076300,39.34
2013-02-05,40.51,40.55,40.13,40.28,2427000,39.71
2013-02-04,40.11,40.63,40.00,40.26,3789200,39.69
2013-02-01,40.21,41.01,39.93,40.48,3918500,39.91
2013-01-31,39.87,40.12,39.47,39.90,5749100,39.33
2013-01-30,40.41,40.69,39.90,40.05,5438000,39.48
2013-01-29,40.93,41.02,40.71,40.74,3197800,40.16
2013-01-28,40.76,40.99,40.65,40.93,2755700,40.35
2013-01-25,40.29,40.64,40.02,40.64,3003400,40.06
2013-01-24,39.73,40.22,39.70,40.18,3664500,39.61
2013-01-23,39.23,39.68,39.09,39.64,2067800,39.08
2013-01-22,39.38,39.57,39.12,39.32,3090200,38.76
2013-01-18,38.88,39.55,38.71,39.50,3945000,38.94
2013-01-17,38.56,38.82,38.52,38.72,2696200,38.17
2013-01-16,38.27,38.49,38.10,38.45,2057400,37.90
2013-01-15,38.00,38.50,37.73,38.47,2014800,37.92
2013-01-14,38.30,38.32,38.06,38.30,1355300,37.76
2013-01-11,38.06,38.29,37.99,38.28,1801100,37.74
2013-01-10,38.43,38.43,37.79,38.04,2825800,37.50
2013-01-09,37.95,38.28,37.76,38.22,2599500,37.68
2013-01-08,37.95,38.00,37.64,37.84,2428900,37.30
2013-01-07,37.58,38.17,37.58,37.96,2527900,37.42
2013-01-04,37.42,37.75,37.29,37.71,2621400,37.18
2013-01-03,37.44,37.62,37.27,37.40,3071600,36.87
2013-01-02,37.24,37.50,37.04,37.35,3483200,36.82
2012-12-31,35.70,36.58,35.57,36.49,2711400,35.97
2012-12-28,36.05,36.41,35.76,35.77,1730700,35.26
2012-12-27,36.07,36.37,35.60,36.28,2299000,35.77
2012-12-26,36.62,36.62,35.86,36.07,2062800,35.56
2012-12-24,36.28,36.65,36.18,36.52,918100,36.00
2012-12-21,36.29,36.58,36.06,36.46,5272700,35.94
2012-12-20,35.70,36.80,35.65,36.58,3745300,36.06
2012-12-19,35.86,35.96,35.62,35.64,2988200,35.13
2012-12-18,35.24,35.85,35.24,35.83,2655500,35.32
2012-12-17,35.26,35.33,34.98,35.24,2442000,34.74
2012-12-14,35.01,35.44,34.91,35.10,2041600,34.60
2012-12-13,35.17,35.17,34.91,35.02,3625400,34.52
2012-12-12,35.31,35.43,34.96,35.27,2068000,34.49
2012-12-11,35.28,35.42,35.17,35.23,1727200,34.45
2012-12-10,35.24,35.36,35.10,35.18,2692200,34.41
2012-12-07,34.94,35.26,34.79,35.24,3455000,34.46
2012-12-06,34.31,34.91,34.29,34.91,3057500,34.14
2012-12-05,34.30,34.47,34.05,34.30,3087900,33.55
2012-12-04,33.91,34.49,33.55,34.26,2054800,33.51
2012-12-03,34.14,34.30,33.84,33.96,2404400,33.21
2012-11-30,34.11,34.29,33.88,33.94,3232700,33.19
2012-11-29,34.06,34.20,33.80,34.02,3046700,33.27
2012-11-28,33.81,33.91,33.44,33.86,2857400,33.11
2012-11-27,34.03,34.04,33.64,33.95,3836600,33.20
2012-11-26,33.89,34.42,33.89,34.30,2852900,33.55
2012-11-23,33.98,34.14,33.79,34.09,901700,33.34
2012-11-21,33.48,33.95,33.39,33.90,2105700,33.15
2012-11-20,33.22,33.42,33.05,33.40,2625400,32.67
2012-11-19,33.14,33.53,32.97,33.34,2613400,32.61
2012-11-16,32.64,32.83,32.31,32.68,2871000,31.96
2012-11-15,32.89,33.06,32.32,32.60,1951600,31.88
2012-11-14,33.50,33.58,32.68,32.85,2705000,32.13
2012-11-13,33.13,33.62,33.08,33.37,1833500,32.64
2012-11-12,33.48,33.72,33.19,33.34,1353000,32.61
2012-11-09,33.49,33.80,33.28,33.39,1846700,32.66
2012-11-08,34.08,34.28,33.57,33.59,2716000,32.85
2012-11-07,34.03,34.28,33.94,34.15,3899500,33.40
2012-11-06,34.25,34.56,34.01,34.40,1877100,33.64
2012-11-05,34.32,34.40,33.68,34.18,2000900,33.43
2012-11-02,34.60,34.72,34.35,34.37,2758000,33.61
2012-11-01,34.28,34.56,34.14,34.26,2316700,33.51
2012-10-31,34.01,34.37,33.74,34.29,3653300,33.54
2012-10-26,34.34,34.37,33.71,33.91,2349700,33.16
2012-10-25,34.80,35.16,33.83,34.28,2815800,33.53
2012-10-24,34.97,35.30,34.49,34.55,2973500,33.79
2012-10-23,34.46,35.01,34.24,34.77,4573400,34.00
2012-10-22,35.51,35.72,35.04,35.16,3207500,34.39
2012-10-19,36.41,36.44,35.51,35.57,3100800,34.79
2012-10-18,36.08,36.46,36.08,36.38,2040300,35.58
2012-10-17,35.96,36.28,35.71,36.14,2427600,35.34
2012-10-16,35.72,36.06,35.52,35.97,1976800,35.18
2012-10-15,34.95,35.46,34.70,35.44,1920200,34.66
2012-10-12,34.82,35.23,34.68,34.84,1782900,34.07
2012-10-11,35.22,35.39,34.83,34.83,2245900,34.06
2012-10-10,34.62,34.94,34.34,34.83,1669800,34.06
2012-10-09,34.78,35.02,34.59,34.60,1511800,33.84
2012-10-08,34.68,34.97,34.55,34.84,1464100,34.07
2012-10-05,35.22,35.23,34.72,34.90,1806500,34.13
2012-10-04,35.43,35.68,34.94,34.96,3009600,34.19
2012-10-03,34.90,35.01,34.71,34.82,2895100,34.05
2012-10-02,34.77,34.85,34.40,34.84,2084600,34.07
2012-10-01,35.09,35.24,34.25,34.58,2427100,33.82
2012-09-28,34.50,35.12,34.41,35.03,3729700,34.26
2012-09-27,34.13,34.95,34.01,34.76,3333300,34.00
2012-09-26,34.28,34.44,33.90,33.95,3041500,33.20
2012-09-25,35.04,35.07,34.25,34.27,3238500,33.52
2012-09-24,34.83,35.44,34.71,34.85,2673700,34.08
2012-09-21,35.54,35.61,34.99,34.99,4218200,34.22
2012-09-20,35.61,35.69,35.06,35.31,4172200,34.53
2012-09-19,36.40,36.40,35.75,35.75,2846700,34.96
2012-09-18,36.58,36.60,36.03,36.22,3119900,35.42
2012-09-17,36.94,37.22,36.67,36.67,2195200,35.86
2012-09-14,37.17,37.58,36.81,36.89,3300300,36.08
2012-09-13,36.16,37.17,36.01,36.91,2858300,36.10
2012-09-12,36.24,36.24,35.89,36.07,2871000,35.28
2012-09-11,35.67,36.23,35.52,36.18,3087200,35.11
2012-09-10,35.72,35.84,35.47,35.73,3024000,34.67
2012-09-07,35.52,35.91,35.35,35.73,3445600,34.67
2012-09-06,34.83,35.57,34.82,35.36,3744500,34.31
2012-09-05,34.42,34.67,34.10,34.58,3056600,33.56
2012-09-04,34.20,34.49,33.78,34.46,1448700,33.44
2012-08-31,34.31,34.31,33.80,34.17,2557200,33.16
2012-08-30,33.99,34.20,33.84,34.07,1358600,33.06
2012-08-29,34.05,34.33,33.93,34.25,1514600,33.24
