Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,70.56,70.74,70.19,70.62,540100,70.62
2013-07-11,70.41,70.66,70.05,70.56,426600,70.56
2013-07-10,69.37,69.80,69.12,69.54,373100,69.54
2013-07-09,67.72,69.74,65.65,69.35,602300,69.35
2013-07-08,68.00,68.79,67.81,68.52,530300,68.52
2013-07-05,67.66,67.81,67.30,67.74,373000,67.74
2013-07-03,66.97,67.27,66.45,66.98,277700,66.98
2013-07-02,66.92,67.83,66.80,67.29,594000,67.29
2013-07-01,66.75,67.41,66.09,67.10,570800,67.10
2013-06-28,66.01,66.58,65.79,66.43,949400,66.43
2013-06-27,65.96,66.53,65.87,66.19,305500,66.19
2013-06-26,65.65,65.81,65.13,65.53,351200,65.53
2013-06-25,65.25,65.60,64.48,64.92,388400,64.92
2013-06-24,65.06,65.30,64.09,64.72,594900,64.72
2013-06-21,66.62,66.80,65.45,65.94,1387300,65.94
2013-06-20,66.54,66.77,65.75,66.10,668100,66.10
2013-06-19,69.50,69.68,67.43,67.43,721800,67.43
2013-06-18,69.18,69.92,69.08,69.58,517700,69.58
2013-06-17,69.02,69.97,68.37,69.15,747700,69.15
2013-06-14,67.94,68.40,67.64,68.28,427500,68.28
2013-06-13,66.64,68.20,66.41,68.05,478800,68.05
2013-06-12,67.85,67.85,66.50,66.60,270600,66.60
2013-06-11,66.59,67.89,65.13,67.36,380300,67.36
2013-06-10,68.17,68.24,67.63,67.82,294400,67.82
2013-06-07,67.04,67.97,66.76,67.89,983500,67.89
2013-06-06,66.35,66.67,65.90,66.57,923500,66.57
2013-06-05,67.29,67.74,66.29,66.35,550900,66.35
2013-06-04,68.30,68.64,67.30,67.61,482300,67.61
2013-06-03,68.46,68.70,67.37,68.33,653900,68.33
2013-05-31,70.39,70.74,64.00,68.20,2291300,68.20
2013-05-30,71.25,72.64,71.20,71.85,687400,71.85
2013-05-29,70.84,71.32,70.07,71.07,642600,71.07
2013-05-28,71.72,72.71,71.39,71.48,628000,71.48
2013-05-24,71.13,71.20,70.55,70.98,456200,70.98
2013-05-23,70.87,72.11,70.87,71.72,291000,71.72
2013-05-22,72.49,73.19,71.32,71.63,471200,71.63
2013-05-21,72.18,72.98,71.84,72.50,355600,72.50
2013-05-20,71.27,72.31,71.24,71.93,350700,71.93
2013-05-17,70.11,71.53,69.95,71.37,664900,71.37
2013-05-16,70.00,70.67,69.82,70.05,611800,70.05
2013-05-15,69.24,70.39,69.24,70.36,273800,70.36
2013-05-14,68.30,69.58,68.30,69.50,344200,69.50
2013-05-13,68.53,68.61,67.83,68.37,319900,68.37
2013-05-10,68.36,68.81,68.15,68.73,212600,68.73
2013-05-09,68.43,68.76,68.14,68.27,472400,68.27
2013-05-08,68.49,68.81,68.23,68.50,599500,68.50
2013-05-07,67.90,68.72,67.78,68.61,424000,68.61
2013-05-06,67.99,68.21,67.68,67.96,245100,67.96
2013-05-03,67.37,68.65,67.19,68.08,503200,68.08
2013-05-02,66.40,66.88,66.10,66.77,352800,66.52
2013-05-01,66.44,67.00,66.11,66.12,505900,65.87
2013-04-30,66.32,66.71,66.14,66.71,673900,66.46
2013-04-29,65.91,66.50,65.45,66.46,406100,66.21
2013-04-26,66.61,66.74,65.47,65.65,511400,65.40
2013-04-25,66.00,67.00,66.00,66.74,336900,66.49
2013-04-24,65.78,66.54,65.70,65.81,323600,65.56
2013-04-23,64.69,65.68,64.57,65.61,519200,65.36
2013-04-22,63.63,64.66,63.35,64.26,493100,64.02
2013-04-19,63.91,64.17,62.72,63.50,795800,63.26
2013-04-18,64.74,64.82,63.86,64.01,448400,63.77
2013-04-17,65.21,65.26,64.34,64.62,466100,64.38
2013-04-16,64.78,65.74,64.55,65.71,559100,65.46
2013-04-15,66.57,66.79,64.31,64.31,519900,64.07
2013-04-12,67.69,68.15,66.84,67.05,350500,66.80
2013-04-11,67.28,68.11,67.04,67.93,473100,67.68
2013-04-10,66.27,67.39,66.16,67.34,522600,67.09
2013-04-09,66.76,66.80,65.58,66.10,794000,65.85
2013-04-08,66.73,67.30,66.20,66.84,737400,66.59
2013-04-05,67.00,67.59,66.31,66.81,301700,66.56
2013-04-04,66.86,67.50,66.70,67.16,440600,66.91
2013-04-03,67.10,67.35,66.46,66.68,536600,66.43
2013-04-02,67.48,68.10,66.82,67.16,600100,66.91
2013-04-01,68.24,68.24,66.94,67.16,856200,66.91
2013-03-28,67.13,68.55,66.82,68.37,682100,68.11
2013-03-27,67.02,67.09,66.16,67.01,570800,66.76
2013-03-26,67.63,67.63,66.71,67.46,590400,67.21
2013-03-25,68.87,68.87,67.05,67.27,461800,67.02
2013-03-22,68.45,68.64,68.13,68.62,254700,68.36
2013-03-21,68.52,68.84,67.77,68.33,352300,68.07
2013-03-20,68.80,69.17,68.45,68.94,372400,68.68
2013-03-19,68.69,68.81,67.57,68.50,379100,68.24
2013-03-18,67.52,69.00,66.87,68.53,299800,68.27
2013-03-15,68.55,68.79,68.25,68.59,430800,68.33
