Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,90.99,91.40,89.04,89.70,4957000,89.70
2013-07-11,89.84,91.08,89.66,90.34,5808600,90.34
2013-07-10,89.22,89.91,88.22,88.43,5005700,88.43
2013-07-09,89.28,89.90,88.93,89.18,4290500,89.18
2013-07-08,88.01,89.12,87.78,88.57,4373500,88.57
2013-07-05,88.12,88.25,86.58,87.51,3039500,87.51
2013-07-03,87.08,88.18,86.80,87.75,2070400,87.75
2013-07-02,87.39,88.38,87.05,87.56,4775900,87.56
2013-07-01,87.11,87.96,87.11,87.53,5338100,87.53
2013-06-28,87.50,88.32,86.56,86.62,11121000,86.62
2013-06-27,88.37,88.96,87.69,87.78,5276500,87.78
2013-06-26,87.12,88.41,86.94,87.54,6448100,87.54
2013-06-25,86.57,86.94,86.05,86.50,6387200,86.50
2013-06-24,86.61,88.03,86.05,86.85,6824800,86.00
2013-06-21,87.48,88.44,86.65,87.46,11088400,86.60
2013-06-20,89.86,89.86,86.33,86.63,9511400,85.78
2013-06-19,92.73,93.13,90.26,90.26,4843400,89.38
2013-06-18,92.51,92.88,91.94,92.65,2888100,91.74
2013-06-17,92.43,93.00,91.82,92.47,4584500,91.57
2013-06-14,92.32,93.17,91.97,92.12,3811100,91.22
2013-06-13,91.74,92.77,91.36,92.58,3899900,91.67
2013-06-12,91.70,92.15,91.10,91.65,4194800,90.75
2013-06-11,91.09,92.33,90.85,91.23,3648100,90.34
2013-06-10,92.26,92.73,91.41,91.63,3888200,90.73
2013-06-07,92.65,93.07,91.07,92.09,5650600,91.19
2013-06-06,90.15,92.00,89.43,92.00,9930500,91.10
2013-06-05,91.66,91.72,90.41,90.47,4480200,89.58
2013-06-04,92.38,92.82,91.42,91.89,4728500,90.99
2013-06-03,90.95,92.66,90.20,92.38,6554000,91.48
2013-05-31,91.97,92.57,90.89,90.91,7408600,90.02
2013-05-30,92.25,92.91,92.02,92.42,4373900,91.52
2013-05-29,92.67,92.74,91.45,92.25,6789000,91.35
2013-05-28,94.89,95.60,93.16,93.36,6276300,92.45
2013-05-24,93.86,94.43,93.33,94.12,3815700,93.20
2013-05-23,93.40,94.60,93.30,94.31,5458000,93.39
2013-05-22,93.94,95.33,93.75,93.97,7011900,93.05
2013-05-21,94.94,94.97,93.69,94.40,5202400,93.48
2013-05-20,95.68,95.75,94.75,95.00,3855300,94.07
2013-05-17,95.53,96.01,94.96,95.68,5141000,94.74
2013-05-16,95.81,96.32,95.25,95.44,5138800,94.51
2013-05-15,95.06,96.31,94.97,96.30,5042600,95.36
2013-05-14,93.97,95.04,93.84,94.96,4634400,94.03
2013-05-13,93.16,94.54,93.03,94.04,4749300,93.12
2013-05-10,93.95,94.10,93.00,93.32,5357900,92.41
2013-05-09,94.38,94.54,93.43,93.71,3770900,92.79
2013-05-08,93.65,94.56,93.47,94.51,4239000,93.59
2013-05-07,93.12,93.89,93.00,93.61,4977600,92.69
2013-05-06,93.78,94.08,92.85,93.11,6189600,92.20
2013-05-03,95.46,95.60,94.05,94.26,5661500,93.34
2013-05-02,95.88,96.04,94.54,95.01,5691600,94.08
2013-05-01,95.32,96.73,95.22,95.67,5123100,94.73
2013-04-30,95.83,95.90,95.06,95.59,3716400,94.65
2013-04-29,95.31,96.12,94.96,95.96,3802700,95.02
2013-04-26,94.77,95.72,94.67,95.31,4369700,94.38
2013-04-25,94.47,94.81,94.21,94.64,3363200,93.71
2013-04-24,93.77,94.94,93.64,94.05,5209100,93.13
2013-04-23,93.28,93.88,92.00,93.60,4274000,92.68
2013-04-22,91.90,92.95,91.67,92.82,4176900,91.91
2013-04-19,91.94,92.60,91.50,91.95,5951000,91.05
2013-04-18,92.00,92.62,90.70,91.69,8277400,90.79
2013-04-17,94.57,94.72,93.52,94.04,4342800,93.12
2013-04-16,94.46,95.23,93.73,94.97,5630000,94.04
2013-04-15,95.94,96.17,94.09,94.11,5015900,93.19
2013-04-12,95.67,96.60,95.30,96.44,3944500,95.50
2013-04-11,95.33,96.07,95.03,95.60,3718300,94.66
2013-04-10,94.89,95.42,94.24,95.26,3744500,94.33
2013-04-09,94.77,95.10,94.06,94.54,3295400,93.61
2013-04-08,92.94,94.49,92.80,94.44,3674300,93.52
2013-04-05,93.79,94.00,92.33,92.72,5033400,91.81
2013-04-04,94.74,95.26,94.35,94.53,3820000,93.60
2013-04-03,94.58,95.32,94.07,94.36,6293500,93.44
2013-04-02,93.05,94.45,92.90,94.41,4619000,93.49
2013-04-01,92.74,92.81,92.07,92.78,2946600,91.87
2013-03-28,92.04,92.94,91.95,92.71,4424700,91.80
2013-03-27,91.29,92.64,91.24,92.00,4168300,91.10
2013-03-26,91.54,91.81,90.99,91.76,4675200,90.86
2013-03-25,91.99,92.63,91.78,91.99,14448600,90.25
2013-03-22,91.00,91.97,90.85,91.62,13665900,89.89
2013-03-21,91.12,91.54,90.88,91.05,4008600,89.33
2013-03-20,91.00,91.71,90.99,91.42,4184500,89.69
2013-03-19,90.59,91.22,90.29,90.81,3717900,89.09
2013-03-18,90.54,90.93,90.25,90.36,4503000,88.65
2013-03-15,90.98,91.63,90.24,91.37,9899400,89.64
2013-03-14,90.93,91.60,90.83,91.31,5079000,89.58
2013-03-13,90.84,90.90,90.04,90.55,4122500,88.84
2013-03-12,91.38,91.42,90.30,90.89,4420000,89.17
2013-03-11,90.90,91.55,90.82,91.21,3249400,89.48
2013-03-08,91.87,91.92,90.91,91.11,3946700,89.38
2013-03-07,91.40,91.96,91.40,91.81,3178600,90.07
2013-03-06,92.34,92.63,91.41,91.60,4083800,89.87
2013-03-05,92.50,92.92,91.92,92.28,4552800,90.53
2013-03-04,91.48,92.57,91.47,92.36,4116200,90.61
2013-03-01,91.69,92.67,91.14,91.44,4554100,89.71
2013-02-28,91.68,92.25,91.38,91.75,6038900,90.01
2013-02-27,91.36,91.82,90.73,91.43,4801300,89.70
2013-02-26,92.03,92.59,91.16,91.60,5150100,89.87
2013-02-25,93.28,93.57,91.55,91.56,6398900,89.83
2013-02-22,93.22,93.48,92.63,93.42,4070600,91.65
2013-02-21,91.61,93.61,91.35,93.13,5990900,91.37
2013-02-20,91.28,92.79,90.75,92.09,4866700,90.35
2013-02-19,90.37,91.40,90.09,91.31,4428500,89.58
2013-02-15,90.06,91.00,89.40,89.99,5235600,88.29
2013-02-14,90.86,90.99,89.85,90.01,5268700,88.31
2013-02-13,90.43,91.47,90.43,90.99,3852800,89.27
2013-02-12,90.63,90.73,90.01,90.14,3638500,88.43
2013-02-11,90.40,90.82,90.24,90.35,3283400,88.64
2013-02-08,89.64,90.85,89.64,90.45,4366500,88.74
2013-02-07,87.15,90.00,86.85,89.82,7478500,88.12
2013-02-06,87.75,87.92,87.36,87.69,3920500,86.03
2013-02-05,87.43,88.14,87.31,87.96,4546200,86.29
2013-02-04,87.53,88.05,86.80,87.33,5808700,85.68
2013-02-01,88.92,88.97,87.66,88.13,5420400,86.46
2013-01-31,87.81,89.02,87.65,88.16,5045200,86.49
2013-01-30,88.44,88.67,87.40,87.65,6468300,85.99
2013-01-29,88.64,89.56,88.55,88.91,4972700,87.23
2013-01-28,89.31,89.40,88.88,89.00,4549700,87.31
2013-01-25,89.83,90.00,89.00,89.42,4499700,87.73
2013-01-24,89.12,90.00,88.76,89.76,4403600,88.06
2013-01-23,89.73,90.00,88.54,88.84,4865200,87.16
2013-01-22,89.93,90.29,89.25,90.03,5937000,88.33
2013-01-18,89.41,89.98,88.90,89.98,5443600,88.28
2013-01-17,88.66,89.39,88.47,89.14,4568300,87.45
2013-01-16,88.44,88.78,87.90,88.34,3400400,86.67
2013-01-15,88.65,89.31,88.55,88.92,4439700,87.24
2013-01-14,89.34,89.66,88.77,89.07,4521100,87.38
2013-01-11,88.53,89.83,88.53,89.23,8106000,87.54
2013-01-10,86.38,87.29,86.32,87.29,5312800,85.64
2013-01-09,86.35,86.66,85.51,85.83,4776300,84.20
2013-01-08,86.22,86.56,85.97,86.09,4426100,84.46
2013-01-07,86.17,86.70,85.91,86.25,3980800,84.62
2013-01-04,86.00,86.65,85.87,86.52,4205800,84.88
2013-01-03,86.94,87.32,85.40,85.86,5817000,84.23
2013-01-02,84.70,86.77,84.33,86.74,6499100,85.10
2012-12-31,82.72,83.74,82.44,83.64,5705000,82.06
2012-12-28,83.20,83.99,82.60,82.65,3911100,81.08
2012-12-27,83.14,83.93,82.91,83.77,5230400,82.18
2012-12-26,83.83,83.85,82.81,82.95,3509600,81.38
2012-12-24,83.60,84.26,83.60,83.74,2435100,82.15
2012-12-21,85.19,85.76,84.10,84.95,10896300,82.51
2012-12-20,84.44,85.57,83.79,85.50,7770400,83.04
2012-12-19,86.52,86.76,84.62,84.65,9307000,82.18
2012-12-18,87.28,87.45,85.38,86.51,8176600,83.98
2012-12-17,87.95,88.47,87.11,87.39,5717300,84.84
2012-12-14,87.51,88.30,87.51,87.75,4875800,85.19
2012-12-13,88.69,89.20,87.91,88.20,3898500,85.62
2012-12-12,88.90,89.70,88.51,88.78,4600700,86.19
2012-12-11,89.49,89.72,88.17,88.46,4918500,85.88
2012-12-10,89.16,89.96,88.99,89.07,3619300,86.47
2012-12-07,88.67,89.70,88.67,89.47,3897500,86.86
2012-12-06,88.65,89.57,88.38,88.67,4198900,86.08
2012-12-05,89.07,89.42,88.18,88.53,6070300,85.94
2012-12-04,89.81,89.95,88.95,88.95,4145400,86.35
2012-12-03,90.01,90.49,89.73,89.80,3848200,87.18
2012-11-30,89.93,90.40,89.56,89.88,7562500,87.26
2012-11-29,89.97,90.84,89.49,90.33,5658300,87.69
2012-11-28,89.00,90.04,88.25,89.91,5520800,87.28
2012-11-27,90.52,90.52,89.07,89.13,4474400,86.53
2012-11-26,89.84,90.00,89.14,89.87,3384100,87.25
2012-11-23,89.00,90.43,88.90,90.41,2169500,87.77
2012-11-21,88.18,88.88,88.01,88.72,3296700,86.13
2012-11-20,86.93,88.13,86.86,88.10,5853300,85.53
2012-11-19,85.59,86.86,85.54,86.86,5035500,84.32
2012-11-16,84.21,85.20,83.89,84.93,6501000,82.45
2012-11-15,82.20,84.03,82.10,83.97,7166800,81.52
2012-11-14,84.40,85.17,82.24,82.39,8158500,79.98
2012-11-13,84.59,85.55,84.35,84.42,5288800,81.95
2012-11-12,85.32,86.21,84.90,84.98,3493200,82.50
2012-11-09,84.77,86.48,84.53,85.42,3982600,82.93
2012-11-08,86.42,87.22,85.52,85.55,4271600,83.05
2012-11-07,87.16,87.59,86.34,86.35,5175400,83.83
2012-11-06,87.00,87.86,86.92,87.39,4059800,84.84
2012-11-05,86.61,87.45,85.66,86.79,4741200,84.26
2012-11-02,87.65,88.47,86.87,86.93,9707000,84.39
2012-11-01,88.97,89.43,87.56,87.59,5298000,85.03
2012-10-31,89.24,89.50,88.26,88.56,5379100,85.97
2012-10-26,87.95,88.97,87.48,88.28,4375000,85.70
2012-10-25,88.32,88.56,87.53,87.73,3710500,85.17
2012-10-24,87.80,88.43,87.51,87.73,3948800,85.17
2012-10-23,88.51,88.51,87.40,87.91,4171500,85.34
2012-10-22,88.28,89.41,88.10,89.20,4386700,86.60
2012-10-19,88.16,89.57,88.00,88.12,7140900,85.55
2012-10-18,89.08,90.36,87.96,88.00,8848900,85.43
2012-10-17,92.21,92.82,91.83,91.85,4829300,89.17
2012-10-16,92.49,92.80,91.94,92.52,2996300,89.82
2012-10-15,92.15,92.31,91.50,92.06,4761400,89.37
2012-10-12,91.48,92.78,91.37,91.70,3617300,89.02
2012-10-11,91.84,91.84,90.62,90.84,4422300,88.19
2012-10-10,91.66,92.36,90.70,90.78,3794600,88.13
2012-10-09,92.78,93.23,91.49,91.50,4057500,88.83
2012-10-08,93.70,93.86,93.03,93.35,2944600,90.62
2012-10-05,93.75,94.13,93.40,93.74,3906800,91.00
2012-10-04,93.04,94.00,92.99,93.31,3516700,90.59
2012-10-03,91.92,92.94,91.85,92.77,3823800,90.06
2012-10-02,91.10,92.00,91.10,91.85,3879800,89.17
2012-10-01,90.27,91.17,90.00,90.71,4336200,88.06
2012-09-28,90.50,90.50,89.73,89.94,5092900,87.31
2012-09-27,90.56,91.02,89.94,90.66,3860900,88.01
2012-09-26,90.09,90.95,89.94,90.41,3910900,87.77
2012-09-25,91.49,91.95,90.06,90.08,4973400,87.45
2012-09-24,92.01,92.32,91.50,92.13,3907400,88.61
2012-09-21,92.30,92.59,92.03,92.14,6761500,88.62
2012-09-20,91.51,92.25,91.51,92.13,5467100,88.61
2012-09-19,91.30,91.93,90.82,91.64,4209700,88.14
2012-09-18,90.69,91.85,90.51,91.51,4473800,88.02
2012-09-17,89.36,90.91,89.35,90.69,18849900,87.23
2012-09-14,89.60,90.05,88.84,89.48,19859500,86.07
2012-09-13,87.03,90.57,86.80,90.15,17534600,86.71
2012-09-12,88.59,88.59,86.11,86.67,8388100,83.36
2012-09-11,88.71,89.07,88.38,88.38,4193300,85.01
2012-09-10,88.64,88.85,87.97,88.62,4862200,85.24
2012-09-07,89.40,89.88,88.67,88.83,4860000,85.44
2012-09-06,89.11,90.10,89.00,89.48,5497600,86.07
2012-09-05,89.52,89.88,89.00,89.09,3766600,85.69
2012-09-04,89.44,89.95,89.17,89.63,3917000,86.21
2012-08-31,90.81,91.56,89.30,89.30,6626500,85.89
2012-08-30,90.84,90.96,90.31,90.55,2666900,87.09
2012-08-29,91.48,91.99,90.76,90.78,4027700,87.32
2012-08-28,89.80,91.24,89.78,90.88,3094500,87.41
2012-08-27,89.79,90.49,89.68,90.09,2943300,86.65
2012-08-24,88.56,89.99,88.28,89.76,5397900,86.34
2012-08-23,90.68,90.85,88.68,88.69,6914900,85.31
2012-08-22,91.39,91.59,90.85,90.87,3905800,87.40
2012-08-21,93.14,93.29,91.59,91.71,3779700,88.21
2012-08-20,93.39,93.60,92.99,93.17,2919500,89.61
2012-08-17,93.48,93.50,92.73,93.38,4161600,89.82
2012-08-16,92.46,93.48,92.08,93.29,4595400,89.73
2012-08-15,92.98,93.26,92.27,92.97,4163600,89.42
2012-08-14,92.49,93.48,92.11,93.14,4051500,89.59
2012-08-13,91.98,92.49,91.68,92.43,2418100,88.90
2012-08-10,91.10,92.43,91.06,92.21,2640000,88.69
2012-08-09,91.77,91.97,91.04,91.38,2807700,87.89
2012-08-08,91.20,92.01,90.56,91.77,3403700,88.27
2012-08-07,92.66,92.89,91.25,91.32,4299500,87.84
2012-08-06,92.00,93.15,91.80,92.23,4546100,88.71
2012-08-03,91.17,92.00,90.73,91.93,4123300,88.42
2012-08-02,90.30,90.92,89.55,90.07,3962700,86.63
2012-08-01,91.45,91.79,90.25,90.64,3362100,87.18
2012-07-31,91.17,91.81,90.85,91.44,5541000,87.95
2012-07-30,89.90,91.39,89.87,91.18,4151500,87.70
2012-07-27,88.42,90.99,87.75,90.30,6680300,86.85
2012-07-26,87.89,89.01,87.89,88.60,5348600,85.22
2012-07-25,87.81,88.07,86.83,86.89,4566700,83.57
2012-07-24,87.89,88.40,87.02,87.69,4915000,84.34
