Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,74.30,74.96,73.70,74.91,2819800,74.91
2013-07-11,75.16,75.17,73.46,74.10,2786800,74.10
2013-07-10,75.68,75.75,73.99,74.59,4016900,74.15
2013-07-09,76.64,76.79,75.86,76.26,2442200,75.81
2013-07-08,76.25,76.72,75.83,76.35,2263600,75.90
2013-07-05,74.52,75.94,74.47,75.92,2250800,75.47
2013-07-03,73.49,74.09,73.21,73.97,997700,73.53
2013-07-02,73.27,74.33,73.26,73.85,2091500,73.41
2013-07-01,73.23,74.33,73.04,73.49,2475200,73.06
2013-06-28,73.48,73.52,72.56,72.92,2114300,72.49
2013-06-27,73.70,74.13,73.43,73.63,2128900,73.20
2013-06-26,73.43,74.19,73.04,73.18,2838900,72.75
2013-06-25,71.35,72.84,70.86,72.70,3307800,72.27
2013-06-24,71.13,71.14,70.15,70.53,2714000,70.11
2013-06-21,71.82,72.23,71.02,71.71,5150100,71.29
2013-06-20,70.35,71.69,70.15,71.05,4514000,70.63
2013-06-19,71.77,71.95,70.79,70.88,2728500,70.46
2013-06-18,71.45,71.81,71.16,71.74,1644200,71.32
2013-06-17,71.55,71.91,70.86,71.29,1862100,70.87
2013-06-14,71.62,71.95,70.70,71.00,1833300,70.58
2013-06-13,70.84,71.85,70.11,71.76,2016600,71.34
2013-06-12,72.18,72.23,70.44,70.84,2595300,70.42
2013-06-11,72.26,72.58,71.60,71.75,2563300,71.33
2013-06-10,71.47,73.11,71.28,72.93,3553900,72.50
2013-06-07,70.79,71.24,70.41,71.10,2563900,70.68
2013-06-06,69.65,70.29,69.15,70.27,2035500,69.86
2013-06-05,70.86,71.22,69.42,69.83,3554600,69.42
2013-06-04,71.90,72.35,70.87,71.09,2053500,70.67
2013-06-03,71.75,72.06,70.47,71.83,2668200,71.41
2013-05-31,72.50,73.04,71.64,71.64,2803600,71.22
2013-05-30,71.77,73.23,71.52,72.88,2864700,72.45
2013-05-29,70.50,72.20,70.31,71.80,3106400,71.38
2013-05-28,72.06,72.22,70.77,71.03,2555600,70.61
2013-05-24,70.51,71.14,70.07,71.11,1830900,70.69
2013-05-23,70.52,71.19,70.09,70.94,2443600,70.52
2013-05-22,72.16,73.13,70.94,71.24,3708400,70.82
2013-05-21,71.29,72.35,71.18,72.20,3156400,71.77
2013-05-20,71.37,71.94,71.15,71.28,2460800,70.86
2013-05-17,70.76,71.68,70.66,71.51,2119200,71.09
2013-05-16,70.53,71.04,70.35,70.46,2097300,70.04
2013-05-15,70.11,70.97,70.04,70.85,2678600,70.43
2013-05-14,68.86,70.40,68.74,70.17,3046600,69.76
2013-05-13,68.50,69.02,67.97,68.76,2038200,68.35
2013-05-10,68.89,69.00,68.38,68.57,1787100,68.17
2013-05-09,68.96,69.09,68.50,68.72,2711200,68.31
2013-05-08,68.68,69.03,68.40,68.97,3326600,68.56
2013-05-07,68.47,68.86,68.01,68.76,2611600,68.35
2013-05-06,68.12,68.46,67.98,68.26,2605900,67.86
2013-05-03,67.92,68.57,67.90,68.11,2596800,67.71
2013-05-02,67.22,67.55,67.03,67.18,2393700,66.78
2013-05-01,67.80,67.98,67.08,67.17,2585300,66.77
2013-04-30,68.22,68.34,67.54,67.88,4437400,67.48
2013-04-29,68.17,68.57,68.03,68.41,2656900,68.01
2013-04-26,68.61,68.98,67.89,68.10,3146200,67.70
2013-04-25,68.69,69.65,68.52,68.70,6241300,68.29
2013-04-24,67.34,68.47,67.00,68.44,4529600,68.04
2013-04-23,65.56,67.44,65.18,67.21,4874800,66.81
2013-04-22,65.43,65.71,65.11,65.41,2835200,65.02
2013-04-19,65.50,65.56,64.93,65.23,3972000,64.85
2013-04-18,65.26,65.95,64.76,65.24,4073500,64.86
2013-04-17,65.61,66.25,64.47,65.05,5697800,64.67
2013-04-16,64.28,64.86,63.69,64.79,3717500,64.41
2013-04-15,65.69,66.51,63.74,63.75,3143200,63.37
2013-04-12,66.33,66.48,65.63,65.81,2716500,65.42
2013-04-11,67.28,67.57,66.96,67.31,2878800,66.48
2013-04-10,66.59,67.32,66.53,67.19,2891500,66.36
2013-04-09,66.13,66.67,65.98,66.35,2278100,65.53
2013-04-08,65.15,66.09,64.79,66.07,1695100,65.25
2013-04-05,64.73,65.35,64.21,65.24,1848900,64.43
2013-04-04,65.38,65.99,65.00,65.60,2481200,64.79
2013-04-03,66.68,66.76,64.91,65.13,3052800,64.32
2013-04-02,66.15,66.87,65.96,66.81,3206100,65.98
2013-04-01,66.41,66.55,65.61,65.79,1259300,64.97
2013-03-28,66.06,66.58,65.80,66.50,2089500,65.68
2013-03-27,65.90,66.27,65.53,66.19,2342200,65.37
2013-03-26,66.63,66.64,66.08,66.28,1681500,65.46
2013-03-25,66.44,66.63,65.73,66.14,1684900,65.32
2013-03-22,66.19,66.48,65.97,66.21,1950300,65.39
2013-03-21,66.33,66.62,65.83,66.03,2724500,65.21
2013-03-20,66.63,66.93,66.44,66.70,2279800,65.87
2013-03-19,66.28,66.65,65.71,66.25,2333900,65.43
2013-03-18,65.90,66.47,65.52,66.25,2055800,65.43
2013-03-15,66.00,66.93,65.84,66.80,3445500,65.97
2013-03-14,66.02,66.48,65.82,66.26,2127700,65.44
2013-03-13,65.55,65.99,65.30,65.93,1643300,65.11
2013-03-12,65.78,65.87,65.11,65.42,1747300,64.61
2013-03-11,65.03,65.90,64.95,65.87,1991900,65.05
2013-03-08,65.03,65.19,64.44,65.02,3631900,64.21
2013-03-07,64.30,64.99,64.16,64.81,2665500,64.01
2013-03-06,64.10,64.46,63.36,64.16,3746400,63.36
2013-03-05,63.90,64.36,63.37,63.66,5066600,62.87
2013-03-04,62.64,63.58,62.42,63.52,2322100,62.73
2013-03-01,62.02,62.94,61.52,62.78,3522200,62.00
2013-02-28,61.64,62.61,61.57,62.39,3825700,61.62
2013-02-27,61.13,61.80,60.84,61.68,2511700,60.92
