Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,60.44,60.98,60.08,60.97,858900,60.97
2013-07-11,59.77,60.77,59.20,60.65,1379600,60.65
2013-07-10,58.78,59.16,58.24,58.85,864000,58.85
2013-07-09,59.23,59.50,58.68,58.89,1050200,58.89
2013-07-08,59.06,59.08,58.61,58.81,831900,58.81
2013-07-05,58.34,58.79,57.98,58.78,575700,58.78
2013-07-03,57.72,58.06,57.38,57.93,354700,57.93
2013-07-02,58.13,58.68,57.74,57.94,1149100,57.94
2013-07-01,58.00,58.52,57.65,58.25,837400,58.25
2013-06-28,58.34,58.49,57.64,57.69,2088200,57.69
2013-06-27,57.49,58.52,57.49,58.45,809700,58.45
2013-06-26,57.03,57.32,56.52,57.22,866300,57.22
2013-06-25,56.26,56.95,56.20,56.60,1336300,56.60
2013-06-24,56.14,56.61,55.49,55.80,1543200,55.80
2013-06-21,57.10,57.26,56.45,56.87,2218700,56.87
2013-06-20,58.17,58.17,56.61,56.71,1613200,56.71
2013-06-19,59.52,59.91,58.65,58.67,1661900,58.67
2013-06-18,58.95,59.73,58.47,59.57,1108000,59.57
2013-06-17,60.06,60.14,58.51,58.81,2226300,58.81
2013-06-14,59.26,60.00,59.13,59.72,1090600,59.72
2013-06-13,57.95,59.54,57.30,59.39,1288500,59.39
2013-06-12,59.12,59.13,57.92,58.05,567600,58.05
2013-06-11,58.73,59.22,58.36,58.65,778700,58.65
2013-06-10,59.18,59.52,58.86,59.46,1150000,59.46
2013-06-07,58.62,59.33,58.38,59.05,1259400,59.05
2013-06-06,57.05,58.21,56.96,58.21,1385800,58.21
2013-06-05,57.49,57.63,56.66,57.17,1504000,57.17
2013-06-04,58.12,58.47,56.78,57.77,1864100,57.77
2013-06-03,58.39,58.59,57.08,58.26,1197900,58.26
2013-05-31,58.37,59.59,58.22,58.24,1680400,58.24
2013-05-30,58.07,58.99,57.82,58.64,1326900,58.64
2013-05-29,57.16,58.06,57.05,57.88,777700,57.88
2013-05-28,58.00,58.49,57.41,57.70,767900,57.70
2013-05-24,56.20,57.59,56.05,57.47,1215100,57.47
2013-05-23,56.31,57.19,56.20,56.43,1499000,56.43
2013-05-22,57.86,58.54,56.94,57.06,1007600,57.06
2013-05-21,58.00,58.59,57.83,57.88,1006700,57.88
2013-05-20,57.64,58.46,57.43,58.08,748800,58.08
2013-05-17,57.61,58.21,57.35,57.82,1439100,57.82
2013-05-16,57.74,58.03,57.28,57.53,933700,57.53
2013-05-15,56.70,57.78,56.33,57.76,932700,57.76
2013-05-14,56.29,57.34,56.29,57.00,1233000,57.00
2013-05-13,55.65,56.42,55.52,56.25,829700,56.25
2013-05-10,55.81,56.17,55.35,55.75,1097100,55.75
2013-05-09,55.48,56.35,55.33,55.80,750200,55.80
2013-05-08,55.23,55.72,54.99,55.48,605200,55.48
2013-05-07,54.74,55.46,54.65,55.36,706300,55.36
2013-05-06,54.16,54.69,54.09,54.50,780000,54.50
2013-05-03,53.64,54.46,53.64,54.22,1772900,54.22
2013-05-02,53.70,53.80,52.98,53.25,1506700,53.25
2013-05-01,54.28,54.94,53.48,53.50,1442600,53.50
2013-04-30,54.38,54.84,53.86,54.35,1390300,54.35
2013-04-29,53.90,54.66,53.80,54.54,805300,54.54
2013-04-26,54.33,54.48,53.62,53.80,883100,53.80
2013-04-25,54.49,54.98,54.27,54.37,1226800,54.37
2013-04-24,52.95,54.52,52.95,54.37,1945100,54.37
2013-04-23,51.65,54.41,51.65,52.94,3200500,52.71
2013-04-22,50.34,50.38,49.67,50.05,1677100,49.83
2013-04-19,50.61,50.74,49.71,50.24,2394700,50.02
2013-04-18,51.95,52.09,50.49,50.60,1639500,50.38
2013-04-17,52.08,52.08,51.20,51.86,1482900,51.63
2013-04-16,51.91,52.53,51.32,52.52,1209300,52.29
2013-04-15,53.08,53.15,51.49,51.59,1059300,51.37
2013-04-12,53.72,54.20,53.28,53.35,975500,53.12
2013-04-11,53.90,54.77,53.78,53.94,1544600,53.71
2013-04-10,53.30,54.05,53.01,54.05,1205900,53.82
2013-04-09,52.94,53.51,52.86,53.28,1060300,53.05
2013-04-08,51.88,52.94,51.77,52.90,847400,52.67
2013-04-05,52.12,52.48,51.60,51.99,1364400,51.76
2013-04-04,51.90,52.84,51.87,52.78,1547300,52.55
2013-04-03,52.00,52.31,51.43,51.81,1509000,51.58
2013-04-02,51.92,52.60,51.70,51.89,1816200,51.66
2013-04-01,52.64,52.83,51.52,51.61,1226000,51.39
2013-03-28,51.55,52.81,51.35,52.75,1539600,52.52
2013-03-27,51.39,51.72,50.94,51.56,1039500,51.34
2013-03-26,52.25,52.33,51.18,51.65,2106200,51.43
2013-03-25,53.56,53.73,51.72,51.97,1634300,51.74
2013-03-22,53.28,53.62,53.06,53.39,1189400,53.16
2013-03-21,53.13,53.84,52.85,53.19,1692100,52.96
2013-03-20,53.53,54.20,53.41,53.49,1131200,53.26
2013-03-19,53.00,53.46,52.57,53.30,1508500,53.07
2013-03-18,52.12,53.24,51.88,52.78,887200,52.55
2013-03-15,52.14,53.21,52.08,52.69,2016700,52.46
2013-03-14,51.79,52.50,51.64,52.38,999000,52.15
2013-03-13,50.96,51.65,50.59,51.58,1417100,51.36
2013-03-12,51.71,51.74,50.55,50.92,1574800,50.70
2013-03-11,51.70,51.96,51.54,51.59,1386000,51.37
2013-03-08,51.96,52.06,51.55,51.69,1209000,51.47
2013-03-07,51.98,52.44,51.46,51.59,1238900,51.37
2013-03-06,52.98,52.98,51.67,51.92,2268500,51.69
2013-03-05,52.42,53.44,52.36,52.65,1425100,52.42
2013-03-04,52.22,52.34,51.54,51.99,920500,51.76
2013-03-01,52.62,52.79,51.69,52.23,1400200,52.00
2013-02-28,52.64,53.84,52.64,53.27,1401500,53.04
2013-02-27,50.73,52.86,50.73,52.62,919400,52.39
2013-02-26,50.86,51.11,50.22,50.74,1085200,50.52
2013-02-25,51.75,52.17,50.75,50.77,1782800,50.55
2013-02-22,51.15,51.83,51.05,51.56,1145200,51.34
2013-02-21,51.31,51.33,50.59,50.86,859100,50.64
2013-02-20,52.62,52.80,51.47,51.49,1016100,51.27
2013-02-19,52.90,53.46,52.58,52.62,1255800,52.39
2013-02-15,52.83,53.23,52.59,52.91,1379600,52.68
2013-02-14,52.72,53.19,52.72,52.83,1425900,52.60
2013-02-13,52.18,52.99,52.07,52.98,1520900,52.75
2013-02-12,51.32,52.29,51.21,52.03,1392500,51.80
2013-02-11,51.08,51.61,51.07,51.22,997500,51.00
2013-02-08,50.59,51.35,50.59,51.05,1708500,50.83
2013-02-07,51.09,51.22,50.10,50.53,1006600,50.31
2013-02-06,51.04,51.27,50.77,50.98,874600,50.76
2013-02-05,51.42,51.90,50.90,51.43,1082700,51.21
2013-02-04,50.60,51.51,50.58,51.00,985200,50.78
2013-02-01,51.01,51.32,50.48,51.01,1394300,50.79
2013-01-31,49.95,50.86,49.95,50.68,3225300,50.46
2013-01-30,51.20,51.37,49.66,49.90,3895700,49.68
2013-01-29,52.40,52.40,50.43,51.35,3890800,51.13
2013-01-28,53.28,53.33,52.76,52.83,1649800,52.60
2013-01-25,52.98,53.36,51.60,53.25,1496300,53.02
2013-01-24,52.98,53.24,52.70,52.85,1807500,52.62
2013-01-23,52.73,53.09,52.46,52.93,1593300,52.70
2013-01-22,52.53,53.04,52.22,52.97,1277000,52.51
2013-01-18,52.04,52.59,51.38,52.58,2744500,52.12
2013-01-17,51.00,52.08,51.00,51.85,1654300,51.40
2013-01-16,50.19,50.96,50.01,50.83,1201100,50.39
2013-01-15,49.97,50.51,49.87,50.31,952900,49.87
2013-01-14,50.27,50.44,50.10,50.34,898200,49.90
2013-01-11,50.51,50.65,50.34,50.39,860800,49.95
2013-01-10,50.91,50.96,50.17,50.60,737000,50.16
2013-01-09,49.75,50.58,49.70,50.57,1673900,50.13
2013-01-08,49.72,50.18,49.39,49.65,886500,49.22
2013-01-07,49.59,50.11,49.41,49.94,1287100,49.51
2013-01-04,50.31,50.31,49.73,49.94,1186800,49.51
2013-01-03,50.56,50.90,50.01,50.16,1102900,49.73
2013-01-02,50.06,50.83,49.96,50.61,1686200,50.17
2012-12-31,47.31,49.31,47.31,49.15,1995200,48.72
2012-12-28,47.61,48.01,47.42,47.51,1402000,47.10
2012-12-27,48.27,48.59,47.77,48.18,990100,47.76
2012-12-26,48.37,48.58,48.05,48.27,653500,47.85
2012-12-24,47.92,48.49,47.92,48.38,424200,47.96
2012-12-21,48.11,48.61,47.99,48.23,2051800,47.81
2012-12-20,48.86,48.95,48.37,48.78,1243600,48.36
2012-12-19,49.40,49.40,48.58,48.80,1070500,48.38
2012-12-18,49.00,49.50,48.82,49.25,2055200,48.82
2012-12-17,48.05,49.00,47.97,48.98,1542200,48.56
2012-12-14,47.82,48.33,47.70,47.96,957400,47.54
2012-12-13,47.47,47.99,47.32,47.84,1072600,47.43
2012-12-12,48.13,48.25,47.73,47.93,1466200,47.51
2012-12-11,48.10,48.44,47.70,47.91,1339700,47.49
2012-12-10,48.00,48.47,47.84,48.17,1002700,47.75
2012-12-07,47.97,48.13,47.43,48.04,1980600,47.62
2012-12-06,48.21,48.26,47.56,47.69,3348800,47.28
2012-12-05,48.48,48.49,47.59,48.21,1709900,47.79
2012-12-04,48.01,48.62,48.00,48.34,1085900,47.92
2012-12-03,48.74,48.99,47.81,47.92,1410600,47.50
2012-11-30,48.40,48.99,48.23,48.49,2048200,48.07
2012-11-29,48.14,48.99,48.10,48.92,2636100,48.50
2012-11-28,47.43,47.66,47.19,47.56,2734000,47.15
2012-11-27,47.60,48.01,47.13,47.60,3472600,47.19
2012-11-26,47.30,47.89,47.20,47.80,2471300,47.39
2012-11-23,46.29,47.66,46.18,47.66,1495000,47.25
2012-11-21,45.89,46.45,45.78,46.24,1752000,45.84
2012-11-20,45.82,46.14,45.69,46.07,2651000,45.67
2012-11-19,45.17,45.98,45.17,45.54,2551500,45.15
2012-11-16,43.89,45.02,43.89,44.84,2682200,44.45
