Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,57.95,58.10,57.15,57.85,874500,57.85
2013-07-11,57.61,58.02,57.40,57.97,677700,57.97
2013-07-10,56.80,57.15,56.46,57.09,582100,57.09
2013-07-09,56.29,56.85,56.06,56.78,727500,56.78
2013-07-08,55.07,56.20,54.98,56.13,844000,56.13
2013-07-05,54.73,54.92,54.02,54.84,545900,54.84
2013-07-03,54.54,55.05,54.53,54.79,477800,54.79
2013-07-02,54.86,55.47,54.79,55.07,736900,55.07
2013-07-01,55.85,56.19,54.70,54.95,1084000,54.95
2013-06-28,54.99,55.85,54.68,55.47,1232300,55.47
2013-06-27,54.95,56.27,54.90,55.13,1657000,55.13
2013-06-26,53.77,54.93,53.77,54.65,1592000,54.65
2013-06-25,52.79,53.60,52.38,53.41,814500,53.41
2013-06-24,52.06,52.86,51.78,52.48,634100,52.48
2013-06-21,52.59,52.98,51.56,52.76,1541900,52.76
2013-06-20,53.89,53.94,52.04,52.25,2191500,52.25
2013-06-19,56.20,56.20,54.32,54.33,1819600,54.33
2013-06-18,56.94,57.20,56.01,56.20,3102600,56.20
2013-06-17,57.78,58.13,57.20,57.40,491800,57.40
2013-06-14,57.32,57.79,57.24,57.55,760100,57.55
2013-06-13,56.18,57.38,55.88,57.32,563800,57.32
2013-06-12,56.96,57.10,55.98,56.18,491600,56.18
2013-06-11,56.84,57.14,56.33,56.66,961000,56.66
2013-06-10,56.72,56.88,56.36,56.73,453800,56.73
2013-06-07,56.51,57.02,55.93,56.67,418100,56.67
2013-06-06,55.65,56.38,55.46,56.38,417600,56.38
2013-06-05,55.71,55.94,55.34,55.57,746600,55.57
2013-06-04,56.53,56.69,55.62,55.88,1200100,55.88
2013-06-03,56.49,56.99,55.73,56.53,678700,56.53
2013-05-31,56.80,57.48,56.47,56.48,684700,56.48
2013-05-30,56.60,57.73,56.43,56.90,1105000,56.90
2013-05-29,57.03,57.14,55.60,55.96,954600,55.96
2013-05-28,58.02,58.03,57.16,57.41,991800,57.41
2013-05-24,58.31,58.51,57.50,57.67,498400,57.67
2013-05-23,58.78,58.78,57.48,58.48,721500,58.48
2013-05-22,60.05,60.80,58.78,59.15,880300,59.15
2013-05-21,60.27,60.54,59.71,60.09,753900,60.09
2013-05-20,60.51,60.64,60.09,60.18,373200,60.18
2013-05-17,60.23,60.66,60.00,60.57,1030100,60.57
2013-05-16,60.15,60.22,59.84,60.06,1213200,60.06
2013-05-15,59.39,60.69,59.23,60.22,855800,60.22
2013-05-14,58.96,59.59,58.68,59.38,563600,59.38
2013-05-13,59.12,59.20,58.77,59.01,606400,59.01
2013-05-10,59.25,59.44,58.92,59.33,978900,59.33
2013-05-09,60.68,60.75,59.18,59.48,1230800,59.48
2013-05-08,61.28,61.44,60.44,60.80,659000,60.80
2013-05-07,60.73,61.42,60.35,61.41,671200,61.41
2013-05-06,61.89,61.89,60.63,60.67,933100,60.67
2013-05-03,61.12,61.83,60.85,61.48,754600,61.48
2013-05-02,60.79,60.79,60.10,60.52,624100,60.52
2013-05-01,60.82,61.10,60.50,60.58,520100,60.58
2013-04-30,60.68,61.00,60.50,60.90,659000,60.90
2013-04-29,60.62,60.98,60.16,60.88,479200,60.88
2013-04-26,60.76,61.04,60.56,60.70,1797500,60.15
2013-04-25,60.48,61.09,60.29,60.76,1850400,60.21
2013-04-24,59.83,60.50,59.59,60.33,613800,59.79
2013-04-23,60.21,60.22,59.32,59.91,514300,59.37
2013-04-22,59.50,60.24,59.14,59.95,803800,59.41
2013-04-19,58.67,59.42,58.51,59.41,511200,58.88
2013-04-18,58.52,58.81,58.08,58.54,1179600,58.01
2013-04-17,58.70,58.79,57.80,58.36,981000,57.84
2013-04-16,58.74,59.09,58.09,58.88,504400,58.35
2013-04-15,59.30,59.49,58.33,58.33,561800,57.81
2013-04-12,59.11,59.54,59.11,59.49,431900,58.96
2013-04-11,58.91,59.30,58.71,59.27,733500,58.74
2013-04-10,58.25,58.87,58.25,58.78,493700,58.25
2013-04-09,58.72,58.73,58.12,58.16,659300,57.64
2013-04-08,58.15,58.74,57.89,58.65,565200,58.12
2013-04-05,57.54,58.16,57.50,58.12,477700,57.60
2013-04-04,57.55,58.01,57.55,57.97,516900,57.45
2013-04-03,57.78,57.83,57.41,57.60,616800,57.08
2013-04-02,57.75,57.99,57.53,57.70,664800,57.18
2013-04-01,57.89,57.94,57.54,57.66,521500,57.14
2013-03-28,57.17,57.96,57.11,57.89,880100,57.37
2013-03-27,56.74,57.24,56.60,57.21,489600,56.70
2013-03-26,56.80,57.09,56.76,57.07,550900,56.56
2013-03-25,56.89,57.31,56.50,56.64,479200,56.13
2013-03-22,56.75,56.95,56.15,56.74,337500,56.23
2013-03-21,56.90,57.04,56.57,56.71,342500,56.20
2013-03-20,56.92,57.38,56.80,57.09,526400,56.58
2013-03-19,56.86,56.96,56.38,56.66,654200,56.15
2013-03-18,56.57,56.83,56.50,56.60,287600,56.09
2013-03-15,56.78,57.05,56.64,56.98,853400,56.47
2013-03-14,57.11,57.17,56.83,57.00,605500,56.49
2013-03-13,56.93,57.06,56.70,56.98,407100,56.47
2013-03-12,57.07,57.10,56.63,56.92,380900,56.41
2013-03-11,56.90,57.14,56.90,57.06,343700,56.55
2013-03-08,57.12,57.22,56.76,57.05,264500,56.54
2013-03-07,57.31,57.53,57.01,57.03,398500,56.52
2013-03-06,57.31,57.50,57.18,57.31,716300,56.80
2013-03-05,57.07,57.38,56.98,57.22,629200,56.71
2013-03-04,55.98,56.89,55.94,56.87,802200,56.36
2013-03-01,55.90,56.10,55.56,56.04,880200,55.54
2013-02-28,55.24,56.01,55.14,55.94,804400,55.44
2013-02-27,54.74,55.28,54.74,55.24,659800,54.74
2013-02-26,54.62,55.17,54.54,54.79,724800,54.30
2013-02-25,55.65,55.95,54.38,54.38,901500,53.89
2013-02-22,54.69,55.41,54.51,55.40,512200,54.90
2013-02-21,54.80,54.93,54.55,54.59,490600,54.10
2013-02-20,55.02,55.29,54.75,54.80,597100,54.31
2013-02-19,54.47,55.07,54.42,54.98,648900,54.49
2013-02-15,54.37,54.48,54.24,54.34,611600,53.85
2013-02-14,54.45,54.63,54.31,54.33,809900,53.84
2013-02-13,54.52,54.78,54.44,54.56,912400,54.07
2013-02-12,54.16,54.53,54.11,54.49,474800,54.00
2013-02-11,53.97,54.20,53.87,54.13,815800,53.64
2013-02-08,53.60,53.96,53.30,53.95,454700,53.47
2013-02-07,53.76,53.79,53.30,53.58,443500,53.10
2013-02-06,53.19,53.65,52.95,53.62,1018500,53.14
2013-02-05,53.53,53.74,53.30,53.36,584500,52.88
2013-02-04,53.31,53.44,53.19,53.31,710100,52.83
2013-02-01,53.58,53.61,53.33,53.43,944900,52.95
2013-01-31,53.34,53.53,53.31,53.38,1221600,52.90
2013-01-30,53.28,53.49,52.63,53.36,1259800,52.88
2013-01-29,53.25,53.62,53.19,53.49,2359800,52.47
2013-01-28,53.51,53.51,53.06,53.25,1727700,52.23
2013-01-25,53.13,53.37,52.99,53.32,1869500,52.30
2013-01-24,52.69,53.15,52.69,53.10,652700,52.09
2013-01-23,52.70,52.78,52.50,52.60,404700,51.60
2013-01-22,52.40,52.93,52.33,52.85,401500,51.84
2013-01-18,52.36,52.46,52.01,52.44,513000,51.44
2013-01-17,51.96,52.23,51.86,52.13,371200,51.14
2013-01-16,51.95,52.14,51.79,51.90,345600,50.91
2013-01-15,51.89,52.15,51.69,52.14,476100,51.15
2013-01-14,51.87,52.23,51.84,51.97,346600,50.98
2013-01-11,52.38,52.38,51.64,51.91,576600,50.92
2013-01-10,52.15,52.28,51.97,52.18,448700,51.18
2013-01-09,51.94,51.99,51.54,51.93,406700,50.94
2013-01-08,51.71,51.95,51.50,51.94,498700,50.95
2013-01-07,52.20,52.24,51.75,51.89,635100,50.90
2013-01-04,52.44,52.55,52.28,52.40,410800,51.40
2013-01-03,52.34,52.60,52.10,52.36,643200,51.36
2013-01-02,51.72,52.40,51.69,52.40,613700,51.40
2012-12-31,50.51,51.08,50.12,50.98,776300,50.01
2012-12-28,50.78,51.15,50.50,50.52,770600,49.56
2012-12-27,51.34,51.47,50.51,51.03,385500,50.06
2012-12-26,52.04,52.04,51.30,51.33,289500,50.35
2012-12-24,52.18,52.19,51.55,51.93,242300,50.94
2012-12-21,52.13,52.46,51.87,52.14,1267100,51.15
2012-12-20,51.89,52.31,51.70,52.23,598600,51.23
2012-12-19,52.21,52.21,51.72,51.86,560400,50.87
2012-12-18,51.76,52.15,51.51,52.11,1098800,51.12
2012-12-17,50.86,51.71,50.81,51.69,593900,50.70
2012-12-14,50.70,51.43,50.66,50.75,577100,49.78
2012-12-13,51.21,51.33,50.62,50.75,408700,49.78
2012-12-12,51.41,51.74,51.18,51.24,687300,50.26
2012-12-11,51.53,51.66,51.29,51.49,525000,50.51
2012-12-10,51.40,51.62,51.17,51.53,513200,50.55
2012-12-07,51.41,51.63,51.20,51.34,680300,50.36
2012-12-06,51.61,51.99,51.41,51.44,550300,50.46
2012-12-05,51.01,52.10,50.95,51.71,730900,50.72
2012-12-04,51.47,51.66,51.34,51.38,516600,50.40
2012-12-03,51.58,51.64,50.92,51.46,531000,50.48
2012-11-30,50.92,51.50,50.92,51.46,681500,50.48
2012-11-29,50.55,50.83,50.37,50.83,451100,49.86
2012-11-28,49.90,50.55,49.55,50.47,962500,49.51
2012-11-27,49.76,50.16,49.67,49.90,437700,48.95
2012-11-26,49.21,50.01,49.17,49.78,425800,48.83
2012-11-23,49.61,49.68,48.95,49.28,282000,48.34
2012-11-21,49.84,50.19,49.09,49.48,499400,48.54
2012-11-20,49.45,49.90,49.27,49.65,1119000,48.70
2012-11-19,50.14,50.14,49.26,49.58,746500,48.63
2012-11-16,49.14,49.83,48.87,49.81,1074200,48.86
2012-11-15,49.43,49.86,48.73,49.16,809800,48.22
2012-11-14,49.59,49.74,49.09,49.33,744800,48.39
2012-11-13,49.09,49.80,49.01,49.58,746200,48.63
2012-11-12,49.40,49.55,49.01,49.28,697300,48.34
2012-11-09,49.75,50.09,49.06,49.36,1318200,48.42
2012-11-08,50.30,50.91,50.11,50.11,540500,49.15
2012-11-07,51.38,51.44,50.00,50.31,605100,49.35
2012-11-06,51.80,52.02,51.48,51.59,663000,50.61
2012-11-05,51.94,52.36,51.72,51.80,563900,50.81
2012-11-02,53.08,53.08,52.05,52.17,1155300,51.17
2012-11-01,53.32,53.36,52.80,52.93,533400,51.92
2012-10-31,52.81,53.34,52.75,52.97,541300,51.96
2012-10-26,53.11,53.15,52.76,52.86,350300,51.32
