Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,20.27,20.35,20.08,20.24,2703600,20.24
2013-07-11,20.13,20.31,20.02,20.25,5099500,20.25
2013-07-10,19.61,20.01,19.54,19.91,2997100,19.91
2013-07-09,19.60,19.72,19.56,19.60,5633000,19.60
2013-07-08,19.48,19.61,19.40,19.54,5538800,19.54
2013-07-05,19.52,19.55,19.19,19.38,3013200,19.38
2013-07-03,19.57,19.60,19.41,19.48,2059500,19.48
2013-07-02,19.82,19.91,19.54,19.63,7782300,19.63
2013-07-01,20.28,20.30,19.76,19.82,2750500,19.82
2013-06-28,20.21,20.27,19.94,20.16,2285900,20.16
2013-06-27,20.31,20.45,20.13,20.21,1552300,20.21
2013-06-26,20.07,20.27,19.99,20.19,1256400,20.19
2013-06-25,19.91,19.97,19.75,19.91,1800300,19.91
2013-06-24,19.75,19.88,19.52,19.73,2479400,19.73
2013-06-21,19.52,20.07,19.35,19.88,3764700,19.88
2013-06-20,19.77,19.80,19.37,19.42,2858700,19.42
2013-06-19,20.34,20.42,19.89,19.89,2245400,19.89
2013-06-18,20.27,20.41,20.21,20.36,1407400,20.36
2013-06-17,20.37,20.45,20.14,20.27,1261000,20.27
2013-06-14,20.31,20.44,20.22,20.28,1280400,20.28
2013-06-13,20.00,20.35,19.86,20.30,1972900,20.30
2013-06-12,20.31,20.37,19.96,20.02,1962200,20.02
2013-06-11,20.32,20.45,20.18,20.19,2603300,20.19
2013-06-10,20.64,20.68,20.38,20.49,1687800,20.49
2013-06-07,20.59,20.74,20.31,20.62,2152900,20.62
2013-06-06,20.36,20.53,20.12,20.53,2937800,20.53
2013-06-05,20.76,20.76,20.45,20.55,2567300,20.28
2013-06-04,20.82,20.87,20.57,20.74,3009100,20.47
2013-06-03,20.78,21.00,20.48,20.83,2877100,20.56
2013-05-31,20.97,21.18,20.77,20.77,2017200,20.50
2013-05-30,20.97,21.30,20.97,21.02,2164800,20.74
2013-05-29,21.16,21.19,20.63,20.85,2639500,20.58
2013-05-28,21.29,21.39,21.15,21.28,2386800,21.00
2013-05-24,21.33,21.38,21.14,21.23,1298400,20.95
2013-05-23,21.65,21.67,21.07,21.43,2815100,21.15
2013-05-22,22.27,22.49,21.66,21.80,2235700,21.51
2013-05-21,22.05,22.31,21.99,22.29,1837400,22.00
2013-05-20,22.05,22.09,21.93,22.00,946900,21.71
2013-05-17,21.93,22.13,21.80,22.05,1841100,21.76
2013-05-16,22.14,22.14,21.85,21.91,1691300,21.62
2013-05-15,21.93,22.20,21.85,22.15,2620800,21.86
2013-05-14,21.73,22.05,21.68,21.98,2296700,21.69
2013-05-13,21.77,21.78,21.51,21.71,1802200,21.42
2013-05-10,21.56,21.83,21.53,21.81,2173500,21.52
2013-05-09,22.05,22.09,21.50,21.56,6738200,21.28
2013-05-08,22.06,22.22,21.88,22.02,2241600,21.73
2013-05-07,22.04,22.21,22.04,22.13,1800800,21.84
2013-05-06,22.51,22.53,22.02,22.04,1599700,21.75
2013-05-03,22.61,22.72,22.36,22.51,2028200,22.21
2013-05-02,22.43,22.57,22.35,22.55,1974500,22.25
2013-05-01,22.60,22.71,22.42,22.46,1534700,22.16
2013-04-30,22.55,22.67,22.43,22.60,2494300,22.30
2013-04-29,22.27,22.60,22.15,22.54,1860500,22.24
2013-04-26,22.14,22.34,22.13,22.18,1770500,21.89
2013-04-25,22.16,22.25,22.05,22.15,1605500,21.86
2013-04-24,21.93,22.15,21.80,22.10,1401300,21.81
2013-04-23,21.87,21.89,21.70,21.89,1971400,21.60
2013-04-22,21.91,21.91,21.68,21.76,1828900,21.47
2013-04-19,21.53,21.93,21.41,21.92,1976500,21.63
2013-04-18,21.55,21.64,21.36,21.45,2450800,21.17
2013-04-17,21.55,21.65,21.26,21.49,2763600,21.21
2013-04-16,21.59,21.77,21.39,21.77,3107300,21.48
2013-04-15,21.97,21.97,21.51,21.52,2934400,21.24
2013-04-12,22.00,22.12,21.87,22.05,5409900,21.76
2013-04-11,22.10,22.13,22.00,22.08,1866900,21.79
2013-04-10,21.87,22.08,21.84,22.08,2986600,21.79
2013-04-09,22.02,22.09,21.81,21.81,2745200,21.52
2013-04-08,21.65,21.96,21.63,21.94,2520900,21.65
2013-04-05,21.45,21.70,21.43,21.61,1686000,21.33
2013-04-04,21.48,21.58,21.45,21.55,987500,21.27
2013-04-03,21.49,21.51,21.36,21.43,1728100,21.15
2013-04-02,21.62,21.67,21.42,21.45,2847200,21.17
2013-04-01,21.41,21.55,21.28,21.48,1857100,21.20
2013-03-28,21.14,21.43,21.14,21.40,2091500,21.12
2013-03-27,20.87,21.12,20.82,21.12,1602500,20.84
2013-03-26,20.88,20.96,20.84,20.95,1476900,20.67
2013-03-25,20.72,20.88,20.68,20.83,1992800,20.56
2013-03-22,20.69,20.77,20.58,20.65,1589800,20.38
2013-03-21,20.77,20.79,20.63,20.63,1787900,20.36
2013-03-20,20.76,20.83,20.62,20.79,1963100,20.52
2013-03-19,20.78,20.79,20.58,20.70,1477600,20.43
2013-03-18,20.76,20.81,20.67,20.71,1853800,20.44
2013-03-15,20.74,20.89,20.66,20.86,1665900,20.59
2013-03-14,20.73,20.88,20.67,20.84,1237400,20.57
2013-03-13,20.64,20.76,20.55,20.75,1049200,20.48
2013-03-12,20.57,20.66,20.50,20.64,1845300,20.37
2013-03-11,20.41,20.57,20.40,20.55,1060400,20.28
2013-03-08,20.38,20.48,20.32,20.45,1052100,20.18
2013-03-07,20.49,20.60,20.35,20.36,1325200,20.09
2013-03-06,20.85,20.85,20.67,20.78,2131000,20.24
2013-03-05,20.76,20.89,20.70,20.80,2038700,20.26
2013-03-04,20.50,20.85,20.42,20.68,2307400,20.14
2013-03-01,20.29,20.53,20.10,20.53,2741200,20.00
2013-02-28,20.30,20.49,20.25,20.29,2046900,19.76
2013-02-27,20.16,20.35,20.12,20.30,1325100,19.77
2013-02-26,20.03,20.25,19.96,20.12,4268900,19.60
2013-02-25,20.29,20.49,20.05,20.05,4776700,19.53
2013-02-22,19.90,20.28,19.90,20.26,5028300,19.73
2013-02-21,20.10,20.20,20.02,20.03,1108800,19.51
2013-02-20,20.18,20.34,20.11,20.11,1505100,19.59
2013-02-19,19.91,20.19,19.87,20.16,2713400,19.64
2013-02-15,19.76,19.89,19.74,19.86,1814300,19.34
2013-02-14,19.75,19.81,19.64,19.73,1118200,19.22
2013-02-13,19.72,19.81,19.69,19.78,1192500,19.27
2013-02-12,19.56,19.72,19.51,19.70,1556600,19.19
2013-02-11,19.55,19.62,19.50,19.59,1514500,19.08
2013-02-08,19.60,19.60,19.43,19.57,1337600,19.06
2013-02-07,19.62,19.65,19.45,19.55,1650200,19.04
2013-02-06,19.50,19.60,19.34,19.60,1137200,19.09
2013-02-05,19.48,19.58,19.40,19.46,1013700,18.95
2013-02-04,19.40,19.47,19.33,19.37,1287500,18.87
2013-02-01,19.56,19.58,19.22,19.45,1461100,18.95
2013-01-31,19.35,19.60,19.31,19.52,1303700,19.01
2013-01-30,19.38,19.50,19.37,19.41,902400,18.91
2013-01-29,19.25,19.42,19.20,19.41,1324100,18.91
2013-01-28,19.25,19.32,19.12,19.24,930000,18.74
2013-01-25,19.30,19.35,19.11,19.26,1114800,18.76
2013-01-24,19.29,19.38,19.19,19.27,2367700,18.77
2013-01-23,19.23,19.28,19.07,19.27,3224100,18.77
2013-01-22,19.04,19.24,19.03,19.20,1585500,18.70
2013-01-18,19.05,19.06,18.97,19.04,1853000,18.55
2013-01-17,19.03,19.10,18.99,19.03,1913200,18.54
2013-01-16,19.14,19.18,18.95,19.01,1707300,18.52
2013-01-15,19.10,19.20,19.02,19.20,2060800,18.70
2013-01-14,19.10,19.22,19.02,19.11,2134800,18.61
2013-01-11,18.87,19.19,18.82,19.08,6249500,18.58
2013-01-10,20.07,20.09,19.23,19.42,11518800,18.92
2013-01-09,20.11,20.12,19.94,20.02,1333400,19.50
2013-01-08,20.19,20.22,20.04,20.11,1160900,19.59
2013-01-07,20.38,20.38,20.16,20.21,984900,19.69
2013-01-04,20.35,20.45,20.29,20.43,1606500,19.90
2013-01-03,20.28,20.42,20.18,20.30,2611400,19.77
2013-01-02,19.85,20.25,19.85,20.25,3891500,19.72
2012-12-31,19.34,19.64,19.15,19.61,3085600,19.10
2012-12-28,19.26,19.44,19.16,19.31,2108800,18.81
2012-12-27,19.46,19.56,19.13,19.33,1893000,18.83
2012-12-26,19.75,19.82,19.44,19.49,1214800,18.98
2012-12-24,19.74,19.75,19.56,19.73,627700,19.22
2012-12-21,19.70,19.90,19.66,19.76,4152100,19.25
2012-12-20,19.77,19.87,19.63,19.82,2016000,19.31
2012-12-19,19.88,19.91,19.70,19.72,945400,19.21
2012-12-18,19.79,19.94,19.65,19.87,3096800,19.35
2012-12-17,19.34,19.81,19.22,19.81,2237400,19.30
2012-12-14,19.51,19.61,19.42,19.46,1131700,18.95
2012-12-13,19.63,19.68,19.48,19.54,4241600,19.03
2012-12-12,19.76,19.83,19.62,19.64,1249600,19.13
2012-12-11,19.72,19.80,19.65,19.71,1561600,19.20
2012-12-10,19.54,19.77,19.50,19.72,2088800,19.21
2012-12-07,19.47,19.60,19.45,19.51,1368500,19.00
2012-12-06,19.67,19.68,19.44,19.47,1780700,18.96
2012-12-05,19.65,19.95,19.59,19.78,2212600,19.00
2012-12-04,19.22,19.77,19.22,19.63,1417300,18.86
2012-12-03,19.84,19.85,19.55,19.70,1421200,18.93
2012-11-30,19.70,19.75,19.56,19.74,1937200,18.97
2012-11-29,19.51,19.65,19.43,19.62,1118900,18.85
2012-11-28,19.36,19.51,19.28,19.46,1355100,18.70
2012-11-27,19.39,19.51,19.33,19.37,1403600,18.61
2012-11-26,19.11,19.46,19.11,19.35,2304600,18.59
2012-11-23,19.13,19.15,19.00,19.11,882600,18.36
2012-11-21,19.07,19.16,18.97,19.08,1691700,18.33
2012-11-20,19.13,19.27,18.91,19.06,1195200,18.31
2012-11-19,19.31,19.32,19.05,19.10,1451000,18.35
2012-11-16,18.96,19.18,18.85,19.18,2445700,18.43
2012-11-15,19.01,19.16,18.80,18.87,1671300,18.13
2012-11-14,19.04,19.16,18.93,19.02,2731100,18.27
2012-11-13,18.87,19.16,18.85,19.04,1539100,18.29
2012-11-12,19.10,19.10,18.91,18.96,1444500,18.22
2012-11-09,19.04,19.20,19.02,19.05,2065500,18.30
2012-11-08,19.08,19.36,19.06,19.12,1861800,18.37
2012-11-07,19.59,19.59,19.11,19.14,2399200,18.39
2012-11-06,19.70,19.83,19.58,19.65,1848700,18.88
2012-11-05,19.66,19.66,19.50,19.63,2339200,18.86
2012-11-02,19.86,19.87,19.58,19.64,2707700,18.87
2012-11-01,19.91,19.97,19.76,19.81,1596800,19.03
2012-10-31,19.76,20.04,19.74,19.87,1909400,19.09
2012-10-26,19.86,19.94,19.69,19.76,1599100,18.98
2012-10-25,19.86,19.97,19.76,19.86,2275300,19.08
2012-10-24,19.79,19.95,19.73,19.76,1546000,18.98
2012-10-23,19.80,19.87,19.76,19.81,1824700,19.03
2012-10-22,20.02,20.03,19.90,19.94,1495000,19.16
2012-10-19,19.86,20.06,19.80,20.06,3820300,19.27
2012-10-18,19.59,19.91,19.55,19.90,2439000,19.12
2012-10-17,19.39,19.60,19.37,19.59,1487700,18.82
