Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,157.91,158.13,156.19,157.73,792300,157.73
2013-07-11,159.12,159.51,157.13,158.03,885500,158.03
2013-07-10,156.58,157.00,155.36,156.04,582200,156.04
2013-07-09,154.53,156.79,153.04,156.53,858000,156.53
2013-07-08,153.30,153.65,151.31,153.23,601500,153.23
2013-07-05,150.57,152.70,150.57,152.42,644600,152.42
2013-07-03,147.14,149.94,144.58,149.59,369200,149.59
2013-07-02,147.85,149.82,147.74,149.08,701900,149.08
2013-07-01,147.05,150.19,146.56,148.44,681500,148.44
2013-06-28,147.92,148.24,146.00,146.41,2336000,146.41
2013-06-27,150.10,150.52,148.34,149.03,779900,149.03
2013-06-26,148.69,149.96,146.90,149.00,762300,149.00
2013-06-25,149.18,150.24,146.77,147.83,650200,147.83
2013-06-24,148.83,148.87,145.21,146.68,769200,146.68
2013-06-21,151.91,152.04,147.63,148.90,1046300,148.90
2013-06-20,152.25,152.76,149.61,150.08,1065200,150.08
2013-06-19,156.32,157.22,154.09,154.17,501000,154.17
2013-06-18,156.04,156.75,155.11,156.57,516200,156.57
2013-06-17,155.00,156.94,154.36,156.11,557800,156.11
2013-06-14,154.37,155.72,153.11,153.83,459700,153.83
2013-06-13,150.46,155.90,150.46,155.27,827600,155.27
2013-06-12,153.35,153.69,150.68,150.95,409300,150.95
2013-06-11,151.79,153.83,151.01,151.90,440600,151.90
2013-06-10,155.99,155.99,153.10,154.27,318300,154.27
2013-06-07,153.09,155.34,152.52,154.92,683500,154.92
2013-06-06,149.15,151.58,149.04,151.27,444100,151.27
2013-06-05,153.06,153.45,149.93,149.99,573100,149.99
2013-06-04,154.89,156.21,152.85,153.56,566000,153.56
2013-06-03,154.47,155.29,152.20,155.14,661600,155.14
2013-05-31,155.63,156.54,153.61,153.61,550300,153.61
2013-05-30,157.39,157.63,155.72,156.31,404800,156.31
2013-05-29,156.21,157.92,155.58,157.10,383900,157.10
2013-05-28,158.89,159.50,156.08,157.33,568500,157.33
2013-05-24,155.64,157.43,154.33,156.83,550300,156.83
2013-05-23,155.43,157.90,154.36,156.86,558800,156.86
2013-05-22,158.89,160.83,156.59,157.55,646300,157.55
2013-05-21,157.54,159.43,157.02,158.94,705200,158.94
2013-05-20,158.36,158.48,155.80,157.06,646500,157.06
2013-05-17,156.71,158.89,155.89,158.84,572400,158.84
2013-05-16,156.07,157.40,155.40,155.55,495500,155.55
2013-05-15,156.06,157.85,155.57,156.47,824300,156.47
2013-05-14,153.49,156.86,153.34,156.81,624300,156.81
2013-05-13,153.65,153.97,152.43,153.21,381700,153.21
2013-05-10,153.79,154.60,153.11,154.13,540800,154.13
2013-05-09,154.66,155.13,153.58,153.92,886000,153.92
2013-05-08,152.96,155.18,152.38,155.14,966200,155.14
2013-05-07,151.88,153.38,151.78,153.22,508800,152.61
2013-05-06,152.13,152.13,150.61,151.76,572100,151.16
2013-05-03,150.60,152.58,150.01,152.28,1020600,151.67
2013-05-02,145.88,148.88,145.31,148.48,823500,147.89
2013-05-01,145.82,147.09,145.11,145.20,1072200,144.62
2013-04-30,147.10,147.36,145.63,147.14,817900,146.55
2013-04-29,145.64,147.21,144.88,147.02,556200,146.43
2013-04-26,146.76,146.85,144.25,144.93,572400,144.35
2013-04-25,146.00,148.56,145.46,146.91,967900,146.33
2013-04-24,145.00,145.85,144.35,144.98,891900,144.40
2013-04-23,143.95,144.88,143.12,144.80,796700,144.22
2013-04-22,141.62,144.05,140.81,143.55,1105700,142.98
2013-04-19,140.66,142.23,139.60,141.59,1803500,141.03
2013-04-18,135.66,142.00,135.66,140.65,2390500,140.09
2013-04-17,133.39,133.98,131.75,132.40,1099300,131.87
2013-04-16,132.71,134.67,132.11,134.55,1311500,134.01
2013-04-15,135.17,135.46,131.39,131.44,1238700,130.92
2013-04-12,136.95,137.44,135.52,136.25,690000,135.71
2013-04-11,134.69,138.13,134.62,137.61,1087000,137.06
2013-04-10,133.11,134.88,132.82,134.66,1041100,134.12
2013-04-09,131.52,132.95,131.38,132.65,1280900,132.12
2013-04-08,131.60,132.06,130.56,131.45,1015900,130.93
2013-04-05,131.73,132.75,130.63,131.73,884300,131.21
2013-04-04,133.04,134.89,132.50,133.90,915300,133.37
2013-04-03,134.05,134.05,132.20,132.72,1368100,132.19
2013-04-02,134.76,134.99,133.19,133.69,841000,133.16
2013-04-01,133.65,134.47,133.20,134.16,1658400,133.63
2013-03-28,133.33,134.09,132.87,133.94,1053400,133.41
2013-03-27,133.07,133.70,131.95,133.42,936500,132.89
2013-03-26,134.69,135.90,133.83,134.04,1194100,133.51
2013-03-25,136.31,136.47,132.64,133.89,1155400,133.36
2013-03-22,136.99,138.24,135.60,135.97,734400,135.43
2013-03-21,139.13,140.06,137.27,137.29,1016400,136.74
2013-03-20,141.36,142.16,140.84,141.01,864500,140.45
2013-03-19,141.69,141.71,139.54,140.87,866100,140.31
2013-03-18,139.01,141.86,138.72,141.10,668600,140.54
2013-03-15,142.12,143.50,139.11,141.30,1592600,140.74
2013-03-14,141.80,143.23,141.61,142.23,974700,141.66
2013-03-13,139.06,141.66,138.96,141.52,1324000,140.96
2013-03-12,137.55,139.29,137.55,139.14,1298800,138.59
2013-03-11,136.91,137.96,136.91,137.78,870400,137.23
2013-03-08,136.21,137.54,135.48,137.34,1051900,136.79
2013-03-07,135.72,135.96,134.91,135.47,966400,134.93
2013-03-06,136.56,136.91,134.76,135.45,1299200,134.91
2013-03-05,136.00,136.95,135.79,136.22,836900,135.68
2013-03-04,134.60,135.65,134.18,135.59,787300,135.05
2013-03-01,133.64,135.42,132.71,134.81,927100,134.27
2013-02-28,134.92,135.88,134.61,134.66,1350300,134.12
2013-02-27,132.11,135.42,131.86,134.66,1044400,134.12
2013-02-26,130.63,133.06,130.63,132.68,1728400,132.15
2013-02-25,132.85,133.78,130.28,130.30,1985800,129.78
2013-02-22,130.37,132.37,130.10,132.32,1644900,131.79
2013-02-21,130.65,130.65,128.20,130.08,2199200,129.56
2013-02-20,135.28,135.50,131.49,131.51,2590600,130.99
2013-02-19,138.68,139.25,135.53,135.71,2968600,134.58
2013-02-15,139.78,140.07,138.50,139.39,1738800,138.23
2013-02-14,138.66,139.36,137.91,139.00,2413100,137.84
2013-02-13,137.02,139.77,136.95,139.11,3813000,137.95
2013-02-12,138.39,138.39,135.45,136.45,4474100,135.32
2013-02-11,139.15,139.70,138.15,139.35,4025800,138.19
2013-02-08,137.99,139.28,137.39,138.88,4359700,137.73
2013-02-07,138.77,139.00,136.03,137.97,7747000,136.82
2013-02-06,137.93,138.87,136.86,138.33,4672500,137.18
2013-02-05,139.43,140.44,137.00,138.37,6171500,137.22
2013-02-04,139.74,140.29,138.36,138.94,5811000,137.79
2013-02-01,139.35,140.92,137.95,140.56,10083700,139.39
2013-01-31,139.17,140.20,137.77,137.87,2417400,136.72
2013-01-30,140.79,142.91,139.76,140.23,2004800,139.06
2013-01-29,140.00,141.30,139.13,141.06,5175900,139.89
2013-01-28,138.70,141.75,137.17,140.00,8192300,138.84
2013-01-25,145.00,147.99,142.67,144.21,13008900,143.01
2013-01-24,143.00,146.11,142.53,143.98,10460000,142.78
2013-01-23,142.36,143.77,141.86,143.41,11796200,142.22
2013-01-22,142.79,143.74,141.04,142.77,5836600,141.58
2013-01-18,141.47,143.50,137.75,142.73,5588400,141.54
2013-01-17,139.53,142.75,139.12,141.98,4282500,140.80
2013-01-16,139.44,139.69,137.00,139.13,4828300,137.97
2013-01-15,139.88,141.50,139.30,140.14,2436400,138.98
2013-01-14,140.50,142.75,140.00,141.03,2935300,139.86
2013-01-11,141.83,142.87,140.92,142.10,2850200,140.92
2013-01-10,142.26,142.38,139.99,141.77,3156200,140.59
2013-01-09,140.69,142.74,140.48,141.40,3486700,140.22
2013-01-08,138.29,140.48,136.20,140.23,4553500,139.06
2013-01-07,139.14,139.27,137.08,138.26,2674500,137.11
2013-01-04,138.00,139.61,137.25,139.47,1951200,138.31
2013-01-03,138.69,138.97,137.18,137.75,2635700,136.61
2013-01-02,138.34,140.41,137.42,138.55,3188800,137.40
