Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,128.64,129.00,127.70,128.49,604700,128.49
2013-07-11,128.57,129.08,127.57,128.21,753200,128.21
2013-07-10,126.51,128.03,126.51,127.84,1174200,127.84
2013-07-09,125.09,126.71,124.70,126.42,1268100,126.42
2013-07-08,124.40,124.56,123.37,124.32,514200,124.32
2013-07-05,122.15,123.95,121.64,123.77,685200,123.77
2013-07-03,121.84,122.30,120.99,122.13,415600,122.13
2013-07-02,121.47,122.26,120.94,122.01,506900,122.01
2013-07-01,121.19,122.55,120.60,121.94,670500,121.94
2013-06-28,120.86,121.96,119.95,121.00,743800,121.00
2013-06-27,119.86,120.94,119.52,120.88,396700,120.88
2013-06-26,119.14,120.12,118.86,119.60,498100,119.60
2013-06-25,119.55,119.55,117.78,118.79,403500,118.79
2013-06-24,118.88,119.55,117.89,118.50,773600,118.50
2013-06-21,119.25,119.78,118.21,119.61,719500,119.61
2013-06-20,119.79,119.79,118.14,118.45,619600,118.45
2013-06-19,120.30,122.04,119.96,120.09,667500,120.09
2013-06-18,119.47,121.30,119.44,121.16,502300,121.16
2013-06-17,119.89,120.50,118.69,119.51,764500,119.51
2013-06-14,117.31,119.06,117.31,118.60,456700,118.60
2013-06-13,116.18,118.21,115.43,118.07,804300,118.07
2013-06-12,118.15,118.57,115.89,116.47,798700,116.47
2013-06-11,116.39,117.85,115.88,117.15,408600,117.15
2013-06-10,117.38,117.90,116.67,117.39,470600,117.39
2013-06-07,117.87,118.40,116.29,116.81,551200,116.81
2013-06-06,113.86,117.80,113.76,117.52,1177700,117.52
2013-06-05,115.40,115.43,112.05,113.14,4750100,113.14
2013-06-04,116.38,116.55,113.98,114.62,596500,114.62
2013-06-03,116.24,116.35,114.10,115.95,673100,115.95
2013-05-31,116.80,116.97,115.36,115.84,905400,115.84
2013-05-30,117.18,118.18,116.87,117.20,358400,117.20
2013-05-29,119.08,119.35,116.70,117.03,727200,117.03
2013-05-28,119.60,119.95,118.90,119.34,675900,119.25
2013-05-24,117.35,119.13,116.67,118.92,403800,118.83
2013-05-23,117.71,118.70,116.97,117.86,548400,117.77
2013-05-22,119.01,120.45,117.25,118.07,505200,117.98
2013-05-21,118.59,119.31,117.93,118.65,322800,118.56
2013-05-20,119.48,120.52,118.74,119.03,320500,118.94
2013-05-17,120.32,120.74,119.22,119.48,493800,119.39
2013-05-16,120.60,120.95,119.72,119.81,590300,119.72
2013-05-15,120.45,121.33,119.80,121.05,597800,120.96
2013-05-14,119.56,120.72,118.92,120.38,508600,120.29
2013-05-13,119.45,120.07,119.19,119.41,371600,119.32
2013-05-10,117.33,119.72,117.32,119.64,385300,119.55
2013-05-09,117.82,118.75,116.71,117.03,470100,116.94
2013-05-08,116.17,120.30,115.93,118.28,623900,118.19
2013-05-07,116.86,116.86,113.38,116.29,1755200,116.20
2013-05-06,119.20,119.50,118.35,118.84,414200,118.75
2013-05-03,119.69,120.67,118.90,119.23,407600,119.14
2013-05-02,118.73,119.49,118.05,118.61,244200,118.52
2013-05-01,119.25,119.95,118.10,118.53,247700,118.44
2013-04-30,119.55,119.67,118.27,119.41,369100,119.32
2013-04-29,119.12,120.28,118.57,120.08,268600,119.99
2013-04-26,119.17,119.87,118.38,118.81,267000,118.72
2013-04-25,117.95,119.54,117.48,119.02,593200,118.93
2013-04-24,120.11,120.11,117.55,117.80,538300,117.71
2013-04-23,120.30,121.12,118.60,119.98,410200,119.89
2013-04-22,120.47,120.89,118.87,119.76,660000,119.67
2013-04-19,117.16,119.56,117.16,119.47,370000,119.38
2013-04-18,117.40,117.87,116.62,117.70,335500,117.61
2013-04-17,117.52,117.98,116.18,117.85,473200,117.76
2013-04-16,117.79,118.66,116.38,118.41,521600,118.32
2013-04-15,119.76,120.48,117.10,117.30,530500,117.21
2013-04-12,120.13,120.49,119.33,119.92,367200,119.83
2013-04-11,119.93,120.09,119.28,119.74,419000,119.65
2013-04-10,118.75,119.74,118.09,119.68,368100,119.59
2013-04-09,118.37,118.88,117.87,118.39,373600,118.30
2013-04-08,117.65,118.70,116.70,118.70,346700,118.61
2013-04-05,117.35,118.21,116.68,118.05,307500,117.96
2013-04-04,118.70,118.73,117.49,118.51,245200,118.42
2013-04-03,119.43,119.85,117.76,118.50,357200,118.41
2013-04-02,119.07,120.94,119.07,119.74,963300,119.65
2013-04-01,118.42,119.33,117.77,118.87,573700,118.78
2013-03-28,117.35,118.86,117.09,118.74,702300,118.65
2013-03-27,117.15,117.82,116.42,117.17,349200,117.08
2013-03-26,118.34,118.60,117.42,117.54,446300,117.45
2013-03-25,118.60,118.60,117.42,118.08,430200,117.99
2013-03-22,117.88,118.74,117.57,118.25,359200,118.16
2013-03-21,117.16,118.37,117.14,118.27,598200,118.18
2013-03-20,118.35,118.37,117.05,117.65,541600,117.56
2013-03-19,117.46,117.75,116.87,117.30,475500,117.21
2013-03-18,115.51,117.23,115.18,117.20,497300,117.11
2013-03-15,116.09,116.78,115.97,116.22,753100,116.13
2013-03-14,117.19,117.70,116.49,116.70,615600,116.61
2013-03-13,117.18,117.41,116.30,117.02,364500,116.93
2013-03-12,116.25,117.75,115.63,117.60,587100,117.51
2013-03-11,115.84,116.45,115.46,116.40,559500,116.31
2013-03-08,115.91,116.03,115.02,115.69,405300,115.60
2013-03-07,116.10,116.28,115.15,115.44,574200,115.35
2013-03-06,115.13,116.72,115.13,116.69,734400,116.60
2013-03-05,115.28,116.25,114.02,114.99,432100,114.90
2013-03-04,113.20,114.67,113.20,114.60,694500,114.51
2013-03-01,113.25,113.66,112.30,113.05,659800,112.96
2013-02-28,114.32,114.88,113.14,113.17,745000,113.08
2013-02-27,113.39,114.61,112.45,114.14,397500,114.05
2013-02-26,114.70,115.09,113.33,113.67,635600,113.49
2013-02-25,115.71,116.90,114.60,114.60,1060700,114.42
2013-02-22,114.14,114.50,112.85,113.31,390000,113.13
2013-02-21,113.61,114.48,112.77,113.58,643400,113.40
2013-02-20,115.10,115.43,114.13,114.13,431500,113.95
2013-02-19,113.80,115.00,113.80,114.73,618400,114.55
2013-02-15,113.16,113.64,112.69,113.58,686900,113.40
2013-02-14,111.69,113.29,111.37,113.16,751000,112.99
2013-02-13,111.44,112.28,111.38,111.72,534600,111.55
2013-02-12,111.60,112.38,111.35,111.55,857500,111.38
2013-02-11,109.50,111.89,109.02,111.40,1345600,111.23
2013-02-08,106.98,108.34,106.98,108.30,525400,108.13
2013-02-07,106.43,107.41,106.26,106.85,872300,106.68
2013-02-06,106.60,107.02,105.81,106.56,587700,106.40
2013-02-05,106.39,107.75,106.11,106.94,1376500,106.77
2013-02-04,106.33,107.92,105.51,105.75,1568800,105.59
2013-02-01,105.50,108.95,104.89,105.28,2609400,105.12
2013-01-31,99.47,100.99,99.08,100.51,1503500,100.35
2013-01-30,99.00,100.83,98.86,99.34,1441400,99.19
2013-01-29,101.37,101.67,98.79,99.25,1273700,99.10
2013-01-28,102.85,102.89,101.20,101.35,457400,101.19
2013-01-25,101.97,103.35,101.68,103.12,671800,102.96
2013-01-24,103.60,103.62,100.47,101.61,2385100,101.45
2013-01-23,104.11,104.49,102.95,103.57,359200,103.41
2013-01-22,103.92,104.50,103.61,104.21,518500,104.05
2013-01-18,103.50,104.02,103.43,104.00,593500,103.84
2013-01-17,104.87,104.95,103.51,103.72,493200,103.56
2013-01-16,105.55,106.08,104.42,104.69,478400,104.53
2013-01-15,103.96,105.49,103.96,105.10,407100,104.94
2013-01-14,103.65,105.10,103.52,104.47,585500,104.31
2013-01-11,106.10,107.48,103.07,103.85,1902000,103.69
2013-01-10,109.77,110.32,109.13,110.23,463600,110.06
2013-01-09,108.85,109.77,108.85,109.64,426500,109.47
2013-01-08,109.11,109.53,108.62,108.86,435200,108.69
2013-01-07,108.50,110.21,108.50,109.03,883900,108.86
2013-01-04,107.88,108.64,107.63,108.48,408000,108.31
2013-01-03,107.38,108.62,107.10,108.02,786700,107.85
2013-01-02,105.21,106.71,105.09,106.71,799500,106.55
2012-12-31,102.80,104.03,102.15,104.03,439200,103.87
2012-12-28,102.63,103.47,102.05,102.28,355000,102.12
2012-12-27,103.40,104.49,102.28,103.38,439500,103.22
2012-12-26,103.82,103.89,102.30,102.89,381900,102.73
2012-12-24,102.58,103.62,102.22,103.56,208000,103.40
2012-12-21,102.52,103.33,101.45,102.78,1014900,102.62
2012-12-20,102.95,103.88,102.22,103.64,691200,103.48
2012-12-19,103.96,104.58,102.65,102.92,1020900,102.76
2012-12-18,103.15,104.05,102.04,103.74,898400,103.58
2012-12-17,104.07,104.49,102.56,102.67,826500,102.51
2012-12-14,103.71,104.44,103.30,104.20,834200,104.04
2012-12-13,107.86,108.50,104.02,104.14,1295900,103.98
2012-12-12,105.63,105.67,103.55,104.81,854600,104.65
2012-12-11,105.80,106.39,104.31,105.42,724000,105.26
2012-12-10,102.64,104.91,102.06,104.87,537100,104.71
2012-12-07,103.00,103.00,101.81,102.34,670400,102.18
2012-12-06,104.44,104.55,102.52,102.71,581800,102.55
2012-12-05,105.53,105.67,103.90,104.81,729600,104.65
2012-12-04,102.97,105.64,102.75,105.00,866100,104.84
2012-12-03,103.64,103.86,102.31,102.54,454100,102.38
2012-11-30,103.02,103.69,102.89,103.50,759800,103.34
2012-11-29,103.75,103.98,102.44,103.19,465800,103.03
2012-11-28,102.01,103.33,100.51,103.27,522500,103.11
2012-11-27,102.45,102.51,100.92,102.20,406300,102.04
2012-11-26,103.70,103.88,101.95,102.67,543200,102.42
2012-11-23,102.22,103.40,101.61,103.38,307800,103.13
2012-11-21,102.32,102.50,101.42,102.14,512300,101.89
2012-11-20,101.96,102.48,100.99,102.28,532700,102.03
2012-11-19,102.99,103.48,100.30,101.92,1070600,101.67
2012-11-16,100.57,102.50,100.13,101.90,810400,101.65
2012-11-15,100.92,102.01,99.93,100.56,862400,100.32
2012-11-14,103.52,104.22,100.34,100.84,1060000,100.60
2012-11-13,104.85,105.04,103.35,103.43,764100,103.18
2012-11-12,107.62,107.62,104.88,105.12,555300,104.87
2012-11-09,104.56,107.00,103.00,105.57,1319500,105.31
2012-11-08,108.99,109.73,104.08,105.18,1585500,104.93
2012-11-07,110.50,111.59,105.71,109.65,2738300,109.38
2012-11-06,116.37,116.41,114.77,115.37,421700,115.09
2012-11-05,114.93,116.55,114.38,116.05,383100,115.77
2012-11-02,114.70,116.78,114.06,115.00,376200,114.72
2012-11-01,115.77,116.11,114.44,114.55,475300,114.27
2012-10-31,116.90,116.97,113.48,114.92,619900,114.64
2012-10-26,117.09,117.47,116.26,116.71,270500,116.43
2012-10-25,118.08,118.39,116.87,117.37,346700,117.09
2012-10-24,117.69,117.91,116.94,117.15,383700,116.87
2012-10-23,117.56,117.91,116.41,117.13,444900,116.85
2012-10-22,118.33,118.57,117.65,118.23,510200,117.94
2012-10-19,119.05,119.19,117.42,117.77,559300,117.48
2012-10-18,119.64,119.82,118.81,119.20,566400,118.91
2012-10-17,119.70,119.93,119.11,119.22,367000,118.93
2012-10-16,118.87,119.63,118.35,119.30,544200,119.01
2012-10-15,119.04,119.26,117.73,118.10,453100,117.81
2012-10-12,117.35,118.02,116.97,117.94,443800,117.65
2012-10-11,118.58,118.59,117.51,117.75,585400,117.46
2012-10-10,118.00,118.32,116.73,117.14,450800,116.86
2012-10-09,120.25,120.25,117.63,117.93,465600,117.64
2012-10-08,119.45,119.91,118.90,119.59,287000,119.30
2012-10-05,120.17,120.78,119.70,119.85,418200,119.56
2012-10-04,119.74,120.43,119.30,119.97,386300,119.68
2012-10-03,119.10,119.51,118.58,119.18,643700,118.89
2012-10-02,118.00,118.15,116.85,118.15,748000,117.86
2012-10-01,116.32,117.60,116.32,117.28,1079000,117.00
2012-09-28,116.49,116.84,115.59,116.17,471400,115.89
2012-09-27,117.80,117.93,116.34,116.59,470600,116.31
2012-09-26,117.04,117.49,115.95,116.25,277100,115.97
2012-09-25,117.28,118.51,116.69,116.80,534600,116.52
2012-09-24,116.01,117.53,115.73,117.27,438200,116.99
2012-09-21,115.41,117.40,115.10,117.23,1642100,116.95
2012-09-20,114.18,115.08,113.95,115.06,506100,114.78
2012-09-19,114.80,115.09,114.00,114.69,401000,114.41
2012-09-18,113.11,114.98,112.57,114.81,473100,114.53
2012-09-17,111.96,113.51,111.69,112.78,542300,112.51
2012-09-14,112.82,114.13,111.80,112.45,630600,112.18
2012-09-13,110.10,111.49,109.70,110.91,1444700,110.64
2012-09-12,111.13,111.13,109.57,109.93,441200,109.66
2012-09-11,111.58,112.02,110.29,110.51,1388300,110.24
