Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,159.46,160.24,157.58,159.08,485300,159.08
2013-07-11,156.86,159.70,156.76,159.37,490900,159.37
2013-07-10,154.99,156.25,153.77,155.26,460700,155.26
2013-07-09,153.72,155.92,153.06,155.24,474000,155.24
2013-07-08,152.99,154.56,152.63,152.86,573300,152.86
2013-07-05,153.27,153.82,149.46,152.87,802000,152.87
2013-07-03,153.80,154.20,150.53,153.26,675600,153.26
2013-07-02,151.57,155.21,151.52,154.68,770400,154.68
2013-07-01,153.63,154.09,151.27,151.77,685100,151.77
2013-06-28,153.15,154.80,151.61,153.33,955200,153.33
2013-06-27,152.49,154.35,151.47,154.10,702100,154.10
2013-06-26,151.86,152.50,150.91,151.55,789700,151.55
2013-06-25,150.19,151.94,148.13,150.80,836300,150.80
2013-06-24,148.46,152.85,146.66,149.20,1137200,149.20
2013-06-21,147.06,151.02,146.65,149.73,1777200,149.73
2013-06-20,148.52,148.65,145.04,145.90,1012100,145.90
2013-06-19,152.53,153.29,149.06,149.20,1137500,149.20
2013-06-18,153.42,153.75,152.26,152.40,483400,152.40
2013-06-17,153.25,154.99,151.96,153.34,654300,153.34
2013-06-14,152.24,154.25,150.58,151.80,499600,151.80
2013-06-13,147.38,152.69,147.05,152.35,632500,152.35
2013-06-12,149.96,149.96,147.21,147.71,713700,147.71
2013-06-11,149.73,150.76,148.33,148.99,573700,148.99
2013-06-10,152.52,152.52,149.88,150.46,460800,150.46
2013-06-07,154.32,154.77,151.67,153.78,743400,152.53
2013-06-06,150.96,153.98,149.96,153.91,570700,152.66
2013-06-05,151.07,152.00,150.22,150.89,699300,149.66
2013-06-04,155.51,155.90,151.48,151.54,715200,150.31
2013-06-03,152.23,155.77,151.25,155.49,1114400,154.23
2013-05-31,153.66,155.33,151.58,151.80,1503700,150.57
2013-05-30,157.27,157.51,153.72,153.99,1075000,152.74
2013-05-29,159.81,160.17,156.46,157.27,889400,155.99
2013-05-28,163.97,164.45,159.07,160.82,678300,159.51
2013-05-24,159.82,162.75,159.08,162.59,875800,161.27
2013-05-23,161.28,162.01,158.99,160.06,1033500,158.76
2013-05-22,167.20,168.66,162.09,162.99,688600,161.67
2013-05-21,167.38,167.91,166.46,167.72,677500,166.36
2013-05-20,167.20,167.65,165.96,166.93,486900,165.57
2013-05-17,165.25,167.65,165.25,167.45,779300,166.09
2013-05-16,166.59,167.91,164.47,165.20,804700,163.86
2013-05-15,164.42,167.27,164.07,167.17,773900,165.81
2013-05-14,165.25,166.08,164.42,164.64,460400,163.30
2013-05-13,164.07,165.49,163.51,165.35,445100,164.01
2013-05-10,167.00,167.11,163.80,164.27,502000,162.93
2013-05-09,165.23,166.10,164.34,164.62,494200,163.28
2013-05-08,166.91,167.00,165.13,165.53,673900,164.18
2013-05-07,167.02,167.22,166.51,166.89,504200,165.53
2013-05-06,166.43,167.68,166.00,166.76,471100,165.40
2013-05-03,166.70,167.32,166.00,166.48,509700,165.13
2013-05-02,165.35,166.70,164.68,165.88,399300,164.53
2013-05-01,163.81,165.59,163.81,164.90,555200,163.56
2013-04-30,161.66,165.33,161.60,165.00,872700,163.66
2013-04-29,160.44,162.04,159.82,161.99,387800,160.67
2013-04-26,159.33,160.61,159.05,159.97,375800,158.67
2013-04-25,159.17,159.60,157.47,159.10,380200,157.81
2013-04-24,158.95,159.70,158.49,159.42,327100,158.12
2013-04-23,158.10,159.32,157.61,158.65,324100,157.36
2013-04-22,158.84,159.22,157.40,157.69,367300,156.41
2013-04-19,157.01,159.04,156.76,158.80,551300,157.51
2013-04-18,156.52,156.87,155.65,156.51,397700,155.24
2013-04-17,155.35,157.01,154.37,156.29,598400,155.02
2013-04-16,155.54,157.90,154.85,156.29,772800,155.02
2013-04-15,157.82,158.33,155.01,155.05,726300,153.79
2013-04-12,158.42,158.64,157.48,158.51,354300,157.22
2013-04-11,157.44,159.61,156.99,158.56,708700,157.27
2013-04-10,157.62,158.55,156.77,157.09,394100,155.81
2013-04-09,156.19,157.36,155.71,157.15,541100,155.87
2013-04-08,154.96,156.86,154.42,156.73,646500,155.46
2013-04-05,153.06,155.43,152.91,155.10,500500,153.84
2013-04-04,152.49,154.54,151.94,154.38,611200,153.13
2013-04-03,153.38,153.72,151.83,152.22,595000,150.98
2013-04-02,152.88,153.43,152.36,152.92,579700,151.68
2013-04-01,152.18,152.46,151.11,152.39,400500,151.15
2013-03-28,151.47,152.44,150.90,152.32,484400,151.08
2013-03-27,150.52,151.38,150.31,151.20,366400,149.97
2013-03-26,150.84,151.99,150.64,151.45,375400,150.22
2013-03-25,151.14,151.73,149.94,150.25,490000,149.03
2013-03-22,151.00,151.50,150.07,150.71,593200,149.48
2013-03-21,150.64,152.52,150.33,150.77,653800,149.54
2013-03-20,150.08,151.18,149.55,151.09,529200,149.86
2013-03-19,148.66,150.50,148.28,149.85,960400,148.63
2013-03-18,147.73,148.75,147.50,148.39,860400,147.18
2013-03-15,147.11,148.32,146.45,148.25,1713000,147.04
2013-03-14,146.83,147.59,146.79,147.25,776900,146.05
2013-03-13,147.03,147.21,146.12,146.68,767100,145.49
2013-03-12,148.89,149.20,146.93,147.00,975100,145.81
2013-03-11,149.13,149.68,148.75,148.91,602900,147.70
2013-03-08,150.56,150.72,148.77,150.47,749800,148.01
2013-03-07,152.50,152.77,150.25,150.46,899900,148.00
2013-03-06,154.32,154.62,152.17,152.59,434300,150.09
2013-03-05,153.15,154.18,152.65,153.98,494900,151.46
2013-03-04,151.70,153.39,151.70,152.75,579400,150.25
2013-03-01,150.94,152.31,150.43,151.95,428700,149.46
2013-02-28,152.18,152.74,150.99,151.21,1259100,148.73
2013-02-27,150.91,153.04,150.61,151.84,514000,149.35
2013-02-26,150.76,151.40,149.79,151.14,562800,148.67
2013-02-25,152.89,153.12,149.98,149.98,461600,147.53
2013-02-22,152.57,153.85,152.02,152.41,531000,149.92
2013-02-21,152.56,152.74,151.21,152.01,642600,149.52
2013-02-20,152.39,154.36,152.39,152.46,634800,149.96
2013-02-19,150.86,152.75,150.86,152.72,694200,150.22
2013-02-15,152.83,152.83,150.00,151.26,1676000,148.78
2013-02-14,155.66,155.89,154.10,154.20,889800,151.68
2013-02-13,157.22,157.33,155.54,156.08,737000,153.53
2013-02-12,157.04,157.68,156.38,157.13,794500,154.56
2013-02-11,157.46,157.95,156.70,156.85,421400,154.28
2013-02-08,155.50,157.59,155.50,157.40,379700,154.82
2013-02-07,157.26,157.65,155.58,156.04,638200,153.49
2013-02-06,156.35,157.69,155.98,157.02,1115200,154.45
2013-02-05,157.17,157.41,156.23,156.94,764500,154.37
2013-02-04,154.85,156.99,154.82,156.39,1088800,153.83
2013-02-01,154.20,155.87,153.93,155.50,864200,152.95
2013-01-31,153.80,154.20,152.87,153.93,925000,151.41
2013-01-30,153.71,154.42,152.92,153.82,703200,151.30
2013-01-29,153.05,154.38,152.69,154.22,608400,151.70
2013-01-28,153.00,153.92,152.18,153.44,651200,150.93
2013-01-25,152.00,152.91,151.40,152.70,703500,150.20
2013-01-24,151.00,151.87,150.64,151.73,631200,149.25
2013-01-23,150.46,151.17,150.23,150.82,579300,148.35
2013-01-22,149.88,150.96,149.80,150.92,725100,148.45
2013-01-18,149.09,150.41,148.39,150.26,899700,147.80
2013-01-17,148.42,148.73,147.78,148.09,596400,145.67
2013-01-16,147.23,148.10,146.68,147.96,585800,145.54
2013-01-15,146.70,147.87,145.79,147.67,572300,145.25
2013-01-14,147.06,147.47,146.05,146.31,731900,143.92
2013-01-11,146.75,147.06,145.77,147.05,515100,144.64
2013-01-10,145.82,146.29,145.04,146.28,561200,143.89
2013-01-09,145.35,145.52,144.69,145.49,411400,143.11
2013-01-08,145.88,146.02,144.35,144.96,446000,142.59
2013-01-07,145.85,146.63,145.68,145.95,442300,143.56
2013-01-04,145.41,146.41,145.17,146.22,444100,143.83
2013-01-03,145.99,146.96,145.30,145.55,568600,143.17
2013-01-02,146.58,146.58,144.80,146.09,636300,143.70
2012-12-31,143.16,145.04,142.90,144.96,407600,142.59
2012-12-28,143.76,144.80,143.15,143.46,346900,141.11
2012-12-27,144.16,144.91,142.79,144.37,460400,142.01
2012-12-26,146.02,146.10,143.96,144.38,543800,142.02
2012-12-24,145.17,146.75,144.51,145.87,258500,143.48
2012-12-21,146.22,146.61,145.07,145.23,1067900,142.85
2012-12-20,143.97,146.23,143.64,146.14,761500,143.75
2012-12-19,143.46,144.72,143.30,143.91,840800,141.55
2012-12-18,142.02,143.79,141.71,143.78,1145000,141.43
2012-12-17,140.63,142.42,140.22,142.40,801000,140.07
2012-12-14,140.61,140.61,139.31,140.10,585300,137.81
2012-12-13,140.84,140.88,138.65,139.53,806800,137.25
2012-12-12,141.66,141.71,139.90,140.88,532800,138.57
2012-12-11,141.33,141.98,140.81,141.36,630600,139.05
2012-12-10,140.75,142.15,140.49,141.01,515400,138.70
2012-12-07,141.62,142.70,141.29,142.32,674300,138.91
2012-12-06,141.61,142.38,141.25,141.66,614500,138.26
2012-12-05,142.59,142.59,141.27,141.55,609700,138.16
2012-12-04,143.08,144.11,142.35,142.50,766200,139.08
2012-12-03,141.09,143.05,141.02,142.52,800100,139.10
2012-11-30,141.48,142.71,140.63,140.64,1583200,137.27
2012-11-29,143.60,143.74,140.35,141.28,1116500,137.89
2012-11-28,142.58,142.97,141.22,142.33,650700,138.92
2012-11-27,143.85,143.85,141.59,142.72,985800,139.30
2012-11-26,144.69,145.98,143.69,145.30,477000,141.82
2012-11-23,144.89,145.63,144.10,145.27,183500,141.79
2012-11-21,144.87,144.97,143.66,144.29,432200,140.83
2012-11-20,144.42,144.62,143.05,144.53,934500,141.07
2012-11-19,145.04,146.73,144.44,144.94,678300,141.47
2012-11-16,144.40,144.75,142.52,143.86,1383400,140.41
2012-11-15,145.19,146.14,143.47,144.25,840700,140.79
2012-11-14,146.95,147.40,144.48,145.00,816600,141.52
2012-11-13,144.64,148.17,144.55,146.85,958800,143.33
2012-11-12,145.75,146.20,144.62,145.28,523800,141.80
2012-11-09,141.63,147.30,141.10,145.70,1155400,142.21
2012-11-08,142.51,143.51,141.62,141.92,1013300,138.52
2012-11-07,140.64,144.83,140.31,143.34,1410800,139.90
2012-11-06,140.16,141.57,140.06,141.03,1117400,137.65
2012-11-05,140.13,140.80,138.65,140.04,413900,136.68
2012-11-02,139.54,142.04,139.54,140.30,522500,136.94
2012-11-01,139.21,140.53,139.21,139.88,841600,136.53
2012-10-31,137.00,139.15,136.46,138.63,899900,135.31
2012-10-26,137.20,137.63,135.62,136.56,453400,133.29
2012-10-25,138.46,138.86,136.32,137.17,585000,133.88
2012-10-24,137.51,138.32,136.97,137.94,609000,134.63
2012-10-23,135.07,137.49,135.07,137.11,538800,133.82
2012-10-22,137.39,137.81,135.99,136.88,482800,133.60
2012-10-19,136.81,138.98,136.81,138.02,746600,134.71
2012-10-18,137.14,138.27,136.88,137.72,605200,134.42
2012-10-17,137.50,137.74,136.12,137.20,601500,133.91
2012-10-16,137.22,138.65,137.22,137.81,269900,134.51
2012-10-15,136.79,137.64,136.21,137.26,536900,133.97
2012-10-12,137.61,138.51,136.36,136.54,455100,133.27
2012-10-11,139.62,139.75,137.51,137.53,443700,134.23
2012-10-10,139.03,139.18,137.74,138.60,378400,135.28
2012-10-09,139.40,140.00,138.28,138.69,514100,135.37
2012-10-08,139.08,139.67,138.27,139.19,337700,135.85
2012-10-05,139.35,140.03,138.83,139.19,372800,135.85
2012-10-04,140.30,140.46,138.59,139.02,463000,135.69
2012-10-03,139.49,141.04,139.26,139.69,433500,136.34
2012-10-02,139.00,139.53,138.14,139.23,441800,135.89
