Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,56.90,59.64,56.90,59.09,6108800,59.09
2013-07-11,57.05,57.90,56.02,57.76,5355200,57.76
2013-07-10,58.41,58.63,55.94,56.09,5874000,56.09
2013-07-09,59.02,59.37,58.41,58.51,3271200,58.51
2013-07-08,57.71,59.17,57.64,58.75,3067800,58.75
2013-07-05,57.84,57.89,55.41,57.24,3653200,57.24
2013-07-03,56.75,57.71,54.80,57.68,6190900,57.68
2013-07-02,58.85,59.21,56.61,57.08,4998500,57.08
2013-07-01,59.24,60.24,58.67,58.90,3486700,58.90
2013-06-28,59.14,59.75,58.77,58.91,3573800,58.91
2013-06-27,60.32,60.41,58.45,59.22,3883300,59.22
2013-06-26,60.10,60.96,59.56,59.72,2706600,59.72
2013-06-25,58.29,59.71,58.29,59.41,3453600,59.41
2013-06-24,58.46,58.77,56.84,57.19,4938400,57.19
2013-06-21,61.02,61.23,58.06,59.25,6354700,59.25
2013-06-20,62.58,62.69,60.06,60.39,5087000,60.39
2013-06-19,64.27,64.87,63.51,63.63,3341500,63.63
2013-06-18,64.48,65.00,64.25,64.39,2336900,64.39
2013-06-17,64.20,64.69,63.98,64.26,3341200,64.26
2013-06-14,64.71,64.97,63.77,63.81,1833900,63.81
2013-06-13,63.09,64.82,62.37,64.51,3336300,64.51
2013-06-12,64.88,65.21,63.18,63.31,3967600,63.31
2013-06-11,64.05,64.73,63.70,63.96,3202200,63.96
2013-06-10,65.93,66.39,65.01,65.11,2372500,65.11
2013-06-07,65.44,66.20,65.18,65.87,2774600,65.87
2013-06-06,63.68,65.15,63.35,65.00,2637300,65.00
2013-06-05,64.94,65.35,63.53,63.61,3064900,63.61
2013-06-04,65.80,66.18,64.30,65.18,2890200,65.18
2013-06-03,67.04,67.09,64.28,66.08,4022900,66.08
2013-05-31,66.64,67.89,66.28,66.57,3506400,66.57
2013-05-30,66.35,67.11,65.68,66.77,2896400,66.77
2013-05-29,66.21,67.34,65.65,66.84,3135200,66.84
2013-05-28,66.39,66.98,65.92,66.52,2792000,66.52
2013-05-24,64.77,65.50,63.80,65.47,2518400,65.47
2013-05-23,64.44,65.56,63.90,65.25,2380300,65.25
2013-05-22,65.30,66.62,64.80,65.39,4482700,65.39
2013-05-21,66.10,66.71,64.89,65.42,4505200,65.42
2013-05-20,65.32,66.85,65.32,65.96,4531600,65.96
2013-05-17,64.20,65.92,64.18,65.46,5521600,65.46
2013-05-16,64.71,65.41,63.72,63.84,3994700,63.84
2013-05-15,63.73,65.48,63.73,64.95,5621700,64.64
2013-05-14,62.06,64.18,62.00,64.08,6212800,63.77
2013-05-13,61.13,62.28,60.39,61.97,3829500,61.67
2013-05-10,61.73,62.20,61.00,61.38,5059200,61.08
2013-05-09,63.23,63.27,61.88,62.13,3436900,61.83
2013-05-08,64.23,64.47,62.85,63.41,3664300,63.10
2013-05-07,64.25,65.34,64.02,64.48,4676600,64.17
2013-05-06,62.49,64.24,62.32,63.87,3682400,63.56
2013-05-03,60.80,62.66,60.49,62.18,4548900,61.88
2013-05-02,60.07,60.68,59.16,60.30,4212400,60.01
2013-05-01,61.11,61.94,59.55,59.67,5678600,59.38
2013-04-30,61.93,62.20,60.02,60.95,5457000,60.66
2013-04-29,61.97,62.30,61.48,61.80,3444900,61.50
2013-04-26,61.85,62.08,61.14,61.60,3034700,61.30
2013-04-25,62.04,63.09,61.78,61.90,4384100,61.60
2013-04-24,61.41,63.05,61.31,61.82,4771700,61.52
2013-04-23,59.59,61.42,59.36,61.15,5318500,60.86
2013-04-22,58.12,60.34,58.07,59.43,3659300,59.14
2013-04-19,58.14,58.14,56.46,57.84,5045100,57.56
2013-04-18,57.92,58.54,56.13,57.23,4270200,56.95
2013-04-17,58.55,58.79,57.16,57.99,4602100,57.71
2013-04-16,58.15,59.32,57.77,59.28,5644000,58.99
2013-04-15,59.18,59.99,57.08,57.52,7897200,57.24
2013-04-12,61.37,61.74,59.07,60.67,8305100,60.38
2013-04-11,63.81,63.86,61.81,62.01,6204800,61.71
2013-04-10,64.78,65.21,63.05,63.86,6005500,63.55
2013-04-09,63.95,65.23,62.86,64.66,4291500,64.35
2013-04-08,62.29,63.80,61.90,63.62,3969300,63.31
2013-04-05,61.26,62.97,60.20,62.31,5289600,62.01
2013-04-04,62.57,63.95,61.94,62.39,6139100,62.09
2013-04-03,66.84,66.88,61.47,62.46,14028500,62.16
2013-04-02,70.17,70.20,66.71,66.84,5679900,66.52
2013-04-01,70.00,70.19,68.73,69.36,3015200,69.03
2013-03-28,68.38,70.52,67.96,69.97,6211100,69.63
2013-03-27,67.13,68.29,66.46,68.27,3920600,67.94
2013-03-26,66.98,67.41,66.37,67.24,3243600,66.92
2013-03-25,67.94,68.70,66.65,66.86,3905300,66.54
2013-03-22,66.97,67.79,66.84,67.55,2650400,67.22
2013-03-21,67.00,67.84,66.11,66.82,3394800,66.50
2013-03-20,66.00,68.44,65.95,67.54,5087500,67.21
2013-03-19,64.88,66.35,64.66,65.41,4124400,65.09
2013-03-18,63.32,65.29,63.01,65.03,3643900,64.72
2013-03-15,64.49,65.24,64.11,64.15,5979000,63.84
2013-03-14,64.96,65.45,64.29,64.95,3832700,64.64
2013-03-13,65.88,66.04,64.20,64.55,4784800,64.24
2013-03-12,65.66,66.40,65.21,66.22,4134600,65.90
2013-03-11,65.90,66.08,63.94,65.69,4966800,65.37
2013-03-08,66.08,66.28,65.60,66.03,4045300,65.71
2013-03-07,65.89,66.12,64.79,65.87,3429800,65.55
2013-03-06,66.00,66.97,65.40,66.05,2929700,65.73
2013-03-05,66.04,66.05,64.52,65.77,3920300,65.45
2013-03-04,63.84,65.74,63.54,65.68,3758500,65.36
2013-03-01,62.71,63.93,62.19,63.90,3150000,63.59
2013-02-28,62.86,64.27,62.00,62.96,4226400,62.66
2013-02-27,61.30,63.12,61.00,62.99,2581500,62.69
2013-02-26,61.48,61.69,59.94,61.23,4346900,60.93
2013-02-25,64.49,64.74,61.31,61.34,4294800,61.04
