Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,152.61,154.43,151.75,153.43,854800,153.43
2013-07-11,154.89,157.18,152.16,153.45,1212600,153.45
2013-07-10,154.02,155.61,151.03,152.08,1483400,152.08
2013-07-09,151.87,154.74,149.88,153.49,1555600,153.49
2013-07-08,153.02,154.69,150.01,150.60,823400,150.60
2013-07-05,150.04,152.62,147.83,152.55,1327700,152.55
2013-07-03,149.80,150.15,148.44,148.75,1014000,148.75
2013-07-02,148.81,152.20,148.70,149.90,1637100,149.90
2013-07-01,146.19,151.34,146.19,148.73,1233600,148.73
2013-06-28,145.90,146.69,144.27,144.75,1495700,144.75
2013-06-27,148.79,149.93,146.64,146.71,1102000,146.71
2013-06-26,148.38,149.65,146.95,147.17,1112800,147.17
2013-06-25,147.80,149.42,145.28,148.01,1208500,148.01
2013-06-24,142.54,146.71,138.91,145.24,1894700,145.24
2013-06-21,147.90,147.91,141.88,144.61,2994300,144.61
2013-06-20,150.42,150.44,145.82,146.29,2374600,146.29
2013-06-19,154.65,155.14,152.68,153.06,1251200,153.06
2013-06-18,153.46,157.81,152.57,154.65,2023500,154.65
2013-06-17,149.36,154.26,149.14,152.32,1822300,152.32
2013-06-14,147.12,148.72,145.99,146.62,1240300,146.62
2013-06-13,142.80,147.99,142.39,146.95,1126500,146.95
2013-06-12,144.57,145.18,142.36,142.88,1023700,142.88
2013-06-11,142.53,144.51,142.35,143.13,1517300,143.13
2013-06-10,142.28,145.73,142.28,145.56,889800,145.56
2013-06-07,142.15,144.94,141.71,144.29,770400,144.29
2013-06-06,137.66,142.12,137.44,142.02,1088400,142.02
2013-06-05,139.46,140.10,137.99,138.00,859900,138.00
2013-06-04,140.32,142.22,138.18,140.00,988300,140.00
2013-06-03,139.80,142.19,138.55,140.83,1290000,140.83
2013-05-31,143.83,144.30,138.62,138.68,1738400,138.68
2013-05-30,143.53,145.61,142.52,144.47,713100,144.47
2013-05-29,143.62,146.44,143.32,144.65,824200,144.65
2013-05-28,143.91,145.83,143.25,145.24,1110300,145.24
2013-05-24,142.79,142.99,140.45,141.20,1232800,141.20
2013-05-23,140.90,144.65,138.63,144.02,1220400,144.02
2013-05-22,144.00,146.68,142.80,143.53,3152400,143.53
2013-05-21,139.96,141.64,138.89,138.97,1254100,138.97
2013-05-20,142.48,143.39,139.88,140.15,1538300,140.15
2013-05-17,139.70,142.59,139.15,142.25,1462700,142.25
2013-05-16,138.75,139.82,137.48,138.58,838600,138.58
2013-05-15,139.35,139.91,137.47,138.83,1081800,138.83
2013-05-14,137.64,140.57,137.40,139.95,1685800,139.95
