Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,61.35,62.02,61.29,62.02,11053300,62.02
2013-07-11,61.15,61.37,60.81,61.30,13293700,61.30
2013-07-10,59.23,60.65,59.20,60.44,19127100,60.44
2013-07-09,60.15,60.34,59.02,59.39,24848100,59.39
2013-07-08,60.75,60.94,59.83,59.99,17681600,59.99
2013-07-05,60.75,60.96,60.27,60.95,11158000,60.95
2013-07-03,60.74,61.34,60.66,60.91,4380100,60.91
2013-07-02,60.74,61.24,60.63,60.92,7922200,60.92
2013-07-01,61.49,61.61,60.90,60.96,7457400,60.96
2013-06-28,60.64,61.63,60.55,61.09,13533100,61.09
2013-06-27,61.63,61.77,60.66,61.08,14249000,61.08
2013-06-26,62.56,62.92,61.17,61.27,22000700,61.27
2013-06-25,60.42,62.38,60.37,61.81,21204900,61.81
2013-06-24,60.00,60.21,59.46,59.88,17769700,59.88
2013-06-21,60.93,61.05,60.22,60.67,25052800,60.67
2013-06-20,61.40,61.86,60.67,60.92,14425500,60.92
2013-06-19,62.63,62.80,61.83,61.91,11231900,61.91
2013-06-18,62.29,62.73,62.01,62.38,11624400,62.38
2013-06-17,61.61,62.35,61.49,62.07,13528500,62.07
2013-06-14,61.79,61.93,61.34,61.38,9871600,61.38
2013-06-13,61.22,62.12,60.75,61.96,11578600,61.96
2013-06-12,61.97,61.97,61.01,61.11,14631700,61.11
2013-06-11,61.47,62.05,61.15,61.66,11794100,61.66
2013-06-10,62.11,62.20,61.67,62.03,11084000,62.03
2013-06-07,62.90,63.11,61.42,62.10,29483700,62.10
2013-06-06,63.34,63.82,62.53,62.97,10775900,62.97
2013-06-05,63.65,63.65,62.68,63.15,10345000,63.15
2013-06-04,63.43,64.04,63.20,63.71,14394800,63.71
2013-06-03,63.37,63.67,62.69,63.23,13371100,63.23
2013-05-31,63.90,64.58,63.48,63.48,12413500,63.13
2013-05-30,64.13,64.76,64.03,64.18,10866800,63.83
2013-05-29,63.78,64.30,63.50,64.11,13122300,63.76
2013-05-28,64.64,64.88,64.02,64.07,10913300,63.72
2013-05-24,63.70,64.35,63.51,64.26,10522400,63.91
2013-05-23,64.59,64.93,63.63,63.91,19154200,63.56
2013-05-22,65.63,66.15,64.88,65.23,13391500,64.87
2013-05-21,65.68,66.21,65.60,65.76,11231000,65.40
2013-05-20,66.30,66.60,66.01,66.10,10222500,65.74
2013-05-17,66.22,66.67,65.57,66.61,11528400,66.24
2013-05-16,65.43,66.20,65.36,65.64,11532100,65.28
2013-05-15,65.33,65.60,65.04,65.54,10591200,65.18
2013-05-14,65.01,65.32,64.74,65.32,8986200,64.96
2013-05-13,64.34,65.07,64.18,64.82,9940700,64.46
2013-05-10,64.01,64.64,64.01,64.64,9430400,64.28
2013-05-09,64.21,64.50,63.93,64.11,9502100,63.76
2013-05-08,63.90,64.50,63.90,64.12,11134400,63.77
2013-05-07,63.81,64.22,63.53,63.97,9762800,63.62
2013-05-06,63.82,64.32,63.74,63.86,10558100,63.51
2013-05-03,63.52,63.85,63.31,63.77,10548800,63.42
2013-05-02,62.14,63.01,61.93,62.89,15142600,62.54
2013-05-01,61.43,62.07,61.43,61.92,14881300,61.58
2013-04-30,61.60,62.12,61.25,61.60,21041900,61.26
2013-04-29,61.80,62.11,61.52,61.61,22797600,61.27
2013-04-26,62.51,62.68,61.47,61.52,28621800,61.18
2013-04-25,62.81,63.05,61.79,62.44,56907000,62.10
2013-04-24,66.00,66.56,65.81,66.00,17846000,65.64
2013-04-23,64.95,65.49,64.61,65.35,9919900,64.99
2013-04-22,64.09,64.59,63.58,64.58,11160200,64.22
2013-04-19,63.62,64.12,63.03,63.93,12205100,63.58
2013-04-18,64.99,65.59,63.25,63.64,15041400,63.29
2013-04-17,65.08,65.18,64.01,64.23,14208300,63.88
2013-04-16,65.78,66.18,65.38,65.81,10073000,65.45
2013-04-15,66.23,66.67,65.43,65.49,9738200,65.13
2013-04-12,67.02,67.07,66.09,66.68,10766100,66.31
2013-04-11,67.24,67.60,66.62,67.03,11181700,66.66
2013-04-10,66.28,67.65,66.19,67.29,11095100,66.92
2013-04-09,66.00,66.20,65.32,65.96,12057800,65.60
2013-04-08,65.14,65.86,65.09,65.86,5605800,65.50
2013-04-05,64.67,65.25,64.55,65.16,10245000,64.80
2013-04-04,65.98,66.30,65.34,65.81,7932700,65.45
2013-04-03,66.50,66.65,65.94,65.97,10656000,65.61
2013-04-02,66.50,66.71,65.90,66.25,9208000,65.88
2013-04-01,66.70,66.84,65.61,66.00,8706400,65.64
2013-03-28,66.64,67.00,66.53,66.94,7899200,66.57
2013-03-27,66.17,66.74,65.76,66.68,6659800,66.31
2013-03-26,65.99,66.69,65.87,66.62,9802400,66.25
2013-03-25,66.19,66.19,65.28,65.67,9045800,65.31
2013-03-22,65.69,66.05,65.60,65.92,8231600,65.56
2013-03-21,65.70,66.12,65.06,65.35,9215100,64.99
2013-03-20,65.41,66.10,64.74,65.74,12407900,65.38
2013-03-19,64.69,65.00,63.91,64.72,10231800,64.36
2013-03-18,64.41,64.80,63.40,64.56,14183900,64.20
2013-03-15,66.42,66.58,64.74,64.97,26182100,64.61
2013-03-14,67.00,67.06,66.36,66.57,9262200,66.20
2013-03-13,67.01,67.50,66.66,66.75,9621500,66.38
2013-03-12,66.71,67.09,66.37,67.04,9115600,66.67
2013-03-11,66.73,66.93,66.31,66.70,6559800,66.33
2013-03-08,67.33,67.92,66.50,66.65,8590100,66.28
2013-03-07,66.97,67.10,66.40,66.79,9305400,66.42
2013-03-06,67.48,67.52,66.22,66.67,16966700,66.30
2013-03-05,67.52,68.50,67.51,67.97,16205100,67.35
2013-03-04,66.05,66.65,65.86,66.63,7969900,66.02
2013-03-01,65.34,66.65,65.16,66.30,11186800,65.69
2013-02-28,65.82,66.22,65.61,65.64,9596300,65.04
