Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,29.80,29.93,29.13,29.62,1253200,29.62
2013-07-11,29.90,30.33,29.75,29.85,967800,29.85
2013-07-10,29.36,29.54,29.17,29.47,1057500,29.47
2013-07-09,29.28,29.51,29.06,29.29,847600,29.29
2013-07-08,29.54,29.75,28.96,29.20,1331500,29.20
2013-07-05,28.78,29.33,28.61,29.30,901900,29.30
2013-07-03,28.55,28.69,28.24,28.60,582400,28.60
2013-07-02,28.21,28.88,28.19,28.51,1265500,28.51
2013-07-01,28.05,28.47,27.81,28.15,732500,28.15
2013-06-28,27.82,28.01,27.62,27.78,1980500,27.78
2013-06-27,28.28,28.65,27.93,27.95,884000,27.95
2013-06-26,28.49,28.66,27.95,28.02,1505900,28.02
2013-06-25,28.35,28.58,27.87,28.21,1283700,28.21
2013-06-24,27.76,28.43,26.99,28.06,2165300,28.06
2013-06-21,28.27,28.40,27.54,28.24,1981500,28.24
2013-06-20,28.50,28.58,27.82,28.05,1267300,28.05
2013-06-19,29.59,29.76,28.90,28.97,1238600,28.97
2013-06-18,29.70,29.89,29.52,29.71,632000,29.71
2013-06-17,29.61,29.70,29.17,29.61,1469700,29.61
2013-06-14,29.49,29.75,29.17,29.27,1109700,29.27
2013-06-13,29.07,29.70,28.74,29.53,1612500,29.53
2013-06-12,29.75,29.76,28.91,29.02,862800,29.02
2013-06-11,29.49,29.66,29.23,29.46,1551600,29.46
2013-06-10,30.06,30.24,29.73,30.01,1325200,30.01
2013-06-07,29.87,30.21,29.52,30.00,1606900,30.00
2013-06-06,29.51,29.76,29.13,29.67,1207000,29.67
2013-06-05,29.56,29.94,29.37,29.56,1803300,29.56
2013-06-04,28.87,29.91,28.81,29.37,2824700,29.37
2013-06-03,28.42,28.74,28.17,28.63,1574000,28.63
2013-05-31,28.67,28.92,28.35,28.36,1837800,28.36
2013-05-30,28.99,29.10,28.69,28.77,1067400,28.77
2013-05-29,28.52,29.06,28.42,28.95,1190200,28.93
