Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,60.75,61.16,60.52,60.82,443400,60.82
2013-07-11,61.11,61.28,60.65,60.91,525700,60.91
2013-07-10,60.77,60.94,60.10,60.24,600100,60.24
2013-07-09,59.70,61.02,59.61,60.69,748100,60.69
2013-07-08,60.34,60.52,59.80,60.12,499500,60.12
2013-07-05,60.45,60.59,59.69,60.24,569500,60.24
2013-07-03,59.81,60.26,59.37,59.81,329900,59.81
2013-07-02,60.92,61.47,59.82,60.05,486600,60.05
2013-07-01,60.75,61.39,60.38,60.54,431000,60.54
2013-06-28,61.31,61.53,60.77,60.79,431600,60.79
2013-06-27,61.24,61.62,60.98,61.49,284900,61.49
2013-06-26,60.89,61.22,59.99,60.74,252300,60.74
2013-06-25,59.52,60.60,59.04,60.36,419400,60.36
2013-06-24,59.77,59.79,58.36,58.85,448900,58.85
2013-06-21,60.62,61.21,59.42,60.49,696800,60.49
2013-06-20,60.79,61.00,59.72,60.10,581000,60.10
2013-06-19,62.15,62.46,61.49,61.52,496400,61.52
2013-06-18,61.92,62.14,61.64,62.14,510600,62.14
2013-06-17,62.65,62.95,61.30,61.83,314800,61.83
2013-06-14,62.22,63.18,61.86,62.09,417200,62.09
2013-06-13,61.35,62.45,61.10,62.30,679000,62.30
2013-06-12,62.03,62.37,61.23,61.35,430600,61.35
2013-06-11,61.78,62.38,61.17,61.53,333400,61.53
2013-06-10,63.15,63.64,62.44,62.67,371000,62.67
2013-06-07,61.64,63.41,61.45,62.78,349100,62.78
2013-06-06,60.24,61.20,60.23,61.16,482000,61.16
2013-06-05,61.42,61.65,59.76,60.22,893000,60.22
2013-06-04,62.37,63.03,61.43,61.76,511100,61.76
2013-06-03,63.15,63.48,61.39,62.52,497600,62.52
2013-05-31,63.17,63.99,63.00,63.04,644400,63.04
2013-05-30,63.25,63.92,63.13,63.35,625200,63.35
2013-05-29,63.07,63.65,62.56,63.15,451700,63.15
2013-05-28,63.86,64.45,62.94,63.56,638800,63.56
2013-05-24,62.72,62.97,61.45,62.59,342300,62.59
2013-05-23,61.44,63.37,61.24,63.09,582300,63.09
2013-05-22,64.07,64.54,62.26,62.81,544700,62.81
2013-05-21,63.98,64.68,63.86,64.02,579600,64.02
2013-05-20,63.04,64.50,63.00,63.75,803000,63.75
2013-05-17,61.80,62.52,61.71,62.52,543500,62.52
2013-05-16,61.71,62.27,60.89,61.13,413600,61.13
2013-05-15,61.42,62.32,61.03,62.29,550700,61.98
2013-05-14,60.24,61.61,60.24,61.54,600800,61.23
2013-05-13,60.89,61.11,60.14,60.28,414800,59.98
2013-05-10,60.81,61.33,60.30,61.20,484200,60.90
2013-05-09,60.85,61.40,60.38,60.80,508200,60.50
2013-05-08,60.54,61.10,60.37,61.00,896100,60.70
2013-05-07,60.00,60.99,59.76,60.89,765600,60.59
2013-05-06,58.44,60.01,58.44,59.75,739100,59.45
2013-05-03,57.70,59.79,57.12,58.46,939600,58.17
2013-05-02,56.97,57.31,56.56,56.77,658100,56.49
2013-05-01,57.79,57.91,56.56,56.68,543200,56.40
2013-04-30,57.49,58.07,56.86,58.07,648600,57.78
2013-04-29,56.99,57.71,56.33,57.50,492600,57.21
2013-04-26,57.02,57.26,56.53,56.87,648900,56.59
2013-04-25,56.97,57.68,56.25,57.12,889700,56.84
2013-04-24,55.01,57.57,55.01,56.94,1960700,56.66
2013-04-23,56.85,57.70,52.58,53.31,3050300,53.04
2013-04-22,57.12,57.35,55.66,57.27,662100,56.98
2013-04-19,56.30,57.56,55.85,57.15,574200,56.87
2013-04-18,56.76,57.03,55.27,56.08,843800,55.80
2013-04-17,58.00,58.22,55.93,56.61,844100,56.33
2013-04-16,57.40,58.78,57.40,58.64,558100,58.35
2013-04-15,60.81,61.33,56.74,56.83,979600,56.55
2013-04-12,60.17,61.37,60.17,61.37,429900,61.06
2013-04-11,61.39,61.73,60.39,60.55,602900,60.25
2013-04-10,58.99,61.67,58.99,61.47,763900,61.16
2013-04-09,59.32,59.47,58.28,58.85,620000,58.56
2013-04-08,57.79,59.21,57.79,59.19,720000,58.90
2013-04-05,56.91,57.96,55.59,57.83,1186400,57.54
2013-04-04,57.93,58.00,57.21,57.50,570700,57.21
2013-04-03,58.08,58.55,57.64,57.91,689700,57.62
2013-04-02,58.75,59.22,58.11,58.30,561100,58.01
2013-04-01,59.75,59.93,58.00,58.67,623700,58.38
2013-03-28,59.99,60.46,59.40,59.75,839200,59.45
2013-03-27,59.61,59.70,58.82,59.40,664500,59.10
2013-03-26,60.38,60.73,59.66,60.19,511200,59.89
2013-03-25,60.22,60.82,59.36,60.11,556600,59.81
2013-03-22,59.78,60.14,59.04,60.08,795600,59.78
2013-03-21,59.28,59.40,57.57,58.21,640800,57.92
2013-03-20,59.95,60.31,59.14,59.59,568400,59.29
2013-03-19,61.04,61.22,59.04,59.85,502500,59.55
2013-03-18,60.25,61.37,59.66,60.80,307600,60.50
2013-03-15,61.38,61.40,60.43,61.00,553400,60.70
2013-03-14,60.69,61.68,60.60,61.42,561800,61.11
2013-03-13,58.83,60.42,58.73,60.36,594600,60.06
2013-03-12,59.32,59.45,58.20,58.61,376600,58.32
2013-03-11,58.84,59.70,58.59,59.32,356200,59.02
2013-03-08,58.67,59.40,58.40,58.85,464600,58.56
2013-03-07,58.13,58.35,57.52,58.26,597700,57.97
2013-03-06,57.09,58.29,57.09,57.95,553800,57.66
2013-03-05,55.90,57.60,55.90,56.70,660800,56.42
2013-03-04,55.15,55.58,54.45,55.58,469400,55.30
2013-03-01,55.86,56.05,55.10,55.43,426100,55.15
2013-02-28,55.81,56.55,55.79,56.20,452900,55.92
2013-02-27,54.25,55.93,54.25,55.75,797000,55.47
2013-02-26,54.63,54.84,54.04,54.12,1214200,53.85
2013-02-25,56.47,56.68,54.41,54.41,430100,54.14
2013-02-22,55.81,56.52,55.80,56.04,455400,55.76
2013-02-21,56.37,56.45,55.11,55.59,732300,55.31
2013-02-20,57.48,57.55,56.28,56.48,726000,56.20
2013-02-19,57.69,58.22,57.43,57.59,588200,57.30
2013-02-15,58.56,58.75,57.03,57.42,646300,57.13
2013-02-14,57.14,58.19,56.98,58.05,446900,57.76
2013-02-13,57.90,58.26,57.27,57.68,668900,57.08
2013-02-12,57.53,57.89,57.11,57.83,595100,57.23
2013-02-11,57.71,58.19,57.22,57.36,611200,56.77
2013-02-08,58.33,58.87,58.08,58.21,386300,57.61
2013-02-07,59.06,59.34,57.85,58.33,363700,57.73
2013-02-06,58.56,59.35,58.44,58.91,461400,58.30
2013-02-05,57.85,59.02,57.01,58.85,1276200,58.24
2013-02-04,57.57,57.78,56.17,56.73,784200,56.14
2013-02-01,57.78,58.77,57.08,57.90,918700,57.30
2013-01-31,54.91,57.36,54.81,56.78,1219500,56.19
