Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,51.60,51.76,51.08,51.35,867100,51.35
2013-07-11,51.13,51.68,51.12,51.59,1742900,51.59
2013-07-10,50.10,50.75,50.00,50.49,1872300,50.49
2013-07-09,50.44,50.57,49.93,50.20,1589600,50.20
2013-07-08,49.21,50.09,49.06,50.05,1867900,50.05
2013-07-05,48.78,48.97,48.21,48.81,1098000,48.81
2013-07-03,48.55,48.79,48.25,48.60,955700,48.60
2013-07-02,48.73,49.10,48.34,48.69,1321300,48.69
2013-07-01,48.88,48.94,48.45,48.80,1431400,48.80
2013-06-28,48.55,48.88,48.29,48.37,2795100,48.37
2013-06-27,48.61,49.30,48.46,48.57,1253500,48.57
2013-06-26,48.37,48.78,48.09,48.55,1495200,48.55
2013-06-25,47.98,48.32,47.35,48.01,2245700,48.01
2013-06-24,46.92,48.18,46.63,47.58,2583500,47.58
2013-06-21,46.66,47.44,46.58,47.19,2658700,47.19
2013-06-20,47.34,47.42,46.05,46.28,2735500,46.28
2013-06-19,49.18,49.24,47.58,47.62,2457100,47.62
2013-06-18,49.07,49.40,48.82,49.31,1133200,49.31
2013-06-17,48.55,49.09,48.55,48.96,2387500,48.96
2013-06-14,48.16,48.64,48.02,48.42,1748900,48.42
2013-06-13,47.64,48.55,47.62,48.16,1751800,48.16
2013-06-12,47.86,48.04,47.50,47.55,1625700,47.55
2013-06-11,47.85,48.32,47.50,47.53,1629600,47.53
2013-06-10,48.04,48.35,47.83,48.00,1506400,48.00
2013-06-07,48.00,48.37,47.34,47.82,1923000,47.82
2013-06-06,47.44,47.73,47.03,47.73,1809500,47.73
2013-06-05,48.75,48.75,47.87,48.10,1821300,47.47
2013-06-04,48.99,49.18,48.70,48.89,2009200,48.25
2013-06-03,48.16,48.94,47.54,48.89,1927900,48.25
2013-05-31,48.49,49.01,48.10,48.11,2630600,47.48
2013-05-30,48.74,48.90,48.50,48.56,1214800,47.92
2013-05-29,49.35,49.35,48.41,48.68,1154400,48.04
2013-05-28,49.59,50.15,49.29,49.57,5994700,48.92
2013-05-24,48.81,49.27,48.52,49.26,4800900,48.61
2013-05-23,48.83,49.25,48.32,48.93,5064300,48.29
2013-05-22,49.37,50.01,49.12,49.24,1498200,48.60
2013-05-21,49.54,49.74,49.13,49.37,2592600,48.72
2013-05-20,49.62,49.82,49.36,49.54,1609100,48.89
2013-05-17,49.13,49.74,49.07,49.71,1691100,49.06
2013-05-16,49.14,49.34,49.00,49.07,1296500,48.43
2013-05-15,48.51,49.42,48.49,49.29,1815800,48.64
2013-05-14,48.07,48.61,48.05,48.61,1223400,47.97
2013-05-13,47.72,48.18,47.50,47.97,1131000,47.34
2013-05-10,47.50,47.91,47.41,47.78,892300,47.15
2013-05-09,47.71,47.85,47.21,47.47,1218400,46.85
2013-05-08,47.69,47.88,47.54,47.75,1200400,47.12
2013-05-07,47.26,47.92,47.25,47.76,1142900,47.13
2013-05-06,47.62,47.74,47.10,47.25,1002700,46.63
