Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,34.77,35.22,34.65,35.16,1052600,35.16
2013-07-11,35.40,35.48,34.66,34.74,982700,34.74
2013-07-10,35.16,35.40,34.85,34.98,814500,34.98
2013-07-09,35.24,35.44,35.09,35.21,828100,35.21
2013-07-08,34.97,35.59,34.97,35.07,1065600,35.07
2013-07-05,34.34,34.75,34.22,34.63,488200,34.63
2013-07-03,34.18,34.23,33.86,34.11,470300,34.11
2013-07-02,34.79,34.99,34.28,34.40,1184600,34.40
2013-07-01,34.30,34.80,34.24,34.42,901100,34.42
2013-06-28,34.02,34.49,33.87,34.07,910500,34.07
2013-06-27,34.43,34.63,34.07,34.19,1181000,34.19
2013-06-26,34.08,34.39,33.77,34.11,1223800,34.11
2013-06-25,33.56,33.93,33.42,33.79,947200,33.79
2013-06-24,33.58,33.90,32.48,33.25,1100100,33.25
2013-06-21,34.47,34.64,33.58,34.07,1757200,34.07
2013-06-20,33.44,34.28,33.25,33.82,2082800,33.82
2013-06-19,34.34,34.56,33.90,33.92,785300,33.92
2013-06-18,34.02,34.57,33.99,34.31,600800,34.31
2013-06-17,33.64,34.33,33.58,33.97,674000,33.97
2013-06-14,33.66,33.86,33.29,33.44,576200,33.44
2013-06-13,32.51,33.69,32.48,33.62,1196800,33.62
2013-06-12,33.27,33.34,32.49,32.52,644000,32.52
2013-06-11,33.14,33.40,32.89,32.96,689200,32.96
2013-06-10,33.84,33.87,33.37,33.66,612600,33.66
2013-06-07,33.69,33.96,33.46,33.72,615300,33.72
2013-06-06,33.80,34.00,33.25,33.53,981500,33.53
2013-06-05,33.20,34.12,33.20,33.77,1914800,33.77
2013-06-04,33.50,33.98,33.08,33.33,1456800,33.33
2013-06-03,33.39,33.79,32.96,33.55,1352200,33.55
2013-05-31,34.11,34.15,33.23,33.24,1336300,33.24
2013-05-30,34.34,34.53,34.01,34.31,654300,34.31
2013-05-29,34.46,34.61,34.18,34.41,803100,34.41
2013-05-28,35.04,35.05,34.40,34.68,725800,34.68
2013-05-24,34.45,34.60,34.05,34.50,640300,34.50
2013-05-23,33.98,34.84,33.98,34.77,733700,34.77
2013-05-22,35.39,35.80,34.44,34.77,1396200,34.77
2013-05-21,36.39,36.41,35.38,35.43,2118600,35.43
2013-05-20,35.67,36.51,35.55,36.31,1624600,36.31
2013-05-17,35.32,36.05,35.10,35.70,1404100,35.70
2013-05-16,34.57,35.21,34.54,34.83,1135000,34.83
2013-05-15,34.69,34.87,34.08,34.74,549800,34.74
2013-05-14,34.50,35.13,34.32,34.89,1147200,34.89
2013-05-13,34.78,34.97,34.34,34.50,797500,34.50
2013-05-10,34.48,35.03,34.35,34.97,1097800,34.97
2013-05-09,34.57,34.84,34.03,34.62,727600,34.62
2013-05-08,34.35,34.70,34.14,34.67,1013800,34.67
2013-05-07,34.29,34.65,33.87,34.43,895600,34.43
2013-05-06,34.28,34.47,33.90,34.15,1043700,34.15
2013-05-03,33.86,34.44,33.48,34.13,1539200,34.13
2013-05-02,32.34,33.04,32.06,32.74,978800,32.74
2013-05-01,31.42,32.43,30.61,32.22,1392500,32.22
2013-04-30,32.10,32.56,31.68,32.53,959000,32.53
2013-04-29,32.10,32.36,31.80,32.13,1029900,32.13
2013-04-26,32.06,32.12,31.48,31.88,824200,31.88
2013-04-25,32.26,32.57,31.81,32.08,896300,32.08
2013-04-24,31.61,32.28,31.61,32.05,889900,32.05
2013-04-23,31.54,31.56,30.97,31.54,1035700,31.54
2013-04-22,31.42,31.71,30.87,31.41,916500,31.41
2013-04-19,31.52,31.74,30.66,31.24,1029600,31.24
2013-04-18,30.73,31.62,30.23,31.28,1276400,31.28
2013-04-17,31.92,31.97,30.21,30.50,2306000,30.50
2013-04-16,31.94,32.35,31.44,32.31,1040200,32.31
2013-04-15,32.64,32.64,31.62,31.63,1526000,31.63
2013-04-12,33.55,33.60,32.74,33.04,745400,33.04
2013-04-11,34.01,34.26,33.64,33.86,607500,33.86
2013-04-10,33.52,34.13,33.43,33.93,813800,33.93
2013-04-09,33.49,33.70,33.25,33.45,848500,33.45
2013-04-08,33.26,33.58,33.00,33.43,882700,33.43
2013-04-05,32.52,33.26,32.33,33.23,1176000,33.23
2013-04-04,32.89,33.34,32.59,33.06,852400,33.06
2013-04-03,33.86,34.04,32.71,32.92,1303000,32.92
2013-04-02,34.74,34.88,33.59,33.85,1773900,33.85
2013-04-01,35.26,35.45,34.58,34.69,1041900,34.69
2013-03-28,35.37,35.58,35.06,35.36,667200,35.36
2013-03-27,34.49,35.35,34.28,35.26,741800,35.26
2013-03-26,34.34,34.86,34.23,34.71,919100,34.71
2013-03-25,34.48,34.90,34.06,34.15,690100,34.15
2013-03-22,34.37,34.64,34.16,34.40,765200,34.40
2013-03-21,34.52,34.86,34.22,34.26,808200,34.26
2013-03-20,34.66,34.89,34.17,34.83,1123100,34.83
2013-03-19,35.08,35.13,33.63,34.37,1809100,34.37
2013-03-18,35.17,35.36,34.89,35.00,1540400,35.00
2013-03-15,35.83,36.35,35.56,35.78,1691300,35.78
2013-03-14,35.17,35.91,35.12,35.81,760700,35.81
2013-03-13,35.00,35.34,34.96,35.08,960600,35.08
2013-03-12,34.84,35.15,34.53,35.02,939000,35.02
2013-03-11,34.44,34.78,34.17,34.70,845600,34.70
2013-03-08,34.62,34.78,34.36,34.57,1153500,34.57
2013-03-07,34.43,34.77,34.38,34.42,816600,34.42
2013-03-06,34.63,34.67,34.04,34.37,933200,34.37
2013-03-05,34.76,34.78,34.34,34.52,1022000,34.52
2013-03-04,35.02,35.02,34.03,34.52,1429800,34.52
2013-03-01,34.73,35.45,34.35,34.98,1770000,34.98
2013-02-28,34.32,34.83,33.68,34.59,1550700,34.59
2013-02-27,33.83,34.50,33.77,34.24,1508500,34.24
2013-02-26,33.75,34.20,33.35,33.99,1377400,33.99
2013-02-25,35.36,35.41,33.56,33.58,1837600,33.58
2013-02-22,35.14,35.30,34.65,35.17,727000,35.17
2013-02-21,35.50,35.65,34.42,34.99,1677500,34.99
2013-02-20,36.54,36.64,35.65,35.69,1296200,35.69
2013-02-19,36.03,36.85,36.03,36.65,1380100,36.65
2013-02-15,36.50,36.51,35.39,35.84,1921700,35.84
2013-02-14,35.45,36.53,35.30,36.30,1291200,36.30
2013-02-13,35.19,35.60,35.15,35.58,552500,35.58
2013-02-12,35.11,35.38,34.96,35.15,891400,35.15
2013-02-11,35.01,35.22,34.66,34.94,1103800,34.94
2013-02-08,35.00,35.19,34.84,35.14,736200,35.14
2013-02-07,34.96,35.39,34.64,34.98,1130000,34.98
2013-02-06,34.55,34.94,34.04,34.90,1276100,34.90
2013-02-05,34.80,34.91,34.42,34.78,763700,34.78
2013-02-04,34.82,35.05,34.60,34.64,897400,34.64
2013-02-01,34.88,35.29,34.50,35.11,1281500,35.11
2013-01-31,34.77,34.91,34.46,34.48,1242700,34.48
