Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,34.01,34.57,33.93,34.52,853800,34.52
2013-07-11,34.09,34.40,34.09,34.15,979700,34.15
2013-07-10,33.56,33.86,33.50,33.64,1112100,33.64
2013-07-09,32.97,33.71,32.65,33.54,869600,33.54
2013-07-08,32.47,33.08,32.47,32.72,1323600,32.72
2013-07-05,31.81,32.53,31.38,32.36,1943600,32.36
2013-07-03,31.90,32.08,30.64,31.56,4324000,31.56
2013-07-02,33.48,33.58,33.13,33.30,910800,33.30
2013-07-01,33.35,33.85,33.35,33.49,1406600,33.49
2013-06-28,32.94,33.54,32.72,33.23,1345200,33.23
2013-06-27,32.88,33.41,32.87,33.07,775400,33.07
2013-06-26,32.98,33.17,32.44,32.75,611300,32.75
2013-06-25,32.49,32.86,32.21,32.68,768500,32.68
2013-06-24,32.19,32.40,31.79,32.15,1027700,32.15
2013-06-21,33.14,33.28,32.22,32.62,1467300,32.62
2013-06-20,33.51,33.57,32.86,32.93,1216800,32.93
2013-06-19,34.37,34.52,33.85,33.88,701100,33.88
2013-06-18,34.35,34.61,34.31,34.42,773700,34.42
2013-06-17,33.89,34.35,33.76,34.27,1042700,34.27
2013-06-14,34.16,34.22,33.57,33.59,577700,33.59
2013-06-13,33.30,34.29,33.14,34.20,661500,34.20
2013-06-12,33.75,33.75,33.22,33.25,602100,33.25
2013-06-11,33.40,33.65,33.07,33.41,865300,33.41
2013-06-10,34.32,34.32,33.70,33.80,707800,33.80
2013-06-07,34.24,34.60,33.87,34.12,1038100,34.12
2013-06-06,33.17,33.88,33.08,33.87,696700,33.87
2013-06-05,34.00,34.15,33.27,33.31,660400,33.31
2013-06-04,34.32,34.64,33.62,34.01,995400,34.01
2013-06-03,34.85,34.92,33.75,34.23,1723400,34.23
2013-05-31,34.66,35.17,34.55,34.76,974800,34.76
2013-05-30,34.73,35.36,34.68,34.82,1236100,34.82
2013-05-29,34.91,34.91,34.14,34.71,1561600,34.71
2013-05-28,35.29,35.56,34.82,35.18,723600,35.18
2013-05-24,34.91,34.96,34.47,34.82,801500,34.82
2013-05-23,35.03,35.16,34.69,35.01,993100,35.01
2013-05-22,35.71,36.00,35.14,35.27,1029000,35.27
2013-05-21,35.62,35.92,35.55,35.77,694000,35.61
2013-05-20,35.98,36.16,35.43,35.58,977200,35.42
2013-05-17,35.60,36.12,35.58,36.10,845400,35.94
2013-05-16,35.37,35.64,35.01,35.46,1295200,35.30
2013-05-15,34.71,35.56,34.50,35.54,1345000,35.38
2013-05-14,34.06,34.80,34.06,34.76,1140800,34.60
2013-05-13,34.13,34.31,33.69,34.06,927200,33.91
2013-05-10,33.78,34.34,33.56,34.30,876300,34.15
2013-05-09,33.50,33.94,33.49,33.78,1469100,33.63
2013-05-08,33.54,33.83,33.17,33.58,1009200,33.43
2013-05-07,33.42,33.60,33.25,33.48,1502700,33.33
2013-05-06,32.78,33.51,32.58,33.31,1800100,33.16
2013-05-03,31.80,33.07,31.75,32.90,3409900,32.75
2013-05-02,31.31,31.77,31.08,31.33,4501000,31.19
2013-05-01,32.53,32.61,31.21,31.39,2697400,31.25
2013-04-30,32.80,33.05,32.60,32.82,1405100,32.67
2013-04-29,32.46,32.88,32.36,32.79,1201900,32.64
2013-04-26,32.88,32.95,32.35,32.36,1435000,32.22
2013-04-25,33.21,33.30,32.63,32.90,2833100,32.75
2013-04-24,34.78,34.78,32.57,33.16,5696000,33.01
2013-04-23,36.72,37.00,36.17,36.71,2196100,36.55
2013-04-22,36.26,36.87,35.91,36.54,1501000,36.38
2013-04-19,35.38,36.85,35.35,36.10,1218000,35.94
2013-04-18,35.55,35.60,34.91,35.05,983600,34.89
2013-04-17,35.72,35.85,35.03,35.39,1275600,35.23
