Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,50.50,50.82,50.21,50.26,1016100,50.26
2013-07-11,48.92,50.90,48.92,50.57,2153400,50.57
2013-07-10,48.21,48.42,47.86,48.33,999200,48.33
2013-07-09,48.18,48.35,47.74,48.14,1071500,48.14
2013-07-08,48.50,48.62,47.75,47.94,1125900,47.94
2013-07-05,48.07,48.36,47.68,48.34,783600,48.34
2013-07-03,47.16,48.15,47.13,47.85,574500,47.85
2013-07-02,47.41,47.85,47.04,47.41,1152400,47.41
2013-07-01,48.04,48.38,47.36,47.41,1250000,47.41
2013-06-28,48.23,48.36,47.19,47.82,2821600,47.82
2013-06-27,47.07,48.82,47.00,48.47,3298300,48.47
2013-06-26,46.32,46.95,46.20,46.79,1938000,46.79
2013-06-25,46.34,46.48,45.47,45.86,2051700,45.86
2013-06-24,45.88,46.32,44.95,45.91,2447300,45.91
2013-06-21,46.25,46.47,45.34,46.45,4544500,46.45
2013-06-20,47.85,48.15,45.66,45.88,4977500,45.88
2013-06-19,46.63,46.88,45.90,46.22,2731100,46.22
2013-06-18,45.75,47.04,45.69,46.63,2227400,46.63
2013-06-17,45.83,46.15,45.33,45.68,1736900,45.68
2013-06-14,45.93,46.50,45.56,45.81,2062200,45.81
2013-06-13,46.23,46.34,45.08,45.85,3224800,45.85
2013-06-12,46.68,46.74,45.96,46.40,2234800,46.40
2013-06-11,45.86,46.85,45.55,46.24,2244200,46.24
2013-06-10,46.26,46.52,46.19,46.40,1540100,46.40
2013-06-07,45.72,46.53,45.52,46.24,1865700,46.24
2013-06-06,45.77,46.06,44.92,45.48,5005800,45.48
2013-06-05,46.08,46.79,45.55,45.70,3561200,45.70
2013-06-04,47.13,47.33,46.17,46.18,2498100,46.18
2013-06-03,48.29,48.29,46.31,47.16,2346600,47.16
2013-05-31,47.72,49.37,47.60,48.23,2685100,48.23
2013-05-30,48.25,48.32,47.35,47.86,3608200,47.86
