Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,129.82,130.43,129.30,130.41,272300,130.41
2013-07-11,130.04,130.68,129.49,130.19,327300,130.19
2013-07-10,128.08,128.66,127.49,128.18,220900,128.18
2013-07-09,127.50,128.91,127.50,128.46,273000,128.30
2013-07-08,128.14,128.71,126.80,126.92,425000,126.76
2013-07-05,125.85,127.87,125.84,127.84,293100,127.68
2013-07-03,124.36,125.22,123.89,124.55,129600,124.39
2013-07-02,125.10,125.98,124.13,124.68,515300,124.52
2013-07-01,124.36,126.43,123.98,125.43,481600,125.27
2013-06-28,123.34,124.94,122.90,124.22,841700,124.06
2013-06-27,121.26,124.11,121.23,124.00,497900,123.84
2013-06-26,121.11,121.62,120.24,120.39,388900,120.24
2013-06-25,121.17,121.28,119.86,120.27,347600,120.12
2013-06-24,120.86,121.10,119.87,120.02,454600,119.87
2013-06-21,122.17,122.64,120.98,122.08,1276700,121.92
2013-06-20,122.93,122.93,120.87,121.27,569400,121.11
2013-06-19,124.79,125.51,123.71,123.76,370600,123.60
2013-06-18,123.58,125.15,123.39,124.82,534800,124.66
2013-06-17,121.69,123.88,121.29,123.53,816900,123.37
2013-06-14,121.43,121.80,120.00,120.47,370200,120.32
2013-06-13,119.38,121.79,119.10,121.50,244800,121.34
2013-06-12,122.31,122.52,119.45,119.57,525500,119.42
2013-06-11,122.63,122.81,121.19,121.30,669500,121.14
2013-06-10,124.28,124.28,123.28,123.81,301300,123.65
2013-06-07,122.69,124.21,122.44,123.75,278800,123.59
2013-06-06,121.92,122.27,120.72,122.12,403900,121.96
2013-06-05,123.46,124.19,121.79,122.11,595500,121.95
2013-06-04,125.47,126.20,123.48,123.96,480400,123.80
2013-06-03,124.38,125.50,123.53,125.48,696500,125.32
2013-05-31,125.01,126.30,124.16,124.22,592400,124.06
2013-05-30,124.40,125.81,124.40,125.25,369200,125.09
2013-05-29,125.86,126.09,124.00,124.29,588700,124.13
2013-05-28,124.21,126.58,124.12,126.33,915700,126.17
2013-05-24,120.41,123.26,120.41,123.06,626500,122.90
2013-05-23,121.89,123.37,121.89,123.13,577500,122.97
