Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,77.74,77.89,76.69,77.30,1371600,77.30
2013-07-11,80.10,80.31,77.49,77.73,2472500,77.73
2013-07-10,80.07,80.26,78.78,79.09,1052300,79.09
2013-07-09,79.38,80.36,79.09,79.98,1904000,79.98
2013-07-08,78.40,80.00,78.25,78.92,1008400,78.92
2013-07-05,77.93,78.02,76.71,77.62,1369100,77.62
2013-07-03,77.84,78.42,76.64,77.47,790500,77.47
2013-07-02,77.13,79.16,77.02,78.26,1521800,78.26
2013-07-01,77.62,78.15,76.49,77.09,1781900,77.09
2013-06-28,78.70,78.76,77.09,77.32,2397900,77.32
2013-06-27,79.70,81.13,78.72,78.94,2433900,78.94
2013-06-26,80.29,80.47,78.80,79.33,976900,79.33
2013-06-25,79.62,80.07,78.96,79.68,1388600,79.68
2013-06-24,75.74,79.14,74.53,78.67,2061400,78.67
2013-06-21,77.89,78.10,76.48,77.30,2648700,77.30
2013-06-20,77.96,78.45,75.99,77.52,2393900,77.52
2013-06-19,79.17,80.24,78.89,79.24,1344700,79.24
2013-06-18,77.46,80.05,77.22,79.46,2258800,79.46
2013-06-17,74.17,77.62,74.17,77.37,2100800,77.37
2013-06-14,74.82,75.39,73.08,73.37,1176500,73.37
2013-06-13,73.24,74.85,72.79,74.79,1229100,74.79
2013-06-12,75.11,75.34,73.21,73.49,747000,73.49
2013-06-11,75.54,75.68,74.00,74.71,1417300,74.67
2013-06-10,76.27,76.95,75.89,76.29,1574500,76.25
2013-06-07,74.66,76.37,74.48,76.16,1055900,76.12
2013-06-06,73.25,74.24,72.77,74.22,1089300,74.18
2013-06-05,74.30,74.43,73.13,73.16,1305100,73.12
2013-06-04,74.93,75.72,73.55,74.39,1340200,74.35
2013-06-03,75.29,75.93,73.99,74.62,1108800,74.58
2013-05-31,76.16,76.77,75.17,75.18,1049200,75.14
2013-05-30,76.75,77.19,76.03,76.22,937500,76.18
2013-05-29,77.12,78.01,76.64,76.80,1061200,76.76
2013-05-28,78.42,78.66,77.00,77.62,1066200,77.58
2013-05-24,77.53,77.87,76.68,77.07,1285000,77.03
2013-05-23,76.21,78.21,75.75,78.03,983300,77.99
2013-05-22,78.49,79.50,76.70,77.26,1831000,77.22
2013-05-21,77.59,79.13,77.57,78.61,1808000,78.57
2013-05-20,76.10,77.64,75.28,77.38,1949600,77.34
2013-05-17,75.23,76.82,74.93,76.50,1322200,76.46
2013-05-16,75.46,76.05,74.71,74.86,666600,74.82
2013-05-15,75.69,76.34,74.95,75.73,1114400,75.69
2013-05-14,75.42,76.41,75.04,75.96,949100,75.92
2013-05-13,75.72,77.05,75.03,75.29,1374100,75.25
2013-05-10,75.76,76.34,74.86,76.18,1524800,76.14
2013-05-09,74.32,76.50,74.09,75.96,1827200,75.92
2013-05-08,75.57,75.57,73.33,74.32,2372200,74.28
2013-05-07,74.34,76.21,74.02,75.40,1431400,75.36
2013-05-06,74.00,74.89,73.87,74.16,1407400,74.12
2013-05-03,72.83,74.80,72.33,74.43,1200900,74.39
2013-05-02,72.05,73.10,71.43,72.49,2395400,72.45
2013-05-01,73.15,73.15,71.57,71.85,1343200,71.81
2013-04-30,74.13,74.13,72.67,73.52,1261900,73.48
2013-04-29,74.71,75.71,73.64,74.17,1906100,74.13
2013-04-26,76.58,76.72,73.07,74.00,2804400,73.96
2013-04-25,75.77,78.69,75.69,77.46,1801800,77.42
2013-04-24,75.72,76.54,74.54,75.19,2047100,75.15
2013-04-23,75.60,75.91,74.65,75.83,1114400,75.79
2013-04-22,75.30,75.65,74.07,75.32,1165200,75.28
2013-04-19,74.85,75.75,73.90,75.55,2105700,75.51
2013-04-18,72.06,75.09,71.14,74.55,3196400,74.51
2013-04-17,73.97,74.45,71.45,71.78,4428200,71.74
2013-04-16,75.50,75.73,73.28,74.92,2599600,74.88
2013-04-15,77.87,77.87,73.98,73.99,2132200,73.95
2013-04-12,80.05,80.25,78.47,78.91,1132300,78.87
2013-04-11,80.50,81.02,79.65,80.29,1319800,80.25
2013-04-10,80.26,80.60,79.60,79.86,1914700,79.82
2013-04-09,80.48,80.91,79.21,80.09,1652100,80.05
2013-04-08,79.25,80.64,79.15,80.64,1112500,80.60
2013-04-05,76.11,79.34,75.77,79.12,1439400,79.08
2013-04-04,76.52,76.90,75.66,76.51,1062600,76.47
2013-04-03,79.32,79.78,75.98,76.49,1957200,76.45
2013-04-02,80.46,80.58,78.80,79.10,1091700,79.06
2013-04-01,80.11,81.00,79.30,80.34,1170700,80.30
2013-03-28,82.00,82.19,80.54,81.04,1330500,81.00
2013-03-27,82.00,82.18,81.02,82.08,1326500,82.04
2013-03-26,81.40,82.76,81.08,82.46,1255700,82.42
2013-03-25,81.09,81.96,80.64,81.16,1545800,81.12
2013-03-22,82.04,82.45,80.25,80.76,1532600,80.72
2013-03-21,81.48,82.27,80.45,81.74,1498400,81.70
2013-03-20,81.07,81.33,79.85,80.86,1411700,80.82
