Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,35.33,35.50,35.12,35.26,839400,35.26
2013-07-11,35.12,35.36,35.05,35.33,1056400,35.33
2013-07-10,34.75,35.08,34.60,34.72,992600,34.72
2013-07-09,34.50,34.88,34.47,34.78,881800,34.78
2013-07-08,34.20,34.42,34.05,34.27,1673000,34.27
2013-07-05,33.83,34.18,33.52,34.15,930400,34.15
2013-07-03,33.60,33.78,33.47,33.71,482600,33.71
2013-07-02,34.09,34.31,33.65,33.79,1745700,33.79
2013-07-01,33.97,34.27,33.84,34.14,1658200,34.14
2013-06-28,33.82,34.11,33.72,33.94,2837900,33.94
2013-06-27,33.95,34.02,33.75,33.95,1324200,33.95
2013-06-26,33.75,34.06,33.65,34.03,1860700,33.79
2013-06-25,33.00,33.56,32.93,33.48,1975200,33.25
2013-06-24,33.24,33.24,32.75,32.75,1733600,32.52
2013-06-21,33.62,33.71,33.15,33.45,1975900,33.22
2013-06-20,33.87,33.87,33.31,33.39,1275400,33.16
2013-06-19,34.71,34.75,34.05,34.10,1525900,33.86
2013-06-18,34.27,34.77,34.26,34.75,1132300,34.51
2013-06-17,34.33,34.52,33.97,34.17,1551500,33.93
2013-06-14,33.84,34.19,33.63,34.06,1447100,33.82
2013-06-13,33.33,34.06,33.33,33.98,1713800,33.75
2013-06-12,33.93,33.93,33.57,33.59,1313600,33.36
2013-06-11,33.37,33.87,33.37,33.72,987400,33.49
2013-06-10,33.96,34.12,33.67,33.72,1207400,33.49
2013-06-07,33.43,33.95,32.81,33.92,2539100,33.69
2013-06-06,33.82,33.88,33.35,33.66,1395600,33.43
2013-06-05,34.00,34.04,33.57,33.82,1851100,33.59
2013-06-04,34.31,34.38,33.89,34.15,1861700,33.91
2013-06-03,34.12,34.39,33.81,34.37,1980600,34.13
2013-05-31,34.50,34.66,34.10,34.10,2749700,33.86
2013-05-30,34.26,34.91,34.21,34.65,1720700,34.41
2013-05-29,34.46,34.47,33.85,34.06,1752300,33.82
2013-05-28,34.83,34.92,34.46,34.65,1457400,34.41
2013-05-24,34.62,34.74,34.49,34.62,1123100,34.38
2013-05-23,34.70,35.00,34.54,34.71,1872300,34.47
2013-05-22,35.06,35.28,34.51,34.55,1338200,34.31
2013-05-21,34.98,35.28,34.91,35.09,1113500,34.85
2013-05-20,34.88,35.10,34.84,34.96,1403200,34.72
2013-05-17,34.68,34.98,34.59,34.89,2157800,34.65
2013-05-16,34.33,34.56,34.14,34.54,2434100,34.30
2013-05-15,33.89,34.58,33.73,34.41,2738900,34.17
2013-05-14,33.84,34.00,33.69,33.90,2171400,33.67
2013-05-13,33.97,34.05,33.76,33.79,1334300,33.56
2013-05-10,34.56,34.61,33.94,33.95,2343000,33.72
2013-05-09,34.74,34.89,34.39,34.56,1132700,34.32
2013-05-08,34.93,35.01,34.74,34.83,1041900,34.59
2013-05-07,34.75,35.08,34.68,34.98,1606900,34.74
2013-05-06,34.43,34.71,34.29,34.67,1117300,34.43
2013-05-03,34.28,34.51,34.18,34.48,1403800,34.24
2013-05-02,34.19,34.25,33.88,34.12,896500,33.88
2013-05-01,34.00,34.62,33.96,34.10,1591200,33.86
2013-04-30,33.68,34.29,33.59,34.08,2550400,33.84
2013-04-29,33.76,34.32,33.58,33.67,2092300,33.44
2013-04-26,33.29,34.54,33.12,34.31,3857800,34.07
2013-04-25,33.37,33.87,33.15,33.25,1979900,33.02
2013-04-24,32.80,33.23,32.80,33.21,935500,32.98
2013-04-23,32.62,33.01,32.62,32.81,1282500,32.58
2013-04-22,32.64,32.83,32.28,32.53,1110700,32.31
2013-04-19,32.39,32.74,32.21,32.68,1349000,32.45
2013-04-18,32.51,32.51,32.10,32.26,1217300,32.04
2013-04-17,32.89,32.95,32.16,32.43,1761000,32.21
2013-04-16,32.93,33.23,32.80,33.06,1395200,32.83
2013-04-15,33.39,33.48,32.60,32.80,2441300,32.57
2013-04-12,33.60,33.79,33.46,33.52,1544300,33.29
2013-04-11,33.31,33.77,33.07,33.74,2817600,33.51
2013-04-10,32.80,33.40,32.74,33.36,2664500,33.13
2013-04-09,32.55,32.90,32.50,32.70,1126000,32.47
2013-04-08,32.32,32.51,32.07,32.49,868900,32.27
2013-04-05,32.23,32.44,32.12,32.38,1170600,32.16
2013-04-04,32.43,32.65,32.40,32.50,1019800,32.28
2013-04-03,32.56,32.74,32.26,32.34,1152800,32.12
2013-04-02,32.63,32.94,32.46,32.60,883000,32.37
2013-04-01,32.93,32.99,32.38,32.48,858200,32.26
2013-03-28,32.56,33.01,32.40,33.00,1701100,32.77
2013-03-27,32.18,32.57,32.06,32.56,1205800,32.34
2013-03-26,32.67,32.85,32.53,32.59,1713300,32.13
2013-03-25,32.66,32.90,32.51,32.64,1082900,32.18
2013-03-22,32.51,32.76,32.49,32.65,1054500,32.19
2013-03-21,32.36,32.65,32.36,32.48,942500,32.02
2013-03-20,32.20,32.54,32.20,32.50,1178500,32.04
2013-03-19,32.05,32.33,31.96,32.10,1225300,31.65
2013-03-18,31.77,32.12,31.70,32.07,950800,31.62
2013-03-15,31.71,32.01,31.56,31.97,2170800,31.52
2013-03-14,31.88,31.95,31.80,31.90,1301500,31.45
2013-03-13,31.69,32.21,31.69,31.87,2350000,31.42
2013-03-12,31.72,31.80,31.35,31.54,1041200,31.10
2013-03-11,31.31,31.82,31.19,31.72,1891100,31.27
2013-03-08,31.05,31.33,30.95,31.30,1537800,30.86
2013-03-07,31.11,31.22,30.87,30.87,2393000,30.44
2013-03-06,31.35,31.42,31.01,31.04,2252000,30.60
2013-03-05,31.29,31.46,31.18,31.28,2132400,30.84
2013-03-04,31.12,31.24,30.91,31.20,1278300,30.76
2013-03-01,31.30,31.32,31.01,31.09,1893800,30.65
