Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,69.30,69.60,68.93,69.47,1647900,69.47
2013-07-11,68.77,69.49,68.77,69.38,1759800,69.38
2013-07-10,67.49,68.42,67.49,68.18,1738600,68.18
2013-07-09,67.28,67.88,66.74,67.44,2054400,67.44
2013-07-08,66.30,66.96,66.14,66.84,1969400,66.84
2013-07-05,65.63,66.01,65.15,65.84,1070500,65.84
2013-07-03,64.62,65.28,64.53,65.15,753000,65.15
2013-07-02,66.05,66.05,64.48,64.82,1939100,64.82
2013-07-01,66.00,66.44,65.43,66.10,1585300,66.10
2013-06-28,66.35,66.66,65.95,66.12,1958000,65.57
2013-06-27,66.50,66.79,66.36,66.44,1730500,65.89
2013-06-26,65.81,66.32,65.22,65.93,2034200,65.38
2013-06-25,65.96,66.04,65.03,65.32,1453000,64.78
2013-06-24,65.86,66.21,65.14,65.51,1788600,64.97
2013-06-21,66.36,66.68,66.04,66.11,2344300,65.56
2013-06-20,66.59,66.96,66.01,66.11,1925300,65.56
2013-06-19,68.07,68.07,66.82,66.90,2434700,66.34
2013-06-18,68.00,68.35,67.70,68.07,1855300,67.50
2013-06-17,68.01,68.49,67.35,67.78,1226900,67.22
2013-06-14,67.36,67.83,66.97,67.41,1834100,66.85
2013-06-13,66.69,68.13,66.66,67.67,1873900,67.11
2013-06-12,67.05,67.30,66.56,66.71,1336800,66.16
2013-06-11,66.48,67.18,66.22,66.54,1470800,65.99
2013-06-10,67.44,67.48,66.77,66.95,1467300,66.39
2013-06-07,66.41,67.49,66.35,67.41,1907400,66.85
2013-06-06,65.52,66.12,65.06,65.98,1363800,65.43
2013-06-05,66.14,66.24,65.34,65.50,1386500,64.96
2013-06-04,66.12,66.64,65.80,66.35,1528500,65.80
2013-06-03,66.30,66.63,65.69,66.24,2897400,65.69
2013-05-31,67.24,68.09,66.64,66.64,1956500,66.09
2013-05-30,67.42,68.62,67.30,67.33,1584000,66.77
2013-05-29,67.40,67.49,66.66,67.10,1220700,66.54
2013-05-28,67.29,68.03,67.23,67.75,1539400,67.19
2013-05-24,66.61,66.85,66.06,66.73,1115000,66.17
2013-05-23,65.75,67.04,65.72,66.75,1413100,66.19
2013-05-22,66.68,67.44,66.11,66.24,1654000,65.69
2013-05-21,66.85,67.29,66.46,66.76,1421000,66.20
2013-05-20,66.78,67.14,66.66,66.78,1234000,66.22
2013-05-17,65.80,66.98,65.77,66.89,3177900,66.33
2013-05-16,65.73,66.15,65.41,65.64,1555100,65.09
2013-05-15,64.42,65.77,64.28,65.77,1292800,65.22
2013-05-14,63.97,64.67,63.94,64.64,1123900,64.10
2013-05-13,64.23,66.00,63.60,63.93,1004400,63.40
2013-05-10,63.61,64.27,63.44,64.27,1475500,63.74
2013-05-09,63.26,63.79,63.00,63.46,1335100,62.93
2013-05-08,63.36,63.44,62.89,63.16,2309300,62.63
2013-05-07,63.13,63.63,62.99,63.46,1233000,62.93
2013-05-06,63.17,63.39,62.81,62.98,1128000,62.46
2013-05-03,63.02,63.21,62.59,63.04,1579000,62.52
2013-05-02,61.66,62.76,61.47,62.50,1852700,61.98
2013-05-01,61.25,62.33,61.24,61.66,2142000,61.15
2013-04-30,60.74,61.68,60.72,61.38,2196300,60.87
2013-04-29,60.22,60.92,59.77,60.72,1902300,60.21
2013-04-26,59.59,60.39,59.39,60.20,2048100,59.70
2013-04-25,58.48,59.71,58.10,59.30,2819400,58.81
2013-04-24,57.68,58.41,57.47,58.13,1482400,57.65
2013-04-23,57.31,57.49,56.53,57.39,1578300,56.91
2013-04-22,57.25,57.33,56.61,56.94,1262500,56.47
2013-04-19,56.52,57.31,56.47,57.15,1700100,56.67
2013-04-18,56.66,56.81,55.85,56.22,1609800,55.75
2013-04-17,57.16,57.24,56.42,56.68,1352500,56.21
2013-04-16,57.78,58.13,57.12,57.39,1634700,56.91
2013-04-15,58.12,58.24,57.29,57.44,1672900,56.96
2013-04-12,58.15,58.43,57.95,58.34,1134300,57.85
2013-04-11,58.39,58.53,58.26,58.41,1512800,57.92
2013-04-10,58.11,58.55,58.07,58.22,1550900,57.74
2013-04-09,58.40,58.46,57.84,57.96,1183400,57.48
2013-04-08,58.10,58.25,57.63,58.25,1403800,57.77
2013-04-05,58.11,58.33,57.78,58.18,2493100,57.70
2013-04-04,58.17,58.73,58.13,58.54,1813200,58.05
2013-04-03,57.71,58.75,57.71,58.02,2054200,57.54
2013-04-02,58.09,58.13,57.32,57.54,1470700,57.06
2013-04-01,58.32,58.44,57.72,57.89,1733200,57.41
2013-03-28,58.56,58.85,58.40,58.79,2139500,57.76
2013-03-27,57.68,58.52,57.42,58.41,1852100,57.38
2013-03-26,57.22,57.89,57.17,57.81,1811600,56.79
2013-03-25,57.31,57.55,56.55,56.76,5587600,55.76
2013-03-22,57.00,57.25,56.90,57.04,5064300,56.04
2013-03-21,56.97,57.25,56.64,56.86,1630100,55.86
2013-03-20,57.30,58.00,56.93,57.00,1534900,56.00
2013-03-19,57.18,57.40,56.73,57.10,1508800,56.10
2013-03-18,57.18,57.54,56.82,57.03,3186500,56.03
2013-03-15,57.13,57.93,57.10,57.93,4110800,56.91
2013-03-14,57.29,57.47,57.15,57.32,1643300,56.31
2013-03-13,56.17,57.33,56.03,57.18,1833000,56.17
2013-03-12,55.98,56.18,55.82,56.13,1438700,55.14
2013-03-11,55.88,56.05,55.72,55.98,1177600,54.99
2013-03-08,55.85,56.36,55.56,56.03,1618500,55.04
2013-03-07,55.38,55.76,55.20,55.64,1930600,54.66
2013-03-06,55.11,55.38,54.50,55.36,2496100,54.39
2013-03-05,54.54,55.00,54.30,54.85,2126600,53.88
2013-03-04,54.47,54.47,53.76,54.24,1808700,53.29
2013-03-01,54.30,54.73,53.93,54.67,2290000,53.71
2013-02-28,55.01,55.36,54.54,54.57,2610500,53.61
2013-02-27,54.09,55.23,54.09,55.06,2532000,54.09
2013-02-26,54.18,54.44,54.03,54.21,2161400,53.26
2013-02-25,54.63,54.87,54.03,54.03,2123400,53.08
2013-02-22,54.05,54.61,54.00,54.44,1525000,53.48
2013-02-21,53.89,54.13,53.66,53.94,1895900,52.99
2013-02-20,54.24,54.64,54.05,54.05,1546000,53.10
2013-02-19,54.03,54.29,54.00,54.29,2389000,53.33
2013-02-15,53.52,54.12,53.45,53.98,2396100,53.03
2013-02-14,53.81,54.18,53.54,53.76,1691400,52.81
2013-02-13,54.45,54.49,53.80,53.97,1426400,53.02
2013-02-12,54.67,54.71,54.23,54.36,1902900,53.40
2013-02-11,54.14,54.63,53.83,54.55,2227500,53.59
2013-02-08,54.12,54.22,53.77,54.16,1495000,53.21
2013-02-07,53.43,54.22,53.32,54.11,2229100,53.16
2013-02-06,53.14,53.51,53.01,53.42,2516400,52.48
2013-02-05,53.35,53.62,52.95,53.51,2503700,52.57
2013-02-04,52.50,53.29,52.50,53.02,3147700,52.09
2013-02-01,52.79,53.10,52.24,52.67,3238100,51.74
2013-01-31,54.07,54.07,52.64,52.68,4457000,51.75
2013-01-30,54.78,54.98,54.10,54.15,2164000,53.20
2013-01-29,54.87,55.18,54.78,54.90,3086100,53.93
2013-01-28,56.44,56.44,54.57,54.87,3562500,53.90
2013-01-25,56.67,56.67,55.70,55.88,2359000,54.90
2013-01-24,58.18,58.18,56.01,56.54,4509600,55.55
2013-01-23,57.79,58.36,57.36,58.20,2073700,57.18
2013-01-22,58.03,58.44,57.97,58.37,1193400,57.34
2013-01-18,58.43,58.50,57.67,58.10,1698500,57.08
2013-01-17,57.93,58.52,57.63,58.25,1928400,57.23
2013-01-16,58.09,58.13,57.60,57.77,1333900,56.75
2013-01-15,57.58,58.23,57.42,58.15,1285700,57.13
2013-01-14,58.01,58.10,57.58,57.87,1189900,56.85
2013-01-11,58.57,58.60,57.91,57.99,1175800,56.97
2013-01-10,58.44,58.58,57.99,58.58,1600500,57.55
2013-01-09,57.78,58.32,57.65,58.21,1153700,57.19
2013-01-08,57.23,57.99,57.23,57.74,2358500,56.72
2013-01-07,58.68,58.84,58.21,58.35,2169400,57.32
2013-01-04,58.89,59.08,58.46,59.01,1062500,57.97
2013-01-03,58.66,58.98,58.43,58.64,1636200,57.61
2013-01-02,58.52,58.65,58.13,58.62,1726200,57.59
2012-12-31,56.50,57.62,56.07,57.56,1953200,56.55
2012-12-28,57.05,57.56,56.64,56.70,1734500,55.70
2012-12-27,57.37,57.90,56.95,57.80,1834100,56.29
2012-12-26,58.86,58.87,57.26,57.31,2421800,55.81
2012-12-24,58.98,58.98,58.50,58.72,511900,57.19
2012-12-21,58.64,59.34,58.46,59.23,2695600,57.68
2012-12-20,58.91,59.28,58.72,59.28,1205100,57.73
2012-12-19,59.06,59.06,58.06,58.75,1858800,57.22
2012-12-18,58.18,58.93,58.08,58.90,1273200,57.36
2012-12-17,57.66,58.20,57.50,58.17,1533900,56.65
2012-12-14,57.51,57.78,57.33,57.49,1665300,55.99
2012-12-13,58.06,58.20,57.39,57.51,1127100,56.01
2012-12-12,58.39,58.70,58.02,58.14,1222900,56.62
2012-12-11,57.96,58.59,57.88,58.15,1368200,56.63
2012-12-10,57.30,58.00,56.91,57.91,1196200,56.40
2012-12-07,57.31,57.45,56.93,57.40,752900,55.90
2012-12-06,57.20,57.31,56.60,57.28,1166400,55.79
2012-12-05,56.79,57.45,56.15,57.25,1322500,55.76
2012-12-04,56.57,56.94,56.33,56.76,1085500,55.28
2012-12-03,57.29,57.30,56.28,56.41,1065400,54.94
2012-11-30,56.85,57.24,56.71,57.13,1443600,55.64
2012-11-29,56.50,56.98,56.28,56.85,1250400,55.37
2012-11-28,55.86,56.38,55.35,56.37,1817700,54.90
2012-11-27,56.29,56.75,55.86,56.11,1618700,54.65
2012-11-26,56.02,56.26,55.78,56.25,1074400,54.78
2012-11-23,56.00,56.20,55.77,56.20,678300,54.73
2012-11-21,55.42,55.91,55.17,55.84,1061800,54.38
2012-11-20,55.24,55.60,54.96,55.44,1595100,53.99
2012-11-19,54.88,55.30,54.62,55.26,1261800,53.82
2012-11-16,54.23,54.72,53.68,54.46,2211100,53.04
2012-11-15,54.42,54.69,53.86,54.00,1778800,52.59
2012-11-14,56.03,56.17,54.36,54.48,2410300,53.06
2012-11-13,54.96,56.32,54.96,55.86,1776600,54.40
2012-11-12,55.59,56.23,55.08,55.39,1696100,53.94
2012-11-09,54.98,56.37,54.57,56.06,2643100,54.60
2012-11-08,55.53,55.70,55.09,55.12,2154900,53.68
2012-11-07,56.22,56.22,54.30,55.47,4361100,54.02
2012-11-06,56.75,57.96,56.49,57.34,2688100,55.84
2012-11-05,56.83,56.92,56.24,56.45,2207000,54.98
2012-11-02,57.38,57.79,56.99,57.03,3311400,55.54
2012-11-01,56.63,57.50,56.56,57.16,2427700,55.67
2012-10-31,56.10,56.79,55.87,56.56,1732800,55.08
2012-10-26,55.63,56.23,55.37,55.71,1497500,54.26
2012-10-25,55.66,56.31,55.06,55.74,2967900,54.29
2012-10-24,55.39,55.79,55.10,55.15,1666800,53.71
2012-10-23,55.18,55.19,54.45,55.08,1646400,53.64
2012-10-22,55.39,55.78,55.15,55.65,1278600,54.20
2012-10-19,56.86,56.86,55.80,55.87,1527500,54.41
2012-10-18,56.56,57.09,56.37,57.06,1384200,55.57
2012-10-17,56.37,56.73,56.24,56.66,1246300,55.18
2012-10-16,55.58,56.28,55.29,56.23,1392100,54.76
2012-10-15,54.89,55.42,54.85,55.34,1206700,53.90
2012-10-12,55.03,55.35,54.65,54.88,1095800,53.45
2012-10-11,55.12,55.23,54.88,54.88,1264400,53.45
2012-10-10,55.06,55.22,54.73,54.81,1128000,53.38
2012-10-09,55.32,55.58,54.97,55.02,1767100,53.58
2012-10-08,55.38,55.55,55.15,55.32,1103000,53.88
2012-10-05,55.47,55.92,55.27,55.48,1698700,54.03
2012-10-04,55.30,55.85,54.98,55.32,2334800,53.88
2012-10-03,54.70,55.11,54.56,54.98,2969000,53.55
2012-10-02,54.12,55.45,53.60,54.75,6039700,53.32
2012-10-01,55.45,56.00,54.45,55.58,4845400,54.13
2012-09-28,57.40,57.41,56.72,57.16,1320900,55.18
2012-09-27,57.72,57.83,57.11,57.54,1152600,55.55
2012-09-26,58.11,58.31,57.57,57.59,1173000,55.60
2012-09-25,57.91,58.32,57.80,58.05,1240100,56.04
2012-09-24,57.95,58.00,57.54,57.86,1233800,55.86
2012-09-21,58.25,58.48,58.07,58.11,1660200,56.10
2012-09-20,57.87,58.15,57.70,58.05,1195100,56.04
2012-09-19,57.88,58.33,57.77,58.15,1063200,56.14
