Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,69.24,69.72,68.78,69.72,4853300,69.72
2013-07-11,68.68,69.52,68.35,69.34,4192900,69.34
2013-07-10,67.87,68.12,67.45,68.10,4045400,68.10
2013-07-09,68.90,69.00,67.99,68.13,3730000,68.13
2013-07-08,67.94,68.82,67.88,68.29,4015000,68.29
2013-07-05,67.87,68.00,66.90,67.72,2594700,67.72
2013-07-03,66.43,67.68,66.40,67.30,2808200,67.30
2013-07-02,66.24,67.20,66.08,66.79,3382800,66.79
2013-07-01,66.09,66.49,65.82,66.24,3346100,66.24
2013-06-28,65.51,66.25,65.40,65.51,5418300,65.51
2013-06-27,66.27,66.50,65.65,65.69,3148000,65.69
2013-06-26,65.37,66.71,64.89,65.80,4772900,65.80
2013-06-25,64.53,65.36,64.44,64.74,4928500,64.74
2013-06-24,64.00,64.58,63.18,64.01,4956600,64.01
2013-06-21,65.71,65.92,64.23,64.69,7354800,64.69
2013-06-20,65.82,66.32,65.04,65.22,5803300,65.22
2013-06-19,67.02,67.48,66.41,66.41,5323600,66.41
2013-06-18,66.00,67.13,65.95,67.10,3726800,67.10
2013-06-17,66.19,66.56,65.71,66.03,4057900,66.03
2013-06-14,65.95,66.67,65.45,65.60,4927300,65.60
2013-06-13,64.54,66.19,64.07,65.97,5954900,65.97
2013-06-12,65.82,66.00,64.26,64.45,5035000,64.45
2013-06-11,65.47,66.11,65.31,65.42,3948800,65.42
2013-06-10,65.66,66.31,65.48,66.11,6206200,66.11
2013-06-07,63.41,65.09,63.41,65.04,6876500,65.04
2013-06-06,62.35,63.06,62.32,63.02,4312700,63.02
2013-06-05,63.04,63.30,62.31,62.34,4204300,62.34
2013-06-04,62.61,64.14,62.61,63.33,4311300,63.33
2013-06-03,63.26,63.54,62.62,63.46,5708800,63.46
2013-05-31,63.21,64.35,62.79,63.14,5102900,63.14
2013-05-30,63.87,64.04,63.46,63.47,4399500,63.47
2013-05-29,63.79,64.10,63.12,63.63,3781200,63.63
2013-05-28,64.21,64.70,64.04,64.26,3719300,64.26
2013-05-24,63.08,63.40,62.61,63.36,3253700,63.36
2013-05-23,63.69,63.82,63.03,63.52,4129200,63.52
2013-05-22,64.15,64.93,63.96,64.15,5507000,64.15
2013-05-21,64.04,64.46,63.88,64.25,3294500,64.25
2013-05-20,64.03,64.61,63.78,63.83,3605900,63.83
2013-05-17,63.77,64.14,63.50,64.13,3467200,64.13
2013-05-16,64.00,64.07,63.45,63.55,3330700,63.55
2013-05-15,63.32,64.20,63.22,64.07,4827300,64.07
2013-05-14,62.92,63.57,62.78,63.52,3755300,63.52
2013-05-13,63.20,63.23,62.61,62.82,2953500,62.82
2013-05-10,62.57,63.19,62.39,63.10,3740500,63.10
2013-05-09,62.66,62.90,62.04,62.36,4138500,62.36
2013-05-08,62.34,62.44,61.73,62.41,2754100,62.41
2013-05-07,62.53,62.53,61.71,62.19,3747900,62.19
2013-05-06,62.00,62.48,61.92,62.48,3498600,62.27
2013-05-03,60.85,61.97,60.70,61.87,4917900,61.66
2013-05-02,60.44,60.68,59.60,60.38,3119100,60.18
2013-05-01,60.55,60.68,59.95,60.14,3147300,59.94
2013-04-30,60.63,60.91,60.31,60.84,4020600,60.64
2013-04-29,60.35,60.92,60.13,60.58,3700600,60.38
2013-04-26,59.30,60.39,59.20,60.00,7485500,59.80
2013-04-25,60.00,60.64,59.91,60.50,8304500,60.30
2013-04-24,59.69,59.97,59.13,59.83,5206700,59.63
2013-04-23,58.84,59.90,58.78,59.39,5662000,59.19
2013-04-22,58.42,58.87,57.98,58.64,2773700,58.44
2013-04-19,57.58,58.58,57.54,58.40,4302800,58.20
2013-04-18,58.36,58.48,57.50,57.72,4460300,57.53
2013-04-17,58.03,58.55,57.65,58.17,3603700,57.97
2013-04-16,57.94,58.94,57.72,58.56,4424700,58.36
2013-04-15,58.66,59.44,57.60,57.71,5350200,57.52
2013-04-12,58.71,59.71,58.60,59.09,5209200,58.89
2013-04-11,57.95,58.99,57.80,58.58,5208500,58.38
2013-04-10,57.64,58.31,57.61,57.80,4288700,57.61
2013-04-09,57.96,58.00,57.18,57.41,4180600,57.22
2013-04-08,57.83,58.12,57.46,58.12,3672000,57.92
2013-04-05,57.21,57.88,56.72,57.80,4496800,57.61
2013-04-04,57.61,58.31,57.61,58.11,3784300,57.91
2013-04-03,58.40,58.90,57.38,57.70,5636400,57.51
2013-04-02,57.19,58.33,57.15,58.26,6747900,58.06
2013-04-01,57.13,57.34,56.65,56.87,3504900,56.68
2013-03-28,56.93,57.26,56.86,56.95,3810200,56.76
2013-03-27,56.86,56.95,56.21,56.91,3728500,56.72
2013-03-26,56.99,57.16,56.71,57.05,3064300,56.86
2013-03-25,57.53,57.83,56.15,56.69,5290700,56.50
2013-03-22,57.30,57.75,57.16,57.38,4373800,57.19
2013-03-21,57.30,57.42,56.75,57.05,4153700,56.86
2013-03-20,57.22,57.61,57.00,57.43,4811300,57.24
2013-03-19,56.51,56.98,55.96,56.83,6668700,56.64
2013-03-18,57.06,57.42,56.75,56.93,5260600,56.74
2013-03-15,57.36,57.86,57.26,57.66,7551500,57.47
2013-03-14,58.52,58.75,57.41,57.68,7361600,57.49
2013-03-13,58.33,58.80,58.28,58.59,3717700,58.39
2013-03-12,58.45,58.55,57.98,58.28,5835100,58.08
2013-03-11,58.40,58.93,58.33,58.61,4949000,58.41
2013-03-08,58.67,58.97,58.15,58.67,7108900,58.47
2013-03-07,57.10,58.50,57.09,58.25,9118600,58.05
2013-03-06,56.76,57.49,56.65,57.10,7462600,56.91
2013-03-05,56.00,56.80,56.00,56.51,6466000,56.32
2013-03-04,54.77,55.72,54.66,55.70,5097500,55.51
2013-03-01,54.63,54.93,54.00,54.87,4225900,54.69
2013-02-28,54.65,55.17,54.45,54.85,5218200,54.67
2013-02-27,53.25,54.97,53.08,54.57,6028200,54.39
2013-02-26,53.43,53.86,52.85,53.28,5305700,53.10
2013-02-25,54.40,54.71,53.20,53.21,6167000,53.03
2013-02-22,53.70,54.21,53.28,54.17,5743700,53.99
2013-02-21,53.07,53.64,52.52,53.35,6948700,53.17
2013-02-20,54.60,54.84,53.18,53.31,6236500,53.13
2013-02-19,54.36,54.61,54.02,54.45,5880500,54.27
2013-02-15,55.61,55.70,54.17,54.34,9097900,54.16
2013-02-14,55.53,55.81,55.35,55.55,4449700,55.36
2013-02-13,56.46,56.46,55.50,55.83,3511400,55.64
2013-02-12,56.00,56.55,55.95,56.26,4332800,56.07
2013-02-11,56.52,56.52,55.86,56.14,2728700,55.95
2013-02-08,55.84,56.65,55.84,56.37,3573200,56.18
2013-02-07,56.05,56.06,55.15,55.86,4561800,55.67
2013-02-06,55.90,56.29,55.72,56.05,3724500,55.86
2013-02-05,56.24,56.45,55.91,56.20,4075700,56.01
2013-02-04,56.35,56.71,55.91,56.09,3963200,55.69
2013-02-01,56.57,57.10,56.55,56.86,4803100,56.46
2013-01-31,55.88,56.49,55.75,56.12,5291500,55.72
2013-01-30,55.76,56.20,55.38,56.00,6573800,55.60
2013-01-29,55.62,56.01,55.29,55.60,6046300,55.21
2013-01-28,56.84,57.15,55.85,56.02,6612400,55.62
2013-01-25,56.68,57.27,56.37,56.81,15398600,56.41
2013-01-24,54.74,54.90,54.06,54.57,11736800,54.18
2013-01-23,54.88,54.93,54.20,54.46,5450400,54.07
2013-01-22,55.07,55.07,54.50,54.99,5982500,54.60
2013-01-18,54.52,55.03,54.15,54.81,6545800,54.42
2013-01-17,54.79,54.90,54.22,54.50,4506500,54.11
2013-01-16,54.09,54.42,53.96,54.35,4459500,53.96
2013-01-15,54.63,54.79,53.68,54.48,6573900,54.09
2013-01-14,55.09,55.50,54.54,54.67,5798200,54.28
2013-01-11,55.11,55.24,54.44,55.01,6651300,54.62
2013-01-10,54.76,55.17,54.30,54.54,7183800,54.15
2013-01-09,55.89,55.90,54.33,54.63,8339200,54.24
2013-01-08,55.58,55.72,55.07,55.62,4806700,55.23
2013-01-07,55.40,55.79,55.01,55.72,4360000,55.32
2013-01-04,55.53,56.00,55.31,55.69,5455700,55.30
2013-01-03,55.07,55.61,55.00,55.37,7335200,54.98
2013-01-02,54.59,55.00,54.26,55.00,6633800,54.61
2012-12-31,52.41,53.67,52.39,53.63,4623500,53.25
2012-12-28,52.98,53.27,52.62,52.64,3395700,52.27
2012-12-27,53.09,53.64,52.71,53.24,4583600,52.86
2012-12-26,53.62,53.79,52.88,53.13,3047100,52.75
2012-12-24,53.37,54.00,53.33,53.69,1702900,53.31
2012-12-21,53.05,53.69,52.59,53.60,11076800,53.22
2012-12-20,54.53,54.61,53.70,54.21,4898900,53.83
2012-12-19,54.40,54.85,54.13,54.27,7118600,53.89
2012-12-18,54.67,54.90,54.28,54.34,7690400,53.95
2012-12-17,53.51,54.67,53.50,54.58,8057400,54.19
2012-12-14,53.20,53.75,53.06,53.36,4828100,52.98
2012-12-13,53.50,54.31,52.95,53.18,7180300,52.80
2012-12-12,53.47,54.19,53.15,53.60,9276500,53.22
2012-12-11,53.33,53.50,53.00,53.19,7505700,52.81
2012-12-10,53.52,53.70,52.80,52.96,7422200,52.58
2012-12-07,53.43,54.00,53.14,53.64,10622100,53.26
2012-12-06,51.50,53.85,51.19,53.70,24931000,53.32
2012-12-05,52.00,52.14,49.56,50.79,13820100,50.43
2012-12-04,51.65,51.98,50.94,51.12,6119500,50.76
2012-12-03,52.14,52.27,51.50,51.79,6888000,51.42
2012-11-30,51.42,52.01,51.04,51.87,5998700,51.50
2012-11-29,51.78,52.31,51.50,51.80,6414500,51.43
2012-11-28,50.19,51.40,49.90,51.37,5451500,51.01
2012-11-27,50.88,51.46,50.13,50.21,5400300,49.85
2012-11-26,50.85,51.03,50.49,50.89,3900500,50.53
2012-11-23,50.55,51.32,50.55,51.19,2474700,50.83
2012-11-21,49.95,50.64,49.91,50.51,4045200,50.15
2012-11-20,49.58,50.33,49.43,50.06,5485800,49.70
2012-11-19,48.97,50.00,48.95,49.74,6333300,49.39
2012-11-16,48.83,49.00,47.85,48.76,9302200,48.41
2012-11-15,49.00,49.07,48.16,48.43,7889000,48.09
2012-11-14,50.00,50.48,48.80,48.84,11012200,48.49
2012-11-13,50.42,51.02,50.05,50.31,4911200,49.95
2012-11-12,50.96,51.36,50.66,50.68,4843900,50.11
2012-11-09,50.94,51.50,50.67,50.96,7178200,50.39
2012-11-08,51.64,51.74,50.83,50.86,7719000,50.29
2012-11-07,51.24,52.30,51.09,51.81,9766000,51.23
2012-11-06,51.09,52.20,50.89,51.71,8080800,51.13
2012-11-05,50.80,51.29,50.70,51.01,10126900,50.44
2012-11-02,50.52,51.94,50.40,50.84,27482700,50.27
2012-11-01,45.74,46.74,45.39,46.62,12541200,46.10
2012-10-31,45.87,46.19,45.00,45.90,8934600,45.39
2012-10-26,46.05,46.20,45.38,45.87,10866400,45.36
2012-10-25,46.08,46.87,45.91,46.25,11754100,45.73
2012-10-24,45.30,45.53,45.08,45.26,8721900,44.75
2012-10-23,44.96,45.18,44.27,44.97,11223800,44.47
2012-10-22,45.73,45.74,45.09,45.30,8248700,44.79
2012-10-19,46.93,46.95,45.40,45.69,18380000,45.18
2012-10-18,48.43,48.55,47.19,47.41,9843200,46.88
2012-10-17,48.79,49.17,48.33,48.39,7265500,47.85
2012-10-16,48.03,49.28,47.88,48.96,8740300,48.41
2012-10-15,47.47,47.82,47.34,47.67,6793800,47.14
2012-10-12,47.52,47.69,47.04,47.18,8516400,46.65
2012-10-11,47.20,47.52,46.89,47.16,8644200,46.63
2012-10-10,47.74,47.81,46.62,46.95,11022000,46.42
2012-10-09,48.68,48.98,47.26,47.35,12143200,46.82
2012-10-08,48.66,49.17,48.40,48.76,7747800,48.21
2012-10-05,49.47,49.63,48.66,48.74,8958500,48.19
2012-10-04,49.89,49.93,48.76,49.10,12408100,48.55
2012-10-03,49.65,49.83,49.05,49.49,7520100,48.94
2012-10-02,50.44,50.44,48.80,49.30,10930100,48.75
2012-10-01,50.93,51.30,49.90,50.15,7716300,49.59
2012-09-28,50.56,50.96,49.89,50.71,8029300,50.14
2012-09-27,50.33,51.07,50.00,51.04,5876200,50.47
2012-09-26,50.54,51.00,49.81,50.10,6985400,49.54
2012-09-25,51.31,51.68,50.47,50.53,7089200,49.96
2012-09-24,50.90,51.43,50.60,51.16,4633500,50.59
2012-09-21,51.49,51.65,51.02,51.07,9064000,50.50
2012-09-20,49.81,51.21,49.65,51.19,9019900,50.62
2012-09-19,49.34,50.41,49.15,50.11,7138600,49.55
2012-09-18,49.56,49.64,49.08,49.25,8534400,48.70
2012-09-17,49.95,50.07,48.99,49.66,10977700,49.10
2012-09-14,51.85,52.00,50.38,50.46,12083600,49.89
2012-09-13,51.17,51.85,50.88,51.72,5676000,51.14
2012-09-12,50.99,51.45,50.99,51.17,5638700,50.60
2012-09-11,51.00,51.28,50.61,50.73,6728100,50.16
2012-09-10,51.18,51.32,50.62,50.83,6892000,50.26
2012-09-07,50.97,51.32,50.76,51.17,5144100,50.60
2012-09-06,50.26,50.99,50.10,50.84,5681600,50.27
2012-09-05,49.57,50.65,49.51,49.80,6488200,49.24
2012-09-04,49.45,49.79,49.04,49.51,5403100,48.96
2012-08-31,50.02,50.06,49.36,49.61,5934100,49.05
2012-08-30,49.45,50.00,49.40,49.71,7959100,49.15
2012-08-29,49.44,49.67,49.05,49.17,6151500,48.62
2012-08-28,48.94,49.51,48.89,49.36,6662800,48.81
2012-08-27,49.00,49.31,48.75,49.14,8044900,48.59
2012-08-24,47.69,48.78,47.01,48.70,9078100,48.15
2012-08-23,48.14,48.39,47.82,47.90,6537900,47.36
2012-08-22,48.05,48.32,47.90,48.12,5908800,47.58
2012-08-21,48.32,48.45,47.95,48.09,7140100,47.55
2012-08-20,48.25,48.40,47.85,48.05,6148900,47.51
2012-08-17,48.61,48.61,47.84,48.22,8544600,47.68
2012-08-16,48.14,48.62,47.65,48.40,9694600,47.86
2012-08-15,46.75,48.31,46.74,48.10,14702400,47.56
2012-08-14,46.50,46.69,46.23,46.43,7066000,45.91
