Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,35.51,35.62,35.10,35.61,3063300,35.61
2013-07-11,35.72,35.82,35.37,35.63,2537400,35.63
2013-07-10,35.57,35.63,35.09,35.29,3177600,35.29
2013-07-09,35.53,35.79,35.45,35.59,2068300,35.59
2013-07-08,35.00,35.52,34.92,35.43,3321500,35.43
2013-07-05,34.68,34.96,34.41,34.86,2299000,34.86
2013-07-03,34.54,34.60,34.26,34.52,1583200,34.52
2013-07-02,34.59,34.75,34.40,34.62,2867400,34.62
2013-07-01,34.76,34.94,34.51,34.68,3562400,34.68
2013-06-28,34.10,34.69,34.00,34.46,4105200,34.46
2013-06-27,34.60,34.79,34.24,34.25,2723900,34.25
2013-06-26,34.28,34.54,34.12,34.32,3599900,34.32
2013-06-25,33.78,34.15,33.44,34.11,5100300,34.11
2013-06-24,33.53,34.01,33.10,33.53,4263100,33.53
2013-06-21,33.92,34.03,33.13,33.66,4765000,33.66
2013-06-20,34.01,34.01,33.13,33.59,6768500,33.59
2013-06-19,34.59,34.75,34.22,34.24,5177500,34.24
2013-06-18,34.52,34.75,34.42,34.66,4196800,34.66
2013-06-17,34.35,34.83,34.22,34.59,6715400,34.59
2013-06-14,33.92,34.43,33.75,34.34,5086800,34.34
2013-06-13,33.61,34.15,33.20,34.08,7479200,34.08
2013-06-12,33.00,33.96,32.90,33.68,19682100,33.68
2013-06-11,30.58,30.71,30.27,30.32,2449100,30.32
2013-06-10,30.86,30.87,30.35,30.76,2924300,30.76
2013-06-07,30.06,30.65,30.06,30.59,3227600,30.59
2013-06-06,29.81,30.04,29.62,29.96,4706200,29.96
2013-06-05,30.19,30.25,29.79,29.79,5280000,29.79
2013-06-04,30.87,31.06,30.27,30.33,3931100,30.33
2013-06-03,30.68,30.94,30.51,30.90,3853800,30.90
2013-05-31,30.76,31.06,30.57,30.57,3598800,30.57
2013-05-30,30.87,31.14,30.67,30.87,3144600,30.87
2013-05-29,31.04,31.04,30.54,30.80,3243500,30.80
2013-05-28,31.63,31.67,31.03,31.13,2357600,31.13
2013-05-24,31.25,31.40,31.12,31.34,1812400,31.34
2013-05-23,31.37,31.49,31.11,31.45,2077600,31.45
2013-05-22,31.90,32.02,31.51,31.63,2264500,31.63
2013-05-21,31.87,32.05,31.65,31.94,2415400,31.94
2013-05-20,31.66,31.84,31.60,31.82,2348400,31.82
2013-05-17,31.52,31.83,31.39,31.68,3002500,31.68
2013-05-16,31.50,31.59,31.33,31.34,3063700,31.34
2013-05-15,31.17,31.56,31.02,31.52,3370400,31.52
2013-05-14,31.16,31.35,31.01,31.17,3424900,31.17
2013-05-13,30.80,31.15,30.63,31.11,3295100,31.11
2013-05-10,30.73,30.85,30.59,30.79,2191400,30.79
2013-05-09,30.98,31.00,30.61,30.77,2467900,30.77
2013-05-08,30.73,31.08,30.67,30.96,3139800,30.96
2013-05-07,31.01,31.17,30.97,31.15,3270300,30.85
2013-05-06,30.92,31.13,30.88,30.94,3252900,30.64
2013-05-03,31.10,31.25,30.64,30.94,4089200,30.64
2013-05-02,30.80,31.00,30.70,30.89,4646700,30.59
2013-05-01,31.43,31.52,30.72,30.81,4380800,30.51
2013-04-30,31.38,31.53,31.24,31.53,3350300,31.22
2013-04-29,31.18,31.43,31.16,31.36,10809800,31.05
2013-04-26,31.01,31.30,30.76,31.17,10886100,30.86
2013-04-25,31.02,31.43,30.92,30.98,10187400,30.68
2013-04-24,30.74,31.19,30.66,30.95,3289500,30.65
2013-04-23,30.66,30.79,30.33,30.67,2977800,30.37
2013-04-22,30.66,30.73,30.54,30.60,2540800,30.30
2013-04-19,30.56,30.70,30.35,30.57,4632800,30.27
2013-04-18,30.27,30.53,30.09,30.45,3216000,30.15
2013-04-17,30.13,30.15,29.75,29.99,2430700,29.70
2013-04-16,29.96,30.36,29.75,30.29,3114100,29.99
2013-04-15,30.36,30.48,29.96,29.96,3113200,29.67
2013-04-12,30.62,30.65,30.28,30.53,2436800,30.23
2013-04-11,30.79,30.83,30.48,30.75,2891100,30.45
2013-04-10,30.50,30.89,30.50,30.71,2935400,30.41
2013-04-09,30.40,30.65,30.29,30.44,3696600,30.14
2013-04-08,29.91,30.32,29.91,30.32,2452400,30.02
2013-04-05,29.96,30.08,29.75,29.93,2907700,29.64
2013-04-04,30.03,30.40,29.91,30.17,2864500,29.87
2013-04-03,30.73,30.75,29.96,30.04,6114500,29.75
2013-04-02,30.70,30.94,30.63,30.77,3800100,30.47
2013-04-01,30.70,30.75,30.43,30.71,2686900,30.41
2013-03-28,30.26,30.94,30.26,30.75,5930800,30.45
2013-03-27,29.74,30.39,29.73,30.23,3743200,29.93
2013-03-26,29.65,29.99,29.56,29.92,5117200,29.63
2013-03-25,29.59,29.82,29.45,29.57,3264100,29.28
2013-03-22,29.11,29.50,29.05,29.48,3833500,29.19
2013-03-21,28.84,29.22,28.78,29.03,2454000,28.75
2013-03-20,28.73,28.92,28.61,28.86,2682300,28.58
2013-03-19,28.82,28.87,28.54,28.58,3170300,28.30
2013-03-18,28.80,28.88,28.62,28.76,2683800,28.48
2013-03-15,28.69,28.97,28.57,28.95,5504500,28.67
2013-03-14,28.78,28.91,28.70,28.80,3864100,28.52
2013-03-13,28.97,29.02,28.69,28.76,3559000,28.48
2013-03-12,29.35,29.46,28.87,28.95,3930900,28.67
2013-03-11,29.22,29.36,28.97,29.31,3940300,29.02
2013-03-08,28.92,29.28,28.92,29.22,3934700,28.93
2013-03-07,28.92,29.13,28.79,28.81,4000700,28.53
2013-03-06,29.25,29.30,28.85,28.91,3322700,28.63
2013-03-05,29.12,29.28,28.97,29.20,2577800,28.91
2013-03-04,28.71,29.03,28.56,29.01,2544100,28.73
2013-03-01,28.97,28.98,28.70,28.81,4008300,28.53
2013-02-28,29.06,29.18,28.99,29.04,3705100,28.76
2013-02-27,28.92,29.15,28.75,28.98,4112700,28.70
2013-02-26,29.17,29.25,28.70,29.00,3951000,28.72
2013-02-25,29.67,29.89,28.96,28.97,5256700,28.69
2013-02-22,29.40,29.60,29.23,29.52,4092300,29.23
2013-02-21,29.52,29.52,29.08,29.34,4859400,29.05
2013-02-20,29.66,29.85,29.58,29.59,4503300,29.30
2013-02-19,29.56,29.82,29.45,29.74,3476900,29.45
2013-02-15,29.56,29.69,29.32,29.46,4422800,29.17
2013-02-14,29.36,29.60,29.35,29.56,4594900,29.27
2013-02-13,29.49,29.62,29.39,29.44,4209600,29.15
2013-02-12,29.54,29.94,29.40,29.84,15880800,29.25
2013-02-11,29.61,29.70,29.42,29.55,13996200,28.96
2013-02-08,29.51,29.65,29.44,29.58,16563600,28.99
2013-02-07,29.22,29.62,29.10,29.42,6519300,28.83
2013-02-06,28.19,29.34,28.18,29.29,10040400,28.71
2013-02-05,28.13,28.34,27.91,28.26,5654100,27.70
2013-02-04,28.18,28.27,27.96,27.98,4304500,27.42
2013-02-01,27.93,28.32,27.78,28.25,7293100,27.69
2013-01-31,27.62,27.83,27.61,27.78,4287400,27.23
2013-01-30,27.77,27.96,27.61,27.69,5574600,27.14
2013-01-29,27.25,27.73,27.17,27.71,6842300,27.16
2013-01-28,27.16,27.26,27.07,27.19,5683000,26.65
2013-01-25,27.01,27.18,26.86,27.09,9484100,26.55
2013-01-24,27.30,27.52,26.99,27.00,5791600,26.46
2013-01-23,27.39,27.47,27.16,27.21,5425400,26.67
2013-01-22,27.18,27.55,27.16,27.42,9719900,26.87
2013-01-18,27.21,27.30,27.07,27.19,8692700,26.65
2013-01-17,27.61,27.62,27.01,27.28,10394600,26.74
2013-01-16,27.63,27.98,27.50,27.51,7025100,26.96
2013-01-15,27.62,27.72,27.45,27.63,8988400,27.08
2013-01-14,27.67,28.00,27.52,27.69,5705300,27.14
2013-01-11,27.92,27.96,27.57,27.60,5591000,27.05
2013-01-10,27.97,28.00,27.83,27.88,3414400,27.32
2013-01-09,27.98,28.06,27.69,27.82,4541300,27.27
2013-01-08,28.03,28.18,27.91,27.98,3871700,27.42
2013-01-07,28.18,28.25,27.98,28.07,3744300,27.51
2013-01-04,28.27,28.40,28.19,28.33,3687700,27.77
2013-01-03,28.08,28.35,28.03,28.19,3611600,27.63
2013-01-02,27.80,28.06,27.76,28.06,4203100,27.50
2012-12-31,26.89,27.40,26.73,27.38,4294200,26.83
2012-12-28,26.71,27.22,26.55,26.97,3946600,26.43
2012-12-27,27.01,27.14,26.57,26.88,3521400,26.34
2012-12-26,27.46,27.50,26.97,27.05,2534100,26.51
2012-12-24,27.50,27.59,27.34,27.43,1123300,26.88
2012-12-21,27.73,27.81,27.41,27.54,7266900,26.99
2012-12-20,27.65,27.85,27.60,27.81,3713300,27.26
2012-12-19,27.84,27.84,27.57,27.59,3524400,27.04
2012-12-18,27.63,27.88,27.52,27.67,5386700,27.12
2012-12-17,27.26,27.68,27.26,27.60,4328000,27.05
2012-12-14,27.12,27.43,27.02,27.19,4251600,26.65
2012-12-13,27.11,27.24,26.84,27.12,5716900,26.58
2012-12-12,26.99,27.25,26.90,27.07,13288700,26.53
2012-12-11,26.79,27.34,26.79,27.27,6290000,26.73
2012-12-10,27.37,27.64,27.30,27.34,3103000,26.80
2012-12-07,27.47,27.56,27.22,27.32,3318800,26.78
2012-12-06,27.46,27.62,27.32,27.40,3181600,26.85
2012-12-05,27.50,27.60,27.34,27.44,3047100,26.89
2012-12-04,27.74,27.80,27.40,27.40,2574800,26.85
2012-12-03,28.03,28.08,27.68,27.69,2472600,27.14
2012-11-30,27.74,28.04,27.69,27.95,4081900,27.39
2012-11-29,28.01,28.09,27.63,27.71,3434600,27.16
2012-11-28,27.58,27.98,27.50,27.95,2222100,27.39
2012-11-27,27.79,27.92,27.61,27.70,2853200,27.15
2012-11-26,27.93,28.05,27.71,27.78,2311900,27.23
2012-11-23,27.82,28.13,27.81,28.08,1482200,27.52
2012-11-21,27.81,27.90,27.72,27.83,2346100,27.28
2012-11-20,27.71,27.81,27.57,27.73,2287800,27.18
2012-11-19,27.90,28.07,27.63,27.72,3420800,27.17
2012-11-16,26.77,27.69,26.75,27.69,7505800,27.14
2012-11-15,27.04,27.19,26.56,26.74,3343600,26.21
2012-11-14,27.21,27.30,26.99,27.06,5055600,26.52
2012-11-13,27.09,27.45,27.01,27.21,3120200,26.67
2012-11-12,27.48,27.49,27.20,27.23,3559100,26.69
2012-11-09,27.58,27.70,27.44,27.44,3013100,26.89
2012-11-08,27.75,27.90,27.58,27.65,3520900,27.10
2012-11-07,28.28,28.28,27.76,27.79,3960800,27.24
2012-11-06,28.36,28.71,28.31,28.60,3674400,27.73
2012-11-05,28.09,28.35,27.95,28.30,4120800,27.44
2012-11-02,28.66,28.66,28.02,28.07,4781600,27.22
2012-11-01,28.80,28.87,28.38,28.65,5301200,27.78
2012-10-31,29.20,29.21,28.71,28.87,3372700,27.99
2012-10-26,29.16,29.20,28.78,29.02,2509200,28.14
2012-10-25,29.05,29.24,28.96,29.12,3310500,28.24
2012-10-24,29.15,29.39,28.81,28.86,3045800,27.98
2012-10-23,29.27,29.32,28.87,29.01,3275700,28.13
2012-10-22,29.54,29.71,29.39,29.51,2285900,28.61
2012-10-19,29.81,29.97,29.46,29.62,2867300,28.72
2012-10-18,30.13,30.17,29.73,29.74,1918600,28.84
2012-10-17,29.81,30.17,29.74,30.16,3305200,29.24
2012-10-16,29.34,29.76,29.30,29.74,2756700,28.84
2012-10-15,29.05,29.24,28.98,29.18,2280100,28.29
2012-10-12,29.39,29.48,28.99,29.03,2707500,28.15
2012-10-11,29.70,29.79,29.40,29.42,2408800,28.53
2012-10-10,29.86,29.91,29.50,29.52,2781400,28.62
2012-10-09,29.81,29.96,29.69,29.90,3299900,28.99
2012-10-08,29.91,29.98,29.79,29.80,1726200,28.90
2012-10-05,30.10,30.22,29.88,29.98,2084600,29.07
2012-10-04,29.82,30.11,29.75,29.97,1672100,29.06
2012-10-03,29.68,29.74,29.55,29.66,2372900,28.76
2012-10-02,29.69,29.84,29.59,29.65,2315700,28.75
2012-10-01,29.45,29.80,29.40,29.56,2805400,28.66
2012-09-28,29.20,29.40,29.10,29.36,2745600,28.47
2012-09-27,29.20,29.31,29.04,29.26,2169600,28.37
2012-09-26,29.26,29.41,29.02,29.14,3350900,28.26
2012-09-25,29.31,29.54,29.26,29.26,4474600,28.37
2012-09-24,28.98,29.33,28.89,29.28,3255100,28.39
2012-09-21,29.00,29.12,28.92,29.06,4078300,28.18
2012-09-20,28.79,28.95,28.74,28.87,2932300,27.99
2012-09-19,28.93,29.05,28.88,28.99,2603700,28.11
2012-09-18,28.91,29.05,28.88,28.98,2597800,28.10
2012-09-17,28.78,28.99,28.70,28.99,7458600,28.11
2012-09-14,28.83,29.10,28.69,28.80,2917100,27.93
2012-09-13,28.50,28.86,28.35,28.81,3801600,27.94
2012-09-12,28.77,28.80,28.46,28.49,3411300,27.62
2012-09-11,28.78,28.97,28.60,28.66,2795300,27.79
2012-09-10,29.21,29.21,28.71,28.73,3245500,27.86
2012-09-07,28.70,28.98,28.65,28.96,2877700,28.08
2012-09-06,28.48,28.68,28.45,28.62,3296600,27.75
2012-09-05,28.57,28.63,28.29,28.30,3008800,27.44
2012-09-04,28.27,28.49,28.14,28.47,2806500,27.61
2012-08-31,28.34,28.41,28.02,28.26,3371400,27.40
2012-08-30,28.51,28.62,28.48,28.52,1820900,27.65
2012-08-29,28.81,28.82,28.57,28.61,2255300,27.74
2012-08-28,28.81,28.92,28.65,28.72,2042500,27.85
2012-08-27,28.85,28.97,28.81,28.84,1672400,27.96
2012-08-24,28.82,28.90,28.70,28.86,2143200,27.98
2012-08-23,29.05,29.05,28.77,28.84,2573800,27.96
2012-08-22,29.12,29.18,28.95,29.05,2603100,28.17
2012-08-21,29.32,29.39,29.08,29.18,1726900,28.29
2012-08-20,29.16,29.32,29.16,29.32,1561500,28.43
2012-08-17,29.13,29.18,29.05,29.18,2538100,28.29
2012-08-16,29.42,29.58,29.24,29.34,2328200,28.45
2012-08-15,29.48,29.60,29.33,29.43,2195700,28.54
2012-08-14,29.26,29.53,29.18,29.44,2636400,28.55
2012-08-13,29.15,29.29,29.02,29.21,1978300,28.32
2012-08-10,28.89,29.34,28.85,29.29,3224100,28.40
2012-08-09,28.93,29.20,28.86,28.96,2391100,28.08
2012-08-08,29.54,29.54,28.97,29.01,3209000,28.13
2012-08-07,29.96,30.02,29.68,29.72,3128900,28.55
2012-08-06,29.77,29.97,29.71,29.79,2210100,28.61
2012-08-03,29.70,29.88,29.45,29.71,3948500,28.54
2012-08-02,28.91,29.92,28.58,29.58,4443400,28.41
2012-08-01,30.83,30.98,30.41,30.55,7364500,29.34
2012-07-31,30.84,31.00,30.63,30.69,2406700,29.48
2012-07-30,30.66,30.98,30.61,30.84,2713800,29.62
2012-07-27,30.37,30.70,30.21,30.62,2700000,29.41
2012-07-26,30.02,30.27,29.91,30.22,2039200,29.03
2012-07-25,29.77,29.83,29.57,29.69,2219700,28.52
2012-07-24,30.10,30.26,29.44,29.65,2670500,28.48
2012-07-23,30.21,30.23,29.78,30.08,3252400,28.89
2012-07-20,30.14,30.42,30.00,30.41,3364300,29.21
2012-07-19,30.30,30.42,30.16,30.38,2138300,29.18
2012-07-18,29.83,30.36,29.83,30.31,2854700,29.11
2012-07-17,29.93,30.00,29.63,29.97,3792600,28.79
2012-07-16,29.54,29.96,29.50,29.91,2847200,28.73
2012-07-13,29.34,29.69,29.28,29.65,2836200,28.48
2012-07-12,28.94,29.34,28.88,29.26,2920300,28.10
2012-07-11,28.90,29.23,28.89,29.16,2477200,28.01
2012-07-10,29.09,29.24,28.83,28.95,3692000,27.81
2012-07-09,29.07,29.10,28.85,29.00,2384100,27.85
