Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,27.25,27.65,27.08,27.51,3485500,27.51
2013-07-11,27.14,27.27,26.85,27.26,1634300,27.26
2013-07-10,26.80,26.87,26.23,26.77,2952100,26.77
2013-07-09,26.01,26.17,25.78,26.09,1562700,26.09
2013-07-08,25.75,25.95,25.65,25.84,1542400,25.84
2013-07-05,25.08,25.58,24.89,25.56,1503700,25.56
2013-07-03,24.48,24.96,24.43,24.96,2660700,24.96
2013-07-02,24.48,24.84,24.41,24.65,2442700,24.65
2013-07-01,24.63,24.86,24.31,24.45,2033700,24.45
2013-06-28,23.96,24.11,23.76,23.95,3699100,23.95
2013-06-27,23.75,24.10,23.69,24.04,1994300,24.04
2013-06-26,23.47,23.67,23.21,23.58,1914700,23.58
2013-06-25,23.05,23.33,23.00,23.26,1769900,23.26
2013-06-24,23.18,23.18,22.69,22.80,2254100,22.80
2013-06-21,23.66,23.84,23.11,23.47,1965800,23.47
2013-06-20,24.01,24.05,23.31,23.53,1979800,23.53
2013-06-19,24.61,24.75,24.25,24.29,1448100,24.29
2013-06-18,24.36,24.74,24.36,24.64,1232200,24.64
2013-06-17,24.12,24.33,23.97,24.30,1336900,24.30
2013-06-14,23.87,23.97,23.68,23.88,700800,23.88
2013-06-13,23.44,23.91,23.30,23.86,1142100,23.86
2013-06-12,24.08,24.08,23.39,23.45,992200,23.45
2013-06-11,23.85,24.03,23.72,23.85,1188700,23.85
2013-06-10,24.50,24.53,24.14,24.14,1216200,24.14
2013-06-07,23.80,24.43,23.62,24.41,1619600,24.41
2013-06-06,23.57,23.87,23.24,23.60,1953000,23.60
2013-06-05,24.33,24.42,23.56,23.60,2125400,23.60
2013-06-04,24.46,24.83,24.27,24.56,2070400,24.43
2013-06-03,24.20,24.54,24.03,24.52,2162100,24.39
2013-05-31,24.08,24.52,24.01,24.02,1833600,23.89
2013-05-30,24.36,24.58,23.67,24.24,1815400,24.11
2013-05-29,24.15,24.42,24.02,24.37,2204600,24.24
2013-05-28,24.09,24.40,24.09,24.34,1896900,24.21
2013-05-24,23.60,23.83,23.48,23.76,1043600,23.63
2013-05-23,23.35,23.96,23.21,23.81,1266600,23.68
2013-05-22,23.84,24.21,23.50,23.65,1638200,23.52
2013-05-21,23.76,23.95,23.65,23.84,1786200,23.71
2013-05-20,23.82,24.04,23.74,23.79,1172100,23.66
2013-05-17,23.67,24.04,23.62,23.86,2082200,23.73
2013-05-16,23.22,23.80,23.22,23.62,3255500,23.49
2013-05-15,23.12,23.43,22.90,23.33,1934200,23.21
2013-05-14,22.82,23.23,22.82,23.19,2077100,23.07
2013-05-13,22.99,23.12,22.70,22.85,1327500,22.73
2013-05-10,22.75,23.17,22.75,23.10,2977300,22.98
2013-05-09,22.77,23.03,22.68,22.74,1388000,22.62
2013-05-08,22.81,22.98,22.64,22.82,2620000,22.70
2013-05-07,22.72,22.94,22.60,22.84,1413800,22.72
2013-05-06,22.50,22.98,22.50,22.77,1460700,22.65
2013-05-03,22.03,22.54,22.01,22.51,2340100,22.39
2013-05-02,22.21,22.51,21.68,21.77,2784900,21.65
