Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,186.40,189.91,185.97,187.36,655400,187.36
2013-07-11,188.72,188.72,186.11,186.88,775200,186.88
2013-07-10,184.31,185.34,182.36,184.85,752000,184.85
2013-07-09,183.24,184.70,182.52,183.71,487800,183.71
2013-07-08,182.60,183.71,181.31,182.30,501800,182.30
2013-07-05,180.61,182.51,178.62,182.48,300200,182.48
2013-07-03,178.20,181.01,178.20,179.84,224700,179.84
2013-07-02,178.31,180.84,178.31,179.63,527200,179.63
2013-07-01,177.55,180.25,177.16,178.58,322900,178.58
2013-06-28,178.71,179.14,176.57,176.60,646800,176.60
2013-06-27,179.14,180.11,176.87,179.18,700300,179.18
2013-06-26,176.74,178.76,176.28,178.11,405200,178.11
2013-06-25,174.75,177.74,174.36,175.78,815400,175.78
2013-06-24,171.74,175.74,170.60,173.82,790600,173.82
2013-06-21,176.51,176.52,170.06,173.10,1510400,173.10
2013-06-20,179.50,181.41,175.62,175.90,875700,175.90
2013-06-19,183.77,184.61,181.52,181.73,435700,181.73
2013-06-18,183.60,184.56,182.20,184.30,274000,184.30
2013-06-17,184.43,184.56,181.90,183.47,545900,183.47
2013-06-14,184.04,184.50,182.44,183.09,398900,183.09
2013-06-13,178.21,184.79,177.50,184.48,499800,184.48
2013-06-12,181.74,182.79,177.94,178.22,503600,178.22
2013-06-11,181.43,184.03,180.86,181.44,468500,181.44
2013-06-10,183.86,183.98,182.47,183.87,409600,183.87
2013-06-07,183.48,183.87,181.83,183.26,425100,183.26
2013-06-06,178.54,181.58,178.12,181.49,696800,181.49
2013-06-05,181.20,182.80,178.01,178.93,842400,178.93
2013-06-04,186.39,187.82,182.14,182.60,661100,182.60
2013-06-03,188.50,189.07,184.55,187.30,640200,187.30
2013-05-31,190.37,191.89,188.53,188.53,714100,188.53
2013-05-30,190.30,192.30,190.10,190.94,596100,190.94
2013-05-29,190.03,191.75,189.28,189.99,556200,189.99
2013-05-28,191.04,193.22,190.88,191.90,647000,191.90
2013-05-24,188.04,189.78,186.13,189.20,549200,189.20
2013-05-23,185.41,188.12,184.17,186.08,561900,186.08
2013-05-22,190.00,191.12,186.55,187.13,617800,187.13
2013-05-21,188.45,190.84,188.45,189.95,418200,189.95
2013-05-20,190.47,191.44,188.02,188.71,619100,188.71
2013-05-17,190.75,191.89,190.03,190.82,565100,190.82
2013-05-16,193.23,193.23,189.47,189.98,627200,189.98
2013-05-15,193.16,194.00,192.10,193.56,537800,193.56
2013-05-14,187.78,194.55,187.78,193.54,1092400,193.04
2013-05-13,187.77,188.16,186.84,187.70,754300,187.22
2013-05-10,188.68,189.66,187.67,188.00,630600,187.51
2013-05-09,189.79,190.14,188.34,188.40,649200,187.91
2013-05-08,189.24,189.98,188.53,189.62,453300,189.13
2013-05-07,187.70,189.69,187.38,189.28,616400,188.79
2013-05-06,187.96,188.08,186.03,187.77,516300,187.28
2013-05-03,185.00,188.29,185.00,187.98,704700,187.49
2013-05-02,181.92,184.69,181.77,184.13,491000,183.65
2013-05-01,182.50,183.21,180.98,181.10,498400,180.63
2013-04-30,182.23,183.13,180.84,183.11,575500,182.64
2013-04-29,183.37,183.57,181.88,182.71,520300,182.24
2013-04-26,184.28,184.55,181.23,183.22,674300,182.75
2013-04-25,182.10,184.78,181.70,184.23,894100,183.75
2013-04-24,181.80,182.61,180.61,181.03,501600,180.56
2013-04-23,181.10,182.34,179.83,181.45,1070700,180.98
2013-04-22,177.93,181.27,176.75,180.69,710300,180.22
2013-04-19,175.00,179.81,174.58,179.04,1541000,178.58
2013-04-18,169.99,177.01,168.61,174.88,1886200,174.43
2013-04-17,173.80,174.84,170.48,170.89,1632200,170.45
2013-04-16,169.75,175.46,169.75,174.53,1574000,174.08
2013-04-15,172.61,174.87,168.37,168.61,1259700,168.17
2013-04-12,170.26,171.80,169.46,170.74,619000,170.30
2013-04-11,168.17,171.64,167.63,171.02,751700,170.58
2013-04-10,166.46,168.44,165.72,168.27,498000,167.84
2013-04-09,166.26,166.66,164.39,166.34,480000,165.91
2013-04-08,165.62,166.46,164.05,165.83,519000,165.40
2013-04-05,163.49,165.88,162.64,165.82,573200,165.39
2013-04-04,165.34,166.45,164.20,165.62,530600,165.19
2013-04-03,168.27,168.48,162.22,164.95,902100,164.52
2013-04-02,168.53,168.53,166.93,167.91,448900,167.48
2013-04-01,168.37,169.49,167.02,167.57,626900,167.14
2013-03-28,169.20,170.00,168.03,168.89,547100,168.45
2013-03-27,168.50,169.46,167.63,169.28,433100,168.84
2013-03-26,169.72,170.08,168.43,169.41,555800,168.97
2013-03-25,169.04,170.15,167.34,168.21,455500,167.78
2013-03-22,169.26,170.71,167.87,168.17,506400,167.74
2013-03-21,171.13,171.99,168.87,168.91,623800,168.47
2013-03-20,170.03,172.40,169.86,172.12,468900,171.68
2013-03-19,170.13,170.83,168.15,169.48,439000,169.04
2013-03-18,167.97,170.55,166.75,169.89,546400,169.45
2013-03-15,168.61,170.09,168.38,168.68,1172900,168.24
2013-03-14,169.55,171.25,168.66,169.07,814300,168.63
2013-03-13,167.04,170.16,166.97,169.10,773400,168.66
2013-03-12,168.16,169.00,166.95,167.63,691700,167.20
2013-03-11,166.16,167.89,166.01,167.73,537000,167.30
2013-03-08,165.53,166.37,163.92,165.88,458100,165.45
2013-03-07,164.14,165.49,163.92,164.84,508500,164.41
2013-03-06,165.69,166.34,163.01,163.77,705800,163.35
2013-03-05,166.25,167.50,164.41,164.86,759800,164.43
2013-03-04,161.95,165.38,161.81,165.38,826200,164.95
2013-03-01,160.49,163.73,159.73,162.48,934600,162.06
2013-02-28,161.23,163.46,161.10,161.59,1449500,161.17
2013-02-27,156.27,161.82,156.10,161.23,1104200,160.81
2013-02-26,154.37,156.65,153.94,155.94,981300,155.54
2013-02-25,158.49,159.42,154.27,154.34,985000,153.94
2013-02-22,157.00,157.98,154.80,157.85,1069400,157.44
2013-02-21,158.50,158.77,154.67,155.91,1239400,155.51
2013-02-20,164.10,164.10,159.23,159.33,926400,158.42
2013-02-19,166.20,166.50,162.21,164.10,873800,163.16
2013-02-15,164.33,167.27,164.33,166.70,999600,165.75
2013-02-14,165.17,165.49,163.14,163.67,694400,162.73
2013-02-13,165.00,165.70,164.57,165.45,452300,164.50
2013-02-12,162.90,165.00,162.26,164.67,701800,163.73
2013-02-11,163.44,164.69,162.65,164.50,559600,163.56
2013-02-08,163.14,164.00,162.68,163.77,379700,162.83
2013-02-07,162.77,163.37,160.75,162.89,538900,161.96
2013-02-06,163.00,163.75,161.64,163.01,710800,162.08
2013-02-05,163.83,164.19,161.76,163.16,733200,162.23
2013-02-04,162.75,164.16,162.50,163.24,963600,162.31
2013-02-01,162.70,164.70,162.25,163.84,842700,162.90
2013-01-31,160.25,164.74,159.81,162.14,1840000,161.21
2013-01-30,163.59,164.60,161.55,162.31,1212300,161.38
2013-01-29,163.81,164.30,162.26,163.16,773700,162.23
2013-01-28,165.18,165.61,163.26,164.09,727800,163.15
2013-01-25,166.38,166.85,165.10,165.51,785200,164.56
2013-01-24,165.00,167.24,164.82,165.79,916200,164.84
2013-01-23,163.39,164.85,163.39,164.81,723700,163.87
2013-01-22,164.26,164.47,162.92,163.70,843800,162.76
2013-01-18,163.24,164.23,161.78,164.02,950500,163.08
2013-01-17,162.17,163.09,161.97,162.84,522000,161.91
2013-01-16,160.70,161.87,160.57,161.44,528100,160.52
2013-01-15,160.93,161.32,160.30,161.02,458100,160.10
2013-01-14,161.46,162.34,160.79,161.18,584900,160.26
2013-01-11,161.33,161.43,160.31,161.28,872100,160.36
2013-01-10,162.50,162.58,160.35,162.36,980100,161.43
2013-01-09,161.28,163.14,159.87,162.17,1105300,161.24
2013-01-08,158.59,160.96,158.23,160.96,1153700,160.04
2013-01-07,158.24,158.63,157.17,158.49,718900,157.58
2013-01-04,156.24,161.74,156.24,158.80,1109300,157.89
2013-01-03,156.67,158.47,154.80,155.14,946000,154.25
2013-01-02,155.99,157.40,154.74,156.68,1731800,155.78
2012-12-31,150.38,154.60,150.32,153.82,841800,152.94
2012-12-28,151.61,152.76,150.85,151.04,576700,150.18
2012-12-27,152.99,153.19,150.33,152.73,611700,151.86
2012-12-26,152.66,153.54,151.63,152.60,584600,151.73
2012-12-24,151.24,153.23,150.85,152.67,353700,151.80
2012-12-21,149.95,152.47,149.95,151.53,1148300,150.66
2012-12-20,150.30,152.44,148.87,152.42,1103600,151.55
2012-12-19,152.65,152.65,149.88,149.93,1164800,149.07
2012-12-18,154.08,154.18,151.03,152.23,1118200,151.36
2012-12-17,149.57,153.51,148.50,153.43,1272900,152.55
2012-12-14,147.03,148.64,146.99,148.23,881200,147.38
2012-12-13,147.63,149.67,146.49,147.27,897000,146.43
2012-12-12,150.04,150.48,147.38,147.87,896000,147.03
2012-12-11,149.99,150.99,149.49,149.88,753400,149.02
2012-12-10,148.21,150.51,147.95,149.78,693600,148.92
2012-12-07,151.65,151.85,147.34,148.94,1108600,148.09
2012-12-06,150.01,151.46,148.46,151.22,933800,150.36
2012-12-05,151.27,151.62,148.29,149.91,984400,149.05
2012-12-04,152.68,153.73,151.02,151.15,871100,150.29
2012-12-03,152.79,154.22,150.53,152.21,1104500,151.34
2012-11-30,153.62,155.42,152.52,152.52,2687800,151.65
2012-11-29,157.14,157.14,153.48,153.68,1639100,152.80
2012-11-28,155.32,157.03,153.34,156.55,1304000,155.66
2012-11-27,157.59,158.51,157.10,157.15,857000,156.25
2012-11-26,158.60,159.00,157.34,157.99,1018300,157.09
2012-11-23,158.16,159.00,157.34,158.59,381200,157.68
2012-11-21,158.25,159.80,156.97,157.44,770800,156.54
2012-11-20,156.41,158.64,156.00,157.97,899500,157.07
2012-11-19,152.34,157.08,152.14,157.01,1301300,156.11
2012-11-16,148.62,153.24,147.70,151.57,1996600,150.70
2012-11-15,149.28,151.08,147.21,148.91,1190600,148.06
2012-11-14,151.52,151.83,148.99,149.51,1005100,148.66
2012-11-13,149.53,154.36,148.10,152.05,2174600,150.79
2012-11-12,144.78,151.76,143.60,149.06,3098300,147.83
2012-11-09,141.73,142.79,140.12,140.84,697500,139.68
2012-11-08,143.56,144.03,141.92,141.97,672200,140.80
2012-11-07,142.65,144.75,140.94,143.87,1211200,142.68
2012-11-06,144.40,144.78,142.84,143.32,704400,142.14
2012-11-05,141.51,144.14,140.65,144.00,795400,142.81
2012-11-02,144.00,144.88,141.92,142.00,749400,140.83
2012-11-01,142.99,144.41,141.76,143.59,922800,142.40
2012-10-31,142.10,144.22,140.57,142.58,1258500,141.40
2012-10-26,139.82,140.84,138.36,139.63,1864400,138.48
2012-10-25,148.85,149.92,138.99,140.00,3817000,138.84
2012-10-24,150.34,152.41,149.81,151.76,1175600,150.51
2012-10-23,149.54,150.36,146.84,149.39,1226000,148.16
2012-10-22,149.61,152.15,149.25,150.60,586900,149.36
2012-10-19,152.82,153.00,150.25,150.51,913000,149.27
2012-10-18,153.60,154.49,152.05,153.03,798400,151.77
2012-10-17,154.52,155.50,153.37,154.21,851200,152.94
2012-10-16,152.45,153.99,151.69,153.58,794300,152.31
2012-10-15,149.32,151.73,148.27,151.54,588400,150.29
2012-10-12,149.37,150.75,148.77,149.22,492800,147.99
2012-10-11,151.24,152.21,148.77,149.29,531000,148.06
2012-10-10,149.98,151.18,148.80,150.43,681300,149.19
2012-10-09,151.45,151.91,149.53,149.88,914900,148.64
2012-10-08,155.10,155.96,151.83,152.23,945900,150.97
2012-10-05,155.05,156.50,154.75,155.69,743400,154.40
2012-10-04,153.66,155.90,152.81,154.36,1167400,153.08
2012-10-03,148.49,152.90,148.11,152.81,983100,151.55
2012-10-02,149.03,150.22,147.37,148.58,773000,147.35
2012-10-01,149.40,149.76,147.38,148.20,857200,146.98
2012-09-28,148.63,149.16,147.32,148.91,735900,147.68
2012-09-27,146.60,149.51,146.50,148.73,701200,147.50
2012-09-26,147.73,148.72,146.17,146.31,920900,145.10
2012-09-25,149.71,150.66,147.73,147.83,763800,146.61
2012-09-24,150.07,150.25,148.70,149.40,744600,148.17
2012-09-21,148.91,150.80,148.64,150.06,953500,148.82
2012-09-20,148.77,148.92,147.27,148.09,676200,146.87
2012-09-19,145.86,150.42,145.28,149.05,1281900,147.82
2012-09-18,146.24,146.24,144.95,145.49,430100,144.29
2012-09-17,146.23,146.37,145.06,146.01,415300,144.80
2012-09-14,145.61,146.50,144.63,146.22,1114900,145.01
2012-09-13,144.24,146.40,142.75,145.69,824300,144.49
2012-09-12,142.41,144.76,141.80,144.05,651200,142.86
2012-09-11,143.67,143.92,141.85,141.85,652600,140.68
2012-09-10,143.18,144.83,143.08,143.75,592800,142.56
2012-09-07,142.52,144.91,142.51,143.23,596700,142.05
2012-09-06,143.00,144.66,142.31,144.16,648700,142.97
2012-09-05,143.45,143.86,141.70,142.03,527500,140.86
2012-09-04,143.17,143.93,141.89,143.14,511000,141.96
2012-08-31,142.94,143.93,142.52,143.08,693300,141.90
2012-08-30,144.36,144.39,142.00,142.00,780400,140.83
2012-08-29,142.66,144.90,142.53,144.53,747600,143.34
2012-08-28,142.37,143.08,141.43,142.51,601800,141.33
2012-08-27,142.34,143.16,141.70,142.60,791000,141.42
2012-08-24,139.98,143.38,139.52,142.63,1550700,141.45
2012-08-23,139.29,140.93,138.74,139.81,747400,138.65
2012-08-22,136.90,139.40,136.50,139.37,1351200,138.22
2012-08-21,139.90,140.36,137.30,137.80,1393800,136.66
2012-08-20,140.67,140.78,138.66,139.87,693500,138.71
2012-08-17,140.56,141.44,140.55,140.67,543900,139.51
2012-08-16,138.36,139.60,138.34,139.13,1112100,137.98
2012-08-15,141.20,141.42,138.00,138.37,1047400,137.23
2012-08-14,140.77,141.56,140.34,141.36,644300,139.81
2012-08-13,140.99,141.49,140.06,140.98,647000,139.43
2012-08-10,140.75,141.44,139.61,141.44,544500,139.88
2012-08-09,140.96,142.29,140.17,141.13,1370200,139.58
2012-08-08,138.29,141.17,138.00,140.80,1386900,139.25
2012-08-07,136.93,138.96,136.82,138.78,1541300,137.25
2012-08-06,136.67,136.67,134.97,135.41,504000,133.92
2012-08-03,135.80,136.85,135.41,136.08,766800,134.58
2012-08-02,133.01,134.73,132.29,134.37,583900,132.89
2012-08-01,134.63,135.70,132.88,133.46,593900,131.99
2012-07-31,135.03,135.52,133.80,134.35,616300,132.87
2012-07-30,135.36,136.16,134.89,135.44,591200,133.95
2012-07-27,133.63,136.00,132.79,135.24,1248100,133.75
2012-07-26,131.28,133.90,131.20,133.17,1660400,131.71
2012-07-25,131.88,132.27,127.92,129.61,1257200,128.18
2012-07-24,131.15,131.85,130.28,131.54,799900,130.09
2012-07-23,129.50,131.80,128.69,131.15,863500,129.71
2012-07-20,131.59,132.97,130.40,131.57,2227700,130.12
2012-07-19,123.50,132.51,122.79,132.43,4731000,130.97
2012-07-18,128.14,128.83,127.11,127.65,1864200,126.25
2012-07-17,128.30,129.06,126.91,128.72,1386400,127.30
2012-07-16,129.15,130.33,126.96,127.23,1730100,125.83
2012-07-13,129.52,131.13,129.37,130.14,1257200,128.71
2012-07-12,127.78,129.57,126.73,128.85,1006400,127.43
2012-07-11,129.98,130.10,127.50,128.13,1096500,126.72
2012-07-10,130.44,132.25,129.00,129.81,1247900,128.38
2012-07-09,132.00,132.00,128.49,130.20,1055500,128.77
