Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,83.98,84.39,83.81,84.35,711900,84.35
2013-07-11,83.62,84.26,83.52,84.08,576800,84.08
2013-07-10,82.45,82.93,82.15,82.91,608700,82.91
2013-07-09,82.41,82.99,82.25,82.35,750600,82.35
2013-07-08,81.62,82.23,81.43,82.13,808000,82.13
2013-07-05,81.27,81.62,80.62,81.29,321500,81.29
2013-07-03,80.65,81.21,80.25,80.90,309600,80.90
2013-07-02,81.01,81.68,80.48,81.09,848000,81.09
2013-07-01,80.89,82.03,80.52,81.14,551300,81.14
2013-06-28,80.51,81.14,80.10,80.42,768500,80.42
2013-06-27,81.15,81.36,80.75,80.99,396800,80.99
2013-06-26,80.94,81.37,80.43,80.98,584300,80.98
2013-06-25,81.20,81.20,80.11,80.49,513400,80.49
2013-06-24,80.61,80.70,79.67,80.21,676300,80.21
2013-06-21,80.75,81.26,80.22,80.73,1189000,80.73
2013-06-20,80.34,81.13,79.86,80.40,786600,80.40
2013-06-19,81.24,82.15,81.14,81.19,518100,81.19
2013-06-18,81.96,82.64,81.68,82.18,600600,82.18
2013-06-17,81.77,82.11,81.31,81.73,626400,81.73
2013-06-14,82.43,82.56,81.31,81.48,687800,81.48
2013-06-13,81.18,82.34,80.68,82.21,824600,82.21
2013-06-12,82.63,82.63,80.99,81.36,678900,81.36
2013-06-11,82.19,82.35,81.61,81.91,456800,81.91
2013-06-10,82.82,83.02,82.39,82.75,454600,82.75
2013-06-07,83.06,83.14,82.61,82.87,614500,82.87
2013-06-06,82.68,82.79,82.01,82.78,657800,82.78
2013-06-05,83.92,84.19,82.84,82.87,668100,82.87
2013-06-04,83.75,84.26,83.45,83.92,516700,83.92
2013-06-03,84.06,84.12,83.33,83.76,659800,83.76
2013-05-31,83.65,84.56,83.54,83.70,562900,83.70
2013-05-30,84.37,84.66,83.82,84.02,380400,84.02
2013-05-29,84.30,84.64,83.86,84.08,570200,84.08
2013-05-28,85.24,85.91,84.83,85.14,970400,84.92
2013-05-24,83.64,84.79,83.59,84.59,521000,84.38
2013-05-23,83.86,84.50,83.34,84.42,526300,84.21
2013-05-22,84.28,85.29,83.62,84.34,728000,84.13
2013-05-21,84.50,84.66,83.83,84.27,678700,84.06
2013-05-20,83.80,84.32,83.53,84.11,556400,83.90
2013-05-17,83.23,84.31,83.11,84.19,1633100,83.98
2013-05-16,82.67,83.33,82.44,82.85,903100,82.64
2013-05-15,81.33,83.25,81.18,82.94,1167700,82.73
2013-05-14,80.40,81.67,80.40,81.48,575300,81.27
2013-05-13,80.57,80.81,79.68,80.49,415500,80.29
2013-05-10,80.00,80.58,79.86,80.56,533200,80.36
2013-05-09,79.48,79.98,79.48,79.90,347800,79.70
2013-05-08,79.44,79.88,79.06,79.78,340300,79.58
2013-05-07,78.88,79.37,78.76,79.26,368600,79.06
2013-05-06,78.93,79.07,78.27,78.88,453500,78.68
2013-05-03,78.63,79.08,78.18,78.89,509600,78.69
2013-05-02,77.81,78.48,77.34,78.06,391000,77.86
2013-05-01,78.52,78.52,77.65,77.95,553600,77.75
2013-04-30,78.13,78.74,77.18,78.69,815800,78.49
2013-04-29,77.42,78.46,76.47,78.29,553300,78.09
2013-04-26,78.35,78.52,77.20,77.45,351000,77.25
2013-04-25,79.08,79.15,77.98,78.13,640400,77.93
2013-04-24,77.75,77.90,77.05,77.20,916700,77.01
2013-04-23,76.93,77.73,76.57,77.44,846100,77.24
2013-04-22,76.70,77.08,76.35,76.44,931800,76.25
2013-04-19,75.77,76.98,75.77,76.91,1045700,76.72
2013-04-18,75.67,76.31,75.18,76.01,1063400,75.82
2013-04-17,75.44,75.63,74.57,75.35,719100,75.16
2013-04-16,74.58,76.00,74.28,75.77,852700,75.58
2013-04-15,76.01,76.24,73.65,74.10,1229200,73.91
2013-04-12,76.57,76.77,75.89,76.42,448600,76.23
2013-04-11,76.00,76.80,75.81,76.41,808300,76.22
2013-04-10,75.56,77.00,75.32,76.89,791300,76.70
2013-04-09,75.79,76.09,75.25,75.65,594900,75.46
2013-04-08,76.37,76.37,75.25,75.89,568600,75.70
2013-04-05,75.98,76.06,75.52,75.94,704600,75.75
2013-04-04,76.50,77.13,76.31,76.84,685200,76.65
2013-04-03,76.77,76.85,73.24,76.37,1070400,76.18
2013-04-02,77.00,77.22,76.40,76.77,808800,76.58
2013-04-01,77.70,77.82,76.55,76.82,519500,76.63
2013-03-28,77.19,77.74,76.71,77.65,1066800,77.45
2013-03-27,76.00,77.31,75.85,77.16,604900,76.97
2013-03-26,76.79,76.88,76.12,76.57,660600,76.38
2013-03-25,76.57,77.17,75.69,76.48,1211600,76.29
2013-03-22,77.82,77.87,76.92,77.45,643000,77.25
2013-03-21,77.21,78.11,77.00,77.48,1209600,77.28
2013-03-20,79.20,79.32,78.58,78.67,400400,78.47
2013-03-19,78.35,78.74,77.78,78.48,365700,78.28
2013-03-18,78.29,78.63,78.14,78.38,372700,78.18
2013-03-15,78.57,79.24,78.51,78.95,779100,78.75
2013-03-14,78.82,79.08,78.67,78.92,322000,78.72
2013-03-13,78.72,78.93,78.30,78.63,380600,78.43
2013-03-12,78.78,78.96,78.04,78.75,469600,78.55
2013-03-11,78.89,78.91,78.17,78.88,435700,78.68
2013-03-08,78.50,79.09,78.24,78.83,694500,78.63
2013-03-07,78.21,78.46,78.06,78.29,429700,78.09
2013-03-06,78.45,78.81,77.91,78.21,572900,78.01
2013-03-05,78.50,78.84,78.05,78.33,772600,78.13
2013-03-04,77.49,78.07,77.20,77.88,580400,77.68
2013-03-01,76.35,77.50,76.24,77.38,552200,77.18
2013-02-28,76.28,77.37,76.08,77.06,862400,76.87
2013-02-27,75.33,76.92,75.33,76.33,586700,76.14
2013-02-26,75.14,75.97,74.92,75.77,580800,75.36
2013-02-25,76.90,77.08,75.09,75.18,492900,74.78
2013-02-22,76.05,76.61,76.03,76.34,422200,75.93
