Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,105.73,106.19,105.12,106.01,482700,106.01
2013-07-11,105.60,106.00,105.03,105.93,652400,105.93
2013-07-10,104.62,104.90,104.03,104.53,459400,104.53
2013-07-09,104.86,105.18,104.29,104.62,459800,104.62
2013-07-08,103.58,104.88,103.27,104.37,571600,104.37
2013-07-05,102.92,103.14,101.44,103.12,393500,103.12
2013-07-03,103.17,103.43,102.34,102.59,494000,102.59
2013-07-02,103.80,104.17,102.67,103.15,985800,103.15
2013-07-01,103.42,104.31,103.33,104.08,597100,104.08
2013-06-28,102.50,104.06,102.45,103.15,945200,103.15
2013-06-27,102.22,102.98,101.87,102.85,542000,102.85
2013-06-26,101.50,102.63,101.30,101.64,726400,101.64
2013-06-25,100.70,101.26,99.86,100.90,745600,100.90
2013-06-24,100.01,100.95,99.76,99.81,550000,99.81
2013-06-21,100.47,101.12,99.85,100.71,722600,100.71
2013-06-20,101.78,102.29,99.88,99.98,801500,99.98
2013-06-19,103.50,103.76,102.31,102.38,744300,102.38
2013-06-18,103.07,104.18,102.87,103.66,326300,103.66
2013-06-17,103.12,103.82,102.76,103.24,393100,103.24
2013-06-14,101.46,103.29,101.46,103.01,635200,103.01
2013-06-13,100.96,102.44,100.59,102.17,616800,102.17
2013-06-12,101.32,101.43,100.41,100.83,673900,100.83
2013-06-11,99.65,100.69,99.37,100.51,862500,100.51
2013-06-10,101.49,101.49,99.71,100.24,922200,100.24
2013-06-07,98.98,102.11,98.97,101.39,1106900,101.39
2013-06-06,103.80,103.88,96.75,98.38,1910200,98.38
2013-06-05,102.25,102.98,102.14,102.37,860000,102.37
2013-06-04,102.14,103.18,101.90,102.64,670000,102.64
2013-06-03,101.23,102.25,100.26,102.18,804700,102.18
2013-05-31,102.45,102.79,100.95,100.96,853100,100.96
2013-05-30,103.06,103.29,102.39,102.65,330800,102.65
2013-05-29,104.52,104.73,102.68,103.02,492100,103.02
2013-05-28,104.01,105.17,103.53,104.52,448700,104.52
2013-05-24,102.11,103.40,101.49,103.22,408200,103.22
2013-05-23,101.41,102.77,101.20,102.47,466000,102.47
2013-05-22,102.26,104.00,102.05,102.51,651400,102.51
2013-05-21,102.08,102.63,101.40,102.11,440500,102.11
2013-05-20,102.71,102.71,101.87,101.93,373400,101.93
2013-05-17,103.19,103.66,101.97,102.58,850500,102.58
2013-05-16,103.73,104.07,103.21,103.32,345300,103.32
2013-05-15,104.15,105.00,103.48,104.01,587200,104.01
2013-05-14,104.30,104.66,104.18,104.53,408100,104.01
2013-05-13,103.37,104.24,103.11,104.12,261800,103.60
2013-05-10,102.39,103.78,102.14,103.63,439000,103.11
2013-05-09,103.72,103.88,102.07,102.23,353700,101.72
2013-05-08,103.72,103.99,103.07,103.84,296900,103.32
2013-05-07,102.79,103.87,102.60,103.87,332800,103.35
2013-05-06,103.27,103.27,102.25,102.55,286700,102.04
2013-05-03,103.74,103.84,102.98,103.56,491000,103.04
2013-05-02,102.06,103.54,101.58,102.89,481800,102.38
2013-05-01,102.94,103.39,101.43,102.11,346500,101.60
2013-04-30,102.16,103.65,101.92,103.23,519000,102.72
2013-04-29,102.28,102.43,101.45,102.24,310500,101.73
2013-04-26,102.13,102.71,101.65,101.92,228600,101.41
2013-04-25,103.00,103.12,102.04,102.23,501900,101.72
2013-04-24,104.98,105.18,102.46,102.51,468100,102.00
2013-04-23,103.54,105.03,103.09,105.00,557300,104.48
2013-04-22,103.24,103.31,102.06,103.06,341600,102.55
2013-04-19,101.65,103.91,101.52,103.10,461300,102.59
2013-04-18,101.94,102.28,101.33,101.53,421100,101.02
2013-04-17,101.68,102.41,100.95,101.76,763600,101.25
2013-04-16,100.12,102.30,99.92,102.25,520500,101.74
2013-04-15,101.04,101.58,99.51,99.52,434900,99.02
2013-04-12,99.66,101.11,99.29,101.10,502500,100.60
2013-04-11,99.26,100.00,99.07,99.80,490500,99.30
2013-04-10,98.28,99.02,98.01,99.00,581500,98.51
2013-04-09,98.42,98.67,97.82,98.20,409700,97.71
2013-04-08,97.95,98.33,97.58,98.30,507600,97.81
2013-04-05,98.44,98.44,97.68,98.12,487600,97.63
2013-04-04,97.89,98.99,97.81,98.98,412600,98.49
2013-04-03,99.03,99.11,97.64,97.85,471400,97.36
2013-04-02,99.13,100.14,98.68,99.17,394200,98.68
2013-04-01,99.32,99.35,98.27,98.95,446500,98.46
2013-03-28,97.30,99.29,97.22,99.16,651300,98.67
2013-03-27,97.01,97.36,96.15,97.31,402800,96.83
2013-03-26,96.40,97.78,96.33,97.41,436000,96.93
2013-03-25,96.89,97.33,96.16,96.38,387600,95.90
2013-03-22,96.13,96.55,96.09,96.44,496300,95.96
2013-03-21,96.53,96.61,95.99,96.00,409600,95.52
2013-03-20,96.82,97.14,96.03,96.76,761900,96.28
2013-03-19,96.34,96.50,95.03,96.40,1114200,95.92
2013-03-18,96.38,96.98,96.05,96.38,722500,95.90
2013-03-15,97.42,97.94,97.26,97.40,813700,96.92
2013-03-14,97.70,97.84,97.45,97.84,345700,97.35
2013-03-13,97.50,97.67,97.25,97.58,482400,97.09
2013-03-12,97.40,97.72,97.25,97.47,462100,96.99
2013-03-11,97.12,97.67,96.96,97.39,681900,96.91
2013-03-08,97.38,97.75,96.88,97.24,329200,96.76
2013-03-07,96.79,97.26,96.43,97.09,603800,96.61
2013-03-06,97.36,97.53,96.59,96.72,683200,96.24
2013-03-05,97.04,97.52,96.54,97.10,499500,96.62
2013-03-04,96.23,96.64,95.50,96.64,389200,96.16
2013-03-01,95.25,96.28,94.68,96.27,536600,95.79
2013-02-28,95.23,95.86,95.04,95.30,682000,94.83
2013-02-27,93.10,95.35,93.00,95.12,722500,94.65
2013-02-26,91.92,93.18,91.92,93.15,644300,92.69
2013-02-25,93.09,93.50,91.50,91.51,656500,91.05
2013-02-22,92.05,93.10,92.00,92.99,753000,92.53
2013-02-21,91.49,92.02,91.41,91.90,824000,91.44
2013-02-20,91.77,92.41,91.62,91.70,1512800,91.24
2013-02-19,92.53,93.40,91.47,91.75,1163000,91.29
2013-02-15,92.22,94.99,91.86,92.40,1560000,91.94
2013-02-14,90.81,92.66,90.57,92.16,1623000,91.70
2013-02-13,90.83,90.83,89.84,90.33,726600,89.88
2013-02-12,89.92,91.00,89.39,90.92,1241300,89.95
2013-02-11,89.09,89.48,88.45,88.75,839300,87.80
2013-02-08,89.04,89.48,88.91,89.16,555000,88.21
2013-02-07,88.95,89.66,88.38,88.90,597500,87.95
2013-02-06,89.12,89.41,88.61,89.09,725000,88.14
2013-02-05,89.35,89.74,89.11,89.48,277400,88.53
2013-02-04,89.90,89.98,88.73,88.86,372600,87.91
2013-02-01,89.19,90.40,89.07,89.79,496300,88.83
2013-01-31,88.87,89.01,88.63,88.63,744000,87.68
2013-01-30,88.65,89.17,88.60,88.88,602700,87.93
2013-01-29,88.64,88.96,88.28,88.65,616200,87.70
2013-01-28,89.58,90.11,88.21,88.80,543500,87.85
2013-01-25,90.18,90.30,89.08,89.26,611100,88.31
2013-01-24,89.81,90.31,89.71,90.14,644400,89.18
2013-01-23,89.91,90.19,89.46,89.76,360600,88.80
2013-01-22,89.53,89.88,88.91,89.88,433100,88.92
2013-01-18,89.75,89.90,88.95,89.56,391900,88.60
2013-01-17,88.82,89.81,88.72,89.59,275500,88.63
2013-01-16,88.34,88.66,88.28,88.59,471000,87.65
2013-01-15,88.31,88.85,88.21,88.36,579600,87.42
2013-01-14,88.22,88.83,88.05,88.30,714100,87.36
2013-01-11,89.17,89.47,87.97,88.22,736300,87.28
2013-01-10,89.90,90.00,89.57,89.84,742100,88.88
2013-01-09,89.69,90.04,89.25,89.59,758200,88.63
2013-01-08,90.23,90.23,88.97,89.09,669300,88.14
2013-01-07,89.83,90.12,89.26,89.89,517300,88.93
2013-01-04,89.23,90.24,89.23,90.20,512300,89.24
2013-01-03,89.65,89.65,88.89,89.18,488900,88.23
2013-01-02,86.48,89.67,86.48,89.66,815900,88.70
2012-12-31,85.13,86.26,84.57,86.24,306200,85.32
2012-12-28,85.29,85.81,85.21,85.25,388100,84.34
2012-12-27,85.29,85.62,84.85,85.53,395300,84.62
2012-12-26,86.32,86.48,85.03,85.29,319600,84.38
2012-12-24,86.27,86.72,85.94,86.33,150700,85.41
2012-12-21,86.59,87.33,85.66,86.61,679000,85.69
2012-12-20,86.07,87.09,85.87,86.93,444600,86.00
2012-12-19,87.27,87.61,85.93,85.96,605000,85.04
2012-12-18,87.84,87.92,86.78,87.35,285200,86.42
2012-12-17,87.36,87.61,86.56,87.52,541700,86.59
2012-12-14,87.29,87.70,86.81,86.96,531800,86.03
2012-12-13,87.81,88.09,86.81,87.34,440300,86.41
2012-12-12,88.01,88.31,87.57,87.83,727700,86.89
2012-12-11,88.01,88.10,87.53,87.73,676300,86.79
2012-12-10,87.70,87.98,87.26,87.78,607100,86.84
2012-12-07,88.25,88.73,87.48,87.80,464500,86.86
2012-12-06,88.30,88.40,87.54,87.96,510000,87.02
2012-12-05,89.08,89.08,87.85,88.29,604100,87.35
2012-12-04,88.91,89.30,88.12,88.92,595700,87.97
2012-12-03,88.18,89.39,87.14,88.73,778500,87.78
2012-11-30,87.77,88.46,87.48,88.46,581400,87.52
2012-11-29,87.41,87.95,86.84,87.62,369100,86.69
2012-11-28,85.93,87.18,85.87,87.16,628700,86.23
2012-11-27,86.45,86.79,85.85,86.13,694700,85.21
2012-11-26,85.87,86.54,85.62,86.03,451200,85.11
2012-11-23,85.17,86.10,84.96,86.05,279500,85.13
2012-11-21,84.57,85.18,84.47,84.57,358100,83.67
2012-11-20,84.64,85.37,84.29,84.67,904500,83.77
2012-11-19,84.20,85.65,84.00,84.49,965800,83.59
2012-11-16,83.87,84.06,81.60,83.86,1498300,82.97
2012-11-15,85.46,85.76,84.15,85.38,606800,84.47
2012-11-14,86.67,87.09,85.43,85.70,1064000,84.79
2012-11-13,84.79,87.44,84.78,87.05,1014500,85.61
2012-11-12,84.32,85.46,84.04,85.36,456400,83.95
2012-11-09,83.56,84.76,83.12,84.33,366100,82.93
2012-11-08,84.35,84.95,83.82,83.82,495100,82.43
2012-11-07,85.63,85.69,84.28,84.59,447000,83.19
2012-11-06,85.23,86.14,84.96,85.77,410900,84.35
2012-11-05,84.72,85.08,84.47,84.86,389100,83.45
2012-11-02,85.93,86.06,84.89,85.06,542500,83.65
2012-11-01,85.68,85.85,85.04,85.41,467500,83.99
2012-10-31,85.41,86.63,84.79,85.64,597000,84.22
2012-10-26,85.91,85.91,84.86,85.03,434500,83.62
2012-10-25,86.68,86.68,83.48,85.76,386800,84.34
2012-10-24,85.28,85.58,84.81,85.03,425000,83.62
2012-10-23,84.41,85.19,84.00,85.15,528200,83.74
2012-10-22,84.77,85.00,84.39,84.87,490400,83.46
2012-10-19,85.04,85.33,84.40,84.76,606100,83.36
2012-10-18,85.10,85.48,84.55,85.37,402900,83.95
2012-10-17,84.59,85.55,83.91,85.20,509300,83.79
2012-10-16,84.08,84.15,83.58,83.91,617200,82.52
2012-10-15,83.71,84.01,82.00,83.68,613200,82.29
2012-10-12,83.80,84.32,83.11,83.45,536600,82.07
2012-10-11,83.93,84.29,83.50,83.56,592500,82.17
2012-10-10,84.16,84.50,83.47,83.62,590400,82.23
2012-10-09,85.28,85.48,84.02,84.05,1007500,82.66
2012-10-08,86.23,86.36,85.24,85.50,639900,84.08
2012-10-05,87.05,87.44,86.12,86.45,1010900,85.02
2012-10-04,87.54,87.81,87.04,87.47,376700,86.02
2012-10-03,87.09,87.53,86.86,87.31,414800,85.86
2012-10-02,87.00,87.70,86.67,87.16,475900,85.72
2012-10-01,86.49,87.34,86.49,87.13,603100,85.69
2012-09-28,85.57,86.36,84.94,86.33,706000,84.90
2012-09-27,85.89,86.20,85.33,85.95,500200,84.53
2012-09-26,86.18,86.55,85.87,85.88,803600,84.46
2012-09-25,87.34,87.46,85.83,86.09,632500,84.66
2012-09-24,85.91,87.73,85.89,87.29,724700,85.84
2012-09-21,87.19,87.27,85.97,86.04,990000,84.61
2012-09-20,86.68,87.24,86.50,87.06,479000,85.62
2012-09-19,86.93,87.20,86.38,86.58,493200,85.14
2012-09-18,87.00,87.15,86.59,86.62,759700,85.18
2012-09-17,86.22,87.35,86.16,87.02,921200,85.58
2012-09-14,86.91,86.94,85.79,86.11,1148000,84.68
2012-09-13,86.10,87.54,86.01,87.04,486600,85.60
2012-09-12,86.21,86.39,86.00,86.13,346300,84.70
2012-09-11,85.91,86.25,85.90,86.01,559200,84.58
2012-09-10,85.34,86.28,84.86,85.85,937000,84.43
2012-09-07,87.06,87.06,85.85,86.10,676700,84.67
2012-09-06,86.36,86.75,86.18,86.62,555900,85.18
2012-09-05,86.10,86.39,85.74,85.99,1256500,84.56
2012-09-04,85.17,86.06,85.00,86.04,1135900,84.61
2012-08-31,84.82,85.36,84.71,84.97,812600,83.56
2012-08-30,84.63,84.96,84.37,84.43,850900,83.03
2012-08-29,84.52,85.47,84.52,85.03,897800,83.62
2012-08-28,84.94,85.50,84.58,84.58,896600,83.18
