Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,76.42,76.88,76.34,76.84,4254400,76.84
2013-07-11,77.08,77.22,76.01,76.63,4889800,76.63
2013-07-10,76.37,76.54,75.96,76.18,4594000,76.18
2013-07-09,75.23,76.79,75.23,76.54,7159600,76.54
2013-07-08,74.62,75.22,74.31,74.79,5457700,74.79
2013-07-05,73.42,74.38,72.98,74.09,3992100,74.09
2013-07-03,72.49,73.14,71.84,73.01,3147100,73.01
2013-07-02,73.31,73.31,72.25,72.61,4931300,72.61
2013-07-01,72.19,73.34,71.95,72.78,6432900,72.78
2013-06-28,71.81,72.28,71.60,71.66,7497100,71.66
2013-06-27,72.12,72.54,71.85,71.93,5951000,71.93
2013-06-26,72.62,72.73,71.61,71.81,5199700,71.81
2013-06-25,72.04,72.99,71.87,72.09,6693400,72.09
2013-06-24,71.84,71.98,70.25,71.24,7984300,71.24
2013-06-21,72.78,73.13,71.81,72.83,9785400,72.83
2013-06-20,72.61,72.82,71.81,72.14,8916000,72.14
2013-06-19,74.26,74.79,73.40,73.40,6332400,73.40
2013-06-18,73.18,74.60,73.06,74.16,5682300,74.16
2013-06-17,72.40,73.43,72.40,73.10,5376400,73.10
2013-06-14,72.51,72.68,71.55,71.60,4937500,71.60
2013-06-13,71.11,72.57,71.00,72.46,6800300,72.46
2013-06-12,72.14,72.19,70.88,70.95,6256100,70.95
2013-06-11,72.37,72.61,71.31,71.44,8572800,71.44
2013-06-10,74.11,74.39,73.11,73.30,6263700,73.30
2013-06-07,74.04,74.35,73.29,73.93,6703700,73.93
2013-06-06,72.12,73.30,71.80,73.30,7292900,73.30
2013-06-05,72.60,73.11,72.10,72.18,7499400,72.18
2013-06-04,73.14,73.56,72.57,72.85,9450800,72.85
2013-06-03,73.19,73.53,72.74,73.25,8164000,73.25
2013-05-31,74.39,74.51,73.02,73.03,7897400,72.72
2013-05-30,74.58,75.20,73.95,74.81,5747400,74.49
2013-05-29,74.82,75.32,74.28,74.98,4889900,74.66
2013-05-28,75.87,76.18,75.25,75.40,6700100,75.08
2013-05-24,74.67,74.88,73.66,74.66,6632100,74.34
2013-05-23,74.44,75.45,73.82,75.38,6712900,75.06
2013-05-22,76.95,77.79,75.11,75.58,9235500,75.26
2013-05-21,77.39,77.84,76.67,77.08,6334800,76.75
2013-05-20,75.56,77.49,75.42,77.42,9940800,77.09
2013-05-17,75.90,76.17,74.88,75.74,9533300,75.42
2013-05-16,75.76,76.17,75.07,75.27,6200800,74.95
2013-05-15,75.59,76.23,74.96,75.68,9423800,75.36
2013-05-14,76.73,77.27,76.58,76.86,6602300,76.53
2013-05-13,76.74,77.41,76.60,77.04,8105600,76.71
2013-05-10,76.94,77.04,75.83,76.82,6331900,76.49
2013-05-09,77.48,77.66,76.74,77.25,4382700,76.92
2013-05-08,76.87,77.69,76.53,77.59,4793800,77.26
2013-05-07,76.59,77.45,76.41,76.89,5866100,76.56
2013-05-06,75.72,76.42,75.48,76.16,4501800,75.83
2013-05-03,75.04,76.40,75.01,75.72,6582600,75.40
2013-05-02,73.82,74.58,73.46,74.25,4641400,73.93
2013-05-01,73.93,74.18,73.34,73.79,6586500,73.47
2013-04-30,74.17,74.62,73.34,74.43,7392800,74.11
2013-04-29,73.56,74.28,72.94,74.03,5212200,73.71
2013-04-26,73.32,73.77,72.63,73.34,5270100,73.03
2013-04-25,73.25,74.07,72.80,73.44,7380700,73.13
2013-04-24,72.41,73.71,72.06,73.17,8791200,72.86
2013-04-23,71.64,71.99,70.83,71.94,7122100,71.63
2013-04-22,71.01,71.57,69.76,71.23,9191500,70.92
2013-04-19,73.70,73.70,69.08,69.95,13971800,69.65
2013-04-18,71.40,71.66,70.19,71.00,8245500,70.70
2013-04-17,72.39,72.39,70.20,70.97,10266600,70.67
2013-04-16,72.76,73.44,71.76,73.29,7792200,72.98
2013-04-15,74.61,74.61,71.60,71.89,11536400,71.58
2013-04-12,76.62,76.75,74.89,75.66,6829700,75.34
2013-04-11,77.19,77.56,76.52,77.14,5097900,76.81
2013-04-10,75.47,77.30,75.45,76.99,7208300,76.66
2013-04-09,75.11,75.78,74.53,75.43,4047700,75.11
2013-04-08,74.30,75.10,74.10,74.96,3874200,74.64
2013-04-05,73.09,74.49,72.70,74.35,4829200,74.03
2013-04-04,73.91,74.32,73.41,73.94,5456900,73.62
2013-04-03,74.82,75.15,73.51,74.01,9089700,73.69
2013-04-02,74.48,75.22,74.01,74.81,7297900,74.49
2013-04-01,75.08,75.23,73.36,74.02,5535800,73.70
2013-03-28,74.97,75.64,74.50,74.89,7267200,74.57
2013-03-27,73.89,75.27,73.55,75.10,5632400,74.78
2013-03-26,74.41,74.52,73.83,74.42,6183800,74.10
2013-03-25,74.72,74.95,73.36,73.86,5960100,73.54
2013-03-22,73.84,74.39,73.56,74.37,6395500,74.05
2013-03-21,73.32,74.01,73.25,73.44,6693800,73.13
2013-03-20,74.18,74.25,73.41,73.79,8933000,73.47
2013-03-19,76.63,76.63,73.01,73.98,14392200,73.66
2013-03-18,77.33,77.79,76.11,76.34,9343800,76.01
2013-03-15,78.48,79.74,78.48,79.40,8072800,79.06
2013-03-14,77.84,78.93,77.58,78.75,5630900,78.41
2013-03-13,77.71,77.83,77.24,77.39,3744000,77.06
2013-03-12,77.98,78.37,77.01,77.44,5544100,77.11
2013-03-11,77.57,77.86,77.12,77.78,4377600,77.45
2013-03-08,78.02,78.44,77.24,77.96,3916100,77.63
2013-03-07,77.20,78.00,77.10,77.82,3620500,77.49
