Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,23.32,23.45,23.10,23.40,2736800,23.40
2013-07-11,23.50,23.50,23.19,23.35,2438400,23.35
2013-07-10,23.29,23.39,23.09,23.25,2080100,23.25
2013-07-09,23.30,23.39,23.02,23.27,3116000,23.27
2013-07-08,23.10,23.18,23.04,23.07,2281900,23.07
2013-07-05,22.93,23.24,22.83,22.99,1678300,22.99
2013-07-03,22.82,22.94,22.69,22.89,2462500,22.89
2013-07-02,22.96,23.09,22.90,22.99,3153900,22.99
2013-07-01,22.98,23.20,22.86,23.00,2144400,23.00
2013-06-28,23.00,23.00,22.65,22.86,3853400,22.86
2013-06-27,23.11,23.16,22.98,22.99,2412000,22.99
2013-06-26,22.97,23.11,22.70,22.97,2591500,22.97
2013-06-25,22.15,22.96,22.15,22.92,3822200,22.92
2013-06-24,21.99,22.17,21.90,22.05,3478300,22.05
2013-06-21,22.67,22.67,22.15,22.36,6128700,22.36
2013-06-20,22.76,22.97,22.47,22.48,4167400,22.48
2013-06-19,23.09,23.28,22.89,22.91,3103300,22.91
2013-06-18,22.92,23.25,22.92,23.13,3849700,23.13
2013-06-17,23.18,23.91,22.85,23.01,3825800,23.01
2013-06-14,23.32,23.35,22.84,22.98,7650400,22.98
2013-06-13,23.30,23.34,23.19,23.26,7209800,23.26
2013-06-12,23.58,23.58,23.27,23.34,2748900,23.34
2013-06-11,23.31,23.52,23.19,23.36,5390500,23.36
2013-06-10,23.60,23.73,23.44,23.49,5642900,23.49
2013-06-07,23.84,23.88,23.47,23.56,4703000,23.56
2013-06-06,23.47,23.77,23.35,23.75,3524000,23.75
2013-06-05,23.58,23.74,23.40,23.54,3578200,23.54
2013-06-04,23.96,24.12,23.75,23.84,5713100,23.69
2013-06-03,23.84,24.11,23.57,23.96,4878100,23.81
2013-05-31,23.99,24.24,23.70,23.74,4656100,23.59
2013-05-30,23.50,24.32,23.42,24.04,8093300,23.89
2013-05-29,25.09,26.17,23.40,23.48,12315100,23.33
2013-05-28,23.00,23.14,22.90,22.98,3590800,22.84
2013-05-24,22.55,22.81,22.45,22.79,2302000,22.65
2013-05-23,22.81,22.90,22.60,22.65,3810500,22.51
2013-05-22,22.87,23.14,22.77,22.90,3458100,22.76
2013-05-21,22.87,23.01,22.79,22.90,2926600,22.76
2013-05-20,22.76,22.94,22.69,22.86,2792700,22.72
2013-05-17,22.50,22.78,22.25,22.74,3907900,22.60
2013-05-16,22.37,22.55,22.20,22.38,4173000,22.24
2013-05-15,21.54,22.40,21.50,22.39,4404800,22.25
2013-05-14,21.08,21.64,21.08,21.56,2429900,21.42
2013-05-13,21.09,21.17,20.92,21.05,1483600,20.92
2013-05-10,21.27,21.30,20.90,21.16,1967600,21.03
2013-05-09,21.38,21.42,21.03,21.31,2115200,21.18
2013-05-08,21.29,21.43,20.98,21.39,2002000,21.26
2013-05-07,21.23,21.38,21.01,21.35,1352700,21.22
2013-05-06,20.99,21.18,20.91,21.14,1647300,21.01
2013-05-03,21.11,21.25,20.82,20.96,2379300,20.83
2013-05-02,20.66,20.99,20.66,20.99,1421600,20.86
2013-05-01,20.57,20.89,20.53,20.57,1801300,20.44
2013-04-30,20.51,20.66,20.18,20.65,2328600,20.52
2013-04-29,20.55,20.65,20.39,20.53,2347400,20.40
2013-04-26,20.83,20.85,20.42,20.52,2262400,20.39
2013-04-25,20.79,21.00,20.68,20.80,1928400,20.67
2013-04-24,20.42,20.79,20.34,20.68,2320000,20.55
2013-04-23,20.31,20.48,19.79,20.40,4729900,20.27
2013-04-22,20.33,20.68,20.10,20.63,2301500,20.50
2013-04-19,19.97,20.38,19.68,20.32,2942400,20.19
2013-04-18,20.07,20.69,19.55,19.76,5780700,19.64
2013-04-17,20.70,20.78,20.36,20.37,4901700,20.24
2013-04-16,20.57,20.85,20.38,20.83,2758600,20.70
2013-04-15,20.88,21.02,20.62,20.63,3873800,20.50
2013-04-12,20.75,21.02,20.62,20.92,2897600,20.79
2013-04-11,20.40,20.89,20.33,20.78,3322000,20.65
2013-04-10,20.21,20.50,20.17,20.37,2129900,20.24
2013-04-09,19.99,20.37,19.93,20.23,2074900,20.10
2013-04-08,19.84,19.92,19.64,19.91,1429400,19.78
2013-04-05,19.47,19.85,19.32,19.80,2492900,19.68
2013-04-04,19.60,19.88,19.57,19.63,4584600,19.51
2013-04-03,20.21,20.32,19.50,19.60,4954300,19.48
2013-04-02,20.18,20.34,20.09,20.18,2572000,20.05
2013-04-01,20.50,20.50,20.04,20.09,2376300,19.96
2013-03-28,20.27,20.50,20.12,20.50,3023900,20.37
2013-03-27,20.15,20.39,20.14,20.28,1655000,20.15
2013-03-26,20.27,20.42,20.09,20.29,2367200,20.16
2013-03-25,20.42,20.47,20.04,20.11,2757100,19.98
2013-03-22,20.07,20.35,20.06,20.31,3944000,20.18
2013-03-21,19.87,20.19,19.79,20.07,3973900,19.94
2013-03-20,19.93,20.16,19.86,19.93,2921100,19.80
2013-03-19,20.16,20.25,19.59,19.86,3008600,19.74
2013-03-18,19.72,20.16,19.62,20.13,4054800,20.00
2013-03-15,19.80,19.95,19.65,19.92,5579000,19.79
2013-03-14,19.87,20.04,19.81,19.90,2917700,19.77
2013-03-13,19.68,19.89,19.66,19.80,3214300,19.68
