Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,93.45,93.54,92.98,93.26,188200,93.26
2013-07-11,93.00,94.07,92.87,93.41,300800,93.41
2013-07-10,92.18,92.28,91.17,91.72,253300,91.72
2013-07-09,92.45,92.84,91.74,92.35,137300,92.35
2013-07-08,92.36,92.60,91.54,91.57,197600,91.57
2013-07-05,91.55,92.20,91.18,92.07,194900,92.07
2013-07-03,90.07,91.00,89.70,90.62,137700,90.62
2013-07-02,90.97,91.59,90.21,90.50,247400,90.50
2013-07-01,89.83,91.61,89.83,91.17,233800,91.17
2013-06-28,89.55,90.09,88.96,89.38,381000,89.38
2013-06-27,89.61,90.06,89.12,89.91,220100,89.91
2013-06-26,88.65,89.43,88.47,88.90,184200,88.90
2013-06-25,87.00,88.14,86.89,87.80,228200,87.80
2013-06-24,86.81,87.20,86.02,86.27,418200,86.27
2013-06-21,89.66,89.78,86.73,88.07,516400,88.07
2013-06-20,90.15,90.63,88.77,89.01,365000,89.01
2013-06-19,92.14,92.63,91.18,91.18,222700,91.18
2013-06-18,92.08,92.48,91.74,92.21,234800,92.21
2013-06-17,91.72,92.33,91.34,91.87,242700,91.87
2013-06-14,90.82,91.26,90.54,91.05,319800,91.05
2013-06-13,89.20,91.17,88.78,90.88,207500,90.88
2013-06-12,90.89,91.17,88.69,89.16,301200,89.16
2013-06-11,90.79,91.56,90.05,90.31,249400,90.31
2013-06-10,92.03,92.24,91.55,91.77,212100,91.77
2013-06-07,91.33,92.04,91.03,91.82,277900,91.82
2013-06-06,90.24,91.11,89.58,90.73,254900,90.73
2013-06-05,91.34,91.64,90.25,90.37,224000,90.37
2013-06-04,91.69,92.50,90.96,91.61,270800,91.61
2013-06-03,91.26,91.81,90.09,91.74,217400,91.74
2013-05-31,90.98,92.76,90.93,91.09,233100,91.09
2013-05-30,90.93,92.09,90.50,91.47,188300,91.47
2013-05-29,90.69,91.40,90.41,90.76,263200,90.76
2013-05-28,91.42,92.34,90.86,91.42,282600,91.42
2013-05-24,89.91,90.48,89.03,90.23,356400,90.23
2013-05-23,89.83,90.63,89.66,90.35,367200,90.35
2013-05-22,92.38,93.26,90.34,90.76,291900,90.76
2013-05-21,91.66,92.30,91.16,92.28,281000,92.28
2013-05-20,91.40,92.14,91.40,91.75,392600,91.75
2013-05-17,90.83,92.00,90.72,91.67,444700,91.67
2013-05-16,92.14,92.88,90.52,90.84,440600,90.84
2013-05-15,91.30,93.02,91.06,92.92,394600,92.54
2013-05-14,88.99,91.63,88.99,91.49,259100,91.12
2013-05-13,89.14,89.56,88.69,89.11,170300,88.75
2013-05-10,89.14,89.76,88.79,89.34,161400,88.97
2013-05-09,89.19,89.95,88.82,89.03,155300,88.67
2013-05-08,88.58,89.40,88.58,89.28,162100,88.91
2013-05-07,87.35,88.65,87.35,88.62,160900,88.26
2013-05-06,87.37,87.82,87.07,87.29,229500,86.93
