Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,60.89,61.21,60.25,60.90,2153700,60.90
2013-07-11,60.67,61.01,60.01,60.78,2835000,60.78
2013-07-10,59.53,59.85,58.74,59.83,3882300,59.83
2013-07-09,60.56,60.72,59.16,59.78,3862800,59.78
2013-07-08,62.32,62.59,59.78,60.02,4423600,60.02
2013-07-05,61.76,62.20,61.05,61.84,1934000,61.84
2013-07-03,61.22,61.99,61.09,61.41,1463100,61.41
2013-07-02,60.75,61.69,60.00,61.59,3006900,61.59
2013-07-01,61.71,62.85,61.28,61.42,2870500,61.42
2013-06-28,60.28,61.50,59.87,61.10,4666300,61.10
2013-06-27,59.84,60.87,59.60,60.47,2516900,60.47
2013-06-26,58.79,59.82,58.73,59.35,3516200,59.35
2013-06-25,58.18,58.84,57.61,58.34,3175800,58.34
2013-06-24,58.28,58.71,57.11,57.70,3337900,57.70
2013-06-21,59.64,60.17,57.83,58.86,5152000,58.86
2013-06-20,60.95,61.45,58.94,59.38,4636600,59.38
2013-06-19,63.16,63.73,61.48,61.56,3555500,61.56
2013-06-18,61.36,63.27,61.03,63.04,5470600,63.04
2013-06-17,59.28,61.70,59.10,61.23,5633200,61.23
2013-06-14,59.42,59.70,58.72,58.81,1785100,58.81
2013-06-13,58.60,59.67,58.01,59.42,2262600,59.42
2013-06-12,59.71,60.17,58.76,58.93,1919200,58.93
2013-06-11,59.10,60.75,58.74,59.27,3269800,59.27
2013-06-10,58.54,59.94,58.15,59.83,3794800,59.83
2013-06-07,58.77,58.98,57.83,58.31,3108000,58.31
2013-06-06,57.64,58.52,57.38,58.50,2902600,58.50
2013-06-05,57.76,57.92,56.82,57.50,4060500,57.50
2013-06-04,58.88,59.03,57.53,58.14,2954000,58.14
2013-06-03,59.25,59.73,57.90,58.76,2787200,58.76
2013-05-31,59.58,60.22,59.02,59.02,3009900,59.02
2013-05-30,58.55,60.28,58.33,59.89,4723300,59.89
2013-05-29,57.36,58.44,57.30,58.31,2111100,58.31
2013-05-28,58.41,58.51,57.56,57.84,2219900,57.84
2013-05-24,57.55,58.03,56.79,58.01,3245400,58.01
2013-05-23,57.15,58.39,56.26,57.83,4667300,57.83
2013-05-22,57.85,59.43,57.49,57.90,3679200,57.90
2013-05-21,58.47,58.93,57.27,58.25,3225500,58.25
2013-05-20,59.02,59.61,58.23,58.47,3794800,58.47
2013-05-17,59.02,59.96,58.33,59.90,3707300,59.90
2013-05-16,58.78,59.76,58.41,58.52,3511800,58.52
2013-05-15,58.14,59.35,58.13,59.01,3729300,59.01
2013-05-14,57.73,58.56,57.23,58.49,3270200,58.49
2013-05-13,56.89,57.96,56.59,57.90,3441000,57.90
2013-05-10,56.81,57.90,56.80,57.23,4157600,57.23
2013-05-09,55.25,56.86,55.20,56.65,5317200,56.65
2013-05-08,55.51,56.27,54.16,55.24,6660900,55.24
2013-05-07,54.84,55.91,54.44,55.42,3934700,55.42
2013-05-06,53.86,54.69,53.55,54.60,2873400,54.60
2013-05-03,53.05,54.81,53.01,53.88,4954000,53.88
2013-05-02,51.38,52.79,51.20,52.61,4973600,52.61
2013-05-01,52.43,52.49,50.90,51.18,6635600,51.18
2013-04-30,54.05,54.16,51.90,52.44,6129500,52.44
2013-04-29,53.94,54.50,53.52,54.17,2946400,54.17
2013-04-26,53.71,54.36,53.38,53.90,2986200,53.90
2013-04-25,54.33,54.48,53.48,53.69,5166900,53.69
2013-04-24,53.91,54.47,53.13,54.26,3713000,54.26
2013-04-23,52.58,53.87,52.58,53.42,5499500,53.42
2013-04-22,52.35,52.53,50.68,52.13,5612100,52.13
2013-04-19,51.93,52.90,51.62,52.31,5355900,52.31
2013-04-18,56.61,57.33,51.41,52.02,16458200,52.02
2013-04-17,57.12,57.13,54.50,55.72,11199300,55.72
2013-04-16,56.60,57.82,56.40,57.49,4084400,57.49
2013-04-15,57.70,58.22,55.81,55.99,5013200,55.99
2013-04-12,58.90,58.92,57.45,57.71,2915900,57.71
2013-04-11,58.31,58.75,57.48,58.62,3119500,58.62
2013-04-10,56.54,58.58,56.54,58.32,5463300,58.32
2013-04-09,56.00,56.54,55.30,56.31,3061700,56.31
2013-04-08,54.76,55.87,54.76,55.59,3464200,55.59
2013-04-05,54.11,55.00,53.82,54.76,3433700,54.76
2013-04-04,53.61,54.90,53.61,54.78,3202400,54.78
2013-04-03,54.33,54.93,53.46,53.65,3532600,53.65
2013-04-02,54.93,55.68,54.10,54.42,3425000,54.42
2013-04-01,55.00,55.52,54.42,54.55,2907200,54.55
2013-03-28,55.00,55.14,54.39,54.96,3112500,54.96
2013-03-27,55.08,55.23,54.61,54.98,2645200,54.98
