Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,72.35,72.75,71.96,72.69,371300,72.69
2013-07-11,71.79,72.22,71.46,72.02,345700,72.02
2013-07-10,70.87,71.08,70.20,71.00,526000,71.00
2013-07-09,70.87,71.58,70.32,70.82,708000,70.82
2013-07-08,70.25,70.69,70.09,70.52,509200,70.52
2013-07-05,69.12,69.89,68.97,69.85,496500,69.85
2013-07-03,67.79,68.90,67.79,68.76,363500,68.76
2013-07-02,67.50,68.25,67.30,68.23,830700,68.23
2013-07-01,67.20,67.73,66.83,67.61,635800,67.61
2013-06-28,66.53,67.27,66.31,66.76,1352300,66.76
2013-06-27,65.76,66.66,65.64,66.61,743900,66.61
2013-06-26,65.72,65.94,64.88,65.41,648900,65.41
2013-06-25,65.54,65.77,64.83,65.08,821000,65.08
2013-06-24,65.56,65.56,64.66,65.07,551200,65.07
2013-06-21,66.52,66.94,65.38,66.04,1067600,66.04
2013-06-20,67.24,67.61,66.22,66.25,1107300,66.25
2013-06-19,68.01,69.23,67.75,67.76,876700,67.76
2013-06-18,67.56,68.22,67.33,67.93,712300,67.93
2013-06-17,66.88,67.91,66.83,67.44,1096700,67.44
2013-06-14,66.09,66.69,65.63,66.55,697300,66.55
2013-06-13,64.40,66.98,64.02,66.75,1218500,66.75
2013-06-12,66.09,66.30,64.22,64.40,715700,64.40
2013-06-11,65.62,66.27,65.05,65.83,826300,65.83
2013-06-10,67.00,67.19,65.94,66.13,1335500,66.13
2013-06-07,65.85,66.85,65.43,66.80,430300,66.80
2013-06-06,65.63,65.75,64.85,65.60,596400,65.60
2013-06-05,66.89,66.92,65.01,65.64,707000,65.64
2013-06-04,66.64,67.68,66.58,67.10,949600,67.10
2013-06-03,67.38,68.21,65.70,66.76,772700,66.76
2013-05-31,67.87,68.87,67.34,67.36,635500,67.36
2013-05-30,68.71,69.07,68.21,68.24,627600,68.24
2013-05-29,69.54,69.64,68.22,68.73,904800,68.73
2013-05-28,69.69,70.59,69.18,70.01,1260300,69.86
2013-05-24,68.03,69.03,67.72,68.80,591100,68.65
2013-05-23,67.43,68.76,67.16,68.43,666300,68.28
2013-05-22,68.80,69.38,67.57,67.88,488800,67.73
2013-05-21,68.19,69.15,68.09,68.86,665400,68.71
2013-05-20,68.85,69.12,68.22,68.29,646700,68.14
2013-05-17,68.52,69.10,68.03,69.05,838800,68.90
