Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,44.95,45.03,44.63,44.99,3660400,44.99
2013-07-11,44.84,44.99,44.52,44.96,3517600,44.96
2013-07-10,44.07,44.28,43.85,44.23,2776700,44.23
2013-07-09,43.97,44.16,43.77,44.12,3055000,44.12
2013-07-08,43.39,43.90,43.22,43.85,3633800,43.85
2013-07-05,43.51,43.57,42.93,43.14,5048600,43.14
2013-07-03,43.45,43.52,43.27,43.40,2318000,43.40
2013-07-02,43.61,43.90,43.47,43.61,4468000,43.61
2013-07-01,44.24,44.44,43.65,43.81,4845500,43.81
2013-06-28,43.78,44.23,43.52,44.13,4859700,44.13
2013-06-27,44.15,44.49,43.94,44.00,2884300,44.00
2013-06-26,43.80,44.17,43.68,44.03,3435000,44.03
2013-06-25,43.13,43.82,42.91,43.56,5035900,43.56
2013-06-24,42.84,43.33,42.47,42.94,4379300,42.94
2013-06-21,43.15,43.59,42.33,43.10,9914300,43.10
2013-06-20,43.42,43.53,42.32,42.48,6965400,42.48
2013-06-19,44.74,44.75,43.56,43.57,4637700,43.57
2013-06-18,44.63,44.89,44.45,44.75,3507100,44.75
2013-06-17,44.75,45.06,44.38,44.52,3550700,44.52
2013-06-14,44.59,44.76,44.38,44.49,4414300,44.49
2013-06-13,43.91,44.66,43.78,44.65,4084300,44.65
2013-06-12,44.46,44.59,43.80,43.92,3768700,43.92
2013-06-11,44.20,44.61,44.07,44.26,3773700,44.26
2013-06-10,44.47,44.62,44.18,44.40,3525300,44.40
2013-06-07,44.56,44.86,44.18,44.44,6141000,44.44
2013-06-06,43.85,44.54,43.70,44.43,6556700,44.43
2013-06-05,43.86,43.93,43.56,43.69,4568300,43.69
2013-06-04,44.01,44.20,43.68,43.95,4301200,43.95
2013-06-03,43.99,44.43,43.25,44.09,6858800,44.09
2013-05-31,44.01,44.74,43.90,43.90,5920500,43.90
2013-05-30,44.42,44.95,44.12,44.13,4551700,44.13
2013-05-29,44.67,44.67,43.71,44.26,6558700,44.26
2013-05-28,45.39,45.54,44.75,44.89,4164900,44.89
2013-05-24,45.40,45.46,45.02,45.20,3514600,45.20
2013-05-23,45.58,45.74,45.00,45.52,5067300,45.52
2013-05-22,46.42,46.87,45.56,45.76,4751200,45.76
2013-05-21,46.33,46.58,46.12,46.44,3135200,46.44
2013-05-20,46.52,46.67,46.25,46.40,3182000,46.40
2013-05-17,46.44,46.60,46.11,46.60,3381200,46.60
