Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,16.63,16.74,16.59,16.73,5304400,16.73
2013-07-11,16.50,16.70,16.43,16.67,6540600,16.67
2013-07-10,16.25,16.47,16.24,16.36,6102300,16.36
2013-07-09,16.20,16.40,16.11,16.31,4370200,16.31
2013-07-08,15.90,16.12,15.90,16.01,5961100,16.01
2013-07-05,15.59,16.00,15.58,15.98,5823600,15.98
2013-07-03,16.11,16.17,15.85,15.90,3557900,15.90
2013-07-02,15.96,16.53,15.96,16.30,7370500,16.30
2013-07-01,15.93,16.15,15.90,16.04,5140700,16.04
2013-06-28,15.63,16.11,15.63,15.87,9610500,15.87
2013-06-27,15.82,15.99,15.67,15.74,6492300,15.74
2013-06-26,15.75,16.02,15.58,15.68,7789600,15.68
2013-06-25,15.55,15.88,15.39,15.83,7422500,15.71
2013-06-24,15.49,15.59,15.15,15.39,6998900,15.27
2013-06-21,15.68,15.99,15.42,15.59,10107400,15.47
2013-06-20,15.95,15.99,15.55,15.61,9494500,15.49
2013-06-19,16.51,16.51,16.03,16.05,10179800,15.93
2013-06-18,16.37,16.62,16.29,16.48,8237200,16.36
2013-06-17,16.21,16.63,16.12,16.43,18822200,16.31
2013-06-14,15.65,16.08,15.61,16.04,10937800,15.92
2013-06-13,15.51,15.85,15.49,15.69,6842400,15.57
2013-06-12,15.64,15.76,15.48,15.54,7002000,15.42
2013-06-11,15.43,15.79,15.30,15.52,7510900,15.40
2013-06-10,15.41,15.62,15.27,15.51,6973700,15.39
2013-06-07,15.04,15.50,15.04,15.48,7367600,15.36
2013-06-06,14.71,15.05,14.61,15.02,5081900,14.91
2013-06-05,15.03,15.10,14.62,14.67,7644900,14.56
2013-06-04,14.83,15.26,14.82,15.11,10754600,15.00
2013-06-03,15.01,15.01,14.65,14.77,9527400,14.66
2013-05-31,14.93,15.09,14.84,15.01,9861900,14.90
2013-05-30,15.06,15.06,14.90,14.98,8989900,14.87
2013-05-29,14.95,15.05,14.81,15.00,8522400,14.89
2013-05-28,15.08,15.16,14.89,14.94,9270000,14.83
2013-05-24,14.98,15.02,14.85,14.94,4915900,14.83
2013-05-23,14.90,15.15,14.85,15.04,9371900,14.93
2013-05-22,14.58,15.50,14.51,15.17,20248500,15.06
2013-05-21,14.76,14.93,14.66,14.75,10689900,14.64
2013-05-20,14.50,14.88,14.43,14.67,8836700,14.56
2013-05-17,14.39,14.58,14.25,14.51,10572200,14.40
2013-05-16,14.48,14.63,14.25,14.29,8419800,14.18
2013-05-15,14.43,14.49,14.27,14.45,7432700,14.34
2013-05-14,14.16,14.51,14.15,14.48,10610900,14.37
2013-05-13,14.01,14.19,13.99,14.18,7863000,14.07
2013-05-10,14.00,14.12,13.93,14.07,6204300,13.96
2013-05-09,13.95,14.08,13.93,13.97,9923300,13.86
2013-05-08,13.92,14.27,13.82,13.94,14991600,13.83
2013-05-07,13.86,13.96,13.65,13.92,10396800,13.81
2013-05-06,13.45,13.90,13.34,13.87,7309500,13.76
2013-05-03,13.31,13.55,13.15,13.52,4650200,13.42
2013-05-02,13.12,13.18,13.00,13.14,4383200,13.04
2013-05-01,13.23,13.24,13.02,13.08,5848200,12.98
2013-04-30,12.99,13.25,12.83,13.23,12510300,13.13
2013-04-29,12.82,13.07,12.67,12.92,5602300,12.82
2013-04-26,12.91,12.94,12.54,12.82,9569900,12.72
2013-04-25,12.63,12.96,12.56,12.88,12069800,12.78
2013-04-24,12.44,12.61,12.40,12.54,9727600,12.44
2013-04-23,13.03,13.03,12.26,12.40,20003400,12.31
2013-04-22,12.93,13.00,12.71,12.98,5031100,12.88
2013-04-19,12.68,12.97,12.62,12.94,8197400,12.84
2013-04-18,12.62,12.80,12.41,12.70,6565600,12.60
2013-04-17,12.92,12.97,12.55,12.62,11551700,12.52
2013-04-16,13.27,13.33,12.98,13.08,8210300,12.98
2013-04-15,13.55,13.59,13.11,13.22,5834100,13.12
2013-04-12,13.78,13.78,13.59,13.70,4346400,13.60
2013-04-11,13.88,13.93,13.69,13.79,9091100,13.69
2013-04-10,13.53,13.99,13.46,13.83,8859900,13.73
