Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,82.96,83.89,82.59,83.78,1050600,83.78
2013-07-11,82.75,83.20,82.21,83.09,966600,83.09
2013-07-10,81.15,81.91,80.65,81.65,874500,81.65
2013-07-09,80.88,81.26,80.63,80.96,1008700,80.96
2013-07-08,80.22,81.04,79.84,80.38,999000,80.38
2013-07-05,80.52,80.54,78.67,79.73,945900,79.73
2013-07-03,79.91,80.50,79.46,80.33,447800,80.33
2013-07-02,80.43,81.44,79.88,80.40,1141900,80.40
2013-07-01,81.62,82.26,80.18,80.55,1597800,80.55
2013-06-28,81.24,82.29,79.77,81.76,3369300,81.76
2013-06-27,82.54,83.46,82.18,82.44,869800,82.44
2013-06-26,80.88,82.62,80.88,82.37,1569100,82.37
2013-06-25,80.90,81.39,80.03,80.99,1242500,80.36
2013-06-24,79.10,80.95,78.36,80.23,1484500,79.61
2013-06-21,79.34,79.93,77.49,79.59,1519100,78.97
2013-06-20,80.29,80.31,78.48,78.71,1259900,78.10
2013-06-19,82.08,82.50,81.03,81.03,1478400,80.40
2013-06-18,80.72,82.27,80.38,82.06,1161100,81.42
2013-06-17,80.83,81.35,80.19,80.69,624600,80.06
2013-06-14,80.03,80.60,79.52,80.35,583000,79.72
2013-06-13,78.36,80.07,78.13,79.98,629200,79.36
2013-06-12,79.88,79.90,78.36,78.36,783000,77.75
2013-06-11,79.24,80.10,78.76,79.54,1094400,78.92
2013-06-10,80.17,80.17,79.20,79.78,772400,79.16
2013-06-07,80.15,80.53,79.51,80.19,1039600,79.57
2013-06-06,79.07,80.06,78.60,80.05,1708100,79.43
2013-06-05,79.83,79.88,78.78,78.91,1187800,78.30
2013-06-04,81.17,81.54,79.96,80.12,1827600,79.50
2013-06-03,81.11,82.01,80.20,81.36,1243200,80.73
2013-05-31,81.42,83.11,81.30,81.30,1928400,80.67
2013-05-30,80.99,82.53,80.99,81.68,1775400,81.04
2013-05-29,81.47,81.50,80.69,80.76,2496900,80.13
2013-05-28,82.64,83.47,81.41,82.11,3851900,81.47
2013-05-24,79.08,79.66,78.49,79.60,1714400,78.98
2013-05-23,79.63,80.10,78.11,79.47,2926700,78.85
2013-05-22,83.68,83.68,81.47,81.65,1732300,81.01
2013-05-21,84.60,84.85,83.68,83.82,1126000,83.17
2013-05-20,84.48,84.61,84.12,84.60,1540100,83.94
