Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,68.68,69.28,68.63,68.95,2812300,68.95
2013-07-11,69.60,69.82,68.24,68.50,3104700,68.50
2013-07-10,68.80,69.18,68.17,68.58,2344400,68.58
2013-07-09,68.39,68.86,67.81,68.83,1724500,68.83
2013-07-08,68.22,68.40,67.66,67.81,2587200,67.81
2013-07-05,66.43,67.78,66.37,67.76,2112000,67.76
2013-07-03,65.44,65.89,64.92,65.81,1165000,65.81
2013-07-02,65.58,66.33,65.49,65.87,3189000,65.87
2013-07-01,65.51,66.38,65.51,65.76,2432100,65.76
2013-06-28,65.44,65.69,64.39,65.21,3131700,65.21
2013-06-27,65.33,65.68,64.92,65.55,2471700,65.55
2013-06-26,65.33,65.72,64.71,64.99,2734800,64.73
2013-06-25,64.94,65.52,64.62,64.84,2794800,64.58
2013-06-24,64.27,64.82,63.23,64.09,3637400,63.83
2013-06-21,66.75,66.75,64.07,64.95,5697100,64.69
2013-06-20,66.15,66.78,65.76,65.97,4898200,65.71
2013-06-19,67.42,67.86,66.68,66.68,3443100,66.41
2013-06-18,67.11,67.43,66.58,67.32,2206400,67.05
2013-06-17,66.50,67.22,66.47,66.85,2937200,66.58
2013-06-14,66.35,66.71,65.85,66.06,3654300,65.80
2013-06-13,64.74,66.47,64.66,66.41,3715200,66.14
2013-06-12,66.67,66.67,64.83,64.91,3226700,64.65
2013-06-11,66.44,67.14,66.12,66.12,3410100,65.86
2013-06-10,67.64,67.88,67.12,67.36,2966800,67.09
2013-06-07,66.02,67.53,65.84,67.44,3090600,67.17
2013-06-06,64.79,65.53,64.23,65.53,2664900,65.27
2013-06-05,66.02,66.33,64.72,64.88,4228400,64.62
2013-06-04,66.36,67.14,66.02,66.15,3272200,65.89
2013-06-03,66.50,67.07,65.22,66.31,3654700,66.04
2013-05-31,67.06,67.79,66.18,66.18,3581500,65.92
2013-05-30,66.85,67.50,66.58,67.19,4161600,66.92
2013-05-29,66.77,68.18,66.77,66.85,6080100,66.58
2013-05-28,65.57,67.40,65.57,67.15,4985900,66.88
2013-05-24,64.10,64.54,63.68,64.49,2750300,64.23
2013-05-23,64.38,65.00,63.93,64.60,2593400,64.34
2013-05-22,65.26,66.48,65.00,65.16,5451500,64.90
2013-05-21,65.21,65.81,65.09,65.09,2973900,64.83
2013-05-20,65.03,65.27,64.57,65.19,2517100,64.93
2013-05-17,64.07,65.35,63.96,65.16,3522100,64.90
2013-05-16,63.40,64.04,63.08,63.81,3484200,63.55
2013-05-15,63.37,63.64,62.86,63.61,4032900,63.36
2013-05-14,61.70,63.75,61.60,63.59,4061000,63.34
2013-05-13,60.34,61.82,60.25,61.67,2506600,61.42
2013-05-10,60.20,60.45,59.75,60.33,2089200,60.09
2013-05-09,60.37,60.58,59.95,60.22,2149200,59.98
2013-05-08,59.64,60.57,59.37,60.56,2183600,60.32
2013-05-07,59.82,59.88,59.11,59.68,1700800,59.44
2013-05-06,59.22,59.79,59.14,59.53,2131300,59.29
2013-05-03,58.24,59.71,58.11,59.45,3609500,59.21
2013-05-02,57.63,58.00,57.37,57.60,2371800,57.37
2013-05-01,58.30,58.75,57.39,57.47,2292000,57.24
2013-04-30,58.28,58.54,58.07,58.47,2018300,58.24
2013-04-29,58.07,58.29,57.75,58.15,1339100,57.92
2013-04-26,58.15,58.46,57.51,57.86,1714300,57.63
2013-04-25,58.47,58.64,58.07,58.30,1878800,58.07
2013-04-24,58.41,58.66,57.95,58.27,1843400,58.04
2013-04-23,57.59,58.29,57.40,58.26,2663100,58.03
2013-04-22,56.98,57.31,56.29,57.25,2980500,57.02
2013-04-19,56.11,56.96,54.57,56.93,6026600,56.70
2013-04-18,57.45,57.58,56.16,56.51,3457000,56.28
2013-04-17,57.66,57.91,56.67,57.29,3119300,57.06
2013-04-16,58.28,58.47,57.75,58.31,2549800,58.08
2013-04-15,59.52,59.59,57.66,57.66,3080700,57.43
2013-04-12,60.08,60.31,59.39,59.75,2444500,59.51
2013-04-11,60.06,60.78,59.95,60.48,3448400,60.24
2013-04-10,58.76,60.10,58.62,59.94,3645000,59.70
2013-04-09,58.18,58.88,57.95,58.48,2971000,58.25
2013-04-08,57.62,57.96,57.10,57.96,2499800,57.73
2013-04-05,56.17,57.62,55.88,57.57,4296800,57.34
2013-04-04,57.00,57.51,56.73,57.17,3342600,56.94
2013-04-03,58.72,58.81,56.76,56.91,4053800,56.68
2013-04-02,58.54,58.90,58.25,58.71,2386200,58.48
2013-04-01,59.14,59.29,58.15,58.23,2355100,58.00
2013-03-28,59.46,59.66,59.04,59.09,3358600,58.85
2013-03-27,59.06,59.44,58.71,59.41,3159800,59.17
2013-03-26,59.70,60.08,59.40,59.76,2599000,59.26
2013-03-25,60.16,60.20,59.04,59.32,2534100,58.83
2013-03-22,59.30,59.78,59.00,59.77,2652500,59.27
2013-03-21,60.23,60.24,58.82,59.00,2894300,58.51
2013-03-20,59.64,60.65,59.53,60.53,4200800,60.03
2013-03-19,59.56,59.81,58.74,59.26,2780600,58.77
2013-03-18,59.31,59.64,59.01,59.31,2410800,58.82
2013-03-15,59.93,60.29,59.70,60.03,6325800,59.53
2013-03-14,59.91,60.11,59.78,59.95,2564600,59.45
2013-03-13,59.17,59.85,59.10,59.81,2061000,59.31
2013-03-12,59.33,59.56,58.85,59.13,1842300,58.64
2013-03-11,58.96,59.45,58.60,59.38,2189800,58.89
2013-03-08,59.07,59.72,58.95,59.20,3499000,58.71
2013-03-07,58.69,58.92,58.26,58.66,3355200,58.17
2013-03-06,57.89,59.23,57.76,58.66,5271500,58.17
2013-03-05,57.32,58.02,57.32,57.50,3838900,57.02
2013-03-04,56.29,57.19,56.26,57.10,2398900,56.62
2013-03-01,56.24,56.76,55.76,56.31,3773800,55.84
2013-02-28,56.87,57.35,56.52,56.59,5290800,56.12
2013-02-27,56.93,57.20,56.53,56.97,4318700,56.50
2013-02-26,56.57,57.01,56.17,56.90,4067500,56.43
2013-02-25,57.19,58.15,56.20,56.20,6055600,55.73
2013-02-22,56.81,57.25,56.66,57.19,4580300,56.71
2013-02-21,56.51,56.70,55.83,56.09,3406600,55.62
2013-02-20,57.26,57.58,56.69,56.73,3697200,56.26
2013-02-19,56.69,57.60,56.27,57.54,3678200,57.06
2013-02-15,57.35,57.72,57.00,57.24,3335100,56.76
2013-02-14,56.85,57.37,56.63,57.20,2288900,56.72
2013-02-13,57.00,57.13,56.79,57.07,2373900,56.59
2013-02-12,56.78,57.10,56.61,56.93,3501400,56.46
2013-02-11,56.60,57.64,56.24,56.60,7277300,56.13
2013-02-08,56.43,56.69,56.25,56.55,4450600,56.08
2013-02-07,56.50,56.84,55.94,56.23,4188900,55.76
2013-02-06,55.83,56.50,55.78,56.38,3091600,55.91
2013-02-05,55.94,56.50,55.59,56.17,3172500,55.70
2013-02-04,55.91,56.19,55.78,55.94,3836600,55.47
2013-02-01,56.10,56.59,55.91,56.36,3954100,55.89
2013-01-31,55.78,56.00,55.61,55.65,5534200,55.19
2013-01-30,56.05,56.33,55.87,55.92,4680000,55.45
2013-01-29,56.29,56.41,55.73,56.04,5826400,55.57
2013-01-28,55.96,56.56,55.79,56.39,5895800,55.92
2013-01-25,55.51,56.61,55.22,56.45,5530100,55.98
2013-01-24,55.33,55.88,55.19,55.52,4184100,55.06
2013-01-23,54.97,55.48,54.61,55.33,5413800,54.87
2013-01-22,53.42,55.88,53.24,55.25,10575000,54.79
2013-01-18,51.52,54.17,51.52,53.36,10615700,52.92
2013-01-17,50.11,50.75,50.06,50.38,5741500,49.96
2013-01-16,50.40,50.40,49.42,49.85,6710700,49.43
2013-01-15,50.79,51.33,50.58,50.80,5313900,50.38
2013-01-14,50.56,51.07,50.36,51.01,3876900,50.58
2013-01-11,50.20,50.67,50.10,50.58,4191100,50.16
2013-01-10,49.90,50.38,49.77,50.25,5841800,49.83
2013-01-09,49.29,49.74,49.25,49.51,4023800,49.10
2013-01-08,49.36,49.36,48.72,49.11,3433800,48.70
2013-01-07,49.18,49.48,48.82,49.44,4899100,49.03
2013-01-04,48.10,49.47,48.05,49.39,3500100,48.98
2013-01-03,48.13,48.21,47.77,48.06,4213200,47.66
2013-01-02,48.00,48.44,47.71,48.32,4812300,47.92
2012-12-31,46.00,47.06,45.86,47.01,3904600,46.62
2012-12-28,45.71,46.31,45.64,46.05,2820800,45.67
2012-12-27,46.51,46.54,45.76,46.32,3816300,45.70
2012-12-26,46.50,46.68,46.23,46.47,2720700,45.84
2012-12-24,46.40,46.65,46.24,46.38,1491000,45.76
2012-12-21,45.97,46.44,45.60,46.41,7871900,45.78
2012-12-20,46.53,46.60,46.24,46.55,3136400,45.92
2012-12-19,47.01,47.04,46.45,46.50,4836600,45.87
