Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,46.43,46.70,46.24,46.68,2474800,46.68
2013-07-11,46.37,46.50,45.79,46.31,3021300,46.31
2013-07-10,45.75,46.16,45.38,45.83,3164800,45.83
2013-07-09,45.48,46.00,45.32,45.73,2552900,45.73
2013-07-08,46.00,46.42,45.39,45.45,3401600,45.45
2013-07-05,45.62,45.93,45.09,45.72,2622700,45.72
2013-07-03,44.96,45.46,44.57,45.10,1948400,45.10
2013-07-02,45.60,45.84,44.86,45.22,2711900,45.22
2013-07-01,45.49,45.78,45.12,45.47,2837700,45.47
2013-06-28,44.50,45.50,44.24,44.83,3896300,44.83
2013-06-27,43.38,44.99,43.21,44.69,4063500,44.69
2013-06-26,42.78,43.07,42.28,42.70,2784600,42.70
2013-06-25,41.90,42.61,41.44,42.40,3339100,42.40
2013-06-24,41.96,42.00,40.68,41.23,3867400,41.23
2013-06-21,43.17,43.17,41.91,42.25,5996100,42.25
2013-06-20,43.86,44.06,42.40,42.84,5166500,42.84
2013-06-19,44.74,45.05,44.13,44.38,3490300,44.38
2013-06-18,44.18,45.05,44.04,44.99,4571800,44.99
2013-06-17,43.96,44.44,43.75,44.01,3120800,44.01
2013-06-14,44.02,44.32,43.58,43.72,2605500,43.72
2013-06-13,43.67,44.10,43.15,43.98,2932100,43.98
2013-06-12,44.36,44.62,43.41,43.57,3389700,43.57
2013-06-11,43.59,44.61,43.51,43.94,4211000,43.94
2013-06-10,43.69,44.13,43.15,43.97,3943400,43.97
2013-06-07,44.39,44.46,43.63,44.01,3292700,44.01
2013-06-06,43.71,44.12,43.21,44.12,4185400,44.12
2013-06-05,44.73,44.83,43.38,43.69,4269600,43.69
2013-06-04,44.02,45.00,44.02,44.74,5100100,44.74
2013-06-03,43.15,44.00,42.67,43.96,4042500,43.96
2013-05-31,43.59,43.85,43.07,43.08,6208700,43.08
2013-05-30,43.90,44.44,43.57,43.67,3707000,43.67
2013-05-29,42.70,43.99,42.69,43.76,4026200,43.76
2013-05-28,43.55,43.60,43.03,43.11,3407300,43.11
2013-05-24,42.72,43.04,42.24,42.85,2749900,42.85
2013-05-23,42.25,43.60,41.64,42.99,7468800,42.99
2013-05-22,41.15,42.88,41.15,42.17,7497600,42.17
2013-05-21,41.04,41.52,40.78,41.52,3118900,41.52
2013-05-20,41.11,41.19,40.71,41.04,4386900,41.04
2013-05-17,40.92,41.48,40.59,41.47,4901200,41.47
2013-05-16,40.74,41.14,40.47,40.59,6561700,40.59
2013-05-15,40.90,40.99,40.47,40.61,7891900,40.61
2013-05-14,40.49,41.20,40.15,40.85,5263900,40.85
2013-05-13,40.03,40.90,39.97,40.27,4013400,40.27
2013-05-10,40.29,40.72,40.05,40.50,4252700,40.12
2013-05-09,40.91,41.40,40.11,40.33,10508500,39.95
2013-05-08,42.18,42.50,41.50,42.32,5394100,41.92
2013-05-07,42.05,42.49,41.56,42.32,5535200,41.92
2013-05-06,41.27,42.24,41.27,41.97,7023400,41.58
2013-05-03,40.00,41.52,39.89,41.23,8594800,40.84
2013-05-02,38.06,39.92,38.05,39.63,14001200,39.26
2013-05-01,36.80,37.22,36.41,36.94,6202800,36.59
2013-04-30,36.19,36.70,35.99,36.70,5548700,36.36
2013-04-29,36.48,36.73,35.86,36.22,4811600,35.88
2013-04-26,36.47,36.75,36.21,36.40,6434600,36.06
2013-04-25,37.01,37.85,36.34,36.54,8986100,36.20
2013-04-24,36.22,37.13,36.08,36.46,6283000,36.12
2013-04-23,35.30,36.24,35.10,36.03,4746500,35.69
2013-04-22,34.50,35.22,34.35,34.81,3384000,34.48
2013-04-19,33.77,34.54,33.22,34.44,5205900,34.12
2013-04-18,34.89,35.15,33.69,33.93,5917500,33.61
2013-04-17,35.01,35.27,34.08,34.72,4970100,34.39
2013-04-16,34.98,35.85,34.80,35.34,4611800,35.01
2013-04-15,35.79,36.55,34.57,34.80,6120800,34.47
2013-04-12,36.49,36.60,35.84,36.09,3970200,35.75
2013-04-11,36.99,37.04,35.75,36.53,7282100,36.19
2013-04-10,37.18,37.90,37.00,37.68,5664800,37.33
2013-04-09,36.00,37.27,35.95,36.96,5694200,36.61
2013-04-08,35.81,36.25,35.18,35.98,3671200,35.64
