Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,81.34,82.35,81.12,82.30,888300,82.30
2013-07-11,81.23,81.75,80.91,81.53,883200,81.53
2013-07-10,80.49,80.95,79.53,79.96,984300,79.96
2013-07-09,79.87,81.06,79.87,80.58,781200,80.58
2013-07-08,79.66,79.81,79.14,79.31,666300,79.31
2013-07-05,78.72,79.15,78.18,79.07,475600,79.07
2013-07-03,77.50,78.18,77.01,77.91,334800,77.91
2013-07-02,78.23,78.89,77.51,77.78,916800,77.78
2013-07-01,77.91,78.80,77.77,78.35,677800,78.35
2013-06-28,77.96,78.07,77.09,77.30,1107600,77.30
2013-06-27,77.53,78.40,77.44,78.12,973000,78.12
2013-06-26,77.11,77.40,76.62,76.83,672400,76.83
2013-06-25,76.00,76.67,75.90,76.46,832500,76.46
2013-06-24,75.27,75.90,73.77,75.05,1664900,75.05
2013-06-21,77.52,77.74,75.55,76.00,1736900,76.00
2013-06-20,78.76,78.76,76.94,77.16,1034500,77.16
2013-06-19,80.99,81.04,79.38,79.38,1102900,79.38
2013-06-18,80.21,81.38,79.80,80.98,941400,80.98
2013-06-17,80.06,80.57,79.56,80.04,766100,80.04
2013-06-14,79.35,80.04,79.09,79.42,501100,79.42
2013-06-13,78.59,79.68,78.03,79.45,1021600,79.45
2013-06-12,80.32,80.36,78.52,78.68,687800,78.68
2013-06-11,78.89,80.38,78.43,79.54,973600,79.54
2013-06-10,79.84,80.01,79.09,79.81,682600,79.81
2013-06-07,78.87,79.87,78.85,79.69,627900,79.69
2013-06-06,77.45,78.60,77.03,78.43,867900,78.43
2013-06-05,78.51,78.57,77.01,77.26,1124300,77.26
2013-06-04,79.35,79.80,78.21,78.64,990500,78.64
2013-06-03,79.15,79.41,78.06,79.35,1396200,79.35
2013-05-31,80.02,80.50,79.15,79.22,1335100,78.73
2013-05-30,80.30,81.02,79.74,80.24,962700,79.74
2013-05-29,79.41,81.30,78.92,80.85,1614300,80.35
2013-05-28,79.44,80.07,79.16,79.87,1609100,79.38
2013-05-24,79.19,79.29,78.42,78.74,776300,78.25
2013-05-23,80.42,80.57,78.88,79.66,1712500,79.17
2013-05-22,82.07,83.26,81.00,81.23,1534600,80.73
