Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,38.47,38.75,38.21,38.74,2602400,38.74
2013-07-11,39.23,39.61,38.28,38.51,3746400,38.51
2013-07-10,38.81,39.02,38.47,38.78,2705800,38.78
2013-07-09,38.56,38.81,38.31,38.73,2645700,38.73
2013-07-08,38.17,38.49,38.02,38.23,2340300,38.23
2013-07-05,37.91,37.92,37.37,37.91,1930500,37.91
2013-07-03,37.61,37.78,37.05,37.63,1387800,37.63
2013-07-02,36.83,37.98,36.67,37.60,2856100,37.60
2013-07-01,36.79,36.92,36.43,36.71,3605600,36.71
2013-06-28,36.24,36.61,35.88,36.53,6520500,36.53
2013-06-27,36.26,37.60,36.25,36.35,4531000,36.35
2013-06-26,36.78,37.15,36.34,36.97,2158100,36.97
2013-06-25,36.42,36.66,36.01,36.50,2504600,36.50
2013-06-24,35.64,36.31,34.84,35.94,3891500,35.94
2013-06-21,36.16,36.31,35.53,36.12,3126000,36.12
2013-06-20,37.05,37.05,35.86,35.98,2754000,35.98
2013-06-19,38.19,38.28,37.51,37.57,2414200,37.57
2013-06-18,37.53,38.11,37.36,38.03,2878200,38.03
2013-06-17,36.89,37.77,36.89,37.50,2946300,37.50
2013-06-14,37.00,37.37,36.26,36.54,2245600,36.54
2013-06-13,36.55,37.12,36.33,36.96,2298000,36.96
2013-06-12,37.46,37.48,36.47,36.56,1555700,36.56
2013-06-11,37.86,37.86,37.08,37.12,1680500,37.12
2013-06-10,38.34,38.49,37.95,38.36,2520700,38.36
2013-06-07,37.30,38.31,37.20,38.29,2148800,38.29
2013-06-06,37.54,37.71,36.42,37.08,3002800,37.08
2013-06-05,37.80,37.92,37.37,37.63,2783300,37.63
2013-06-04,37.95,38.11,37.51,37.87,3225100,37.87
2013-06-03,37.77,38.34,37.63,38.07,2594300,38.07
2013-05-31,38.26,38.60,37.69,37.69,3134400,37.69
2013-05-30,38.40,38.71,38.13,38.43,2384600,38.43
2013-05-29,38.34,38.85,38.24,38.47,1968000,38.47
2013-05-28,38.68,38.77,38.14,38.61,2812100,38.61
2013-05-24,38.60,38.79,37.82,38.08,2096700,38.08
2013-05-23,38.36,39.07,37.94,38.83,3321200,38.83
2013-05-22,39.26,39.65,38.65,38.81,5619100,38.81
2013-05-21,39.71,40.34,39.53,39.58,3843200,39.58
2013-05-20,38.86,39.77,38.86,39.57,3975900,39.57
2013-05-17,38.06,38.95,38.00,38.86,3497500,38.86
2013-05-16,37.74,38.31,37.74,37.97,5076300,37.97
