Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,24.84,24.93,24.46,24.55,2922600,24.55
2013-07-11,24.86,24.94,24.53,24.90,3986000,24.90
2013-07-10,25.02,25.13,24.45,24.45,3967900,24.45
2013-07-09,24.65,25.23,24.60,24.98,6362000,24.98
2013-07-08,24.27,24.45,24.25,24.43,4190200,24.43
2013-07-05,23.73,24.28,23.67,24.24,3058900,24.24
2013-07-03,23.62,23.75,23.42,23.58,1812200,23.58
2013-07-02,23.23,23.91,23.23,23.68,2652200,23.68
2013-07-01,23.63,23.70,23.17,23.30,3535500,23.30
2013-06-28,23.62,23.96,23.58,23.66,2888200,23.66
2013-06-27,23.62,24.09,23.48,23.85,3727000,23.85
2013-06-26,23.29,23.77,23.26,23.56,3987700,23.56
2013-06-25,22.95,23.24,22.84,23.09,3340100,23.09
2013-06-24,22.68,23.09,22.36,22.74,3824900,22.74
2013-06-21,22.99,23.15,22.35,22.82,6756700,22.82
2013-06-20,23.36,23.64,22.80,22.92,6802600,22.92
2013-06-19,23.90,24.10,23.54,23.56,9699600,23.56
2013-06-18,24.28,24.39,23.90,23.94,4711200,23.94
2013-06-17,24.47,24.60,24.04,24.32,5834200,24.12
2013-06-14,24.79,24.90,23.87,24.36,13330700,24.16
2013-06-13,27.37,27.45,24.60,24.82,41992900,24.62
2013-06-12,23.33,23.48,23.07,23.11,7133800,22.92
2013-06-11,22.78,23.57,22.78,23.31,6709600,23.12
2013-06-10,22.71,23.28,22.66,23.03,6669500,22.84
2013-06-07,22.45,22.91,22.42,22.71,6293000,22.52
2013-06-06,22.47,22.80,22.26,22.53,3737100,22.34
2013-06-05,22.89,22.91,22.36,22.47,4358800,22.29
2013-06-04,23.23,23.57,22.77,22.97,4084900,22.78
2013-06-03,23.00,23.21,22.64,23.20,3278800,23.01
2013-05-31,23.25,23.45,23.01,23.01,3374300,22.82
2013-05-30,23.57,23.67,23.22,23.29,1910900,23.10
2013-05-29,23.22,23.64,23.13,23.56,2827600,23.37
2013-05-28,23.39,23.69,23.09,23.39,3829100,23.20
2013-05-24,23.28,23.39,22.93,23.18,3640900,22.99
2013-05-23,23.34,23.50,22.70,23.39,8326600,23.20
2013-05-22,24.36,24.50,23.27,23.39,6574600,23.20
2013-05-21,24.46,24.60,23.63,24.31,6022100,24.11
2013-05-20,25.17,25.19,24.23,24.36,6760700,24.16
2013-05-17,25.03,25.42,25.01,25.15,4273000,24.94
2013-05-16,25.44,25.67,24.84,25.01,4422600,24.80
2013-05-15,25.25,25.55,24.92,25.47,4381800,25.26
2013-05-14,24.60,25.54,24.59,25.45,5398600,25.24
2013-05-13,24.51,24.69,24.20,24.65,3038800,24.45
2013-05-10,24.13,24.64,24.05,24.46,3997000,24.26
2013-05-09,24.20,24.36,24.01,24.16,2869600,23.96
2013-05-08,24.28,24.28,23.94,24.24,4845900,24.04
2013-05-07,23.78,24.15,23.65,24.13,4303200,23.93
2013-05-06,23.91,23.91,23.52,23.74,2720700,23.54
2013-05-03,23.58,24.12,23.47,23.95,3934300,23.75
2013-05-02,22.72,23.51,22.63,23.39,7289100,23.20
2013-05-01,22.49,22.88,22.30,22.70,6132700,22.51
2013-04-30,23.35,23.36,22.32,22.52,10694100,22.33
2013-04-29,23.39,23.59,22.33,23.51,10406400,23.32
2013-04-26,24.16,24.54,23.11,23.31,8943700,23.12
2013-04-25,26.70,26.70,22.90,24.32,24112600,24.12
2013-04-24,27.81,28.42,27.76,28.26,7059600,28.03
2013-04-23,27.40,27.84,27.38,27.76,4866100,27.53
2013-04-22,26.52,27.58,26.41,27.36,5060400,27.13
2013-04-19,26.70,26.73,26.29,26.55,4895400,26.33
2013-04-18,26.42,26.70,26.30,26.62,5668600,26.40
2013-04-17,26.55,26.60,25.90,26.37,2622700,26.15
2013-04-16,26.63,26.73,26.37,26.63,3051200,26.41
2013-04-15,26.78,26.87,26.35,26.35,3264300,26.13
2013-04-12,26.34,27.00,26.27,26.85,4925200,26.63
2013-04-11,25.98,26.76,25.92,26.68,6366100,26.46
2013-04-10,25.59,26.00,25.54,25.92,6350300,25.71
2013-04-09,25.02,25.75,25.02,25.62,3518200,25.41
