Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,23.69,23.85,23.43,23.83,5371300,23.83
2013-07-11,23.41,23.66,23.26,23.65,5317000,23.65
2013-07-10,22.84,23.13,22.81,23.10,3653800,23.10
2013-07-09,22.93,22.99,22.56,22.85,4753100,22.85
2013-07-08,23.07,23.12,22.65,22.79,4985200,22.79
2013-07-05,22.58,23.02,22.46,23.02,5639700,23.02
2013-07-03,22.27,22.59,22.22,22.36,3547900,22.36
2013-07-02,22.54,22.80,22.39,22.44,5667800,22.44
2013-07-01,22.54,22.74,22.46,22.48,5915100,22.48
2013-06-28,22.42,22.53,22.21,22.48,13769100,22.48
2013-06-27,22.61,22.73,22.41,22.50,9281400,22.50
2013-06-26,22.33,22.56,22.28,22.52,7549300,22.52
2013-06-25,22.27,22.35,21.95,22.10,5679900,22.10
2013-06-24,22.17,22.42,21.91,22.01,8386800,22.01
2013-06-21,22.54,22.55,21.99,22.23,13174300,22.23
2013-06-20,22.50,22.63,22.29,22.39,9023600,22.39
2013-06-19,22.72,22.99,22.65,22.70,8798000,22.70
2013-06-18,22.32,22.81,22.32,22.73,11890700,22.73
2013-06-17,22.37,22.46,22.20,22.33,7110500,22.33
2013-06-14,22.55,22.66,22.32,22.36,7893200,22.21
2013-06-13,22.10,22.54,21.98,22.49,9999700,22.34
2013-06-12,22.23,22.51,22.12,22.18,11250300,22.03
2013-06-11,22.13,22.44,21.85,22.01,12724200,21.86
2013-06-10,22.17,22.35,21.91,22.25,9544000,22.10
2013-06-07,22.06,22.33,21.92,22.19,9648700,22.04
2013-06-06,21.59,21.88,21.41,21.85,9890900,21.70
2013-06-05,21.73,22.00,21.60,21.62,9620700,21.47
2013-06-04,22.29,22.41,21.90,21.90,12670300,21.75
2013-06-03,22.41,22.56,22.11,22.40,11005800,22.25
2013-05-31,22.80,22.83,22.39,22.39,11305600,22.24
2013-05-30,22.80,23.06,22.71,22.95,7356900,22.80
2013-05-29,22.69,23.00,22.47,22.88,12459400,22.73
2013-05-28,23.01,23.15,22.77,22.90,8651000,22.75
2013-05-24,22.94,23.01,22.30,22.85,9596000,22.70
2013-05-23,23.48,23.54,22.99,23.06,13556500,22.91
2013-05-22,24.06,24.15,23.49,23.62,10649100,23.46
2013-05-21,24.33,24.39,24.02,24.03,7951000,23.87
2013-05-20,24.22,24.32,24.06,24.15,8210500,23.99
2013-05-17,24.37,24.50,24.18,24.30,7196700,24.14
2013-05-16,24.61,24.69,24.25,24.30,31033700,24.14
2013-05-15,24.33,24.69,24.33,24.66,9034800,24.49
2013-05-14,24.22,24.55,24.22,24.52,10082600,24.36
2013-05-13,24.33,24.33,23.95,24.22,11321200,24.06
2013-05-10,24.41,24.50,24.21,24.35,7012500,24.19
2013-05-09,24.50,24.53,24.18,24.37,7349500,24.21
2013-05-08,23.86,24.55,23.54,24.49,21491300,24.33
2013-05-07,25.00,25.26,24.89,25.10,10302000,24.93
2013-05-06,24.81,25.00,24.64,24.95,7334100,24.78
2013-05-03,24.74,25.00,24.58,24.84,7049500,24.67
2013-05-02,24.36,24.69,24.12,24.56,5622800,24.40
2013-05-01,24.24,24.60,24.24,24.35,4147000,24.19
2013-04-30,24.48,24.54,21.93,24.30,10019600,24.14
2013-04-29,24.45,24.74,24.42,24.59,6972300,24.43
2013-04-26,24.45,24.54,24.30,24.42,3994700,24.26
2013-04-25,24.50,24.62,24.19,24.45,8204400,24.29
2013-04-24,24.15,24.49,24.15,24.37,5624700,24.21
2013-04-23,23.89,24.29,23.71,24.16,6834300,24.00
2013-04-22,23.70,23.77,23.41,23.67,6876400,23.51
2013-04-19,23.52,23.72,23.34,23.55,6877100,23.39
2013-04-18,23.85,23.85,23.41,23.56,6307200,23.40
2013-04-17,24.00,24.02,23.40,23.78,8357300,23.62
