Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,35.36,35.61,35.29,35.60,2006700,35.60
2013-07-11,35.25,35.49,35.23,35.45,1964200,35.45
2013-07-10,34.95,35.15,34.71,34.95,2309900,34.95
2013-07-09,34.79,35.30,34.70,35.02,2664200,35.02
2013-07-08,34.21,34.71,34.17,34.68,2433600,34.68
2013-07-05,33.95,34.06,33.59,33.94,1434100,33.94
2013-07-03,33.96,34.03,33.75,33.75,1362400,33.75
2013-07-02,33.93,34.31,33.80,34.03,2570700,34.03
2013-07-01,34.23,34.49,34.18,34.32,2919100,34.04
2013-06-28,34.28,34.48,34.15,34.16,2984100,33.88
2013-06-27,34.26,34.59,34.21,34.29,1563300,34.01
2013-06-26,34.03,34.29,34.01,34.10,2201500,33.82
2013-06-25,33.86,34.00,33.65,33.88,2026200,33.60
2013-06-24,33.49,33.97,33.36,33.66,2487000,33.39
2013-06-21,33.62,33.89,33.40,33.68,5854800,33.41
2013-06-20,34.00,34.05,33.35,33.40,3817500,33.13
2013-06-19,34.77,34.79,34.13,34.15,2393700,33.87
2013-06-18,34.68,34.74,34.43,34.74,2170200,34.46
2013-06-17,34.60,34.84,34.54,34.69,2507100,34.41
2013-06-14,34.49,34.80,34.28,34.47,1892800,34.19
2013-06-13,34.29,34.60,34.06,34.55,3116700,34.27
2013-06-12,34.27,34.45,34.14,34.16,2667200,33.88
2013-06-11,33.89,34.31,33.89,34.13,3756100,33.85
2013-06-10,33.85,34.23,33.70,34.08,3933900,33.80
2013-06-07,33.56,33.89,33.53,33.76,3953900,33.48
2013-06-06,33.38,33.51,33.14,33.39,4479400,33.12
2013-06-05,34.10,34.22,33.34,33.35,3667700,33.08
2013-06-04,33.83,34.31,33.83,34.18,4069100,33.90
2013-06-03,33.79,34.01,33.07,33.89,4383500,33.61
2013-05-31,34.01,34.22,33.76,33.80,4616100,33.52
2013-05-30,34.07,34.39,34.01,34.10,2787700,33.82
2013-05-29,34.73,34.75,33.97,34.10,4178700,33.82
2013-05-28,35.07,35.32,34.87,34.98,2401700,34.69
2013-05-24,34.43,34.90,34.38,34.82,2588400,34.54
2013-05-23,34.90,35.06,34.36,34.56,6312900,34.28
2013-05-22,35.04,35.38,34.92,35.07,2817000,34.78
2013-05-21,34.77,35.16,34.72,35.08,2743600,34.79
2013-05-20,35.11,35.21,34.79,34.85,1526500,34.57
2013-05-17,34.90,35.16,34.85,35.14,1941400,34.85
2013-05-16,35.00,35.24,34.83,34.89,2228400,34.61
2013-05-15,34.76,35.31,34.76,35.13,3245400,34.84
2013-05-14,34.33,34.84,34.31,34.75,4502400,34.47
2013-05-13,34.22,34.53,34.16,34.26,2291800,33.98
2013-05-10,34.17,34.39,34.10,34.20,2099800,33.92
2013-05-09,34.42,34.52,34.10,34.16,3602400,33.88
