Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,51.76,51.76,51.04,51.30,1413000,51.30
2013-07-11,50.90,51.94,50.79,51.90,1748100,51.90
2013-07-10,50.33,50.59,49.76,50.33,1605500,50.33
2013-07-09,48.48,50.36,48.47,50.33,2336300,50.33
2013-07-08,47.87,48.47,47.79,48.21,1322500,48.21
2013-07-05,47.79,47.92,47.17,47.65,548800,47.65
2013-07-03,47.67,47.77,47.16,47.54,884300,47.54
2013-07-02,48.07,48.32,47.66,48.07,1222200,48.07
2013-07-01,48.18,48.47,48.01,48.16,958700,48.16
2013-06-28,48.47,48.65,47.82,47.86,1581300,47.86
2013-06-27,48.79,49.15,48.48,48.56,1057100,48.56
2013-06-26,48.53,48.71,48.09,48.47,1067500,48.47
2013-06-25,48.37,48.37,47.54,48.11,907600,48.11
2013-06-24,47.15,48.33,46.94,47.90,1448400,47.90
2013-06-21,48.10,48.33,47.00,47.79,2306300,47.79
2013-06-20,48.72,48.87,47.52,47.62,2125800,47.62
2013-06-19,49.90,50.59,49.14,49.14,2057900,49.14
2013-06-18,49.97,50.10,49.75,49.84,1134600,49.84
2013-06-17,49.82,50.65,49.52,49.99,1408300,49.99
2013-06-14,49.84,50.11,49.45,49.59,1143500,49.59
2013-06-13,49.56,49.94,49.18,49.84,1466700,49.84
2013-06-12,50.89,51.07,49.60,49.60,1077600,49.60
2013-06-11,50.44,51.02,50.12,50.58,1018700,50.58
2013-06-10,50.71,51.19,50.39,51.18,1202400,51.18
2013-06-07,49.87,50.72,49.60,50.66,1052900,50.66
2013-06-06,49.88,50.05,48.98,49.53,1255400,49.53
2013-06-05,50.22,50.58,49.78,49.82,1258900,49.82
2013-06-04,49.69,50.49,49.60,50.38,1291600,50.38
2013-06-03,49.68,50.19,49.01,49.59,1732000,49.59
2013-05-31,50.88,50.88,49.39,49.41,1666200,49.41
2013-05-30,51.01,51.39,50.99,51.05,876700,51.05
2013-05-29,51.13,51.53,50.99,51.03,1385700,51.03
2013-05-28,52.01,52.37,51.35,51.88,1369000,51.56
2013-05-24,51.23,51.84,51.02,51.56,903000,51.24
2013-05-23,51.35,51.68,50.96,51.28,1377800,50.96
2013-05-22,52.48,52.84,51.64,51.69,1641500,51.37
2013-05-21,52.87,52.89,52.16,52.57,1050700,52.25
2013-05-20,53.10,53.12,52.61,52.90,1007300,52.57
2013-05-17,52.83,53.35,52.48,53.32,1515000,52.99
2013-05-16,51.91,53.10,51.75,52.74,2655100,52.41
2013-05-15,50.96,51.14,50.62,51.06,1153500,50.75
2013-05-14,50.08,51.13,49.91,51.09,1323600,50.77
2013-05-13,50.08,50.30,49.75,50.29,1009500,49.98
2013-05-10,49.65,50.09,49.51,50.08,734700,49.77
2013-05-09,49.51,49.85,49.13,49.49,1808300,49.18
2013-05-08,50.65,50.70,49.63,49.70,1456100,49.39
2013-05-07,50.00,50.80,48.85,50.72,2537300,50.41
2013-05-06,51.20,51.20,50.38,50.97,965500,50.66
2013-05-03,50.75,51.42,50.58,51.31,787900,50.99
2013-05-02,50.96,51.15,50.36,50.42,1193200,50.11
2013-05-01,51.57,51.83,50.94,50.97,780700,50.66
2013-04-30,51.29,51.62,50.60,51.60,1079900,51.28
2013-04-29,51.23,51.71,51.18,51.51,941200,51.19
2013-04-26,51.21,51.36,50.79,51.01,816500,50.70
2013-04-25,51.90,52.07,51.24,51.31,1189300,50.99
2013-04-24,52.83,53.10,51.58,51.63,1761300,51.31
2013-04-23,52.33,53.07,52.12,53.02,1473200,52.69
2013-04-22,52.52,52.71,51.85,52.08,1177100,51.76
