Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,43.62,44.13,43.36,43.81,754400,43.81
2013-07-11,43.62,43.73,43.17,43.60,1070200,43.60
2013-07-10,43.93,44.22,43.02,43.17,1508700,43.17
2013-07-09,43.48,44.12,43.04,43.92,1523000,43.92
2013-07-08,43.50,43.86,43.10,43.35,992700,43.35
2013-07-05,43.98,44.15,42.97,43.28,1086800,43.28
2013-07-03,44.89,44.89,43.00,43.64,2859600,43.64
2013-07-02,46.10,46.24,45.40,45.62,969600,45.62
2013-07-01,46.64,47.08,46.07,46.23,1192700,46.23
2013-06-28,46.52,46.68,45.67,46.10,2200900,46.10
2013-06-27,45.63,47.17,45.63,46.80,1792000,46.80
2013-06-26,45.20,45.94,44.61,45.38,1689200,45.38
2013-06-25,44.27,45.12,44.23,44.94,2360200,44.94
2013-06-24,44.30,46.20,42.47,43.73,6332500,43.73
2013-06-21,42.91,43.05,41.16,41.85,2247900,41.85
2013-06-20,43.79,43.80,42.38,42.53,1555000,42.53
2013-06-19,45.73,45.74,43.94,44.11,2267600,44.11
2013-06-18,45.46,45.93,45.34,45.83,849900,45.83
2013-06-17,46.92,46.92,45.46,45.52,1534900,45.52
2013-06-14,47.00,47.33,46.55,46.67,773400,46.67
2013-06-13,46.00,47.20,45.41,47.13,1475000,47.13
2013-06-12,46.82,47.00,45.99,46.09,791000,46.09
2013-06-11,45.88,46.60,45.49,46.07,1012300,46.07
2013-06-10,46.67,47.00,46.27,46.45,997200,46.45
2013-06-07,46.14,46.66,45.99,46.58,1184600,46.58
2013-06-06,44.63,45.76,44.50,45.76,1685500,45.76
2013-06-05,45.89,45.89,44.18,44.37,1852600,44.37
2013-06-04,47.00,47.71,45.61,45.96,1970800,45.96
2013-06-03,47.56,47.88,45.92,47.04,1659700,47.04
2013-05-31,46.96,48.62,46.89,47.37,2399000,47.37
2013-05-30,45.89,47.64,45.81,47.17,1549100,47.17
2013-05-29,46.26,46.41,45.13,45.75,1266000,45.75
2013-05-28,45.53,46.97,45.52,46.64,1645500,46.64
