Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,68.08,69.28,68.08,69.24,584800,69.24
2013-07-11,69.39,69.49,68.59,68.88,548500,68.88
2013-07-10,67.85,68.75,67.80,68.58,379600,68.58
2013-07-09,68.10,68.42,67.96,68.06,544800,68.06
2013-07-08,67.45,67.99,67.40,67.64,394500,67.64
2013-07-05,66.40,67.09,66.30,67.08,417500,67.08
2013-07-03,65.60,66.26,65.58,65.83,224800,65.83
2013-07-02,65.68,66.11,65.47,65.94,462300,65.94
2013-07-01,65.48,66.00,65.45,65.83,470000,65.66
2013-06-28,65.03,65.54,64.77,65.14,541800,64.97
2013-06-27,65.42,65.83,65.15,65.72,347600,65.55
2013-06-26,65.02,65.30,64.57,65.04,213400,64.87
2013-06-25,64.40,64.79,63.70,64.60,371900,64.43
2013-06-24,63.96,64.20,63.39,63.84,419600,63.68
2013-06-21,65.14,65.14,64.23,64.55,527800,64.38
2013-06-20,64.37,65.21,64.10,64.63,604000,64.46
2013-06-19,65.33,65.88,64.80,64.80,371700,64.63
2013-06-18,65.39,65.40,64.71,65.27,513400,65.10
2013-06-17,65.08,65.56,65.03,65.39,488600,65.22
2013-06-14,65.24,65.26,64.27,64.66,332300,64.49
2013-06-13,64.54,65.44,64.20,65.29,390500,65.12
2013-06-12,64.68,65.41,64.37,64.50,715200,64.33
2013-06-11,63.45,65.03,63.45,64.37,377100,64.20
2013-06-10,65.04,65.34,64.92,65.11,389800,64.94
2013-06-07,64.38,65.00,64.01,64.96,386300,64.79
2013-06-06,62.77,63.96,62.51,63.96,526200,63.79
2013-06-05,63.03,63.25,62.53,62.75,587200,62.59
2013-06-04,64.24,64.65,62.75,63.27,914200,63.11
2013-06-03,64.41,64.50,63.14,64.24,625100,64.07
2013-05-31,65.21,65.74,64.51,64.51,569000,64.34
2013-05-30,64.64,65.64,64.61,65.39,418600,65.22
2013-05-29,64.31,64.87,64.06,64.59,379300,64.42
2013-05-28,64.87,65.38,64.37,64.68,597700,64.51
2013-05-24,64.05,64.31,63.43,64.26,237900,64.09
2013-05-23,63.70,64.54,63.56,64.34,537700,64.17
2013-05-22,64.85,65.53,64.22,64.44,667000,64.27
2013-05-21,65.16,65.33,64.80,65.17,452500,65.00
2013-05-20,64.74,65.17,64.48,65.17,458800,65.00
2013-05-17,64.68,65.12,64.68,64.86,708300,64.69
2013-05-16,65.21,65.26,64.40,64.56,575000,64.39
2013-05-15,64.77,65.49,64.54,65.37,475100,65.20
2013-05-14,64.15,64.89,63.89,64.89,736000,64.72
2013-05-13,64.06,64.34,63.78,64.18,355000,64.01
2013-05-10,64.08,64.25,63.72,64.20,439800,64.03
2013-05-09,64.21,64.28,63.79,64.07,580600,63.90
2013-05-08,63.43,64.20,63.41,64.20,682600,64.03
2013-05-07,62.99,63.56,62.94,63.53,413400,63.37
2013-05-06,62.60,63.16,62.57,63.00,345700,62.84
2013-05-03,62.90,63.01,62.56,62.63,573200,62.47
2013-05-02,61.56,62.25,60.85,62.23,450100,62.07
2013-05-01,61.24,62.15,61.24,61.31,459500,61.15
2013-04-30,61.73,62.28,61.53,62.07,629700,61.91
2013-04-29,61.40,61.98,61.13,61.90,362500,61.74
2013-04-26,61.45,61.68,60.95,61.31,393900,61.15
2013-04-25,60.93,61.74,60.45,61.42,671400,61.26
2013-04-24,60.43,61.07,59.72,60.67,593500,60.51
2013-04-23,59.36,60.28,59.14,60.11,509700,59.95
2013-04-22,59.33,59.44,58.56,59.25,360700,59.10
2013-04-19,58.79,59.33,58.54,59.30,454500,59.15
2013-04-18,58.63,58.89,58.18,58.67,776600,58.52
2013-04-17,59.07,59.24,58.35,58.54,518400,58.39
2013-04-16,58.59,59.52,58.58,59.45,509100,59.30
2013-04-15,59.52,59.58,58.24,58.24,474800,58.09
2013-04-12,59.55,59.70,59.38,59.62,407000,59.47
2013-04-11,59.96,60.03,59.58,59.83,477900,59.68
2013-04-10,58.64,60.01,58.24,59.98,783100,59.83
2013-04-09,58.50,58.67,58.19,58.36,522800,58.21
2013-04-08,58.18,58.38,57.71,58.37,520300,58.22
2013-04-05,58.21,58.29,57.69,58.14,564900,57.99
2013-04-04,58.51,59.02,58.39,58.97,573400,58.82
2013-04-03,59.48,59.48,58.16,58.33,702100,58.18
2013-04-02,59.66,59.89,59.31,59.62,538300,59.30
2013-04-01,59.83,59.97,59.13,59.46,386700,59.14
2013-03-28,59.24,59.86,59.24,59.80,728700,59.48
2013-03-27,58.96,59.40,58.86,59.34,429700,59.02
2013-03-26,59.47,59.47,59.07,59.32,401400,59.00
2013-03-25,59.47,59.54,58.82,59.18,300100,58.86
2013-03-22,59.07,59.29,58.86,59.29,318900,58.97
2013-03-21,58.86,59.16,58.62,58.92,351500,58.60
2013-03-20,59.07,59.64,58.91,59.17,534100,58.85
2013-03-19,58.80,59.06,58.40,58.73,277200,58.41
2013-03-18,58.71,59.24,58.54,58.66,482700,58.34
2013-03-15,59.44,59.69,58.97,59.36,735100,59.04
2013-03-14,59.54,59.75,59.27,59.63,774500,59.31
2013-03-13,58.79,59.42,58.71,59.39,412600,59.07
2013-03-12,58.79,58.88,58.59,58.77,353700,58.45
2013-03-11,58.18,58.79,58.12,58.78,423000,58.46
2013-03-08,58.25,58.66,58.05,58.35,526000,58.03
2013-03-07,57.86,58.13,57.63,57.95,492400,57.64
2013-03-06,57.60,57.94,57.49,57.83,416200,57.52
2013-03-05,57.01,57.58,56.99,57.41,574600,57.10
2013-03-04,56.07,56.73,55.90,56.73,342500,56.42
2013-03-01,55.81,56.45,55.38,56.30,566900,55.99
2013-02-28,56.01,56.49,55.75,56.19,776000,55.89
2013-02-27,55.27,56.18,55.27,56.10,428100,55.80
2013-02-26,55.27,55.61,54.87,55.32,509300,55.02
2013-02-25,56.32,56.40,54.99,55.00,771600,54.70
2013-02-22,56.00,56.13,55.61,56.13,532200,55.83
2013-02-21,55.82,56.00,55.47,55.70,471700,55.40
2013-02-20,56.68,56.73,55.85,55.92,590800,55.62
2013-02-19,56.56,56.88,55.95,56.73,649300,56.42
2013-02-15,56.27,56.42,55.83,56.21,609700,55.90
2013-02-14,55.91,56.03,55.53,55.98,416900,55.68
2013-02-13,55.97,56.26,55.84,56.13,420400,55.83
2013-02-12,55.83,56.03,55.65,56.00,396600,55.70
2013-02-11,55.58,55.85,55.32,55.82,358800,55.52
2013-02-08,55.44,55.70,55.31,55.55,358400,55.25
2013-02-07,55.89,56.03,55.05,55.48,741400,55.18
2013-02-06,54.81,55.86,54.76,55.78,769500,55.48
2013-02-05,54.98,55.72,54.50,55.03,1088400,54.73
2013-02-04,55.66,55.95,55.34,55.38,516100,55.08
2013-02-01,56.26,56.43,55.95,56.02,627100,55.72
2013-01-31,55.58,55.76,55.25,55.71,674600,55.41
