Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,60.33,61.49,60.11,61.05,1265400,61.05
2013-07-11,62.34,62.56,59.74,60.44,2705300,60.44
2013-07-10,62.74,63.01,60.52,61.93,1746900,61.93
2013-07-09,63.54,63.75,62.24,62.74,1302200,62.74
2013-07-08,62.00,63.47,61.88,63.16,2060600,63.16
2013-07-05,60.85,61.74,60.37,61.70,1602300,61.70
2013-07-03,59.61,60.85,59.54,60.79,1203400,60.79
2013-07-02,60.91,61.13,60.00,60.23,1817200,60.23
2013-07-01,61.45,61.78,60.11,61.07,2544100,61.07
2013-06-28,60.76,61.56,60.47,60.87,4314600,60.87
2013-06-27,62.17,62.72,60.55,60.84,2360100,60.84
2013-06-26,62.35,63.02,60.76,61.91,2344800,61.91
2013-06-25,61.12,61.83,60.79,61.53,926900,61.53
2013-06-24,59.48,61.23,58.74,60.68,1454700,60.68
2013-06-21,61.86,62.29,60.10,60.28,2821800,60.28
2013-06-20,62.70,63.69,61.32,61.52,1496600,61.52
2013-06-19,63.41,64.85,63.37,63.77,973200,63.77
2013-06-18,64.19,65.20,63.72,63.85,1659700,63.85
2013-06-17,64.18,65.04,63.60,64.36,2113900,64.36
2013-06-14,64.38,64.84,63.67,63.75,1244100,63.75
2013-06-13,63.59,64.54,63.20,64.51,1208100,64.51
2013-06-12,64.48,64.82,63.18,63.18,1419100,63.18
2013-06-11,63.95,65.10,63.42,63.86,907900,63.86
2013-06-10,64.17,64.49,63.57,64.31,932000,64.31
2013-06-07,62.62,64.17,62.40,64.05,1090300,64.05
2013-06-06,61.71,62.03,60.73,62.03,1486300,62.03
2013-06-05,62.18,62.69,61.25,61.52,1026700,61.52
2013-06-04,62.43,63.91,61.81,62.19,2868300,62.19
2013-06-03,63.15,63.73,60.93,62.06,4068800,62.06
2013-05-31,63.92,65.41,63.76,64.49,6723400,64.49
2013-05-30,63.77,64.10,63.14,63.99,1248400,63.99
2013-05-29,63.97,64.90,63.12,63.56,1783600,63.56
2013-05-28,62.57,64.37,62.01,64.30,2532800,64.30
2013-05-24,61.73,62.02,60.80,61.69,1454600,61.69
2013-05-23,61.06,62.55,59.07,62.06,1479600,62.06
2013-05-22,62.26,63.57,61.00,61.51,2051300,61.51
2013-05-21,62.70,63.22,61.89,62.34,1773600,62.34
2013-05-20,60.07,63.01,59.90,62.63,3039500,62.63
2013-05-17,59.64,60.48,59.25,59.88,2675400,59.88
2013-05-16,59.53,60.39,58.65,59.03,2265700,59.03
2013-05-15,58.00,60.26,57.91,59.36,2893500,59.36
2013-05-14,55.04,58.38,54.81,58.01,3802200,58.01
2013-05-13,53.68,55.31,53.29,54.79,1785500,54.79
2013-05-10,52.19,54.30,52.15,53.84,2088300,53.84
2013-05-09,52.58,53.10,51.76,51.99,2300900,51.99
2013-05-08,53.34,54.57,51.72,52.49,4386200,52.49
2013-05-07,55.94,56.80,54.07,55.01,2896000,55.01
2013-05-06,55.26,55.55,54.83,55.17,1972600,55.17
2013-05-03,54.21,55.64,54.00,55.30,2378100,55.30
2013-05-02,51.90,53.54,51.90,53.51,1271900,53.51
2013-05-01,52.53,53.00,51.88,52.11,1115600,52.11
2013-04-30,53.07,53.50,52.38,52.58,1842600,52.58
2013-04-29,53.69,54.00,52.25,53.07,1898200,53.07
2013-04-26,53.75,54.80,52.83,53.72,3038000,53.72
2013-04-25,51.33,53.39,51.30,53.01,2121800,53.01
2013-04-24,52.11,52.61,51.00,51.34,1115500,51.34
2013-04-23,51.41,52.55,51.37,52.30,789600,52.30
2013-04-22,51.29,51.55,50.34,51.09,742900,51.09
2013-04-19,51.23,51.82,50.62,51.09,779400,51.09
2013-04-18,52.19,52.45,50.95,51.35,1214400,51.35
2013-04-17,52.14,52.54,51.08,52.17,1698500,52.17
2013-04-16,51.90,52.97,51.85,52.94,1565600,52.94
2013-04-15,52.82,53.50,51.10,51.56,3201700,51.56
2013-04-12,51.85,52.69,51.60,52.49,1101900,52.49
2013-04-11,50.18,52.35,50.11,51.89,1987700,51.89
2013-04-10,48.66,50.18,48.41,50.07,2281300,50.07
2013-04-09,48.70,49.04,48.18,48.29,1314600,48.29
2013-04-08,48.86,49.48,48.27,48.68,1272600,48.68
2013-04-05,49.03,49.51,48.29,48.88,1439900,48.88
2013-04-04,48.87,49.80,48.65,49.52,1364800,49.52
2013-04-03,50.62,50.62,48.75,49.11,2461100,49.11
2013-04-02,51.75,51.75,50.13,50.51,2715200,50.51
2013-04-01,52.53,54.14,51.48,51.70,1695700,51.70
2013-03-28,52.24,52.90,52.14,52.52,1034300,52.52
2013-03-27,52.03,52.73,51.36,52.20,896700,52.20
2013-03-26,53.22,53.22,51.93,52.44,1256100,52.44
2013-03-25,52.93,53.50,52.13,52.24,901400,52.24
2013-03-22,52.06,52.58,51.96,52.50,1077200,52.50
2013-03-21,52.56,53.00,51.64,51.75,2136400,51.75
2013-03-20,52.47,53.45,52.47,53.24,1319000,53.24
2013-03-19,52.51,53.35,51.57,52.30,1256300,52.30
2013-03-18,52.12,53.41,51.70,52.43,1098100,52.43
2013-03-15,52.47,53.73,52.23,52.40,2655900,52.40
2013-03-14,52.50,53.41,52.13,52.59,1482400,52.59
2013-03-13,51.14,52.61,50.77,52.39,2037600,52.39
2013-03-12,51.34,51.61,50.61,51.15,1781400,51.15
2013-03-11,51.09,51.63,50.26,51.40,1223200,51.40
2013-03-08,50.77,51.34,50.56,51.03,1531800,51.03
2013-03-07,48.59,51.15,48.10,50.59,3630400,50.59
2013-03-06,48.00,50.88,47.90,48.63,4827100,48.63
2013-03-05,45.79,47.84,45.65,47.68,2586800,47.68
2013-03-04,45.42,45.66,44.75,45.51,1841700,45.51
2013-03-01,45.42,45.94,44.59,45.62,2159200,45.62
2013-02-28,45.24,45.74,44.58,45.54,1993300,45.54
2013-02-27,44.15,45.56,44.10,45.27,2194800,45.27
2013-02-26,43.68,44.21,43.44,43.73,1138100,43.73
2013-02-25,44.13,44.77,43.50,43.64,1846900,43.64
2013-02-22,43.11,44.09,42.90,43.85,1986000,43.85
2013-02-21,42.20,43.47,42.20,42.94,1498600,42.94
2013-02-20,43.53,43.55,42.68,42.76,1231100,42.76
2013-02-19,44.49,44.49,43.31,43.52,1607100,43.52
2013-02-15,43.60,45.42,43.50,44.42,2817100,44.42
2013-02-14,42.58,44.86,42.04,43.55,7033500,43.55
2013-02-13,46.79,47.78,46.64,46.90,2629000,46.90
2013-02-12,46.22,46.87,45.84,46.66,1813200,46.66
2013-02-11,47.13,47.20,46.00,46.23,1232200,46.23
2013-02-08,46.82,47.42,46.48,47.02,913400,47.02
2013-02-07,47.02,47.03,45.66,46.85,1991500,46.85
2013-02-06,47.05,49.35,46.82,47.00,4129900,47.00
2013-02-05,45.86,46.91,45.70,46.84,1237400,46.84
2013-02-04,46.09,46.78,45.56,45.64,1279400,45.64
2013-02-01,46.29,46.57,45.63,46.30,1772500,46.30
2013-01-31,45.43,46.34,45.07,46.28,1284700,46.28
2013-01-30,46.10,46.29,45.16,45.52,1364200,45.52
