Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,77.42,77.71,76.71,77.45,1231900,77.45
2013-07-11,76.62,77.79,76.52,77.44,2332600,77.44
2013-07-10,76.20,76.51,74.98,75.56,1728600,75.56
2013-07-09,76.62,76.85,75.55,76.56,1122300,76.56
2013-07-08,75.74,76.19,75.33,75.89,1229900,75.89
2013-07-05,74.83,75.39,74.18,75.37,922700,75.37
2013-07-03,73.46,74.25,73.19,74.06,684000,74.06
2013-07-02,72.90,74.25,72.90,73.99,1128300,73.99
2013-07-01,73.59,74.52,73.46,73.67,1363000,73.67
2013-06-28,73.02,73.66,72.46,73.20,1695600,73.20
2013-06-27,73.55,74.14,73.31,73.66,1147300,73.66
2013-06-26,73.15,73.68,72.83,73.19,1235300,73.19
2013-06-25,71.81,72.70,71.09,72.34,1585100,72.34
2013-06-24,72.34,72.39,70.07,70.56,2132200,70.56
2013-06-21,72.93,73.16,71.36,72.07,2873100,72.07
2013-06-20,73.72,74.25,72.47,72.68,1594500,72.68
2013-06-19,75.80,76.25,74.66,74.71,1829500,74.71
2013-06-18,74.67,75.84,74.19,75.62,916300,75.62
2013-06-17,73.51,75.05,72.66,74.50,1016000,74.50
2013-06-14,74.40,74.40,73.11,73.40,940600,73.40
2013-06-13,72.46,74.37,72.24,74.35,1033000,74.35
2013-06-12,74.76,74.81,72.37,72.46,1178600,72.46
2013-06-11,74.44,74.95,73.73,73.95,859200,73.95
2013-06-10,76.08,76.29,75.06,75.46,905300,75.08
2013-06-07,74.84,75.77,73.90,75.68,934000,75.30
2013-06-06,73.08,73.99,72.51,73.99,1100000,73.62
2013-06-05,74.97,75.42,73.19,73.26,1430900,72.89
2013-06-04,75.95,76.58,74.88,75.23,915400,74.85
2013-06-03,76.39,76.57,75.03,75.98,1879900,75.60
2013-05-31,77.25,77.89,75.83,75.91,1504800,75.53
2013-05-30,77.48,78.07,76.69,77.51,797900,77.12
2013-05-29,77.43,77.89,76.82,77.22,1069000,76.83
2013-05-28,77.92,78.38,77.66,77.96,1442500,77.57
2013-05-24,76.14,76.93,75.90,76.92,930100,76.53
2013-05-23,76.46,77.37,75.90,76.85,1509400,76.46
2013-05-22,78.56,80.13,77.36,77.73,1850000,77.34
2013-05-21,78.99,79.41,78.43,78.62,1238100,78.22
2013-05-20,78.38,79.59,78.01,78.36,1600400,77.97
2013-05-17,77.49,78.45,77.49,78.36,1256400,77.97
2013-05-16,77.48,78.21,77.11,77.25,1626800,76.86
2013-05-15,76.46,77.60,75.80,77.58,1635300,77.19
2013-05-14,75.08,76.70,75.06,76.65,1420500,76.26
2013-05-13,75.14,75.68,74.58,75.19,1284800,74.81
2013-05-10,74.81,75.19,74.25,75.19,1035700,74.81
2013-05-09,74.63,75.13,74.30,74.45,894900,74.08
2013-05-08,73.63,74.90,73.24,74.86,1276300,74.48
2013-05-07,73.62,74.02,73.15,73.55,1286600,73.18
2013-05-06,73.18,73.61,72.84,73.28,838400,72.91
2013-05-03,73.21,73.89,73.02,73.25,1099100,72.88
2013-05-02,71.81,72.90,71.66,72.36,1302700,72.00
2013-05-01,72.29,72.80,71.70,71.71,1435800,71.35
