Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,82.55,84.24,82.55,84.18,2117500,84.18
2013-07-11,82.62,82.86,82.14,82.70,1620200,82.70
2013-07-10,82.02,82.08,81.09,81.57,1451200,81.57
2013-07-09,82.33,82.57,81.69,82.05,1915000,82.05
2013-07-08,81.60,82.31,81.60,81.76,1551000,81.76
2013-07-05,80.93,81.35,80.00,81.34,1374000,81.34
2013-07-03,79.54,80.64,79.35,80.40,789400,80.40
2013-07-02,81.01,81.31,79.52,79.82,2281900,79.82
2013-07-01,80.44,81.50,80.44,81.11,2291300,81.11
2013-06-28,80.05,80.64,79.49,79.92,2662700,79.92
2013-06-27,80.05,80.38,79.81,80.34,1886400,80.34
2013-06-26,78.93,80.02,78.90,79.79,2367600,79.79
2013-06-25,78.30,79.15,78.20,78.43,2287200,78.43
2013-06-24,78.14,78.50,77.38,77.85,2833300,77.85
2013-06-21,80.11,80.31,78.57,79.07,4046600,79.07
2013-06-20,81.52,81.71,79.68,79.78,2842600,79.78
2013-06-19,83.89,84.08,82.28,82.28,1913800,82.28
2013-06-18,83.42,84.27,83.41,84.09,2021700,84.09
2013-06-17,82.48,83.79,82.48,83.23,2043600,83.23
2013-06-14,82.88,83.08,81.97,82.15,1268900,82.15
2013-06-13,81.52,82.83,80.91,82.80,1655100,82.80
2013-06-12,82.56,82.84,81.44,81.45,1439200,81.45
2013-06-11,82.55,82.90,81.88,82.08,2147200,82.08
2013-06-10,83.44,83.62,82.52,83.30,2206000,83.30
2013-06-07,82.14,83.72,81.50,83.44,2970800,83.44
2013-06-06,81.86,81.95,80.63,81.74,2763500,81.74
2013-06-05,83.50,83.90,82.20,82.24,2958400,81.74
2013-06-04,83.90,84.32,83.43,83.82,2491200,83.31
2013-06-03,83.78,84.08,82.96,83.76,2294900,83.25
2013-05-31,84.39,85.09,83.72,83.72,2353600,83.21
2013-05-30,83.66,84.78,83.66,84.56,1721800,84.05
2013-05-29,82.89,83.96,82.63,83.67,2416300,83.16
2013-05-28,84.38,84.46,82.74,83.22,2388900,82.71
2013-05-24,82.91,83.62,82.59,83.60,1294900,83.09
2013-05-23,83.14,83.84,82.76,83.50,2011200,82.99
2013-05-22,83.56,84.32,83.27,83.77,3411800,83.26
2013-05-21,85.35,85.66,83.16,83.63,4430000,83.12
2013-05-20,86.24,86.67,85.43,85.55,1668200,85.03
2013-05-17,87.10,87.35,86.05,86.50,2203700,85.97
2013-05-16,87.59,87.69,86.62,86.87,1674900,86.34
2013-05-15,87.65,87.91,87.03,87.78,1688200,87.25
2013-05-14,86.60,87.90,86.50,87.90,1635300,87.37
2013-05-13,86.31,86.84,86.19,86.50,884600,85.97
2013-05-10,86.56,86.69,86.00,86.49,1134300,85.96
2013-05-09,87.28,87.40,86.23,86.46,1651800,85.93
2013-05-08,86.12,87.29,86.02,87.28,2590300,86.75
2013-05-07,86.22,86.23,85.51,86.02,1181400,85.50
2013-05-06,85.37,85.56,84.91,85.31,1558300,84.79
2013-05-03,85.05,85.71,85.03,85.41,1659500,84.89
2013-05-02,84.11,84.51,84.00,84.42,1348000,83.91
2013-05-01,85.46,85.49,83.98,84.10,1821700,83.59
2013-04-30,85.26,85.64,85.04,85.41,1675100,84.89
2013-04-29,85.20,85.60,84.75,85.48,2124300,84.96
2013-04-26,85.22,85.85,85.13,85.15,1652200,84.63
2013-04-25,85.95,86.00,85.07,85.27,2137700,84.75
2013-04-24,86.36,86.64,85.57,85.86,2033600,85.34
2013-04-23,87.41,89.00,85.76,86.35,3445200,85.83
2013-04-22,84.80,85.03,83.95,84.58,2775200,84.07
2013-04-19,84.33,84.94,84.24,84.81,2164400,84.29
2013-04-18,85.43,85.70,83.73,84.10,1913800,83.59
2013-04-17,86.06,86.15,84.80,85.07,2145800,84.55
2013-04-16,85.08,86.60,84.75,86.55,2238100,86.02
2013-04-15,86.20,86.61,84.71,84.71,2303100,84.19
2013-04-12,85.91,86.41,85.61,86.26,1180900,85.74
2013-04-11,84.99,86.13,84.99,86.06,2246700,85.54
2013-04-10,85.29,85.61,84.64,84.81,1626400,84.29
2013-04-09,84.97,85.60,84.65,85.27,1401700,84.75
2013-04-08,84.38,84.79,83.98,84.73,1121100,84.21
2013-04-05,83.78,84.48,83.34,84.41,1912300,83.90
2013-04-04,83.92,84.61,83.85,84.34,1366900,83.83
2013-04-03,84.64,84.72,83.67,83.72,1674700,83.21
2013-04-02,84.10,84.62,84.10,84.41,1200900,83.90
2013-04-01,84.37,84.72,83.75,83.95,1306000,83.44
2013-03-28,83.43,84.28,83.43,84.19,1312700,83.68
