Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,27.00,27.21,26.94,27.19,1851500,27.19
2013-07-11,27.00,27.21,26.87,27.01,3965500,27.01
2013-07-10,26.45,26.79,26.38,26.77,4756500,26.77
2013-07-09,26.73,26.73,26.26,26.32,3202500,26.32
2013-07-08,26.46,26.74,26.39,26.57,2147600,26.57
2013-07-05,26.16,26.36,26.06,26.32,2150300,26.32
2013-07-03,26.18,26.37,26.00,26.03,2692800,26.03
2013-07-02,26.05,26.50,25.93,26.33,4880800,26.33
2013-07-01,25.79,26.10,25.69,26.05,3248200,26.05
2013-06-28,25.22,25.75,25.07,25.68,4003800,25.68
2013-06-27,25.32,25.62,25.21,25.23,2250400,25.23
2013-06-26,25.16,25.26,25.02,25.14,1994900,25.14
2013-06-25,25.27,25.42,25.03,25.04,2149700,25.04
2013-06-24,25.04,25.24,24.74,24.97,2519800,24.97
2013-06-21,25.38,25.44,24.90,25.19,4139400,25.19
2013-06-20,25.37,25.61,25.14,25.22,4325100,25.22
2013-06-19,25.90,26.00,25.53,25.53,3133700,25.53
2013-06-18,25.50,25.92,25.47,25.88,3941200,25.88
2013-06-17,25.73,25.86,25.50,25.65,2984900,25.65
2013-06-14,25.77,25.87,25.39,25.56,2661900,25.56
2013-06-13,25.40,25.79,25.37,25.71,2340700,25.71
2013-06-12,25.62,25.85,25.42,25.42,3742200,25.42
2013-06-11,25.23,25.70,25.14,25.50,2833900,25.50
2013-06-10,25.06,25.63,25.06,25.45,5572100,25.45
2013-06-07,25.20,25.34,24.79,25.05,4174300,25.05
2013-06-06,24.70,24.88,24.51,24.81,2537500,24.81
2013-06-05,25.10,25.15,24.69,24.74,3401900,24.74
2013-06-04,24.75,25.31,24.75,25.20,4292300,25.20
2013-06-03,24.95,25.02,24.48,24.84,4092800,24.84
2013-05-31,25.40,25.58,24.99,25.00,3613000,25.00
2013-05-30,25.42,25.76,25.21,25.49,5618500,25.49
2013-05-29,25.85,25.86,25.11,25.36,6157300,25.36
2013-05-28,25.06,25.24,24.64,24.86,3022000,24.81
2013-05-24,24.72,24.93,24.54,24.87,1848500,24.82
2013-05-23,25.08,25.21,24.77,24.92,4743700,24.87
2013-05-22,25.36,25.65,25.26,25.31,4864800,25.26
2013-05-21,24.84,25.42,24.84,25.26,6159400,25.21
2013-05-20,24.97,25.10,24.70,24.76,3637000,24.71
