Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,52.22,55.59,52.00,55.20,4324300,55.20
2013-07-11,51.43,53.47,51.05,53.37,3262900,53.37
2013-07-10,52.87,52.98,49.92,50.62,4186200,50.62
2013-07-09,52.66,53.07,51.60,52.98,2100500,52.98
2013-07-08,51.44,53.20,51.32,52.47,2964400,52.47
2013-07-05,50.65,51.54,49.76,51.28,2733400,51.28
2013-07-03,50.70,50.76,49.26,50.38,3049700,50.38
2013-07-02,51.91,52.05,50.07,50.71,3366300,50.71
2013-07-01,52.40,53.21,51.77,51.91,2314400,51.91
2013-06-28,52.42,53.21,52.22,52.32,2398900,52.32
2013-06-27,54.58,54.84,52.71,52.79,2727800,52.79
2013-06-26,53.91,54.67,53.52,54.10,2589800,54.10
2013-06-25,52.72,53.74,52.71,53.34,3069100,53.34
2013-06-24,53.01,53.33,50.72,51.90,4618000,51.90
2013-06-21,55.67,55.86,52.94,54.13,6375300,54.13
2013-06-20,56.40,56.47,54.58,55.32,4772100,55.32
2013-06-19,57.17,58.88,56.90,57.41,2611800,57.41
2013-06-18,57.60,58.02,56.64,57.11,2940000,57.11
2013-06-17,57.45,58.09,57.00,57.61,2932100,57.61
2013-06-14,58.05,58.32,56.82,57.16,2277800,57.16
2013-06-13,57.14,58.39,56.54,58.32,2535000,58.32
2013-06-12,57.75,58.38,57.16,57.28,2242700,57.28
2013-06-11,57.29,58.19,56.57,57.01,2640300,57.01
2013-06-10,59.10,59.46,57.89,58.09,1756400,58.09
2013-06-07,59.27,59.49,58.23,58.68,1748800,58.68
2013-06-06,57.55,58.97,56.94,58.86,3241400,58.86
2013-06-05,59.14,59.75,56.91,57.53,4865900,57.53
2013-06-04,59.96,61.13,58.34,59.44,3069300,59.44
2013-06-03,62.20,62.79,59.56,60.51,3228100,60.51
2013-05-31,61.07,62.75,61.03,61.65,7147100,61.65
2013-05-30,61.22,61.73,60.61,61.33,2557000,61.33
2013-05-29,61.76,62.55,60.45,61.24,2896000,61.24
2013-05-28,62.44,63.38,61.26,62.16,4031400,61.96
2013-05-24,61.34,61.63,60.54,61.23,3431700,61.03
2013-05-23,61.23,62.47,60.35,62.01,2849900,61.81
2013-05-22,63.29,64.13,61.28,61.98,4614800,61.78
2013-05-21,65.13,65.55,63.22,63.28,5747400,63.08
2013-05-20,63.00,65.75,61.11,64.90,9273400,64.69
2013-05-17,58.84,62.71,58.64,62.24,14184800,62.04
2013-05-16,58.07,59.29,56.26,58.18,7125400,57.99
2013-05-15,56.49,58.44,56.37,58.15,3294200,57.96
2013-05-14,55.35,56.82,55.28,56.71,2426300,56.53
2013-05-13,54.46,55.30,53.78,55.28,2947400,55.10
2013-05-10,55.33,55.33,54.02,54.41,4015100,54.23
2013-05-09,57.29,57.69,55.24,56.06,4491200,55.88
2013-05-08,58.12,58.50,56.64,57.38,2807000,57.20
2013-05-07,57.75,58.52,57.07,58.04,3375400,57.85
2013-05-06,55.50,58.46,55.23,57.74,3800900,57.55
2013-05-03,54.36,55.94,53.37,55.47,3663600,55.29
2013-05-02,52.33,54.84,50.87,53.89,4531100,53.72
2013-05-01,52.66,52.66,50.77,50.87,4159800,50.71
2013-04-30,54.36,54.50,52.43,53.40,4151200,53.23
2013-04-29,54.20,54.76,53.52,53.86,2054000,53.69
2013-04-26,54.39,54.50,53.02,53.84,2193300,53.67
2013-04-25,55.48,55.70,54.24,54.56,3343000,54.38
2013-04-24,53.76,55.97,53.75,55.20,3335000,55.02
2013-04-23,52.73,54.27,52.25,53.82,4146300,53.65
2013-04-22,50.85,52.64,50.34,51.55,3512500,51.38
2013-04-19,49.85,50.72,49.03,50.67,2232800,50.51
2013-04-18,49.07,50.68,48.21,49.61,2945200,49.45
2013-04-17,50.08,50.08,47.98,49.14,4611900,48.98
2013-04-16,48.90,50.93,48.90,50.92,3653700,50.76
2013-04-15,50.91,50.91,48.06,48.37,5503500,48.21
2013-04-12,51.59,52.46,50.75,51.46,3325300,51.29
2013-04-11,53.91,54.15,51.96,52.09,4550800,51.92
2013-04-10,54.12,54.43,53.39,53.94,2051600,53.77
2013-04-09,53.81,54.81,52.95,54.05,2704900,53.88
2013-04-08,53.43,53.84,51.86,53.81,2928700,53.64
2013-04-05,51.75,53.78,51.07,53.24,3497800,53.07
2013-04-04,52.10,53.41,51.66,52.98,3209600,52.81
2013-04-03,54.84,54.89,51.22,52.26,6665500,52.09
2013-04-02,57.10,57.14,54.16,55.02,5327100,54.84
2013-04-01,58.27,58.45,56.48,56.85,3098600,56.67
2013-03-28,57.97,58.94,57.73,58.55,2165300,58.36
2013-03-27,58.22,58.82,57.54,57.96,2087100,57.77
2013-03-26,58.18,58.98,57.90,58.50,2435300,58.31
2013-03-25,59.20,59.90,57.60,57.85,3493200,57.66
2013-03-22,58.13,59.09,57.85,58.87,2576100,58.68
2013-03-21,58.43,58.78,57.36,58.00,2895400,57.81
2013-03-20,57.27,59.06,57.18,58.88,3698100,58.69
2013-03-19,56.83,57.75,56.00,56.83,2419500,56.65
2013-03-18,55.92,57.57,55.67,56.86,3147200,56.68
2013-03-15,56.77,57.86,56.48,56.50,4113500,56.32
2013-03-14,56.30,57.06,55.89,56.95,3914500,56.77
2013-03-13,57.00,57.47,55.05,56.00,6087600,55.82
2013-03-12,57.23,58.55,57.01,57.79,2536100,57.60
2013-03-11,58.17,58.17,55.93,57.50,3663900,57.31
2013-03-08,58.00,58.75,57.37,58.40,2788900,58.21
2013-03-07,57.89,58.46,56.93,57.75,3797500,57.56
2013-03-06,58.62,59.34,57.67,57.70,3113800,57.51
2013-03-05,59.45,59.56,56.91,58.30,4236000,58.11
2013-03-04,58.26,59.09,57.55,58.97,5159100,58.78
2013-03-01,55.85,58.30,55.05,58.29,5366800,58.10
2013-02-28,55.70,57.04,55.57,56.24,4581900,56.06
2013-02-27,54.24,56.00,54.03,55.55,3983400,55.37
2013-02-26,52.40,54.38,51.66,54.29,3443500,54.12
2013-02-25,54.89,55.45,52.79,52.81,4842400,52.44
2013-02-22,53.77,54.65,52.54,54.60,2326400,54.22
2013-02-21,51.73,53.82,50.07,53.28,7005600,52.91
2013-02-20,54.98,55.37,51.74,52.02,3723200,51.66
2013-02-19,54.91,55.16,54.13,55.13,3345800,54.74
2013-02-15,55.10,55.40,54.14,54.64,2564200,54.26
2013-02-14,54.15,55.58,53.73,55.18,3266200,54.79
2013-02-13,53.55,54.49,53.40,54.07,2664600,53.69
2013-02-12,54.70,54.95,53.10,53.49,4234900,53.12
2013-02-11,54.44,55.00,54.00,54.55,3682100,54.17
2013-02-08,52.46,54.01,52.46,53.86,3370100,53.48
2013-02-07,50.85,53.15,49.84,52.55,6247900,52.18
2013-02-06,50.11,51.85,50.02,51.16,4925900,50.80
2013-02-05,49.18,50.50,49.05,50.23,3789700,49.88
2013-02-04,48.94,49.45,48.66,48.81,2438900,48.47
2013-02-01,49.40,49.68,48.70,49.37,2859200,49.02
2013-01-31,47.83,49.19,47.59,48.69,3184600,48.35
2013-01-30,48.13,48.20,47.10,48.09,4832300,47.75
2013-01-29,46.58,48.30,46.50,48.05,5930400,47.71
